Symbol,Color
MSFT,skyblue
AAPL,skyblue
AMZN,skyblue
FB,skyblue
GOOGL,skyblue
GOOG,skyblue
JNJ,green
V,skyblue
PG,orange
JPM,red
HD,orange
UNH,green
MA,skyblue
NVDA,skyblue
VZ,violet
NFLX,skyblue
ADBE,skyblue
INTC,skyblue
PYPL,skyblue
T,violet
PFE,green
CSCO,skyblue
MRK,green
CMCSA,violet
PEP,orange
BAC,red
KO,orange
XOM,yellow
WMT,orange
ABT,green
CRM,skyblue
ABBV,green
CVX,yellow
TMO,green
MCD,pink
AMGN,green
COST,orange
ACN,skyblue
NEE,teal
LLY,green
BMY,green
LIN,brown
MDT,green
DHR,green
PM,orange
TXN,skyblue
NKE,pink
