,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.3837490010067588,0.3613731874813282,0.44529650295357437,0.3635440351734706,0.3801335454173637,0.6115928222290045,0.569051173466182,0.6325155519244036,0.6137400535305023,0.6252153993254984,0.6671361615379857,0.5484711375487851,0.4473914153016883,0.6783687009404282,0.4443197285410333,0.335064861734941,0.5646846574010334,0.45747173225371485,0.6381537873257297,0.6950578925452238,0.5672238875276204,0.6993025763832735,0.5170747276370952,0.5217764308810828,0.607614276159014,0.5934460497146813,0.6998292074936002,0.6324752217600916,0.5597080924714283,0.4704962897386998,0.6037566609980205,0.6959634245032796,0.5514984743903957,0.6188846018088181,0.6371268585954633,0.5403008241314685,0.4904784258290344,0.5302517523584418,0.6373515732860338,0.678064606334613,0.6072165236588359,0.6396641148076081,0.6004443976191737,0.6444765690844658,0.46417769141412885,0.5454395986865558
AAPL,0.3837490010067588,0.0,0.38999737743493323,0.413447509010015,0.4880925084416374,0.5031885233128804,0.6368148270170487,0.609824907705192,0.6779515753912929,0.6472445963441169,0.6212928597942562,0.6867461280924698,0.586072833116494,0.440940947505561,0.6645843111036477,0.5125387246576115,0.3688529084474593,0.5523064597809475,0.43751920341906253,0.6575650540364281,0.7003161292319033,0.5503167899466854,0.6609666599731938,0.6036526805109744,0.5641089668394528,0.640851191452556,0.6021264193642525,0.6891179654682241,0.6194092588094336,0.6387864126686091,0.5010295075344315,0.6276016008507559,0.6766694171338042,0.5934840947091959,0.5883540287758097,0.5965337035775239,0.5306435301267376,0.5474460281539875,0.5550176633597717,0.689723476079462,0.7031244917175586,0.6261269811709246,0.6326406775714908,0.6232864257673166,0.6461068821652802,0.4877995379458462,0.592398652972056
AMZN,0.3613731874813282,0.38999737743493323,0.0,0.37729314527248337,0.4399418998171554,0.453325731406228,0.6578107062047936,0.577137195004823,0.6355771495621887,0.6433933748885705,0.6072562359106378,0.6863041959555545,0.5529222373789932,0.47401748355000944,0.699759143232271,0.390238142083107,0.3428230376803393,0.5265175537078324,0.47326430644405904,0.6667242459388921,0.6784998002637123,0.5980935790781262,0.7009438012890589,0.5641559356943706,0.4907589961772079,0.6275207051129481,0.5795899438127596,0.6977039510075742,0.6236484529936546,0.6221173909558044,0.5091084099766117,0.6268365910748492,0.7000384675354755,0.5469278760158192,0.5543901582862212,0.5955083465024483,0.4458032722838613,0.49731990704710116,0.5271353989003053,0.6996465620495024,0.6761631614963916,0.5492320615594739,0.6241015500625505,0.561771813169857,0.6756793148811774,0.4767417505403781,0.531325702511649
FB,0.44529650295357437,0.413447509010015,0.37729314527248337,0.0,0.4174794550277065,0.42933162448484385,0.6482440240967746,0.6260048944742969,0.651761044456051,0.6420324040602414,0.629582862937487,0.6283134811873166,0.5927663179546191,0.49196212364032943,0.7015628602778621,0.49525845360897425,0.42268262615592544,0.6035842338056293,0.5180512747890795,0.7055807252811015,0.6792157342279378,0.6250410664429481,0.6776873035591173,0.5947674987716008,0.4925746029066559,0.6577577991823813,0.6182963297765417,0.6826497311576712,0.6185130255052398,0.6172144557953472,0.5297747455082844,0.6348191877985802,0.6921405428947214,0.5834141821664243,0.5546234549036336,0.5235619356993971,0.5331450096123975,0.5412154926014024,0.6155031319830161,0.7015472578546789,0.6920714360188277,0.6026647752459802,0.6160011815074484,0.5731159578848993,0.6170965238027819,0.5296754846602649,0.6166870268570219
GOOGL,0.3635440351734706,0.4880925084416374,0.4399418998171554,0.4174794550277065,0.0,0.03863769120400994,0.6416238669741869,0.575254990434084,0.6212039054509157,0.6935397931807733,0.6503730988911688,0.641292046243629,0.5538876935987016,0.49906086879027434,0.6926087470079177,0.43995327180055394,0.41230979125647804,0.5912980004605377,0.49536153443038217,0.7035585658659643,0.7044035625246025,0.6475135728321744,0.6872631846546668,0.5729162790865872,0.5231575868719288,0.6852250804991322,0.6120767928086187,0.6078666562614322,0.6016541841661492,0.593753367120915,0.4784254581858047,0.5278991677670926,0.6082043711246223,0.5674113349566721,0.5775086820603895,0.6106918989997375,0.5638991656565472,0.4858807524888743,0.5501070713299164,0.6758403160950551,0.6819527848522335,0.5804387598189601,0.5938545957417284,0.5753101049460118,0.5994445483738318,0.5225975068242918,0.5430240571712975
GOOG,0.3801335454173637,0.5031885233128804,0.453325731406228,0.42933162448484385,0.03863769120400994,0.0,0.6398895312549059,0.5793535507159436,0.6225411303103374,0.6830196300905806,0.6521046267716241,0.6389286971598025,0.5591988259263405,0.5123465445635889,0.6906882472938313,0.4493646516553549,0.430059426543761,0.6000438919498098,0.5081684535246216,0.6976015058974661,0.7007053888817033,0.6528014228364843,0.6867516478590067,0.5784665147684199,0.5339352544336929,0.6742948778540261,0.6198261659293596,0.6034331325315943,0.6000647537651033,0.6024818700530672,0.48723469612361037,0.5352878524864102,0.6023128246136016,0.5753927887982573,0.5809176835890307,0.6135961222451256,0.5704531464021866,0.4883743850646152,0.5517834291308851,0.6808525175573141,0.6852322254429211,0.5811844564961028,0.5978829122808862,0.580031973948566,0.6049616559009816,0.5352278254214923,0.5447471683957256
JNJ,0.6115928222290045,0.6368148270170487,0.6578107062047936,0.6482440240967746,0.6416238669741869,0.6398895312549059,0.0,0.5933642958637682,0.4780771990158639,0.6479387499540626,0.6184105747644504,0.6542991719783237,0.607741204969289,0.706121077330509,0.6165902440980241,0.6486240858175915,0.6418464920686461,0.6724786937761642,0.6562978323557708,0.5578122359943787,0.615283725689591,0.5511269683192848,0.5581801671202787,0.5466929710374564,0.5322627864253522,0.639440932322509,0.5730174182094798,0.6332471834983253,0.5983685205946534,0.5985662282113965,0.6030983020466668,0.600543092701089,0.581699433863832,0.6633475920906531,0.5790013577827026,0.49462992678432893,0.6461454387878424,0.5250032069401696,0.5512550327550397,0.6330328017687449,0.5354313085671325,0.5510097369509929,0.5184679983826153,0.6690074183485952,0.4707264372597047,0.607012890434151,0.631971663386708
V,0.569051173466182,0.609824907705192,0.577137195004823,0.6260048944742969,0.575254990434084,0.5793535507159436,0.5933642958637682,0.0,0.5254474719577727,0.5999351127492949,0.6747393384620611,0.6144032952192409,0.24027479996990764,0.626980528165877,0.6384637008936827,0.5559005763996688,0.5470438198327512,0.6061354792943261,0.6169478639656992,0.6239835851257864,0.6979706562935912,0.5463771073615569,0.6361588001335237,0.46887520083101925,0.576408482404855,0.618229975028628,0.5033167741343721,0.6673318218088726,0.6897806718192007,0.678326177155659,0.6078386149158731,0.5618401573310999,0.6261687429321614,0.6335846912569066,0.5404596538776679,0.6443176149379942,0.6357189210683191,0.4374091518994118,0.6143681410957077,0.6767961881103739,0.6186843230878318,0.5530015499514297,0.4391518148396937,0.6680423179996106,0.548718712482469,0.5587312527475947,0.4833671644230445
PG,0.6325155519244036,0.6779515753912929,0.6355771495621887,0.651761044456051,0.6212039054509157,0.6225411303103374,0.4780771990158639,0.5254474719577727,0.0,0.6070273369887833,0.5872185020445368,0.51319949360219,0.5261397858904182,0.694869071631028,0.4840128507839893,0.6518423645630518,0.6311678333496296,0.6427186209377881,0.6950154013815287,0.5375207137870107,0.6027238380150038,0.5397647318873118,0.5230976411511759,0.476908319289278,0.3972301988795015,0.588282302397218,0.48139949074704996,0.6502701071958614,0.6211404019001118,0.6220098677945122,0.6213280760140049,0.5664536064056941,0.6175844315362631,0.6377531256127849,0.5083229376320552,0.5723508619757993,0.6135790372340121,0.5306999498845204,0.5195218832428786,0.6795493329158929,0.5685690817482645,0.4699944406327757,0.5008635759697326,0.6244299930406467,0.5044107366285892,0.6136287293401754,0.5745659099748478
JPM,0.6137400535305023,0.6472445963441169,0.6433933748885705,0.6420324040602414,0.6935397931807733,0.6830196300905806,0.6479387499540626,0.5999351127492949,0.6070273369887833,0.0,0.6797715729118455,0.608651942616166,0.5938557863331765,0.6912035040551009,0.592308290835539,0.6679050095690445,0.674771865884189,0.6221037942730525,0.6696346249163049,0.5588778329909426,0.6505763737917728,0.6592862752757478,0.5687183886936573,0.600328421632122,0.6995471162989156,0.18310140021136984,0.6761157912915922,0.4922327940408438,0.6455616977023656,0.6594265084711055,0.7051974643344641,0.619444529676909,0.48551755172718253,0.7004240599430425,0.6461616983950128,0.6560141214009705,0.6931988377614576,0.5707488815368624,0.6634804486091105,0.6970880800674356,0.5857449663691866,0.572092736233041,0.5321458715014342,0.6743266487848131,0.5290513113567324,0.6327339309959324,0.6190348884510125
HD,0.6252153993254984,0.6212928597942562,0.6072562359106378,0.629582862937487,0.6503730988911688,0.6521046267716241,0.6184105747644504,0.6747393384620611,0.5872185020445368,0.6797715729118455,0.0,0.6205724736605156,0.6535726856624131,0.6288819269530033,0.5859447926504303,0.676148000602328,0.6286568037984953,0.6872977964195689,0.5750893228260635,0.7058751657545767,0.6320619119834231,0.5915127237974078,0.5979152374300839,0.6249492698957912,0.6078617825366958,0.6993100623670724,0.6332623915718385,0.6556161675992046,0.5941199187888433,0.660313875539672,0.6652700369220069,0.602976277984208,0.6789071710569219,0.6305960775776089,0.6072093149050897,0.5681123222334862,0.5468525762352211,0.5916440109984594,0.5544433890453544,0.6899628359083401,0.6161179135196593,0.5927291750919509,0.648205204688769,0.6009147021176932,0.6084126155940379,0.6078234279843123,0.5735896479460799
UNH,0.6671361615379857,0.6867461280924698,0.6863041959555545,0.6283134811873166,0.641292046243629,0.6389286971598025,0.6542991719783237,0.6144032952192409,0.51319949360219,0.608651942616166,0.6205724736605156,0.0,0.5747608226620555,0.7053244612817072,0.5642895928041166,0.6752280546179841,0.6920183063724299,0.6369320129796233,0.6766358127791977,0.6593571172967295,0.7012351062508644,0.6668370001703963,0.525925088258668,0.5630788092158185,0.608461862409959,0.5943917330681449,0.6818543850064706,0.6961664540610618,0.6907596714091339,0.6829537730311482,0.6746570417402957,0.6458452470512654,0.6569150339639688,0.6034347602178763,0.649095825607693,0.5923762602412709,0.6927825167813861,0.5760382054684291,0.5838418289571653,0.7064724419038256,0.6124352052816857,0.5671798068201201,0.5934184136547137,0.5787785291154404,0.6286078993048658,0.6209317883189542,0.6454988453360314
MA,0.5484711375487851,0.586072833116494,0.5529222373789932,0.5927663179546191,0.5538876935987016,0.5591988259263405,0.607741204969289,0.24027479996990764,0.5261397858904182,0.5938557863331765,0.6535726856624131,0.5747608226620555,0.0,0.5797332780917592,0.6410692161907705,0.5371365350299349,0.5141616455806852,0.5726458887795666,0.5849747520861083,0.6720329790141697,0.6862133374946143,0.5464595486076489,0.6266607251388712,0.44014919440447636,0.5513516473903185,0.6214939332686994,0.4791541949028377,0.6404856811216196,0.6692899159224152,0.6411284570757073,0.5674264524618114,0.5454389963865568,0.587986668257005,0.6168629460905297,0.5313557010835029,0.6424322249220668,0.6108913286068614,0.44183048910907846,0.584470534246101,0.673428393417994,0.6094096914022136,0.4991778998543564,0.4143686937087784,0.6305195430319518,0.5553269951117752,0.4993525699215683,0.5227658133479391
NVDA,0.4473914153016883,0.440940947505561,0.47401748355000944,0.49196212364032943,0.49906086879027434,0.5123465445635889,0.706121077330509,0.626980528165877,0.694869071631028,0.6912035040551009,0.6288819269530033,0.7053244612817072,0.5797332780917592,0.0,0.6267699586481601,0.5219827317432154,0.3558409474086568,0.4731441595347398,0.36986896694115684,0.6321453348132204,0.7045570341273277,0.6489058450042537,0.682531753616923,0.6199473752412668,0.6513084824185387,0.667537965477136,0.694311639804269,0.6891203187498063,0.6386546880708831,0.5857220203273327,0.4843701757391825,0.6099012104596616,0.7026672674992384,0.5424179487935825,0.6441034551457461,0.6749057212807157,0.5154977025259403,0.555516229949131,0.6241442330685553,0.6498706233450565,0.6549036100355775,0.6518028693528942,0.6555713004770923,0.5620140125303882,0.6623432571896002,0.3495893434193258,0.5672805975244181
