,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.40807038728363687,0.37322360856054637,0.4691725584226728,0.35725449813253346,0.3702122160994571,0.5553817797871802,0.43511843432984465,0.5526715361367969,0.70143037043198,0.5155700320864519,0.6126131736778596,0.42130862421568105,0.34366395137191214,0.6702717661877732,0.49269458741922034,0.3487581761516151,0.5643667879647071,0.4001942218916179,0.6896349783250572,0.63897374468803,0.5663399161966097,0.5445815370042999,0.558963426442224,0.5358445164719633,0.6659738270602845,0.636834790292356,0.6877048041036072,0.5828255474191669,0.513330060390209,0.4717322458388785,0.5825385041786026,0.6725703446445793,0.44822816142551,0.636039096548595,0.4427502679808504,0.45649667501384084,0.48944488328387986,0.5903356569989017,0.6075500463892206,0.6377230182330164,0.5740809912996921,0.6032465206961841,0.48656222017222905,0.6944961613202383,0.39657616304469284,0.6859536474981728
AAPL,0.40807038728363687,0.0,0.40704797947087085,0.4325183687654123,0.5149206508362559,0.5198533122500337,0.6299494221863141,0.5662564208383866,0.5849577051004374,0.7042001972047472,0.5264063372653088,0.6371477106420218,0.5516386014666502,0.39100510804743066,0.6636328881334047,0.5163771890535457,0.4325713425775415,0.6051601473982318,0.456244424147059,0.6961654071547537,0.6577735622444816,0.5841787981495169,0.6095185703471254,0.6065982938997766,0.5627365691618377,0.6820218338371548,0.6888883640744927,0.6862186216802417,0.5961305458552731,0.6338315191567778,0.5488273908772086,0.6357642972239678,0.679435773707265,0.4921718844363178,0.6616193284817669,0.5740268654154781,0.4973131354788131,0.5516418024156202,0.6375826878752829,0.6972791831255888,0.6501885098572779,0.5696270687027195,0.6573450668717852,0.5077131595324624,0.7027274681698753,0.4623211743420617,0.6710112359695357
AMZN,0.37322360856054637,0.40704797947087085,0.0,0.41830664908879617,0.35491735025992655,0.3515428364390105,0.640743027645744,0.5172198668498718,0.5801459111596785,0.6749852927396762,0.556351835331493,0.6799154045878405,0.5068485727914628,0.426342205906738,0.6499265827696953,0.45897031840201985,0.33232756692121235,0.610611667192514,0.4158099197878152,0.6993910542665107,0.7027656689819746,0.5784072221871921,0.6763099624604484,0.5890669626395636,0.5584271200003399,0.705803250322631,0.6720394674226362,0.6640613348674181,0.6285364938983061,0.6408009207247594,0.49330213260197847,0.6853912199744857,0.6891391712122436,0.5094806658256611,0.6613547614624801,0.5390896455596073,0.48899497559783683,0.5317951195849102,0.5860089358167246,0.688463182380873,0.6939396222044992,0.6153071321154581,0.7017001835762268,0.5370652758489298,0.6542259947002976,0.41949479010700164,0.6890322290370691
FB,0.4691725584226728,0.4325183687654123,0.41830664908879617,0.0,0.4525574526751983,0.4488312999063644,0.6425450340936619,0.5612590036724244,0.6335151511066356,0.6763296503658591,0.5542156446197867,0.6686646164531057,0.562494196854099,0.5363649487694357,0.6220956120687788,0.4486718024159587,0.3498751569422425,0.6255678864738674,0.4900075864264097,0.6674885176386398,0.7026024419443602,0.5928319970230082,0.6309777316500161,0.5985353951164746,0.5646050028061718,0.6936927922108026,0.6451469838399031,0.6522690503740695,0.6751185725846629,0.6625789530385278,0.41755552787768674,0.6566935608111936,0.6606376767719048,0.5540313401218909,0.6417226335980033,0.544420659430507,0.5731148100362197,0.5394931494523972,0.6038978141455695,0.696875862305497,0.6453184775250035,0.5850091345659513,0.6408966516776201,0.5567786248611978,0.6933639539572087,0.5365452427238445,0.6777527090653659
GOOGL,0.35725449813253346,0.5149206508362559,0.35491735025992655,0.4525574526751983,0.0,0.05532201067098231,0.5604588188585471,0.4002127639745619,0.5157430929248619,0.6953216808360226,0.47195662129068233,0.6166440425156816,0.44482803682016453,0.4037351108266761,0.6027097881973472,0.466102380578647,0.3453010750126739,0.5635949245840122,0.45150677999361755,0.6503612687438092,0.6442506126904997,0.588283057897253,0.6147057042897012,0.5103084577351835,0.4863821325565769,0.6776664546618043,0.5523911764121612,0.6842018701295864,0.5918513380295426,0.5713176608476324,0.4977802290604373,0.6233112720243327,0.6608251635211657,0.45882838877553805,0.5616188341912496,0.4880858602911117,0.4842039989606607,0.4828934166052132,0.5267952511919335,0.6799070977549658,0.6515115105200298,0.5344161812931926,0.6271590378734595,0.5042654230100412,0.6738827597506224,0.3597756683321804,0.6668608487912739
GOOG,0.3702122160994571,0.5198533122500337,0.3515428364390105,0.4488312999063644,0.05532201067098231,0.0,0.5603946413385764,0.3987842268885709,0.5233336407637083,0.6818068494932421,0.4741476180052661,0.6090464559697994,0.4456688080804661,0.4154369944209231,0.5898081983228328,0.46117852546729565,0.34787856591315885,0.571277541444027,0.4661577858246975,0.639848622851039,0.6454605240236209,0.5938634573057455,0.6132721008101901,0.5008277904390562,0.48728314817288365,0.668756926799847,0.5438603044175807,0.6934470789179642,0.5938401906831334,0.5797785736902511,0.49543144716635074,0.6306452945966987,0.6528391326205586,0.46916768154809774,0.555223211093871,0.4957650357095374,0.48989062873304073,0.48152562517156516,0.5297246972271643,0.6767842098442927,0.6571801321842924,0.527977527642577,0.6260035220657106,0.5190990970513576,0.6670663465855065,0.3635283230368691,0.6601307609528749
JNJ,0.5553817797871802,0.6299494221863141,0.640743027645744,0.6425450340936619,0.5604588188585471,0.5603946413385764,0.0,0.5461286051916742,0.49455892626809994,0.6152473600405015,0.4909759984937545,0.4206535142002335,0.530407469856874,0.5473260556842272,0.5949405978975616,0.7008770662227871,0.6655535112475239,0.561170357336989,0.654733937111721,0.6065702231937393,0.4968389343584441,0.56805605224216,0.4443268350003109,0.6033837164635846,0.5230968353290111,0.6319533355637341,0.5500355227373092,0.6312531409811053,0.6802856669120706,0.4927130560194167,0.6720692460747366,0.4158176166846324,0.5919796524012638,0.4974702770319184,0.5790197529739383,0.4839483672597545,0.5731204293010632,0.5440823665771123,0.5695224609631837,0.5350295381548092,0.5360184121141656,0.5104961240639758,0.4924790065431119,0.52201150550942,0.6146758524628153,0.5422250860680058,0.6453611531670361
V,0.43511843432984465,0.5662564208383866,0.5172198668498718,0.5612590036724244,0.4002127639745619,0.3987842268885709,0.5461286051916742,0.0,0.5714901537031926,0.59134585311319,0.4713323136221897,0.5506219083393171,0.22497540360284346,0.4602705308476152,0.6177417453867038,0.607603924555096,0.464089708788889,0.5453913259958042,0.5171622811154509,0.6254841553654518,0.5740876915047176,0.5514345772852118,0.5515296587035894,0.5349284373445768,0.5313677053482119,0.5944877808230702,0.5182217244346324,0.6065802710211288,0.6292908348945195,0.5081100161635939,0.5548163256717242,0.561516802892419,0.5494703088545999,0.4723081000826881,0.4919716290333535,0.5022244471338793,0.5427413906734251,0.4522726992593913,0.5906587170111428,0.5950152365946039,0.5274235964236312,0.4671651660797656,0.5173979466046721,0.5187191038270205,0.6552236277657859,0.3726727117796308,0.6393069673774929
PG,0.5526715361367969,0.5849577051004374,0.5801459111596785,0.6335151511066356,0.5157430929248619,0.5233336407637083,0.49455892626809994,0.5714901537031926,0.0,0.6552997521606064,0.4879186621194202,0.5661142027752428,0.5713000478671163,0.4974484592923748,0.4893729782817948,0.6351407762334657,0.5983487280471063,0.575740070210017,0.5700622806132378,0.5707726889887944,0.5250578999606644,0.5965866471860417,0.5527646100089455,0.5691333231948142,0.4104040021445326,0.6397604996564428,0.5053986239815872,0.6738170323977262,0.5876081541033578,0.5736009783113759,0.6897171772203057,0.5642965524593515,0.6299087625499095,0.5469153788227724,0.6292309134917337,0.5440768302619892,0.5165282524177935,0.5562812698456551,0.47576280547290867,0.6592679297288246,0.5816469251740664,0.5493764760406036,0.6136824496963242,0.5282689231019653,0.5900323911881745,0.5410142431251108,0.7070200251835947
JPM,0.70143037043198,0.7042001972047472,0.6749852927396762,0.6763296503658591,0.6953216808360226,0.6818068494932421,0.6152473600405015,0.59134585311319,0.6552997521606064,0.0,0.6671019003891866,0.5317369911333616,0.5987062824471558,0.6734261020427068,0.6089457940124426,0.6643952926358428,0.650684919058487,0.6652156956882302,0.629932443473519,0.5241655551416557,0.6275700314842867,0.6651704215262783,0.6223451014736925,0.5863856483392904,0.581969431351712,0.23006421831920223,0.5077245421919416,0.4549561898106461,0.6968039889715745,0.6287699177839638,0.6551915586754198,0.6685901730946703,0.44518110069579886,0.6801924361651293,0.6639273128045519,0.6876017323822602,0.683792254695997,0.6436689527545776,0.6922450395701851,0.6773292426411569,0.5983713988866677,0.5640784330656379,0.5147492154787067,0.6726720855092824,0.5474465668400879,0.6526814354912603,0.626709323444351
