Date,rsi,macd,adx,ema1,ema2,obv
2013-01-02,,,,,,7512800.0
2013-01-03,,,,,,14745000.0
2013-01-04,,,,,,21539000.0
2013-01-07,,,,,,28028400.0
2013-01-08,,,,,,21314200.0
2013-01-09,,,,,,26844600.0
2013-01-10,,,,,,34550200.0
2013-01-11,,,,,,44341200.0
2013-01-14,,,,,,49933000.0
2013-01-15,,,,23.988857280330784,,56440200.0
2013-01-16,,,,24.070899025017514,,61740400.0
2013-01-17,,,,24.11734824593711,,56875600.0
2013-01-18,,,,24.139638513346828,,50730200.0
2013-01-22,,,,24.173589645479275,,56937800.0
2013-01-23,65.50868486352371,,,24.16911352954933,,50158600.0
2013-01-24,71.39464935887287,,,24.229132849057578,,56978400.0
2013-01-25,79.61646926113937,,,24.41800826312429,,69521200.0
2013-01-28,66.77482288858843,,,24.485704152572225,,61483000.0
2013-01-29,60.928759670937296,,,24.49312374292137,,54268200.0
2013-01-30,58.005686304843806,,,24.47355627162879,24.241991625139157,47925200.0
2013-01-31,60.8748114279359,,,24.493936005919814,24.27472049990966,57069000.0
2013-02-01,57.508962756933876,,,24.4816641538951,24.289170054183394,50295600.0
2013-02-04,57.120254539690215,,,24.468315412826662,24.300510627881994,45219800.0
2013-02-05,58.842860318592315,,,24.476415491070654,24.320734934099768,49747000.0
2013-02-06,60.832089041659145,,,24.50537273816394,24.35072973562205,55044000.0
2013-02-07,64.40074520805084,,,24.572070784503467,24.400394712518175,60617000.0
2013-02-08,63.325331376464625,,,24.619198609877316,24.441430818379267,55516200.0
2013-02-11,67.42586469027304,,39.698065303779,24.709860863874454,24.505850836329962,64432800.0
2013-02-12,65.79119721445889,,40.37398807979208,24.773287633374494,24.558503908691364,60566200.0
2013-02-13,59.46185534825443,,40.04723739833144,24.781349475985632,24.583182371457497,54512400.0
2013-02-14,59.93180422473632,,39.527154037184054,24.792907731330708,24.608109753259978,60676600.0
2013-02-15,62.506301315353205,,39.229340008690066,24.829656598351754,24.64495896723012,67732800.0
2013-02-19,56.790462124597404,,38.37420868017856,24.82002623479035,24.65750474166192,59221600.0
2013-02-20,51.990516754371896,0.26349620173894117,36.87531026290152,24.774930329174925,24.64936131425655,51634400.0
2013-02-21,56.55961094722105,0.24908414314928545,36.04792728411493,24.781039432389147,24.664520274503843,60990200.0
2013-02-22,55.789881854901644,0.23473027259472254,34.99767878456595,24.78024855354822,24.67520306729053,55135200.0
2013-02-25,51.18197562781683,0.2175097493723064,34.19937936348693,24.74403902104638,24.666240501337917,46569200.0
2013-02-26,53.399082956958644,0.20056859061059262,33.20474273619915,24.733434815390318,24.668095300252215,52654400.0
2013-02-27,54.082583478399556,0.18474148056506196,32.28115158228907,24.730547883142467,24.672805908611732,58923600.0
2013-02-28,57.26480671687361,0.1724161181762225,32.11501313452432,24.755477960314757,24.691363756133477,65637200.0
2013-03-01,60.49377247501965,0.1651613805462196,32.12858077487231,24.805763316717602,24.723809819409375,73690600.0
2013-03-04,59.287717267449324,0.1604330182916661,32.24984507580697,24.839433875913553,24.749251873969943,68398800.0
2013-03-05,60.87446506219399,0.1584088232384494,32.52040742720164,24.88109630273037,24.779663812011478,76496800.0
2013-03-06,64.39116982232727,0.16073867204620235,33.59408580708033,24.948392654558347,24.82457451922793,82308800.0
2013-03-07,63.16827441710551,0.16472624905227443,34.638099060275145,24.99681152371294,24.861728987387995,76623600.0
2013-03-08,55.63044816464119,0.1653072508469241,33.72495426080008,24.99242515410286,24.872296368670806,68610600.0
2013-03-11,53.55286408675285,0.1621802282187276,32.07328343880821,24.97555274155802,24.87489927499799,61855800.0
2013-03-12,42.45432066455295,0.14894681815865377,30.656846601873582,24.87540486995164,24.832026910495603,49514200.0
