Date,AMZN,dayofweek,weekly_ret
2013-01-18,272.12,4,0.03391857997298864
2013-01-25,283.99,4,0.01560050757632303
2013-02-01,265.0,4,0.04362046156107602
2013-02-08,261.95,4,-0.06686855170956729
2013-02-15,265.09,4,-0.011509433962264226
2013-02-22,265.42,4,0.011987020423744887
2013-03-01,265.74,4,0.001244860236146339
2013-03-08,274.19,4,0.001205636349935979
2013-03-15,261.82,4,0.03179799804320016
2013-03-22,257.75,4,-0.04511470148437213
2013-04-05,255.48,4,-0.015545030937285098
2013-04-12,272.87,4,-0.008806983511154276
2013-04-19,260.32,4,0.06806795052450298
2013-04-26,254.81,4,-0.045992597207461516
2013-05-03,258.05,4,-0.02116625691456664
2013-05-10,263.63,4,0.0127153565401672
2013-05-17,269.9,4,0.021623716334043808
2013-05-24,261.74,4,0.023783332701134086
2013-05-31,269.2,4,-0.03023341978510552
2013-06-07,276.87,4,0.028501566439978587
2013-06-14,273.99,4,0.0284918276374444
2013-06-21,273.36,4,-0.010401993715462132
2013-06-28,277.69,4,-0.0022993539910215466
2013-07-05,285.88,4,0.015839918056774982
2013-07-12,307.55,4,0.02949331988908499
2013-07-19,305.23,4,0.07580103539946847
2013-07-26,312.01,4,-0.007543488863599346
2013-08-02,304.21,4,0.02221275759263497
2013-08-09,297.26,4,-0.024999198743630102
2013-08-16,284.82,4,-0.022846060287301517
2013-08-23,290.01,4,-0.041848886496669624
2013-08-30,280.98,4,0.018222034969454404
2013-09-06,295.86,4,-0.031136857349746472
2013-09-13,297.92,4,0.05295750587230397
2013-09-20,316.34,4,0.006962752653282056
2013-09-27,316.01,4,0.06182867883995691
2013-10-04,319.04,4,-0.0010431813871151219
2013-10-11,310.889,4,0.009588304167589712
2013-10-18,328.931,4,-0.025548520561685106
2013-10-25,363.39,4,0.058033574684212
2013-11-01,359.00199999999995,4,0.10476057288610674
2013-11-08,350.31,4,-0.01207518093508364
2013-11-15,369.17,4,-0.024211564280978815
2013-11-22,372.31,4,0.05383802917416003
2013-11-29,393.62,4,0.00850556654115997
2013-12-06,386.95,4,0.05723724852945122
2013-12-13,384.24,4,-0.01694527717087546
2013-12-20,402.2,4,-0.007003488822845294
2013-12-27,398.08,4,0.04674161982094516
2014-01-03,396.44,4,-0.010243659870711075
2014-01-10,397.66,4,-0.0041197749196141276
2014-01-17,399.61,4,0.003077388759963773
2014-01-24,387.6,4,0.004903686566413601
2014-01-31,358.69,4,-0.030054302945371703
2014-02-07,361.08,4,-0.07458720330237367
2014-02-14,357.35,4,0.006663135297889422
2014-02-21,346.76,4,-0.010330120748864413
2014-02-28,362.1,4,-0.02963481180915073
2014-03-07,372.06,4,0.04423808974506871
2014-03-14,373.74,4,0.0275062137531068
2014-03-21,360.62,4,0.004515400741815778
2014-03-28,338.29,4,-0.03510461818376409
2014-04-04,323.0,4,-0.061921135821640494
2014-04-11,311.73,4,-0.04519790712110916
2014-04-25,303.83,4,-0.03489164086687302
2014-05-02,308.01,4,-0.025342443781477653
2014-05-09,292.24,4,0.013757693446993402
2014-05-16,297.7,4,-0.05119963637544234
2014-05-23,312.24,4,0.01868327402135228
2014-05-30,312.55,4,0.048841115216661235
2014-06-06,329.67,4,0.0009928260312579429
2014-06-13,326.27,4,0.05477523596224598
2014-06-20,324.2,4,-0.010313343646677131
2014-06-27,324.57,4,-0.006344438655101592
2014-07-11,346.2,4,0.0011412708204812105
2014-07-18,358.66,4,0.06664201867085673
2014-07-25,324.01,4,0.035990756787984024
2014-08-01,307.06,4,-0.09660960240896677
