Date,PYPL,dayofweek,weekly_ret
2013-01-18,,4,
2013-01-25,,4,
2013-02-01,,4,
2013-02-08,,4,
2013-02-15,,4,
2013-02-22,,4,
2013-03-01,,4,
2013-03-08,,4,
2013-03-15,,4,
2013-03-22,,4,
2013-04-05,,4,
2013-04-12,,4,
2013-04-19,,4,
2013-04-26,,4,
2013-05-03,,4,
2013-05-10,,4,
2013-05-17,,4,
2013-05-24,,4,
2013-05-31,,4,
2013-06-07,,4,
2013-06-14,,4,
2013-06-21,,4,
2013-06-28,,4,
2013-07-05,,4,
2013-07-12,,4,
2013-07-19,,4,
2013-07-26,,4,
2013-08-02,,4,
2013-08-09,,4,
2013-08-16,,4,
2013-08-23,,4,
2013-08-30,,4,
2013-09-06,,4,
2013-09-13,,4,
2013-09-20,,4,
2013-09-27,,4,
2013-10-04,,4,
2013-10-11,,4,
2013-10-18,,4,
2013-10-25,,4,
2013-11-01,,4,
2013-11-08,,4,
2013-11-15,,4,
2013-11-22,,4,
2013-11-29,,4,
2013-12-06,,4,
2013-12-13,,4,
2013-12-20,,4,
2013-12-27,,4,
2014-01-03,,4,
2014-01-10,,4,
2014-01-17,,4,
2014-01-24,,4,
2014-01-31,,4,
2014-02-07,,4,
2014-02-14,,4,
2014-02-21,,4,
2014-02-28,,4,
2014-03-07,,4,
2014-03-14,,4,
2014-03-21,,4,
2014-03-28,,4,
2014-04-04,,4,
2014-04-11,,4,
2014-04-25,,4,
2014-05-02,,4,
2014-05-09,,4,
2014-05-16,,4,
2014-05-23,,4,
2014-05-30,,4,
2014-06-06,,4,
2014-06-13,,4,
2014-06-20,,4,
2014-06-27,,4,
2014-07-11,,4,
2014-07-18,,4,
2014-07-25,,4,
2014-08-01,,4,
2014-08-08,,4,
2014-08-15,,4,
2014-08-22,,4,
2014-08-29,,4,
2014-09-05,,4,
2014-09-12,,4,
2014-09-19,,4,
2014-09-26,,4,
2014-10-03,,4,
2014-10-10,,4,
2014-10-17,,4,
2014-10-24,,4,
2014-10-31,,4,
2014-11-07,,4,
2014-11-14,,4,
2014-11-21,,4,
2014-11-28,,4,
2014-12-05,,4,
2014-12-12,,4,
2014-12-19,,4,
2014-12-26,,4,
2015-01-02,,4,
2015-01-09,,4,
2015-01-16,,4,
2015-01-23,,4,
2015-01-30,,4,
2015-02-06,,4,
