,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4958,AAPL,2001-07-02,3,5,3,3,4,1,3
4957,AAPL,2001-07-03,3,5,3,3,4,1,3
4956,AAPL,2001-07-05,3,5,3,3,4,1,3
4955,AAPL,2001-07-06,3,5,3,3,4,1,3
4954,AAPL,2001-07-09,3,5,3,3,4,1,3
4953,AAPL,2001-07-10,3,5,3,3,4,1,3
4952,AAPL,2001-07-11,3,5,3,3,4,1,3
4951,AAPL,2001-07-12,3,5,3,3,4,1,3
4950,AAPL,2001-07-13,3,5,3,3,4,1,3
4949,AAPL,2001-07-16,3,5,3,3,4,1,3
4948,AAPL,2001-07-17,3,5,3,3,4,1,3
4947,AAPL,2001-07-18,3,5,3,3,4,1,3
4946,AAPL,2001-07-19,3,5,3,3,4,1,3
4945,AAPL,2001-07-20,3,5,3,3,4,1,3
4944,AAPL,2001-07-23,3,5,3,3,4,1,3
4943,AAPL,2001-07-24,3,5,3,3,4,1,3
4942,AAPL,2001-07-25,3,5,3,3,4,1,3
4941,AAPL,2001-07-26,3,5,3,3,4,1,3
4940,AAPL,2001-07-27,3,5,3,3,4,1,3
4939,AAPL,2001-07-30,3,5,3,3,4,1,3
4938,AAPL,2001-07-31,3,5,3,3,4,1,3
4937,AAPL,2001-08-01,3,5,3,3,4,1,3
4936,AAPL,2001-08-02,3,5,3,3,4,1,3
4935,AAPL,2001-08-03,3,5,3,3,4,1,3
4934,AAPL,2001-08-06,3,5,3,3,4,1,3
4933,AAPL,2001-08-07,3,5,3,3,4,1,3
4932,AAPL,2001-08-08,3,5,3,3,4,1,3
4931,AAPL,2001-08-09,3,5,3,3,4,1,3
4930,AAPL,2001-08-10,3,5,3,3,4,1,3
4929,AAPL,2001-08-13,3,5,3,3,4,1,3
4928,AAPL,2001-08-14,3,5,3,3,4,1,3
4927,AAPL,2001-08-15,3,5,3,3,4,1,3
4926,AAPL,2001-08-16,3,5,3,3,4,1,3
4925,AAPL,2001-08-17,3,5,3,3,4,1,3
4924,AAPL,2001-08-20,3,5,3,3,4,1,3
4923,AAPL,2001-08-21,3,5,3,3,4,1,3
4922,AAPL,2001-08-22,3,5,3,3,4,1,3
4921,AAPL,2001-08-23,3,5,3,3,4,1,3
4920,AAPL,2001-08-24,3,5,3,3,4,1,3
4919,AAPL,2001-08-27,3,5,3,3,4,1,3
4918,AAPL,2001-08-28,3,5,3,3,4,1,3
4917,AAPL,2001-08-29,3,5,3,3,4,1,3
4916,AAPL,2001-08-30,3,5,3,3,4,1,3
4915,AAPL,2001-08-31,3,5,3,3,4,1,3
4914,AAPL,2001-09-04,3,5,3,3,4,1,3
4913,AAPL,2001-09-05,3,5,3,3,4,1,3
4912,AAPL,2001-09-06,3,5,3,3,4,1,3
4911,AAPL,2001-09-07,3,5,3,3,4,1,3
4910,AAPL,2001-09-10,3,5,3,3,4,1,3
4909,AAPL,2001-09-17,3,5,3,3,4,1,3
4908,AAPL,2001-09-18,3,5,3,3,4,1,3
4907,AAPL,2001-09-19,3,5,3,3,4,1,3
4906,AAPL,2001-09-20,3,5,3,3,4,1,3
4905,AAPL,2001-09-21,3,5,3,3,4,1,3
4904,AAPL,2001-09-24,3,5,3,3,4,1,3
4903,AAPL,2001-09-25,3,5,3,3,4,1,3
4902,AAPL,2001-09-26,3,5,3,3,4,1,3
4901,AAPL,2001-09-27,3,5,3,3,4,1,3
4900,AAPL,2001-09-28,3,5,3,3,4,1,3
4899,AAPL,2001-10-01,4,5,3,3,4,5,3
