,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
2002,ABBV,2013-04-01,5,4,5,3,5,5,5
2001,ABBV,2013-04-02,5,4,5,3,5,5,5
2000,ABBV,2013-04-03,5,4,5,3,5,5,5
1999,ABBV,2013-04-04,5,4,5,3,5,5,5
1998,ABBV,2013-04-05,5,4,5,3,5,5,5
1997,ABBV,2013-04-08,5,4,5,3,5,5,5
1996,ABBV,2013-04-09,5,4,5,3,5,5,5
1995,ABBV,2013-04-10,5,4,5,3,5,5,5
1994,ABBV,2013-04-11,5,4,5,3,5,5,5
1993,ABBV,2013-04-12,5,4,5,3,5,5,5
1992,ABBV,2013-04-15,5,4,5,3,5,5,5
1991,ABBV,2013-04-16,5,4,5,3,5,5,5
1990,ABBV,2013-04-17,5,4,5,3,5,5,5
1989,ABBV,2013-04-18,5,4,5,3,5,5,5
1988,ABBV,2013-04-19,5,4,5,3,5,5,5
1987,ABBV,2013-04-22,5,4,5,3,5,5,5
1986,ABBV,2013-04-23,5,4,5,3,5,5,5
1985,ABBV,2013-04-24,5,4,5,3,5,5,5
1984,ABBV,2013-04-25,5,4,5,3,5,5,5
1983,ABBV,2013-04-26,5,4,5,3,5,5,5
1982,ABBV,2013-04-29,5,4,5,3,5,5,5
1981,ABBV,2013-04-30,5,4,5,3,5,5,5
1980,ABBV,2013-05-01,5,4,5,3,5,5,5
1979,ABBV,2013-05-02,5,4,5,3,5,5,5
1978,ABBV,2013-05-03,5,4,5,3,5,5,5
1977,ABBV,2013-05-06,5,4,5,3,5,5,5
1976,ABBV,2013-05-07,5,4,5,3,5,5,5
1975,ABBV,2013-05-08,5,4,5,3,5,5,5
1974,ABBV,2013-05-09,5,4,5,3,5,5,5
1973,ABBV,2013-05-10,5,4,5,3,5,5,5
1972,ABBV,2013-05-13,5,4,5,3,5,5,5
1971,ABBV,2013-05-14,5,4,5,3,5,5,5
1970,ABBV,2013-05-15,5,4,5,3,5,5,5
1969,ABBV,2013-05-16,5,4,5,3,5,5,5
1968,ABBV,2013-05-17,5,4,5,3,5,5,5
1967,ABBV,2013-05-20,5,4,5,3,5,5,5
1966,ABBV,2013-05-21,5,4,5,3,5,5,5
1965,ABBV,2013-05-22,5,4,5,3,5,5,5
1964,ABBV,2013-05-23,5,4,5,3,5,5,5
1963,ABBV,2013-05-24,5,4,5,3,5,5,5
1962,ABBV,2013-05-28,5,4,5,3,5,5,5
1961,ABBV,2013-05-29,5,4,5,3,5,5,5
1960,ABBV,2013-05-30,5,4,5,3,5,5,5
1959,ABBV,2013-05-31,5,4,5,3,5,5,5
1958,ABBV,2013-06-03,5,4,5,3,5,5,5
1957,ABBV,2013-06-04,5,4,5,3,5,5,5
1956,ABBV,2013-06-05,5,4,5,3,5,5,5
1955,ABBV,2013-06-06,5,4,5,3,5,5,5
1954,ABBV,2013-06-07,5,4,5,3,5,5,5
1953,ABBV,2013-06-10,5,4,5,3,5,5,5
1952,ABBV,2013-06-11,5,4,5,3,5,5,5
1951,ABBV,2013-06-12,5,4,5,3,5,5,5
1950,ABBV,2013-06-13,5,4,5,3,5,5,5
1949,ABBV,2013-06-14,5,4,5,3,5,5,5
1948,ABBV,2013-06-17,5,4,5,3,5,5,5
1947,ABBV,2013-06-18,5,4,5,3,5,5,5
1946,ABBV,2013-06-19,5,4,5,3,5,5,5
1945,ABBV,2013-06-20,5,4,5,3,5,5,5
1944,ABBV,2013-06-21,5,4,5,3,5,5,5
1943,ABBV,2013-06-24,5,4,5,3,5,5,5
1942,ABBV,2013-06-25,5,4,5,3,5,5,5
1941,ABBV,2013-06-26,5,4,5,3,5,5,5
1940,ABBV,2013-06-27,5,4,5,3,5,5,5
1939,ABBV,2013-06-28,5,4,5,3,5,5,5
1938,ABBV,2013-07-01,5,4,4,3,5,5,5
1937,ABBV,2013-07-02,5,4,4,3,5,5,5
1936,ABBV,2013-07-03,5,4,4,3,5,5,5
1935,ABBV,2013-07-05,5,4,4,3,5,5,5
1934,ABBV,2013-07-08,5,4,4,3,5,5,5
1933,ABBV,2013-07-09,5,4,4,3,5,5,5
1932,ABBV,2013-07-10,5,4,4,3,5,5,5
1931,ABBV,2013-07-11,5,4,4,3,5,5,5
1930,ABBV,2013-07-12,5,4,4,3,5,5,5
1929,ABBV,2013-07-15,5,4,4,3,5,5,5
1928,ABBV,2013-07-16,5,4,4,3,5,5,5
1927,ABBV,2013-07-17,5,4,4,3,5,5,5
1926,ABBV,2013-07-18,5,4,4,3,5,5,5
1925,ABBV,2013-07-19,5,4,4,3,5,5,5
1924,ABBV,2013-07-22,5,4,4,3,5,5,5
1923,ABBV,2013-07-23,5,4,4,3,5,5,5
1922,ABBV,2013-07-24,5,4,4,3,5,5,5
1921,ABBV,2013-07-25,5,4,4,3,5,5,5
1920,ABBV,2013-07-26,5,4,4,3,5,5,5
1919,ABBV,2013-07-29,5,4,4,3,5,5,5
1918,ABBV,2013-07-30,5,4,4,3,5,5,5
1917,ABBV,2013-07-31,5,4,4,3,5,5,5
1916,ABBV,2013-08-01,5,4,4,3,5,5,5
1915,ABBV,2013-08-02,5,4,4,3,5,5,5
1914,ABBV,2013-08-05,5,4,4,3,5,5,5
1913,ABBV,2013-08-06,5,4,4,3,5,5,5
1912,ABBV,2013-08-07,5,4,4,3,5,5,5
1911,ABBV,2013-08-08,5,4,4,3,5,5,5
1910,ABBV,2013-08-09,5,4,4,3,5,5,5
1909,ABBV,2013-08-12,5,4,4,3,5,5,5
1908,ABBV,2013-08-13,5,4,4,3,5,5,5
1907,ABBV,2013-08-14,5,4,4,3,5,5,5
1906,ABBV,2013-08-15,5,4,4,3,5,5,5
1905,ABBV,2013-08-16,5,4,4,3,5,5,5
1904,ABBV,2013-08-19,5,4,4,3,5,5,5
1903,ABBV,2013-08-20,5,4,4,3,5,5,5
1902,ABBV,2013-08-21,5,4,4,3,5,5,5
1901,ABBV,2013-08-22,5,4,4,3,5,5,5
1900,ABBV,2013-08-23,5,4,4,3,5,5,5
1899,ABBV,2013-08-26,5,4,4,3,5,5,5
1898,ABBV,2013-08-27,5,4,4,3,5,5,5
1897,ABBV,2013-08-28,5,4,4,3,5,5,5
1896,ABBV,2013-08-29,5,4,4,3,5,5,5
1895,ABBV,2013-08-30,5,4,4,3,5,5,5
1894,ABBV,2013-09-03,5,4,4,3,5,5,5
1893,ABBV,2013-09-04,5,4,4,3,5,5,5
1892,ABBV,2013-09-05,5,4,4,3,5,5,5
