,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4978,ABT,2001-04-02,3,5,3,3,3,1,1
4977,ABT,2001-04-03,3,5,3,3,3,1,1
4976,ABT,2001-04-04,3,5,3,3,3,1,1
4975,ABT,2001-04-05,3,5,3,3,3,1,1
4974,ABT,2001-04-06,3,5,3,3,3,1,1
4973,ABT,2001-04-09,3,5,3,3,3,1,1
4972,ABT,2001-04-10,3,5,3,3,3,1,1
4971,ABT,2001-04-11,3,5,3,3,3,1,1
4970,ABT,2001-04-12,3,5,3,3,3,1,1
4969,ABT,2001-04-16,3,5,3,3,3,1,1
4968,ABT,2001-04-17,3,5,3,3,3,1,1
4967,ABT,2001-04-18,3,5,3,3,3,1,1
4966,ABT,2001-04-19,3,5,3,3,3,1,1
4965,ABT,2001-04-20,3,5,3,3,3,1,1
4964,ABT,2001-04-23,3,5,3,3,3,1,1
4963,ABT,2001-04-24,3,5,3,3,3,1,1
4962,ABT,2001-04-25,3,5,3,3,3,1,1
4961,ABT,2001-04-26,3,5,3,3,3,1,1
4960,ABT,2001-04-27,3,5,3,3,3,1,1
4959,ABT,2001-04-30,3,5,3,3,3,1,1
4958,ABT,2001-05-01,3,5,3,3,3,1,1
4957,ABT,2001-05-02,3,5,3,3,3,1,1
4956,ABT,2001-05-03,3,5,3,3,3,1,1
4955,ABT,2001-05-04,3,5,3,3,3,1,1
4954,ABT,2001-05-07,3,5,3,3,3,1,1
4953,ABT,2001-05-08,3,5,3,3,3,1,1
4952,ABT,2001-05-09,3,5,3,3,3,1,1
4951,ABT,2001-05-10,3,5,3,3,3,1,1
4950,ABT,2001-05-11,3,5,3,3,3,1,1
4949,ABT,2001-05-14,3,5,3,3,3,1,1
4948,ABT,2001-05-15,3,5,3,3,3,1,1
4947,ABT,2001-05-16,3,5,3,3,3,1,1
4946,ABT,2001-05-17,3,5,3,3,3,1,1
4945,ABT,2001-05-18,3,5,3,3,3,1,1
4944,ABT,2001-05-21,3,5,3,3,3,1,1
4943,ABT,2001-05-22,3,5,3,3,3,1,1
4942,ABT,2001-05-23,3,5,3,3,3,1,1
4941,ABT,2001-05-24,3,5,3,3,3,1,1
4940,ABT,2001-05-25,3,5,3,3,3,1,1
4939,ABT,2001-05-29,3,5,3,3,3,1,1
4938,ABT,2001-05-30,3,5,3,3,3,1,1
4937,ABT,2001-05-31,3,5,3,3,3,1,1
4936,ABT,2001-06-01,3,5,3,3,3,1,1
4935,ABT,2001-06-04,3,5,3,3,3,1,1
4934,ABT,2001-06-05,3,5,3,3,3,1,1
4933,ABT,2001-06-06,3,5,3,3,3,1,1
4932,ABT,2001-06-07,3,5,3,3,3,1,1
4931,ABT,2001-06-08,3,5,3,3,3,1,1
4930,ABT,2001-06-11,3,5,3,3,3,1,1
4929,ABT,2001-06-12,3,5,3,3,3,1,1
4928,ABT,2001-06-13,3,5,3,3,3,1,1
4927,ABT,2001-06-14,3,5,3,3,3,1,1
4926,ABT,2001-06-15,3,5,3,3,3,1,1
4925,ABT,2001-06-18,3,5,3,3,3,1,1
4924,ABT,2001-06-19,3,5,3,3,3,1,1
4923,ABT,2001-06-20,3,5,3,3,3,1,1
4922,ABT,2001-06-21,3,5,3,3,3,1,1
4921,ABT,2001-06-22,3,5,3,3,3,1,1
4920,ABT,2001-06-25,3,5,3,3,3,1,1
4919,ABT,2001-06-26,3,5,3,3,3,1,1
4918,ABT,2001-06-27,3,5,3,3,3,1,1
4917,ABT,2001-06-28,3,5,3,3,3,1,1
4916,ABT,2001-06-29,3,5,3,3,3,1,1
4915,ABT,2001-07-02,3,5,3,3,3,1,1
4914,ABT,2001-07-03,3,5,3,3,3,1,1
4913,ABT,2001-07-05,3,5,3,3,3,1,1
4912,ABT,2001-07-06,3,5,3,3,3,1,1
4911,ABT,2001-07-09,3,5,3,3,3,1,1
4910,ABT,2001-07-10,3,5,3,3,3,1,1
4909,ABT,2001-07-11,3,5,3,3,3,1,1
4908,ABT,2001-07-12,3,5,3,3,3,1,1
4907,ABT,2001-07-13,3,5,3,3,3,1,1
4906,ABT,2001-07-16,3,5,3,3,3,1,1
4905,ABT,2001-07-17,3,5,3,3,3,1,1
4904,ABT,2001-07-18,3,5,3,3,3,1,1
4903,ABT,2001-07-19,3,5,3,3,3,1,1
4902,ABT,2001-07-20,3,5,3,3,3,1,1
4901,ABT,2001-07-23,3,5,3,3,3,1,1
4900,ABT,2001-07-24,3,5,3,3,3,1,1
4899,ABT,2001-07-25,3,5,3,3,3,1,1
4898,ABT,2001-07-26,3,5,3,3,3,1,1
4897,ABT,2001-07-27,3,5,3,3,3,1,1
4896,ABT,2001-07-30,3,5,3,3,3,1,1
4895,ABT,2001-07-31,3,5,3,3,3,1,1
4894,ABT,2001-08-01,3,5,3,3,3,1,1
4893,ABT,2001-08-02,3,5,3,3,3,1,1
4892,ABT,2001-08-03,3,5,3,3,3,1,1
4891,ABT,2001-08-06,3,5,3,3,3,1,1
4890,ABT,2001-08-07,3,5,3,3,3,1,1
4889,ABT,2001-08-08,3,5,3,3,3,1,1
4888,ABT,2001-08-09,3,5,3,3,3,1,1
4887,ABT,2001-08-10,3,5,3,3,3,1,1
4886,ABT,2001-08-13,3,5,3,3,3,1,1
4885,ABT,2001-08-14,3,5,3,3,3,1,1
4884,ABT,2001-08-15,3,5,3,3,3,1,1
4883,ABT,2001-08-16,3,5,3,3,3,1,1
4882,ABT,2001-08-17,3,5,3,3,3,1,1
4881,ABT,2001-08-20,3,5,3,3,3,1,1
4880,ABT,2001-08-21,3,5,3,3,3,1,1
4879,ABT,2001-08-22,3,5,3,3,3,1,1
