,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
2778,ACN,2009-11-30,5,4,4,3,5,5,5
2777,ACN,2009-12-01,5,4,4,3,5,5,5
2776,ACN,2009-12-02,5,4,4,3,5,5,5
2775,ACN,2009-12-03,5,4,4,3,5,5,5
2774,ACN,2009-12-04,5,4,4,3,5,5,5
2773,ACN,2009-12-07,5,4,4,3,5,5,5
2772,ACN,2009-12-08,5,4,4,3,5,5,5
2771,ACN,2009-12-09,5,4,4,3,5,5,5
2770,ACN,2009-12-10,5,4,4,3,5,5,5
2769,ACN,2009-12-11,5,4,4,3,5,5,5
2768,ACN,2009-12-14,5,4,4,3,5,5,5
2767,ACN,2009-12-15,5,4,4,3,5,5,5
2766,ACN,2009-12-16,5,4,4,3,5,5,5
2765,ACN,2009-12-17,5,4,4,3,5,5,5
2764,ACN,2009-12-18,5,4,4,3,5,5,5
2763,ACN,2009-12-21,5,4,4,3,5,5,5
2762,ACN,2009-12-22,5,4,4,3,5,5,5
2761,ACN,2009-12-23,5,4,4,3,5,5,5
2760,ACN,2009-12-24,5,4,4,3,5,5,5
2759,ACN,2009-12-28,5,4,4,3,5,5,5
2758,ACN,2009-12-29,5,4,4,3,5,5,5
2757,ACN,2009-12-30,5,4,4,3,5,5,5
2756,ACN,2009-12-31,5,4,4,3,5,5,5
2755,ACN,2010-01-04,5,4,4,3,5,5,5
2754,ACN,2010-01-05,5,4,4,3,5,5,5
2753,ACN,2010-01-06,5,4,4,3,5,5,5
2752,ACN,2010-01-07,5,4,4,3,5,5,5
2751,ACN,2010-01-08,5,4,4,3,5,5,5
2750,ACN,2010-01-11,5,4,4,3,5,5,5
2749,ACN,2010-01-12,5,4,4,3,5,5,5
2748,ACN,2010-01-13,5,4,4,3,5,5,5
2747,ACN,2010-01-14,5,4,4,3,5,5,5
2746,ACN,2010-01-15,5,4,4,3,5,5,5
2745,ACN,2010-01-19,5,4,4,3,5,5,5
2744,ACN,2010-01-20,5,4,4,3,5,5,5
2743,ACN,2010-01-21,5,4,4,3,5,5,5
2742,ACN,2010-01-22,5,4,4,3,5,5,5
2741,ACN,2010-01-25,5,4,4,3,5,5,5
2740,ACN,2010-01-26,5,4,4,3,5,5,5
2739,ACN,2010-01-27,5,4,4,3,5,5,5
2738,ACN,2010-01-28,5,4,4,3,5,5,5
2737,ACN,2010-01-29,5,4,4,3,5,5,5
2736,ACN,2010-02-01,5,4,4,3,5,5,5
2735,ACN,2010-02-02,5,4,4,3,5,5,5
2734,ACN,2010-02-03,5,4,4,3,5,5,5
2733,ACN,2010-02-04,5,4,4,3,5,5,5
2732,ACN,2010-02-05,5,4,4,3,5,5,5
2731,ACN,2010-02-08,5,4,4,3,5,5,5
2730,ACN,2010-02-09,5,4,4,3,5,5,5
2729,ACN,2010-02-10,5,4,4,3,5,5,5
2728,ACN,2010-02-11,5,4,4,3,5,5,5
2727,ACN,2010-02-12,5,4,4,3,5,5,5
2726,ACN,2010-02-16,5,4,4,3,5,5,5
2725,ACN,2010-02-17,5,4,4,3,5,5,5
2724,ACN,2010-02-18,5,4,4,3,5,5,5
2723,ACN,2010-02-19,5,4,4,3,5,5,5
2722,ACN,2010-02-22,5,4,4,3,5,5,5
2721,ACN,2010-02-23,5,4,4,3,5,5,5
2720,ACN,2010-02-24,5,4,4,3,5,5,5
2719,ACN,2010-02-25,5,4,4,3,5,5,5
2718,ACN,2010-02-26,5,4,4,3,5,5,5
2717,ACN,2010-03-01,5,4,5,4,5,5,5
2716,ACN,2010-03-02,5,4,5,4,5,5,5
2715,ACN,2010-03-03,5,4,5,4,5,5,5
2714,ACN,2010-03-04,5,4,5,4,5,5,5
2713,ACN,2010-03-05,5,4,5,4,5,5,5
2712,ACN,2010-03-08,5,4,5,4,5,5,5
2711,ACN,2010-03-09,5,4,5,4,5,5,5
2710,ACN,2010-03-10,5,4,5,4,5,5,5
2709,ACN,2010-03-11,5,4,5,4,5,5,5
2708,ACN,2010-03-12,5,4,5,4,5,5,5
2707,ACN,2010-03-15,5,4,5,4,5,5,5
2706,ACN,2010-03-16,5,4,5,4,5,5,5
2705,ACN,2010-03-17,5,4,5,4,5,5,5
2704,ACN,2010-03-18,5,4,5,4,5,5,5
2703,ACN,2010-03-19,5,4,5,4,5,5,5
2702,ACN,2010-03-22,5,4,5,4,5,5,5
2701,ACN,2010-03-23,5,4,5,4,5,5,5
2700,ACN,2010-03-24,5,4,5,4,5,5,5
2699,ACN,2010-03-25,5,4,5,4,5,5,5
2698,ACN,2010-03-26,5,4,5,4,5,5,5
2697,ACN,2010-03-29,5,4,5,4,5,5,5
2696,ACN,2010-03-30,5,4,5,4,5,5,5
2695,ACN,2010-03-31,5,4,5,4,5,5,5
2694,ACN,2010-04-01,5,4,5,4,5,5,5
2693,ACN,2010-04-05,5,4,5,4,5,5,5
2692,ACN,2010-04-06,5,4,5,4,5,5,5
2691,ACN,2010-04-07,5,4,5,4,5,5,5
2690,ACN,2010-04-08,5,4,5,4,5,5,5
2689,ACN,2010-04-09,5,4,5,4,5,5,5
2688,ACN,2010-04-12,5,4,5,4,5,5,5
2687,ACN,2010-04-13,5,4,5,4,5,5,5
2686,ACN,2010-04-14,5,4,5,4,5,5,5
2685,ACN,2010-04-15,5,4,5,4,5,5,5
2684,ACN,2010-04-16,5,4,5,4,5,5,5
2683,ACN,2010-04-19,5,4,5,4,5,5,5
2682,ACN,2010-04-20,5,4,5,4,5,5,5
2681,ACN,2010-04-21,5,4,5,4,5,5,5
2680,ACN,2010-04-22,5,4,5,4,5,5,5
2679,ACN,2010-04-23,5,4,5,4,5,5,5
2678,ACN,2010-04-26,5,4,5,4,5,5,5
2677,ACN,2010-04-27,5,4,5,4,5,5,5
2676,ACN,2010-04-28,5,4,5,4,5,5,5
2675,ACN,2010-04-29,5,4,5,4,5,5,5
2674,ACN,2010-04-30,5,4,5,4,5,5,5
2673,ACN,2010-05-03,5,4,5,4,5,5,5
2672,ACN,2010-05-04,5,4,5,4,5,5,5
2671,ACN,2010-05-05,5,4,5,4,5,5,5
2670,ACN,2010-05-06,5,4,5,4,5,5,5
2669,ACN,2010-05-07,5,4,5,4,5,5,5
2668,ACN,2010-05-10,5,4,5,4,5,5,5
2667,ACN,2010-05-11,5,4,5,4,5,5,5
2666,ACN,2010-05-12,5,4,5,4,5,5,5
2665,ACN,2010-05-13,5,4,5,4,5,5,5
2664,ACN,2010-05-14,5,4,5,4,5,5,5
2663,ACN,2010-05-17,5,4,5,4,5,5,5
2662,ACN,2010-05-18,5,4,5,4,5,5,5
2661,ACN,2010-05-19,5,4,5,4,5,5,5
2660,ACN,2010-05-20,5,4,5,4,5,5,5
2659,ACN,2010-05-21,5,4,5,4,5,5,5
2658,ACN,2010-05-24,5,4,5,4,5,5,5
2657,ACN,2010-05-25,5,4,5,4,5,5,5
2656,ACN,2010-05-26,5,4,5,4,5,5,5
2655,ACN,2010-05-27,5,4,5,4,5,5,5
2654,ACN,2010-05-28,5,4,5,4,5,5,5
2653,ACN,2010-06-01,5,4,4,3,5,5,5
2652,ACN,2010-06-02,5,4,4,3,5,5,5
2651,ACN,2010-06-03,5,4,4,3,5,5,5
2650,ACN,2010-06-04,5,4,4,3,5,5,5
2649,ACN,2010-06-07,5,4,4,3,5,5,5
2648,ACN,2010-06-08,5,4,4,3,5,5,5
2647,ACN,2010-06-09,5,4,4,3,5,5,5
2646,ACN,2010-06-10,5,4,4,3,5,5,5
2645,ACN,2010-06-11,5,4,4,3,5,5,5
2644,ACN,2010-06-14,5,4,4,3,5,5,5
2643,ACN,2010-06-15,5,4,4,3,5,5,5
2642,ACN,2010-06-16,5,4,4,3,5,5,5
2641,ACN,2010-06-17,5,4,4,3,5,5,5
2640,ACN,2010-06-18,5,4,4,3,5,5,5
2639,ACN,2010-06-21,5,4,4,3,5,5,5
2638,ACN,2010-06-22,5,4,4,3,5,5,5
