,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4999,ADBE,2001-05-03,3,5,3,3,3,2,3
4998,ADBE,2001-05-04,3,5,3,3,3,2,3
4997,ADBE,2001-05-07,3,5,3,3,3,2,3
4996,ADBE,2001-05-08,3,5,3,3,3,2,3
4995,ADBE,2001-05-09,3,5,3,3,3,2,3
4994,ADBE,2001-05-10,3,5,3,3,3,2,3
4993,ADBE,2001-05-11,3,5,3,3,3,2,3
4992,ADBE,2001-05-14,3,5,3,3,3,2,3
4991,ADBE,2001-05-15,3,5,3,3,3,2,3
4990,ADBE,2001-05-16,3,5,3,3,3,2,3
4989,ADBE,2001-05-17,3,5,3,3,3,2,3
4988,ADBE,2001-05-18,3,5,3,3,3,2,3
4987,ADBE,2001-05-21,3,5,3,3,3,2,3
4986,ADBE,2001-05-22,3,5,3,3,3,2,3
4985,ADBE,2001-05-23,3,5,3,3,3,2,3
4984,ADBE,2001-05-24,3,5,3,3,3,2,3
4983,ADBE,2001-05-25,3,5,3,3,3,2,3
4982,ADBE,2001-05-29,3,5,3,3,3,2,3
4981,ADBE,2001-05-30,3,5,3,3,3,2,3
4980,ADBE,2001-05-31,3,5,3,3,3,2,3
4979,ADBE,2001-06-01,3,5,3,3,3,2,3
4978,ADBE,2001-06-04,4,5,3,3,3,3,3
4977,ADBE,2001-06-05,4,5,3,3,3,3,3
4976,ADBE,2001-06-06,4,5,3,3,3,3,3
4975,ADBE,2001-06-07,4,5,3,3,3,3,3
4974,ADBE,2001-06-08,4,5,3,3,3,3,3
4973,ADBE,2001-06-11,4,5,3,3,3,3,3
4972,ADBE,2001-06-12,4,5,3,3,3,3,3
4971,ADBE,2001-06-13,4,5,3,3,3,3,3
4970,ADBE,2001-06-14,4,5,3,3,3,3,3
4969,ADBE,2001-06-15,4,5,3,3,3,3,3
4968,ADBE,2001-06-18,4,5,3,3,3,3,3
4967,ADBE,2001-06-19,4,5,3,3,3,3,3
4966,ADBE,2001-06-20,4,5,3,3,3,3,3
4965,ADBE,2001-06-21,4,5,3,3,3,3,3
4964,ADBE,2001-06-22,4,5,3,3,3,3,3
4963,ADBE,2001-06-25,4,5,3,3,3,3,3
4962,ADBE,2001-06-26,4,5,3,3,3,3,3
4961,ADBE,2001-06-27,4,5,3,3,3,3,3
4960,ADBE,2001-06-28,4,5,3,3,3,3,3
4959,ADBE,2001-06-29,4,5,3,3,3,3,3
4958,ADBE,2001-07-02,4,5,3,3,3,3,3
4957,ADBE,2001-07-03,4,5,3,3,3,3,3
4956,ADBE,2001-07-05,4,5,3,3,3,3,3
4955,ADBE,2001-07-06,4,5,3,3,3,3,3
4954,ADBE,2001-07-09,4,5,3,3,3,3,3
4953,ADBE,2001-07-10,4,5,3,3,3,3,3
4952,ADBE,2001-07-11,4,5,3,3,3,3,3
4951,ADBE,2001-07-12,4,5,3,3,3,3,3
4950,ADBE,2001-07-13,4,5,3,3,3,3,3
4949,ADBE,2001-07-16,4,5,3,3,3,3,3
4948,ADBE,2001-07-17,4,5,3,3,3,3,3
4947,ADBE,2001-07-18,4,5,3,3,3,3,3
4946,ADBE,2001-07-19,4,5,3,3,3,3,3
4945,ADBE,2001-07-20,4,5,3,3,3,3,3
4944,ADBE,2001-07-23,4,5,3,3,3,3,3
4943,ADBE,2001-07-24,4,5,3,3,3,3,3
4942,ADBE,2001-07-25,4,5,3,3,3,3,3
4941,ADBE,2001-07-26,4,5,3,3,3,3,3
4940,ADBE,2001-07-27,4,5,3,3,3,3,3
4939,ADBE,2001-07-30,4,5,3,3,3,3,3
4938,ADBE,2001-07-31,4,5,3,3,3,3,3
4937,ADBE,2001-08-01,4,5,3,3,3,3,3
4936,ADBE,2001-08-02,4,5,3,3,3,3,3
4935,ADBE,2001-08-03,4,5,3,3,3,3,3
4934,ADBE,2001-08-06,4,5,3,3,3,3,3
4933,ADBE,2001-08-07,4,5,3,3,3,3,3
4932,ADBE,2001-08-08,4,5,3,3,3,3,3
4931,ADBE,2001-08-09,4,5,3,3,3,3,3
4930,ADBE,2001-08-10,4,5,3,3,3,3,3
4929,ADBE,2001-08-13,4,5,3,3,3,3,3
4928,ADBE,2001-08-14,4,5,3,3,3,3,3
4927,ADBE,2001-08-15,4,5,3,3,3,3,3
4926,ADBE,2001-08-16,4,5,3,3,3,3,3
4925,ADBE,2001-08-17,4,5,3,3,3,3,3
4924,ADBE,2001-08-20,4,5,3,3,3,3,3
4923,ADBE,2001-08-21,4,5,3,3,3,3,3
4922,ADBE,2001-08-22,4,5,3,3,3,3,3
4921,ADBE,2001-08-23,4,5,3,3,3,3,3
4920,ADBE,2001-08-24,4,5,3,3,3,3,3
4919,ADBE,2001-08-27,4,5,3,3,3,3,3
4918,ADBE,2001-08-28,4,5,3,3,3,3,3
4917,ADBE,2001-08-29,4,5,3,3,3,3,3
4916,ADBE,2001-08-30,4,5,3,3,3,3,3
4915,ADBE,2001-08-31,4,5,3,3,3,3,3
4914,ADBE,2001-09-04,5,5,4,4,3,5,5
4913,ADBE,2001-09-05,5,5,4,4,3,5,5
4912,ADBE,2001-09-06,5,5,4,4,3,5,5
4911,ADBE,2001-09-07,5,5,4,4,3,5,5
4910,ADBE,2001-09-10,5,5,4,4,3,5,5
4909,ADBE,2001-09-17,5,5,4,4,3,5,5
4908,ADBE,2001-09-18,5,5,4,4,3,5,5
4907,ADBE,2001-09-19,5,5,4,4,3,5,5
4906,ADBE,2001-09-20,5,5,4,4,3,5,5
4905,ADBE,2001-09-21,5,5,4,4,3,5,5
4904,ADBE,2001-09-24,5,5,4,4,3,5,5
4903,ADBE,2001-09-25,5,5,4,4,3,5,5
4902,ADBE,2001-09-26,5,5,4,4,3,5,5
4901,ADBE,2001-09-27,5,5,4,4,3,5,5
4900,ADBE,2001-09-28,5,5,4,4,3,5,5
4899,ADBE,2001-10-01,5,5,4,4,3,5,5
