,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4642,AMGN,2002-09-30,4,3,3,3,3,5,5
4641,AMGN,2002-10-01,4,3,3,3,3,5,5
4640,AMGN,2002-10-02,4,3,3,3,3,5,5
4639,AMGN,2002-10-03,4,3,3,3,3,5,5
4638,AMGN,2002-10-04,4,3,3,3,3,5,5
4637,AMGN,2002-10-07,4,3,3,3,3,5,5
4636,AMGN,2002-10-08,4,3,3,3,3,5,5
4635,AMGN,2002-10-09,4,3,3,3,3,5,5
4634,AMGN,2002-10-10,4,3,3,3,3,5,5
4633,AMGN,2002-10-11,4,3,3,3,3,5,5
4632,AMGN,2002-10-14,4,3,3,3,3,5,5
4631,AMGN,2002-10-15,4,3,3,3,3,5,5
4630,AMGN,2002-10-16,4,3,3,3,3,5,5
4629,AMGN,2002-10-17,4,3,3,3,3,5,5
4628,AMGN,2002-10-18,4,3,3,3,3,5,5
4627,AMGN,2002-10-21,4,3,3,3,3,5,5
4626,AMGN,2002-10-22,4,3,3,3,3,5,5
4625,AMGN,2002-10-23,4,3,3,3,3,5,5
4624,AMGN,2002-10-24,4,3,3,3,3,5,5
4623,AMGN,2002-10-25,4,3,3,3,3,5,5
4622,AMGN,2002-10-28,4,3,3,3,3,5,5
4621,AMGN,2002-10-29,4,3,3,3,3,5,5
4620,AMGN,2002-10-30,4,3,3,3,3,5,5
4619,AMGN,2002-10-31,4,3,3,3,3,5,5
4618,AMGN,2002-11-01,4,3,3,3,3,5,5
4617,AMGN,2002-11-04,4,3,3,3,3,5,5
4616,AMGN,2002-11-05,4,3,3,3,3,5,5
4615,AMGN,2002-11-06,4,3,3,3,3,5,5
4614,AMGN,2002-11-07,4,3,3,3,3,5,5
4613,AMGN,2002-11-08,4,3,3,3,3,5,5
4612,AMGN,2002-11-11,4,3,3,3,3,5,5
4611,AMGN,2002-11-12,4,3,3,3,3,5,5
4610,AMGN,2002-11-13,4,3,3,3,3,5,5
4609,AMGN,2002-11-14,4,3,3,3,3,5,5
4608,AMGN,2002-11-15,4,3,3,3,3,5,5
4607,AMGN,2002-11-18,4,3,3,3,3,5,5
4606,AMGN,2002-11-19,4,3,3,3,3,5,5
4605,AMGN,2002-11-20,4,3,3,3,3,5,5
4604,AMGN,2002-11-21,4,3,3,3,3,5,5
4603,AMGN,2002-11-22,4,3,3,3,3,5,5
4602,AMGN,2002-11-25,4,3,3,3,3,5,5
4601,AMGN,2002-11-26,4,3,3,3,3,5,5
4600,AMGN,2002-11-27,4,3,3,3,3,5,5
4599,AMGN,2002-11-29,4,3,3,3,3,5,5
4598,AMGN,2002-12-02,4,3,3,3,3,5,5
4597,AMGN,2002-12-03,4,3,3,3,3,5,5
4596,AMGN,2002-12-04,4,3,3,3,3,5,5
4595,AMGN,2002-12-05,4,3,3,3,3,5,5
4594,AMGN,2002-12-06,4,3,3,3,3,5,5
4593,AMGN,2002-12-09,4,3,3,3,3,5,5
4592,AMGN,2002-12-10,4,3,3,3,3,5,5
4591,AMGN,2002-12-11,4,3,3,3,3,5,5
4590,AMGN,2002-12-12,4,3,3,3,3,5,5
4589,AMGN,2002-12-13,4,3,3,3,3,5,5
4588,AMGN,2002-12-16,4,3,3,3,3,5,5
4587,AMGN,2002-12-17,4,3,3,3,3,5,5
4586,AMGN,2002-12-18,4,3,3,3,3,5,5
4585,AMGN,2002-12-19,4,3,3,3,3,5,5
4584,AMGN,2002-12-20,4,3,3,3,3,5,5
4583,AMGN,2002-12-23,4,3,3,3,3,5,5
4582,AMGN,2002-12-24,4,3,3,3,3,5,5
4581,AMGN,2002-12-26,4,3,3,3,3,5,5
4580,AMGN,2002-12-27,4,3,3,3,3,5,5
4579,AMGN,2002-12-30,4,3,3,3,3,5,5
4578,AMGN,2002-12-31,4,3,3,3,3,5,5
4577,AMGN,2003-01-02,4,3,3,3,3,5,5
4576,AMGN,2003-01-03,4,3,3,3,3,5,5
4575,AMGN,2003-01-06,4,3,3,3,3,5,5
4574,AMGN,2003-01-07,4,3,3,3,3,5,5
4573,AMGN,2003-01-08,4,3,3,3,3,5,5
4572,AMGN,2003-01-09,4,3,3,3,3,5,5
4571,AMGN,2003-01-10,4,3,3,3,3,5,5
4570,AMGN,2003-01-13,4,3,3,3,3,5,5
4569,AMGN,2003-01-14,4,3,3,3,3,5,5
4568,AMGN,2003-01-15,4,3,3,3,3,5,5
4567,AMGN,2003-01-16,4,3,3,3,3,5,5
4566,AMGN,2003-01-17,4,3,3,3,3,5,5
4565,AMGN,2003-01-21,4,3,3,3,3,5,5
4564,AMGN,2003-01-22,4,3,3,3,3,5,5
4563,AMGN,2003-01-23,4,3,3,3,3,5,5
4562,AMGN,2003-01-24,4,3,3,3,3,5,5
4561,AMGN,2003-01-27,4,3,3,3,3,5,5
4560,AMGN,2003-01-28,4,3,3,3,3,5,5
4559,AMGN,2003-01-29,4,3,3,3,3,5,5
4558,AMGN,2003-01-30,4,3,3,3,3,5,5
4557,AMGN,2003-01-31,4,3,3,3,3,5,5
4556,AMGN,2003-02-03,4,3,3,3,3,5,5
4555,AMGN,2003-02-04,4,3,3,3,3,5,5
4554,AMGN,2003-02-05,4,3,3,3,3,5,5
4553,AMGN,2003-02-06,4,3,3,3,3,5,5
4552,AMGN,2003-02-07,4,3,3,3,3,5,5
4551,AMGN,2003-02-10,4,3,3,3,3,5,5
4550,AMGN,2003-02-11,4,3,3,3,3,5,5
4549,AMGN,2003-02-12,4,3,3,3,3,5,5
4548,AMGN,2003-02-13,4,3,3,3,3,5,5
4547,AMGN,2003-02-14,4,3,3,3,3,5,5
4546,AMGN,2003-02-18,4,3,3,3,3,5,5
4545,AMGN,2003-02-19,4,3,3,3,3,5,5
4544,AMGN,2003-02-20,4,3,3,3,3,5,5
4543,AMGN,2003-02-21,4,3,3,3,3,5,5
4542,AMGN,2003-02-24,4,3,3,3,3,5,5
4541,AMGN,2003-02-25,4,3,3,3,3,5,5
4540,AMGN,2003-02-26,4,3,3,3,3,5,5
4539,AMGN,2003-02-27,4,3,3,3,3,5,5
4538,AMGN,2003-02-28,4,3,3,3,3,5,5
4537,AMGN,2003-03-03,4,3,3,3,3,5,5
4536,AMGN,2003-03-04,4,3,3,3,3,5,5
4535,AMGN,2003-03-05,4,3,3,3,3,5,5
4534,AMGN,2003-03-06,4,3,3,3,3,5,5
4533,AMGN,2003-03-07,4,3,3,3,3,5,5
4532,AMGN,2003-03-10,4,3,3,3,3,5,5
4531,AMGN,2003-03-11,4,3,3,3,3,5,5
4530,AMGN,2003-03-12,4,3,3,3,3,5,5
4529,AMGN,2003-03-13,4,3,3,3,3,5,5
4528,AMGN,2003-03-14,4,3,3,3,3,5,5
4527,AMGN,2003-03-17,4,3,3,3,3,5,5
4526,AMGN,2003-03-18,4,3,3,3,3,5,5
4525,AMGN,2003-03-19,4,3,3,3,3,5,5
4524,AMGN,2003-03-20,4,3,3,3,3,5,5
4523,AMGN,2003-03-21,4,3,3,3,3,5,5
4522,AMGN,2003-03-24,4,3,3,3,3,5,5
4521,AMGN,2003-03-25,4,3,3,3,3,5,5
4520,AMGN,2003-03-26,4,3,3,3,3,5,5
4519,AMGN,2003-03-27,4,3,3,3,3,5,5
4518,AMGN,2003-03-28,4,3,3,3,3,5,5
4517,AMGN,2003-03-31,4,3,3,3,3,5,5
4516,AMGN,2003-04-01,4,3,3,3,3,5,5
4515,AMGN,2003-04-02,4,3,3,3,3,5,5
