,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4954,AMZN,2001-07-02,3,4,4,2,2,3,3
4953,AMZN,2001-07-03,3,4,4,2,2,3,3
4952,AMZN,2001-07-05,3,4,4,2,2,3,3
4951,AMZN,2001-07-06,3,4,4,2,2,3,3
4950,AMZN,2001-07-09,3,4,4,2,2,3,3
4949,AMZN,2001-07-10,3,4,4,2,2,3,3
4948,AMZN,2001-07-11,3,4,4,2,2,3,3
4947,AMZN,2001-07-12,3,4,4,2,2,3,3
4946,AMZN,2001-07-13,3,4,4,2,2,3,3
4945,AMZN,2001-07-16,3,4,4,2,2,3,3
4944,AMZN,2001-07-17,3,4,4,2,2,3,3
4943,AMZN,2001-07-18,3,4,4,2,2,3,3
4942,AMZN,2001-07-19,3,4,4,2,2,3,3
4941,AMZN,2001-07-20,3,4,4,2,2,3,3
4940,AMZN,2001-07-23,3,4,4,2,2,3,3
4939,AMZN,2001-07-24,3,4,4,2,2,3,3
4938,AMZN,2001-07-25,3,4,4,2,2,3,3
4937,AMZN,2001-07-26,3,4,4,2,2,3,3
4936,AMZN,2001-07-27,3,4,4,2,2,3,3
4935,AMZN,2001-07-30,3,4,4,2,2,3,3
4934,AMZN,2001-07-31,3,4,4,2,2,3,3
4933,AMZN,2001-08-01,3,4,4,2,2,3,3
4932,AMZN,2001-08-02,3,4,4,2,2,3,3
4931,AMZN,2001-08-03,3,4,4,2,2,3,3
4930,AMZN,2001-08-06,3,4,4,2,2,3,3
4929,AMZN,2001-08-07,3,4,4,2,2,3,3
4928,AMZN,2001-08-08,3,4,4,2,2,3,3
4927,AMZN,2001-08-09,3,4,4,2,2,3,3
4926,AMZN,2001-08-10,3,4,4,2,2,3,3
4925,AMZN,2001-08-13,3,4,4,2,2,3,3
4924,AMZN,2001-08-14,3,4,4,2,2,3,3
4923,AMZN,2001-08-15,3,4,4,2,2,3,3
4922,AMZN,2001-08-16,3,4,4,2,2,3,3
4921,AMZN,2001-08-17,3,4,4,2,2,3,3
4920,AMZN,2001-08-20,3,4,4,2,2,3,3
4919,AMZN,2001-08-21,3,4,4,2,2,3,3
4918,AMZN,2001-08-22,3,4,4,2,2,3,3
4917,AMZN,2001-08-23,3,4,4,2,2,3,3
4916,AMZN,2001-08-24,3,4,4,2,2,3,3
4915,AMZN,2001-08-27,3,4,4,2,2,3,3
4914,AMZN,2001-08-28,3,4,4,2,2,3,3
4913,AMZN,2001-08-29,3,4,4,2,2,3,3
4912,AMZN,2001-08-30,3,4,4,2,2,3,3
4911,AMZN,2001-08-31,3,4,4,2,2,3,3
4910,AMZN,2001-09-04,3,4,4,2,2,3,3
4909,AMZN,2001-09-05,3,4,4,2,2,3,3
4908,AMZN,2001-09-06,3,4,4,2,2,3,3
4907,AMZN,2001-09-07,3,4,4,2,2,3,3
4906,AMZN,2001-09-10,3,4,4,2,2,3,3
4905,AMZN,2001-09-17,3,4,4,2,2,3,3
4904,AMZN,2001-09-18,3,4,4,2,2,3,3
4903,AMZN,2001-09-19,3,4,4,2,2,3,3
4902,AMZN,2001-09-20,3,4,4,2,2,3,3
4901,AMZN,2001-09-21,3,4,4,2,2,3,3
4900,AMZN,2001-09-24,3,4,4,2,2,3,3
4899,AMZN,2001-09-25,3,4,4,2,2,3,3
4898,AMZN,2001-09-26,3,4,4,2,2,3,3
4897,AMZN,2001-09-27,3,4,4,2,2,3,3
4896,AMZN,2001-09-28,3,4,4,2,2,3,3
4895,AMZN,2001-10-01,3,4,3,3,2,4,3
4894,AMZN,2001-10-02,3,4,3,3,2,4,3
