,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
654,AVGO,2018-05-07,4,4,3,3,4,5,5
653,AVGO,2018-05-08,4,4,3,3,4,5,5
652,AVGO,2018-05-09,4,4,3,3,4,5,5
651,AVGO,2018-05-10,4,4,3,3,4,5,5
650,AVGO,2018-05-11,4,4,3,3,4,5,5
649,AVGO,2018-05-14,4,4,3,3,4,5,5
648,AVGO,2018-05-15,4,4,3,3,4,5,5
647,AVGO,2018-05-16,4,4,3,3,4,5,5
646,AVGO,2018-05-17,4,4,3,3,4,5,5
645,AVGO,2018-05-18,4,4,3,3,4,5,5
644,AVGO,2018-05-21,4,4,3,3,4,5,5
643,AVGO,2018-05-22,4,4,3,3,4,5,5
642,AVGO,2018-05-23,4,4,3,3,4,5,5
641,AVGO,2018-05-24,4,4,3,3,4,5,5
640,AVGO,2018-05-25,4,4,3,3,4,5,5
639,AVGO,2018-05-29,4,4,3,3,4,5,5
638,AVGO,2018-05-30,4,4,3,3,4,5,5
637,AVGO,2018-05-31,4,4,3,3,4,5,5
636,AVGO,2018-06-01,4,4,3,3,4,5,5
635,AVGO,2018-06-04,4,4,3,3,4,5,5
634,AVGO,2018-06-05,4,4,3,3,4,5,5
633,AVGO,2018-06-06,4,4,3,3,4,5,5
632,AVGO,2018-06-07,4,4,3,3,4,5,5
631,AVGO,2018-06-08,4,4,3,3,4,5,5
630,AVGO,2018-06-11,4,4,3,3,4,5,5
629,AVGO,2018-06-12,4,4,3,3,4,5,5
628,AVGO,2018-06-13,4,4,3,3,4,5,5
627,AVGO,2018-06-14,4,4,3,3,4,5,5
626,AVGO,2018-06-15,4,4,3,3,4,5,5
625,AVGO,2018-06-18,4,4,3,3,4,5,5
624,AVGO,2018-06-19,4,4,3,3,4,5,5
623,AVGO,2018-06-20,4,4,3,3,4,5,5
622,AVGO,2018-06-21,4,4,3,3,4,5,5
621,AVGO,2018-06-22,4,4,3,3,4,5,5
620,AVGO,2018-06-25,4,4,3,3,4,5,5
619,AVGO,2018-06-26,4,4,3,3,4,5,5
618,AVGO,2018-06-27,4,4,3,3,4,5,5
617,AVGO,2018-06-28,4,4,3,3,4,5,5
616,AVGO,2018-06-29,4,4,3,3,4,5,5
615,AVGO,2018-07-02,4,4,3,3,4,5,5
614,AVGO,2018-07-03,4,4,3,3,4,5,5
613,AVGO,2018-07-05,4,4,3,3,4,5,5
612,AVGO,2018-07-06,4,4,3,3,4,5,5
611,AVGO,2018-07-09,4,4,3,3,4,5,5
610,AVGO,2018-07-10,4,4,3,3,4,5,5
609,AVGO,2018-07-11,4,4,3,3,4,5,5
608,AVGO,2018-07-12,4,4,3,3,4,5,5
607,AVGO,2018-07-13,4,4,3,3,4,5,5
606,AVGO,2018-07-16,4,4,3,3,4,5,5
605,AVGO,2018-07-17,4,4,3,3,4,5,5
604,AVGO,2018-07-18,4,4,3,3,4,5,5
603,AVGO,2018-07-19,4,4,3,3,4,5,5
602,AVGO,2018-07-20,4,4,3,3,4,5,5
601,AVGO,2018-07-23,4,4,3,3,4,5,5
600,AVGO,2018-07-24,4,4,3,3,4,5,5
599,AVGO,2018-07-25,4,4,3,3,4,5,5
598,AVGO,2018-07-26,4,4,3,3,4,5,5
597,AVGO,2018-07-27,4,4,3,3,4,5,5
596,AVGO,2018-07-30,4,4,3,3,4,5,5
595,AVGO,2018-07-31,4,4,3,3,4,5,5
594,AVGO,2018-08-01,4,4,3,3,4,5,5
593,AVGO,2018-08-02,4,4,3,3,4,5,5
592,AVGO,2018-08-03,4,4,3,3,4,5,5
591,AVGO,2018-08-06,4,3,3,3,4,5,5
590,AVGO,2018-08-07,4,3,3,3,4,5,5
589,AVGO,2018-08-08,4,3,3,3,4,5,5
588,AVGO,2018-08-09,4,3,3,3,4,5,5
587,AVGO,2018-08-10,4,3,3,3,4,5,5
586,AVGO,2018-08-13,4,3,3,3,4,5,5
585,AVGO,2018-08-14,4,3,3,3,4,5,5
584,AVGO,2018-08-15,4,3,3,3,4,5,5
583,AVGO,2018-08-16,4,3,3,3,4,5,5
582,AVGO,2018-08-17,4,3,3,3,4,5,5
581,AVGO,2018-08-20,4,3,3,3,4,5,5
580,AVGO,2018-08-21,4,3,3,3,4,5,5
579,AVGO,2018-08-22,4,3,3,3,4,5,5
578,AVGO,2018-08-23,4,3,3,3,4,5,5
577,AVGO,2018-08-24,4,3,3,3,4,5,5
576,AVGO,2018-08-27,4,3,3,3,4,5,5
575,AVGO,2018-08-28,4,3,3,3,4,5,5
574,AVGO,2018-08-29,4,3,3,3,4,5,5
573,AVGO,2018-08-30,4,3,3,3,4,5,5
572,AVGO,2018-08-31,4,3,3,3,4,5,5
571,AVGO,2018-09-04,4,3,3,3,4,5,5
570,AVGO,2018-09-05,4,3,3,3,4,5,5
569,AVGO,2018-09-06,4,3,3,3,4,5,5
568,AVGO,2018-09-07,4,3,3,3,4,5,5
567,AVGO,2018-09-10,4,3,3,3,4,5,5
566,AVGO,2018-09-11,4,3,3,3,4,5,5
565,AVGO,2018-09-12,4,3,3,3,4,5,5
564,AVGO,2018-09-13,4,3,3,3,4,5,5
563,AVGO,2018-09-14,4,3,3,3,4,5,5
562,AVGO,2018-09-17,4,3,3,3,4,5,5
561,AVGO,2018-09-18,4,3,3,3,4,5,5
560,AVGO,2018-09-19,4,3,3,3,4,5,5
559,AVGO,2018-09-20,4,3,3,3,4,5,5
558,AVGO,2018-09-21,4,3,3,3,4,5,5
557,AVGO,2018-09-24,4,3,3,3,4,5,5
556,AVGO,2018-09-25,4,3,3,3,4,5,5
555,AVGO,2018-09-26,4,3,3,3,4,5,5
554,AVGO,2018-09-27,4,3,3,3,4,5,5
553,AVGO,2018-09-28,4,3,3,3,4,5,5
552,AVGO,2018-10-01,4,3,3,3,4,5,5
551,AVGO,2018-10-02,4,3,3,3,4,5,5
550,AVGO,2018-10-03,4,3,3,3,4,5,5
549,AVGO,2018-10-04,4,3,3,3,4,5,5
548,AVGO,2018-10-05,4,3,3,3,4,5,5
547,AVGO,2018-10-08,4,3,3,3,4,5,5
546,AVGO,2018-10-09,4,3,3,3,4,5,5
545,AVGO,2018-10-10,4,3,3,3,4,5,5
544,AVGO,2018-10-11,4,3,3,3,4,5,5
543,AVGO,2018-10-12,4,3,3,3,4,5,5
542,AVGO,2018-10-15,4,3,3,3,4,5,5
541,AVGO,2018-10-16,4,3,3,3,4,5,5
540,AVGO,2018-10-17,4,3,3,3,4,5,5
539,AVGO,2018-10-18,4,3,3,3,4,5,5
538,AVGO,2018-10-19,4,3,3,3,4,5,5
537,AVGO,2018-10-22,4,3,3,3,4,5,5
536,AVGO,2018-10-23,4,3,3,3,4,5,5
535,AVGO,2018-10-24,4,3,3,3,4,5,5
534,AVGO,2018-10-25,4,3,3,3,4,5,5
533,AVGO,2018-10-26,4,3,3,3,4,5,5
532,AVGO,2018-10-29,4,3,3,3,4,5,5
531,AVGO,2018-10-30,4,3,3,3,4,5,5
530,AVGO,2018-10-31,4,3,3,3,4,5,5
529,AVGO,2018-11-01,4,3,3,3,4,5,5
528,AVGO,2018-11-02,4,3,3,3,4,5,5
527,AVGO,2018-11-05,4,3,3,3,5,5,5
526,AVGO,2018-11-06,4,3,3,3,5,5,5
525,AVGO,2018-11-07,4,3,3,3,5,5,5
524,AVGO,2018-11-08,4,3,3,3,5,5,5
523,AVGO,2018-11-09,4,3,3,3,5,5,5
522,AVGO,2018-11-12,4,3,3,3,5,5,5
521,AVGO,2018-11-13,4,3,3,3,5,5,5
520,AVGO,2018-11-14,4,3,3,3,5,5,5
519,AVGO,2018-11-15,4,3,3,3,5,5,5
518,AVGO,2018-11-16,4,3,3,3,5,5,5
517,AVGO,2018-11-19,4,3,3,3,5,5,5
516,AVGO,2018-11-20,4,3,3,3,5,5,5
515,AVGO,2018-11-21,4,3,3,3,5,5,5
514,AVGO,2018-11-23,4,3,3,3,5,5,5
513,AVGO,2018-11-26,4,3,3,3,5,5,5
512,AVGO,2018-11-27,4,3,3,3,5,5,5
511,AVGO,2018-11-28,4,3,3,3,5,5,5
510,AVGO,2018-11-29,4,3,3,3,5,5,5
509,AVGO,2018-11-30,4,3,3,3,5,5,5
508,AVGO,2018-12-03,4,3,3,3,5,5,5
507,AVGO,2018-12-04,4,3,3,3,5,5,5
506,AVGO,2018-12-06,4,3,3,3,5,5,5
505,AVGO,2018-12-07,4,3,3,3,5,5,5
504,AVGO,2018-12-10,4,3,3,3,5,5,5
503,AVGO,2018-12-11,4,3,3,3,5,5,5
502,AVGO,2018-12-12,4,3,3,3,5,5,5
501,AVGO,2018-12-13,4,3,3,3,5,5,5
