,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4644,BAC,2002-09-30,4,5,3,3,4,5,3
4643,BAC,2002-10-01,4,5,3,3,4,5,3
4642,BAC,2002-10-02,4,5,3,3,4,5,3
4641,BAC,2002-10-03,4,5,3,3,4,5,3
4640,BAC,2002-10-04,4,5,3,3,4,5,3
4639,BAC,2002-10-07,4,5,3,3,4,5,3
4638,BAC,2002-10-08,4,5,3,3,4,5,3
4637,BAC,2002-10-09,4,5,3,3,4,5,3
4636,BAC,2002-10-10,4,5,3,3,4,5,3
4635,BAC,2002-10-11,4,5,3,3,4,5,3
4634,BAC,2002-10-14,4,5,3,3,4,5,3
4633,BAC,2002-10-15,4,5,3,3,4,5,3
4632,BAC,2002-10-16,4,5,3,3,4,5,3
4631,BAC,2002-10-17,4,5,3,3,4,5,3
4630,BAC,2002-10-18,4,5,3,3,4,5,3
4629,BAC,2002-10-21,4,5,3,3,4,5,3
4628,BAC,2002-10-22,4,5,3,3,4,5,3
4627,BAC,2002-10-23,4,5,3,3,4,5,3
4626,BAC,2002-10-24,4,5,3,3,4,5,3
4625,BAC,2002-10-25,4,5,3,3,4,5,3
4624,BAC,2002-10-28,4,5,3,3,4,5,3
4623,BAC,2002-10-29,4,5,3,3,4,5,3
4622,BAC,2002-10-30,4,5,3,3,4,5,3
4621,BAC,2002-10-31,4,5,3,3,4,5,3
4620,BAC,2002-11-01,4,5,3,3,4,5,3
4619,BAC,2002-11-04,4,5,3,3,4,5,3
4618,BAC,2002-11-05,4,5,3,3,4,5,3
4617,BAC,2002-11-06,4,5,3,3,4,5,3
4616,BAC,2002-11-07,4,5,3,3,4,5,3
4615,BAC,2002-11-08,4,5,3,3,4,5,3
4614,BAC,2002-11-11,4,5,3,3,4,5,3
4613,BAC,2002-11-12,4,5,3,3,4,5,3
4612,BAC,2002-11-13,4,5,3,3,4,5,3
4611,BAC,2002-11-14,4,5,3,3,4,5,3
4610,BAC,2002-11-15,4,5,3,3,4,5,3
4609,BAC,2002-11-18,4,5,3,3,4,5,3
4608,BAC,2002-11-19,4,5,3,3,4,5,3
4607,BAC,2002-11-20,4,5,3,3,4,5,3
4606,BAC,2002-11-21,4,5,3,3,4,5,3
4605,BAC,2002-11-22,4,5,3,3,4,5,3
4604,BAC,2002-11-25,4,5,3,3,4,5,3
4603,BAC,2002-11-26,4,5,3,3,4,5,3
4602,BAC,2002-11-27,4,5,3,3,4,5,3
4601,BAC,2002-11-29,4,5,3,3,4,5,3
4600,BAC,2002-12-02,4,5,3,3,4,5,3
4599,BAC,2002-12-03,4,5,3,3,4,5,3
4598,BAC,2002-12-04,4,5,3,3,4,5,3
4597,BAC,2002-12-05,4,5,3,3,4,5,3
4596,BAC,2002-12-06,4,5,3,3,4,5,3
4595,BAC,2002-12-09,4,5,3,3,4,5,3
4594,BAC,2002-12-10,4,5,3,3,4,5,3
4593,BAC,2002-12-11,4,5,3,3,4,5,3
4592,BAC,2002-12-12,4,5,3,3,4,5,3
4591,BAC,2002-12-13,4,5,3,3,4,5,3
4590,BAC,2002-12-16,4,5,3,3,4,5,3
4589,BAC,2002-12-17,4,5,3,3,4,5,3
4588,BAC,2002-12-18,4,5,3,3,4,5,3
4587,BAC,2002-12-19,4,5,3,3,4,5,3
4586,BAC,2002-12-20,4,5,3,3,4,5,3
4585,BAC,2002-12-23,4,5,3,3,4,5,3
4584,BAC,2002-12-24,4,5,3,3,4,5,3
4583,BAC,2002-12-26,4,5,3,3,4,5,3
4582,BAC,2002-12-27,4,5,3,3,4,5,3
4581,BAC,2002-12-30,4,5,3,3,4,5,3
4580,BAC,2002-12-31,4,5,3,3,4,5,3
4579,BAC,2003-01-02,5,5,3,3,5,5,5
4578,BAC,2003-01-03,5,5,3,3,5,5,5
4577,BAC,2003-01-06,5,5,3,3,5,5,5
4576,BAC,2003-01-07,5,5,3,3,5,5,5
4575,BAC,2003-01-08,5,5,3,3,5,5,5
4574,BAC,2003-01-09,5,5,3,3,5,5,5
4573,BAC,2003-01-10,5,5,3,3,5,5,5
4572,BAC,2003-01-13,5,5,3,3,5,5,5
4571,BAC,2003-01-14,5,5,3,3,5,5,5
4570,BAC,2003-01-15,5,5,3,3,5,5,5
4569,BAC,2003-01-16,5,5,3,3,5,5,5
4568,BAC,2003-01-17,5,5,3,3,5,5,5
4567,BAC,2003-01-21,5,5,3,3,5,5,5
4566,BAC,2003-01-22,5,5,3,3,5,5,5
4565,BAC,2003-01-23,5,5,3,3,5,5,5
4564,BAC,2003-01-24,5,5,3,3,5,5,5
4563,BAC,2003-01-27,5,5,3,3,5,5,5
4562,BAC,2003-01-28,5,5,3,3,5,5,5
4561,BAC,2003-01-29,5,5,3,3,5,5,5
4560,BAC,2003-01-30,5,5,3,3,5,5,5
4559,BAC,2003-01-31,5,5,3,3,5,5,5
4558,BAC,2003-02-03,5,5,3,3,5,5,5
4557,BAC,2003-02-04,5,5,3,3,5,5,5
4556,BAC,2003-02-05,5,5,3,3,5,5,5
4555,BAC,2003-02-06,5,5,3,3,5,5,5
4554,BAC,2003-02-07,5,5,3,3,5,5,5
4553,BAC,2003-02-10,5,5,3,3,5,5,5
4552,BAC,2003-02-11,5,5,3,3,5,5,5
4551,BAC,2003-02-12,5,5,3,3,5,5,5
4550,BAC,2003-02-13,5,5,3,3,5,5,5
4549,BAC,2003-02-14,5,5,3,3,5,5,5
4548,BAC,2003-02-18,5,5,3,3,5,5,5
4547,BAC,2003-02-19,5,5,3,3,5,5,5
4546,BAC,2003-02-20,5,5,3,3,5,5,5
4545,BAC,2003-02-21,5,5,3,3,5,5,5
4544,BAC,2003-02-24,5,5,3,3,5,5,5
4543,BAC,2003-02-25,5,5,3,3,5,5,5
4542,BAC,2003-02-26,5,5,3,3,5,5,5
4541,BAC,2003-02-27,5,5,3,3,5,5,5
4540,BAC,2003-02-28,5,5,3,3,5,5,5
4539,BAC,2003-03-03,5,5,3,3,5,5,5
4538,BAC,2003-03-04,5,5,3,3,5,5,5
4537,BAC,2003-03-05,5,5,3,3,5,5,5
4536,BAC,2003-03-06,5,5,3,3,5,5,5
4535,BAC,2003-03-07,5,5,3,3,5,5,5
4534,BAC,2003-03-10,5,5,3,3,5,5,5
4533,BAC,2003-03-11,5,5,3,3,5,5,5
4532,BAC,2003-03-12,5,5,3,3,5,5,5
4531,BAC,2003-03-13,5,5,3,3,5,5,5
4530,BAC,2003-03-14,5,5,3,3,5,5,5
4529,BAC,2003-03-17,5,5,3,3,5,5,5
4528,BAC,2003-03-18,5,5,3,3,5,5,5
4527,BAC,2003-03-19,5,5,3,3,5,5,5
4526,BAC,2003-03-20,5,5,3,3,5,5,5
4525,BAC,2003-03-21,5,5,3,3,5,5,5
