,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4999,BMY,2001-04-27,4,3,4,3,4,5,5
4998,BMY,2001-04-30,4,3,4,3,4,5,5
4997,BMY,2001-05-01,4,3,4,3,4,5,5
4996,BMY,2001-05-02,4,3,4,3,4,5,5
4995,BMY,2001-05-03,4,3,4,3,4,5,5
4994,BMY,2001-05-04,4,3,4,3,4,5,5
4993,BMY,2001-05-07,4,3,4,3,4,5,5
4992,BMY,2001-05-08,4,3,4,3,4,5,5
4991,BMY,2001-05-09,4,3,4,3,4,5,5
4990,BMY,2001-05-10,4,3,4,3,4,5,5
4989,BMY,2001-05-11,4,3,4,3,4,5,5
4988,BMY,2001-05-14,4,3,4,3,4,5,5
4987,BMY,2001-05-15,4,3,4,3,4,5,5
4986,BMY,2001-05-16,4,3,4,3,4,5,5
4985,BMY,2001-05-17,4,3,4,3,4,5,5
4984,BMY,2001-05-18,4,3,4,3,4,5,5
4983,BMY,2001-05-21,4,3,4,3,4,5,5
4982,BMY,2001-05-22,4,3,4,3,4,5,5
4981,BMY,2001-05-23,4,3,4,3,4,5,5
4980,BMY,2001-05-24,4,3,4,3,4,5,5
4979,BMY,2001-05-25,4,3,4,3,4,5,5
4978,BMY,2001-05-29,4,3,4,3,4,5,5
4977,BMY,2001-05-30,4,3,4,3,4,5,5
4976,BMY,2001-05-31,4,3,4,3,4,5,5
4975,BMY,2001-06-01,4,3,4,3,4,5,5
4974,BMY,2001-06-04,4,3,4,3,4,5,5
4973,BMY,2001-06-05,4,3,4,3,4,5,5
4972,BMY,2001-06-06,4,3,4,3,4,5,5
4971,BMY,2001-06-07,4,3,4,3,4,5,5
4970,BMY,2001-06-08,4,3,4,3,4,5,5
4969,BMY,2001-06-11,4,3,4,3,4,5,5
4968,BMY,2001-06-12,4,3,4,3,4,5,5
4967,BMY,2001-06-13,4,3,4,3,4,5,5
4966,BMY,2001-06-14,4,3,4,3,4,5,5
4965,BMY,2001-06-15,4,3,4,3,4,5,5
4964,BMY,2001-06-18,4,3,4,3,4,5,5
4963,BMY,2001-06-19,4,3,4,3,4,5,5
4962,BMY,2001-06-20,4,3,4,3,4,5,5
4961,BMY,2001-06-21,4,3,4,3,4,5,5
4960,BMY,2001-06-22,4,3,4,3,4,5,5
4959,BMY,2001-06-25,4,3,4,3,4,5,5
4958,BMY,2001-06-26,4,3,4,3,4,5,5
4957,BMY,2001-06-27,4,3,4,3,4,5,5
4956,BMY,2001-06-28,4,3,4,3,4,5,5
4955,BMY,2001-06-29,4,3,4,3,4,5,5
4954,BMY,2001-07-02,4,3,4,3,4,5,5
4953,BMY,2001-07-03,4,3,4,3,4,5,5
4952,BMY,2001-07-05,4,3,4,3,4,5,5
4951,BMY,2001-07-06,4,3,4,3,4,5,5
4950,BMY,2001-07-09,4,3,4,3,4,5,5
4949,BMY,2001-07-10,4,3,4,3,4,5,5
4948,BMY,2001-07-11,4,3,4,3,4,5,5
4947,BMY,2001-07-12,4,3,4,3,4,5,5
4946,BMY,2001-07-13,4,3,4,3,4,5,5
4945,BMY,2001-07-16,4,3,4,3,4,5,5
4944,BMY,2001-07-17,4,3,4,3,4,5,5
4943,BMY,2001-07-18,4,3,4,3,4,5,5
4942,BMY,2001-07-19,4,3,4,3,4,5,5
4941,BMY,2001-07-20,4,3,4,3,4,5,5
4940,BMY,2001-07-23,4,3,4,3,4,5,5
4939,BMY,2001-07-24,4,3,4,3,4,5,5
4938,BMY,2001-07-25,4,3,4,3,4,5,5
4937,BMY,2001-07-26,4,3,4,3,4,5,5
4936,BMY,2001-07-27,4,3,4,3,4,5,5
4935,BMY,2001-07-30,4,3,4,3,4,5,5
4934,BMY,2001-07-31,4,3,4,3,4,5,5
4933,BMY,2001-08-01,4,3,4,3,4,5,5
4932,BMY,2001-08-02,4,3,4,3,4,5,5
4931,BMY,2001-08-03,4,3,4,3,4,5,5
4930,BMY,2001-08-06,4,3,4,3,4,5,5
4929,BMY,2001-08-07,4,3,4,3,4,5,5
4928,BMY,2001-08-08,4,3,4,3,4,5,5
4927,BMY,2001-08-09,4,3,4,3,4,5,5
4926,BMY,2001-08-10,4,3,4,3,4,5,5
4925,BMY,2001-08-13,4,3,4,3,4,5,5
4924,BMY,2001-08-14,4,3,4,3,4,5,5
4923,BMY,2001-08-15,4,3,4,3,4,5,5
4922,BMY,2001-08-16,4,3,4,3,4,5,5
4921,BMY,2001-08-17,4,3,4,3,4,5,5
4920,BMY,2001-08-20,4,3,4,3,4,5,5
4919,BMY,2001-08-21,4,3,4,3,4,5,5
4918,BMY,2001-08-22,4,3,4,3,4,5,5
4917,BMY,2001-08-23,4,3,4,3,4,5,5
4916,BMY,2001-08-24,4,3,4,3,4,5,5
4915,BMY,2001-08-27,4,3,4,3,4,5,5
4914,BMY,2001-08-28,4,3,4,3,4,5,5
4913,BMY,2001-08-29,4,3,4,3,4,5,5
4912,BMY,2001-08-30,4,3,4,3,4,5,5
4911,BMY,2001-08-31,4,3,4,3,4,5,5
4910,BMY,2001-09-04,4,3,4,3,4,5,5
4909,BMY,2001-09-05,4,3,4,3,4,5,5
4908,BMY,2001-09-06,4,3,4,3,4,5,5
4907,BMY,2001-09-07,4,3,4,3,4,5,5
4906,BMY,2001-09-10,4,3,4,3,4,5,5
4905,BMY,2001-09-17,4,3,4,3,4,5,5
4904,BMY,2001-09-18,4,3,4,3,4,5,5
4903,BMY,2001-09-19,4,3,4,3,4,5,5
4902,BMY,2001-09-20,4,3,4,3,4,5,5
4901,BMY,2001-09-21,4,3,4,3,4,5,5
4900,BMY,2001-09-24,4,3,4,3,4,5,5
4899,BMY,2001-09-25,4,3,4,3,4,5,5
4898,BMY,2001-09-26,4,3,4,3,4,5,5
4897,BMY,2001-09-27,4,3,4,3,4,5,5
4896,BMY,2001-09-28,4,3,4,3,4,5,5
4895,BMY,2001-10-01,4,3,4,3,4,5,5
4894,BMY,2001-10-02,4,3,4,3,4,5,5
4893,BMY,2001-10-03,4,3,4,3,4,5,5
4892,BMY,2001-10-04,4,3,4,3,4,5,5
4891,BMY,2001-10-05,4,3,4,3,4,5,5
4890,BMY,2001-10-08,4,3,4,3,4,5,5
4889,BMY,2001-10-09,4,3,4,3,4,5,5
4888,BMY,2001-10-10,4,3,4,3,4,5,5
4887,BMY,2001-10-11,4,3,4,3,4,5,5
4886,BMY,2001-10-12,4,3,4,3,4,5,5
4885,BMY,2001-10-15,4,3,4,3,4,5,5
4884,BMY,2001-10-16,4,3,4,3,4,5,5
4883,BMY,2001-10-17,4,3,4,3,4,5,5
4882,BMY,2001-10-18,4,3,4,3,4,5,5
4881,BMY,2001-10-19,4,3,4,3,4,5,5
4880,BMY,2001-10-22,4,3,4,3,4,5,5
4879,BMY,2001-10-23,4,3,4,3,4,5,5
4878,BMY,2001-10-24,4,3,4,3,4,5,5
4877,BMY,2001-10-25,4,3,4,3,4,5,5
4876,BMY,2001-10-26,4,3,4,3,4,5,5
4875,BMY,2001-10-29,4,3,4,3,4,5,5
4874,BMY,2001-10-30,4,3,4,3,4,5,5
4873,BMY,2001-10-31,4,3,4,3,4,5,5
4872,BMY,2001-11-01,4,3,4,3,4,5,5
4871,BMY,2001-11-02,4,3,4,3,4,5,5
4870,BMY,2001-11-05,4,3,4,3,4,5,5
4869,BMY,2001-11-06,4,3,4,3,4,5,5
4868,BMY,2001-11-07,4,3,4,3,4,5,5
4867,BMY,2001-11-08,4,3,4,3,4,5,5
4866,BMY,2001-11-09,4,3,4,3,4,5,5
4865,BMY,2001-11-12,4,3,4,3,4,5,5
4864,BMY,2001-11-13,4,3,4,3,4,5,5
4863,BMY,2001-11-14,4,3,4,3,4,5,5
4862,BMY,2001-11-15,4,3,4,3,4,5,5
4861,BMY,2001-11-16,4,3,4,3,4,5,5
4860,BMY,2001-11-19,4,3,4,3,4,5,5
4859,BMY,2001-11-20,4,3,4,3,4,5,5
4858,BMY,2001-11-21,4,3,4,3,4,5,5
4857,BMY,2001-11-23,4,3,4,3,4,5,5
4856,BMY,2001-11-26,4,3,4,3,4,5,5
4855,BMY,2001-11-27,4,3,4,3,4,5,5
4854,BMY,2001-11-28,4,3,4,3,4,5,5
4853,BMY,2001-11-29,4,3,4,3,4,5,5
4852,BMY,2001-11-30,4,3,4,3,4,5,5
4851,BMY,2001-12-03,4,3,4,3,4,5,5
4850,BMY,2001-12-04,4,3,4,3,4,5,5
4849,BMY,2001-12-05,4,3,4,3,4,5,5
4848,BMY,2001-12-06,4,3,4,3,4,5,5
4847,BMY,2001-12-07,4,3,4,3,4,5,5
4846,BMY,2001-12-10,4,3,4,3,4,5,5
4845,BMY,2001-12-11,4,3,4,3,4,5,5
4844,BMY,2001-12-12,4,3,4,3,4,5,5
4843,BMY,2001-12-13,4,3,4,3,4,5,5
4842,BMY,2001-12-14,4,3,4,3,4,5,5
