,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
3947,CMCSA,2005-03-31,4,3,3,3,4,5,4
3946,CMCSA,2005-04-01,4,3,3,3,4,5,4
3945,CMCSA,2005-04-04,4,3,3,3,4,5,4
3944,CMCSA,2005-04-05,4,3,3,3,4,5,4
3943,CMCSA,2005-04-06,4,3,3,3,4,5,4
3942,CMCSA,2005-04-07,4,3,3,3,4,5,4
3941,CMCSA,2005-04-08,4,3,3,3,4,5,4
3940,CMCSA,2005-04-11,4,3,3,3,4,5,4
3939,CMCSA,2005-04-12,4,3,3,3,4,5,4
3938,CMCSA,2005-04-13,4,3,3,3,4,5,4
3937,CMCSA,2005-04-14,4,3,3,3,4,5,4
3936,CMCSA,2005-04-15,4,3,3,3,4,5,4
3935,CMCSA,2005-04-18,4,3,3,3,4,5,4
3934,CMCSA,2005-04-19,4,3,3,3,4,5,4
3933,CMCSA,2005-04-20,4,3,3,3,4,5,4
3932,CMCSA,2005-04-21,4,3,3,3,4,5,4
3931,CMCSA,2005-04-22,4,3,3,3,4,5,4
3930,CMCSA,2005-04-25,4,3,3,3,4,5,4
3929,CMCSA,2005-04-26,4,3,3,3,4,5,4
3928,CMCSA,2005-04-27,4,3,3,3,4,5,4
3927,CMCSA,2005-04-28,4,3,3,3,4,5,4
3926,CMCSA,2005-04-29,4,3,3,3,4,5,4
3925,CMCSA,2005-05-02,4,3,3,3,4,5,4
3924,CMCSA,2005-05-03,4,3,3,3,4,5,4
3923,CMCSA,2005-05-04,4,3,3,3,4,5,4
3922,CMCSA,2005-05-05,4,3,3,3,4,5,4
3921,CMCSA,2005-05-06,4,3,3,3,4,5,4
3920,CMCSA,2005-05-09,4,3,3,3,4,5,4
3919,CMCSA,2005-05-10,4,3,3,3,4,5,4
3918,CMCSA,2005-05-11,4,3,3,3,4,5,4
3917,CMCSA,2005-05-12,4,3,3,3,4,5,4
3916,CMCSA,2005-05-13,4,3,3,3,4,5,4
3915,CMCSA,2005-05-16,4,3,3,3,4,5,4
3914,CMCSA,2005-05-17,4,3,3,3,4,5,4
3913,CMCSA,2005-05-18,4,3,3,3,4,5,4
3912,CMCSA,2005-05-19,4,3,3,3,4,5,4
3911,CMCSA,2005-05-20,4,3,3,3,4,5,4
3910,CMCSA,2005-05-23,4,3,3,3,4,5,4
3909,CMCSA,2005-05-24,4,3,3,3,4,5,4
3908,CMCSA,2005-05-25,4,3,3,3,4,5,4
3907,CMCSA,2005-05-26,4,3,3,3,4,5,4
3906,CMCSA,2005-05-27,4,3,3,3,4,5,4
3905,CMCSA,2005-05-31,4,3,3,3,4,5,4
3904,CMCSA,2005-06-01,4,3,3,3,4,5,4
3903,CMCSA,2005-06-02,4,3,3,3,4,5,4
3902,CMCSA,2005-06-03,4,3,3,3,4,5,4
3901,CMCSA,2005-06-06,4,3,3,3,4,5,4
3900,CMCSA,2005-06-07,4,3,3,3,4,5,4
3899,CMCSA,2005-06-08,4,3,3,3,4,5,4
3898,CMCSA,2005-06-09,4,3,3,3,4,5,4
3897,CMCSA,2005-06-10,4,3,3,3,4,5,4
3896,CMCSA,2005-06-13,4,3,3,3,4,5,4
3895,CMCSA,2005-06-14,4,3,3,3,4,5,4
3894,CMCSA,2005-06-15,4,3,3,3,4,5,4
3893,CMCSA,2005-06-16,4,3,3,3,4,5,4
3892,CMCSA,2005-06-17,4,3,3,3,4,5,4
3891,CMCSA,2005-06-20,4,3,3,3,4,5,4
3890,CMCSA,2005-06-21,4,3,3,3,4,5,4
3889,CMCSA,2005-06-22,4,3,3,3,4,5,4
3888,CMCSA,2005-06-23,4,3,3,3,4,5,4
3887,CMCSA,2005-06-24,4,3,3,3,4,5,4
3886,CMCSA,2005-06-27,4,3,3,3,4,5,4
3885,CMCSA,2005-06-28,4,3,3,3,4,5,4
3884,CMCSA,2005-06-29,4,3,3,3,4,5,4
3883,CMCSA,2005-06-30,4,3,3,3,4,5,4
3882,CMCSA,2005-07-01,4,3,3,3,4,5,3
3881,CMCSA,2005-07-05,4,3,3,3,4,5,3
3880,CMCSA,2005-07-06,4,3,3,3,4,5,3
3879,CMCSA,2005-07-07,4,3,3,3,4,5,3
3878,CMCSA,2005-07-08,4,3,3,3,4,5,3
3877,CMCSA,2005-07-11,4,3,3,3,4,5,3
3876,CMCSA,2005-07-12,4,3,3,3,4,5,3
3875,CMCSA,2005-07-13,4,3,3,3,4,5,3
3874,CMCSA,2005-07-14,4,3,3,3,4,5,3
3873,CMCSA,2005-07-15,4,3,3,3,4,5,3
3872,CMCSA,2005-07-18,4,3,3,3,4,5,3
