,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4860,COST,2001-11-26,4,3,3,3,4,5,5
4859,COST,2001-11-27,4,3,3,3,4,5,5
4858,COST,2001-11-28,4,3,3,3,4,5,5
4857,COST,2001-11-29,4,3,3,3,4,5,5
4856,COST,2001-11-30,4,3,3,3,4,5,5
4855,COST,2001-12-03,4,3,3,3,4,5,5
4854,COST,2001-12-04,4,3,3,3,4,5,5
4853,COST,2001-12-05,4,3,3,3,4,5,5
4852,COST,2001-12-06,4,3,3,3,4,5,5
4851,COST,2001-12-07,4,3,3,3,4,5,5
4850,COST,2001-12-10,4,3,3,3,4,5,5
4849,COST,2001-12-11,4,3,3,3,4,5,5
4848,COST,2001-12-12,4,3,3,3,4,5,5
4847,COST,2001-12-13,4,3,3,3,4,5,5
4846,COST,2001-12-14,4,3,3,3,4,5,5
4845,COST,2001-12-17,4,3,3,3,4,5,5
4844,COST,2001-12-18,4,3,3,3,4,5,5
4843,COST,2001-12-19,4,3,3,3,4,5,5
4842,COST,2001-12-20,4,3,3,3,4,5,5
4841,COST,2001-12-21,4,3,3,3,4,5,5
4840,COST,2001-12-24,4,3,3,3,4,5,5
4839,COST,2001-12-26,4,3,3,3,4,5,5
4838,COST,2001-12-27,4,3,3,3,4,5,5
4837,COST,2001-12-28,4,3,3,3,4,5,5
4836,COST,2001-12-31,4,3,3,3,4,5,5
4835,COST,2002-01-02,4,3,3,3,4,5,5
4834,COST,2002-01-03,4,3,3,3,4,5,5
4833,COST,2002-01-04,4,3,3,3,4,5,5
4832,COST,2002-01-07,4,3,3,3,4,5,5
4831,COST,2002-01-08,4,3,3,3,4,5,5
4830,COST,2002-01-09,4,3,3,3,4,5,5
4829,COST,2002-01-10,4,3,3,3,4,5,5
4828,COST,2002-01-11,4,3,3,3,4,5,5
4827,COST,2002-01-14,4,3,3,3,4,5,5
4826,COST,2002-01-15,4,3,3,3,4,5,5
4825,COST,2002-01-16,4,3,3,3,4,5,5
4824,COST,2002-01-17,4,3,3,3,4,5,5
4823,COST,2002-01-18,4,3,3,3,4,5,5
4822,COST,2002-01-22,4,3,3,3,4,5,5
4821,COST,2002-01-23,4,3,3,3,4,5,5
4820,COST,2002-01-24,4,3,3,3,4,5,5
4819,COST,2002-01-25,4,3,3,3,4,5,5
4818,COST,2002-01-28,4,3,3,3,4,5,5
4817,COST,2002-01-29,4,3,3,3,4,5,5
4816,COST,2002-01-30,4,3,3,3,4,5,5
4815,COST,2002-01-31,4,3,3,3,4,5,5
4814,COST,2002-02-01,4,3,3,3,4,5,5
4813,COST,2002-02-04,4,3,3,3,4,5,5
4812,COST,2002-02-05,4,3,3,3,4,5,5
4811,COST,2002-02-06,4,3,3,3,4,5,5
4810,COST,2002-02-07,4,3,3,3,4,5,5
4809,COST,2002-02-08,4,3,3,3,4,5,5
4808,COST,2002-02-11,4,3,3,3,4,5,5
4807,COST,2002-02-12,4,3,3,3,4,5,5
4806,COST,2002-02-13,4,3,3,3,4,5,5
4805,COST,2002-02-14,4,3,3,3,4,5,5
4804,COST,2002-02-15,4,3,3,3,4,5,5
4803,COST,2002-02-19,4,3,3,3,4,5,5
4802,COST,2002-02-20,4,3,3,3,4,5,5
4801,COST,2002-02-21,4,3,3,3,4,5,5
4800,COST,2002-02-22,4,3,3,3,4,5,5
4799,COST,2002-02-25,4,3,3,3,4,5,5
4798,COST,2002-02-26,4,3,3,3,4,5,5
4797,COST,2002-02-27,4,3,3,3,4,5,5
4796,COST,2002-02-28,4,3,3,3,4,5,5
4795,COST,2002-03-01,4,3,3,3,4,5,5
4794,COST,2002-03-04,4,3,3,3,4,5,5
4793,COST,2002-03-05,4,3,3,3,4,5,5
4792,COST,2002-03-06,4,3,3,3,4,5,5
4791,COST,2002-03-07,4,3,3,3,4,5,5
4790,COST,2002-03-08,4,3,3,3,4,5,5
4789,COST,2002-03-11,4,3,3,3,4,5,5
4788,COST,2002-03-12,4,3,3,3,4,5,5
4787,COST,2002-03-13,4,3,3,3,4,5,5
4786,COST,2002-03-14,4,3,3,3,4,5,5
4785,COST,2002-03-15,4,3,3,3,4,5,5
4784,COST,2002-03-18,4,3,3,3,4,5,5
4783,COST,2002-03-19,4,3,3,3,4,5,5
4782,COST,2002-03-20,4,3,3,3,4,5,5
4781,COST,2002-03-21,4,3,3,3,4,5,5
4780,COST,2002-03-22,4,3,3,3,4,5,5
4779,COST,2002-03-25,4,3,3,3,4,5,5
4778,COST,2002-03-26,4,3,3,3,4,5,5
4777,COST,2002-03-27,4,3,3,3,4,5,5
4776,COST,2002-03-28,4,3,3,3,4,5,5
4775,COST,2002-04-01,4,3,3,3,4,5,5
4774,COST,2002-04-02,4,3,3,3,4,5,5
4773,COST,2002-04-03,4,3,3,3,4,5,5
4772,COST,2002-04-04,4,3,3,3,4,5,5
4771,COST,2002-04-05,4,3,3,3,4,5,5
4770,COST,2002-04-08,4,3,3,3,4,5,5
4769,COST,2002-04-09,4,3,3,3,4,5,5
4768,COST,2002-04-10,4,3,3,3,4,5,5
4767,COST,2002-04-11,4,3,3,3,4,5,5
4766,COST,2002-04-12,4,3,3,3,4,5,5
4765,COST,2002-04-15,4,3,3,3,4,5,5
4764,COST,2002-04-16,4,3,3,3,4,5,5
4763,COST,2002-04-17,4,3,3,3,4,5,5
4762,COST,2002-04-18,4,3,3,3,4,5,5
4761,COST,2002-04-19,4,3,3,3,4,5,5
4760,COST,2002-04-22,4,3,3,3,4,5,5
4759,COST,2002-04-23,4,3,3,3,4,5,5
4758,COST,2002-04-24,4,3,3,3,4,5,5
4757,COST,2002-04-25,4,3,3,3,4,5,5
4756,COST,2002-04-26,4,3,3,3,4,5,5
4755,COST,2002-04-29,4,3,3,3,4,5,5
4754,COST,2002-04-30,4,3,3,3,4,5,5
4753,COST,2002-05-01,4,3,3,3,4,5,5
4752,COST,2002-05-02,4,3,3,3,4,5,5
4751,COST,2002-05-03,4,3,3,3,4,5,5
4750,COST,2002-05-06,4,3,3,3,4,5,5
4749,COST,2002-05-07,4,3,3,3,4,5,5
4748,COST,2002-05-08,4,3,3,3,4,5,5
4747,COST,2002-05-09,4,3,3,3,4,5,5
4746,COST,2002-05-10,4,3,3,3,4,5,5
4745,COST,2002-05-13,4,3,4,3,4,5,5
4744,COST,2002-05-14,4,3,4,3,4,5,5
4743,COST,2002-05-15,4,3,4,3,4,5,5
4742,COST,2002-05-16,4,3,4,3,4,5,5
4741,COST,2002-05-17,4,3,4,3,4,5,5
4740,COST,2002-05-20,4,3,4,3,4,5,5
4739,COST,2002-05-21,4,3,4,3,4,5,5
4738,COST,2002-05-22,4,3,4,3,4,5,5
4737,COST,2002-05-23,4,3,4,3,4,5,5
4736,COST,2002-05-24,4,3,4,3,4,5,5
4735,COST,2002-05-28,4,3,4,3,4,5,5
4734,COST,2002-05-29,4,3,4,3,4,5,5
4733,COST,2002-05-30,4,3,4,3,4,5,5
4732,COST,2002-05-31,4,3,4,3,4,5,5
4731,COST,2002-06-03,4,3,4,3,4,5,5
4730,COST,2002-06-04,4,3,4,3,4,5,5
4729,COST,2002-06-05,4,3,4,3,4,5,5
4728,COST,2002-06-06,4,3,4,3,4,5,5
4727,COST,2002-06-07,4,3,4,3,4,5,5
4726,COST,2002-06-10,4,3,4,3,4,5,5
4725,COST,2002-06-11,4,3,4,3,4,5,5
4724,COST,2002-06-12,4,3,4,3,4,5,5
4723,COST,2002-06-13,4,3,4,3,4,5,5
4722,COST,2002-06-14,4,3,4,3,4,5,5
4721,COST,2002-06-17,4,3,4,3,4,5,5
4720,COST,2002-06-18,4,3,4,3,4,5,5
4719,COST,2002-06-19,4,3,4,3,4,5,5
4718,COST,2002-06-20,4,3,4,3,4,5,5
4717,COST,2002-06-21,4,3,4,3,4,5,5
4716,COST,2002-06-24,4,3,4,3,4,5,5
4715,COST,2002-06-25,4,3,4,3,4,5,5
4714,COST,2002-06-26,4,3,4,3,4,5,5
4713,COST,2002-06-27,4,3,4,3,4,5,5
4712,COST,2002-06-28,4,3,4,3,4,5,5
4711,COST,2002-07-01,4,3,4,3,4,5,5
4710,COST,2002-07-02,4,3,4,3,4,5,5
4709,COST,2002-07-03,4,3,4,3,4,5,5
4708,COST,2002-07-05,4,3,4,3,4,5,5
4707,COST,2002-07-08,4,3,4,3,4,5,5
4706,COST,2002-07-09,4,3,4,3,4,5,5
4705,COST,2002-07-10,4,3,4,3,4,5,5
4704,COST,2002-07-11,4,3,4,3,4,5,5
4703,COST,2002-07-12,4,3,4,3,4,5,5
4702,COST,2002-07-15,4,3,4,3,4,5,5
4701,COST,2002-07-16,5,4,4,3,4,5,5
4700,COST,2002-07-17,5,4,4,3,4,5,5
4699,COST,2002-07-18,5,4,4,3,4,5,5
4698,COST,2002-07-19,5,4,4,3,4,5,5
4697,COST,2002-07-22,5,4,4,3,4,5,5
4696,COST,2002-07-23,5,4,4,3,4,5,5
4695,COST,2002-07-24,4,3,4,3,4,5,5
4694,COST,2002-07-25,5,4,4,3,4,5,5
4693,COST,2002-07-26,5,4,4,3,4,5,5
4692,COST,2002-07-29,4,3,4,3,4,5,5
4691,COST,2002-07-30,4,3,4,3,4,5,5
4690,COST,2002-07-31,5,4,4,3,4,5,5
4689,COST,2002-08-01,5,4,4,3,4,5,5
4688,COST,2002-08-02,5,4,4,3,4,5,5
4687,COST,2002-08-05,5,4,4,3,4,5,5
4686,COST,2002-08-06,5,4,4,3,4,5,5
4685,COST,2002-08-07,5,4,4,3,4,5,5
4684,COST,2002-08-08,5,4,4,3,4,5,5
4683,COST,2002-08-09,5,4,4,3,4,5,5
4682,COST,2002-08-12,5,4,4,3,4,5,5
4681,COST,2002-08-13,5,4,4,3,4,5,5
4680,COST,2002-08-14,5,4,4,3,4,5,5
4679,COST,2002-08-15,4,3,4,3,4,5,5
4678,COST,2002-08-16,4,3,4,3,4,5,5
4677,COST,2002-08-19,4,3,4,3,4,5,5
4676,COST,2002-08-20,4,3,4,3,4,5,5
4675,COST,2002-08-21,5,4,4,3,4,5,5
4674,COST,2002-08-22,4,3,4,3,4,5,5
4673,COST,2002-08-23,5,4,4,3,4,5,5
4672,COST,2002-08-26,5,4,4,3,4,5,5
4671,COST,2002-08-27,5,4,4,3,4,5,5
4670,COST,2002-08-28,5,4,4,3,4,5,5
4669,COST,2002-08-29,5,4,4,3,4,5,5
4668,COST,2002-08-30,5,4,4,3,4,5,5
4667,COST,2002-09-03,4,4,3,3,4,5,5
4666,COST,2002-09-04,4,3,3,3,4,5,5
4665,COST,2002-09-05,4,4,3,3,4,5,5
4664,COST,2002-09-06,4,3,3,3,4,5,5
4663,COST,2002-09-09,4,3,3,3,4,5,5
4662,COST,2002-09-10,4,3,3,3,4,5,5
4661,COST,2002-09-11,4,3,3,3,4,5,5
4660,COST,2002-09-12,4,4,3,3,4,5,5
4659,COST,2002-09-13,4,3,3,3,4,5,5
4658,COST,2002-09-16,4,3,3,3,4,5,5
4657,COST,2002-09-17,4,4,3,3,4,5,5
4656,COST,2002-09-18,4,3,3,3,4,5,5
4655,COST,2002-09-19,4,4,3,3,4,5,5
4654,COST,2002-09-20,4,3,3,3,4,5,5
4653,COST,2002-09-23,4,4,3,3,4,5,5
4652,COST,2002-09-24,4,4,3,3,4,5,5
4651,COST,2002-09-25,4,3,3,3,4,5,5
4650,COST,2002-09-26,4,3,3,3,4,5,5
4649,COST,2002-09-27,4,3,3,3,4,5,5
4648,COST,2002-09-30,4,4,3,3,4,5,5
4647,COST,2002-10-01,4,4,3,3,4,5,5
4646,COST,2002-10-02,4,4,3,3,4,5,5
4645,COST,2002-10-03,4,4,3,3,4,5,5
4644,COST,2002-10-04,4,4,3,3,4,5,5
4643,COST,2002-10-07,4,4,3,3,4,5,5
4642,COST,2002-10-08,4,4,3,3,4,5,5
4641,COST,2002-10-09,4,4,3,3,4,5,5
4640,COST,2002-10-10,4,4,3,3,4,5,5
4639,COST,2002-10-11,4,3,3,3,4,5,5
4638,COST,2002-10-14,4,4,3,3,4,5,5
4637,COST,2002-10-15,4,3,3,3,4,5,5
4636,COST,2002-10-16,4,3,3,3,4,5,5
4635,COST,2002-10-17,4,3,3,3,4,5,5
4634,COST,2002-10-18,4,3,3,3,4,5,5
4633,COST,2002-10-21,4,3,3,3,4,5,5
4632,COST,2002-10-22,4,3,3,3,4,5,5
4631,COST,2002-10-23,4,3,3,3,4,5,5
4630,COST,2002-10-24,4,3,3,3,4,5,5
4629,COST,2002-10-25,4,3,3,3,4,5,5
4628,COST,2002-10-28,4,3,3,3,4,5,5
4627,COST,2002-10-29,4,3,3,3,4,5,5
4626,COST,2002-10-30,4,3,3,3,4,5,5
4625,COST,2002-10-31,4,3,3,3,4,5,5
4624,COST,2002-11-01,4,3,3,3,4,5,5
4623,COST,2002-11-04,4,3,3,3,4,5,5
4622,COST,2002-11-05,4,3,3,3,4,5,5
4621,COST,2002-11-06,4,3,3,3,4,5,5
4620,COST,2002-11-07,4,4,3,3,4,5,5
4619,COST,2002-11-08,4,4,3,3,4,5,5
4618,COST,2002-11-11,4,4,3,3,4,5,5
4617,COST,2002-11-12,4,4,3,3,4,5,5
4616,COST,2002-11-13,4,4,3,3,4,5,5
4615,COST,2002-11-14,4,4,3,3,4,5,5
4614,COST,2002-11-15,4,3,3,3,4,5,5
4613,COST,2002-11-18,4,4,3,3,4,5,5
4612,COST,2002-11-19,4,4,3,3,4,5,5
4611,COST,2002-11-20,4,4,3,3,4,5,5
4610,COST,2002-11-21,4,4,3,3,4,5,5
4609,COST,2002-11-22,4,4,3,3,4,5,5
4608,COST,2002-11-25,4,3,3,3,4,5,5
4607,COST,2002-11-26,4,3,3,3,4,5,5
4606,COST,2002-11-27,4,3,3,3,4,5,5
4605,COST,2002-11-29,4,3,3,3,4,5,5
4604,COST,2002-12-02,4,3,3,3,4,5,5
4603,COST,2002-12-03,4,3,3,3,4,5,5
4602,COST,2002-12-04,4,3,3,3,4,5,5
4601,COST,2002-12-05,4,3,3,3,4,5,5
4600,COST,2002-12-06,4,3,3,3,4,5,5
4599,COST,2002-12-09,4,4,3,3,4,5,5
4598,COST,2002-12-10,4,4,3,3,4,5,5
4597,COST,2002-12-11,4,4,3,3,4,5,5
4596,COST,2002-12-12,4,4,3,3,4,5,5
4595,COST,2002-12-13,4,4,3,3,4,5,5
4594,COST,2002-12-16,4,4,3,3,4,5,5
4593,COST,2002-12-17,4,4,3,3,4,5,5
4592,COST,2002-12-18,4,4,3,3,4,5,5
4591,COST,2002-12-19,4,4,3,3,4,5,5
4590,COST,2002-12-20,4,4,3,3,4,5,5
4589,COST,2002-12-23,4,4,3,3,4,5,5
4588,COST,2002-12-24,4,4,3,3,4,5,5
4587,COST,2002-12-26,4,4,3,3,4,5,5
4586,COST,2002-12-27,4,4,3,3,4,5,5
4585,COST,2002-12-30,4,4,3,3,4,5,5
4584,COST,2002-12-31,4,4,3,3,4,5,5
4583,COST,2003-01-02,4,4,3,3,4,5,5
4582,COST,2003-01-03,4,4,3,3,4,5,5
4581,COST,2003-01-06,4,4,3,3,4,5,5
4580,COST,2003-01-07,4,4,3,3,4,5,5
4579,COST,2003-01-08,4,4,3,3,4,5,5
4578,COST,2003-01-09,4,3,3,3,4,5,5
4577,COST,2003-01-10,4,3,3,3,4,5,5
4576,COST,2003-01-13,4,3,3,3,4,5,5
4575,COST,2003-01-14,4,3,3,3,4,5,5
4574,COST,2003-01-15,4,3,3,3,4,5,5
4573,COST,2003-01-16,4,3,3,3,4,5,5
4572,COST,2003-01-17,4,3,3,3,4,5,5
4571,COST,2003-01-21,4,4,3,3,4,5,5
4570,COST,2003-01-22,4,4,3,3,4,5,5
4569,COST,2003-01-23,4,4,3,3,4,5,5
