,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4118,CRM,2004-11-01,3,5,3,3,4,1,1
4117,CRM,2004-11-02,3,5,3,3,4,1,1
4116,CRM,2004-11-03,3,5,3,3,4,1,1
4115,CRM,2004-11-04,3,5,3,3,4,1,1
4114,CRM,2004-11-05,3,5,3,3,4,1,1
4113,CRM,2004-11-08,3,5,3,3,4,1,1
4112,CRM,2004-11-09,3,5,3,3,4,1,1
4111,CRM,2004-11-10,3,5,3,3,4,1,1
4110,CRM,2004-11-11,3,5,3,3,4,1,1
4109,CRM,2004-11-12,3,5,3,3,4,1,1
4108,CRM,2004-11-15,3,5,3,3,4,1,1
4107,CRM,2004-11-16,3,5,3,3,4,1,1
4106,CRM,2004-11-17,3,5,3,3,4,1,1
4105,CRM,2004-11-18,3,5,3,3,4,1,1
4104,CRM,2004-11-19,3,5,3,3,4,1,1
4103,CRM,2004-11-22,3,5,3,3,4,1,1
4102,CRM,2004-11-23,3,5,3,3,4,1,1
4101,CRM,2004-11-24,3,5,3,3,4,1,1
4100,CRM,2004-11-26,3,5,3,3,4,1,1
4099,CRM,2004-11-29,3,5,3,3,4,1,1
4098,CRM,2004-11-30,3,5,3,3,4,1,1
4097,CRM,2004-12-01,3,5,3,3,4,1,1
4096,CRM,2004-12-02,3,5,3,3,4,1,1
4095,CRM,2004-12-03,3,5,3,3,4,1,1
4094,CRM,2004-12-06,3,5,3,3,4,1,1
4093,CRM,2004-12-07,3,5,3,3,4,1,1
4092,CRM,2004-12-08,3,5,3,3,4,1,1
4091,CRM,2004-12-09,3,5,3,3,4,1,1
4090,CRM,2004-12-10,3,5,3,3,4,1,1
4089,CRM,2004-12-13,3,5,3,3,4,1,1
4088,CRM,2004-12-14,3,5,3,3,4,1,1
4087,CRM,2004-12-15,3,5,3,3,4,1,1
4086,CRM,2004-12-16,3,5,3,3,4,1,1
4085,CRM,2004-12-17,3,5,3,3,4,1,1
4084,CRM,2004-12-20,3,5,3,3,4,1,1
4083,CRM,2004-12-21,3,5,3,3,4,1,1
4082,CRM,2004-12-22,3,5,3,3,4,1,1
4081,CRM,2004-12-23,3,5,3,3,4,1,1
4080,CRM,2004-12-27,3,5,3,3,4,1,1
4079,CRM,2004-12-28,3,5,3,3,4,1,1
4078,CRM,2004-12-29,3,5,3,3,4,1,1
4077,CRM,2004-12-30,3,5,3,3,4,1,1
4076,CRM,2004-12-31,3,5,3,3,4,1,1
4075,CRM,2005-01-03,3,5,3,3,4,1,1
4074,CRM,2005-01-04,3,5,3,3,4,1,1
4073,CRM,2005-01-05,3,5,3,3,4,1,1
4072,CRM,2005-01-06,3,5,3,3,4,1,1
4071,CRM,2005-01-07,3,5,3,3,4,1,1
4070,CRM,2005-01-10,3,5,3,3,4,1,1
4069,CRM,2005-01-11,3,5,3,3,4,1,1
4068,CRM,2005-01-12,3,5,3,3,4,1,1
4067,CRM,2005-01-13,3,5,3,3,4,1,1
4066,CRM,2005-01-14,3,5,3,3,4,1,1
4065,CRM,2005-01-18,3,5,3,3,4,1,1
4064,CRM,2005-01-19,3,5,3,3,4,1,1
4063,CRM,2005-01-20,3,5,3,3,4,1,1
4062,CRM,2005-01-21,3,5,3,3,4,1,1
4061,CRM,2005-01-24,3,5,3,3,4,1,1
4060,CRM,2005-01-25,3,5,3,3,4,1,1
4059,CRM,2005-01-26,3,5,3,3,4,1,1
4058,CRM,2005-01-27,3,5,3,3,4,1,1
4057,CRM,2005-01-28,3,5,3,3,4,1,1
4056,CRM,2005-01-31,3,5,3,3,4,1,1
4055,CRM,2005-02-01,3,5,3,3,4,1,1
4054,CRM,2005-02-02,3,5,3,3,4,1,1
4053,CRM,2005-02-03,3,5,3,3,4,1,1
4052,CRM,2005-02-04,3,5,3,3,4,1,1
4051,CRM,2005-02-07,3,5,3,3,4,1,1
4050,CRM,2005-02-08,3,5,3,3,4,1,1
4049,CRM,2005-02-09,3,5,3,3,4,1,1
4048,CRM,2005-02-10,3,5,3,3,4,1,1
4047,CRM,2005-02-11,3,5,3,3,4,1,1
4046,CRM,2005-02-14,3,5,3,3,4,1,1
4045,CRM,2005-02-15,3,5,3,3,4,1,1
4044,CRM,2005-02-16,3,5,3,3,4,1,1
4043,CRM,2005-02-17,3,5,3,3,4,1,1
4042,CRM,2005-02-18,3,5,3,3,4,1,1
4041,CRM,2005-02-22,3,5,3,3,4,1,1
4040,CRM,2005-02-23,3,5,3,3,4,1,1
4039,CRM,2005-02-24,3,5,3,3,4,1,1
4038,CRM,2005-02-25,3,5,3,3,4,1,1
4037,CRM,2005-02-28,3,5,3,3,4,1,1
4036,CRM,2005-03-01,3,5,3,3,4,1,1
4035,CRM,2005-03-02,3,5,3,3,4,1,1
4034,CRM,2005-03-03,3,5,3,3,4,1,1
4033,CRM,2005-03-04,3,5,3,3,4,1,1
4032,CRM,2005-03-07,3,5,3,3,4,1,1
4031,CRM,2005-03-08,3,5,3,3,4,1,1
4030,CRM,2005-03-09,3,5,3,3,4,1,1
4029,CRM,2005-03-10,3,5,3,3,4,1,1
4028,CRM,2005-03-11,3,5,3,3,4,1,1
4027,CRM,2005-03-14,3,5,3,3,4,1,1
4026,CRM,2005-03-15,3,5,3,3,4,1,1
4025,CRM,2005-03-16,3,5,3,3,4,1,1
4024,CRM,2005-03-17,3,5,3,3,4,1,1
4023,CRM,2005-03-18,3,5,3,3,4,1,1
4022,CRM,2005-03-21,3,5,3,3,4,1,1
4021,CRM,2005-03-22,3,5,3,3,4,1,1
4020,CRM,2005-03-23,3,5,3,3,4,1,1
4019,CRM,2005-03-24,3,5,3,3,4,1,1
4018,CRM,2005-03-28,3,5,3,3,4,1,1
4017,CRM,2005-03-29,3,5,3,3,4,1,1
4016,CRM,2005-03-30,3,5,3,3,4,1,1
4015,CRM,2005-03-31,3,5,3,3,4,1,1
4014,CRM,2005-04-01,3,5,3,3,4,1,1
4013,CRM,2005-04-04,3,5,3,3,4,1,1
4012,CRM,2005-04-05,3,5,3,3,4,1,1
4011,CRM,2005-04-06,3,5,3,3,4,1,1
4010,CRM,2005-04-07,3,5,3,3,4,1,1
4009,CRM,2005-04-08,3,5,3,3,4,1,1
4008,CRM,2005-04-11,3,5,3,3,4,1,1
4007,CRM,2005-04-12,3,5,3,3,4,1,1
4006,CRM,2005-04-13,3,5,3,3,4,1,1
4005,CRM,2005-04-14,3,5,3,3,4,1,1
4004,CRM,2005-04-15,3,5,3,3,4,1,1
4003,CRM,2005-04-18,3,5,3,3,4,1,1
4002,CRM,2005-04-19,3,5,3,3,4,1,1
4001,CRM,2005-04-20,3,5,3,3,4,1,1
4000,CRM,2005-04-21,3,5,3,3,4,1,1
3999,CRM,2005-04-22,3,5,3,3,4,1,1
3998,CRM,2005-04-25,3,5,3,3,4,1,1
3997,CRM,2005-04-26,3,5,3,3,4,1,1
3996,CRM,2005-04-27,3,5,3,3,4,1,1
