,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4649,CSCO,2002-07-29,4,4,3,3,3,5,5
4648,CSCO,2002-07-30,4,4,3,3,3,5,5
4647,CSCO,2002-07-31,4,4,3,3,3,5,5
4646,CSCO,2002-08-01,4,4,3,3,3,5,5
4645,CSCO,2002-08-02,4,4,3,3,3,5,5
4644,CSCO,2002-08-05,4,4,3,3,3,5,5
4643,CSCO,2002-08-06,4,4,3,3,3,5,5
4642,CSCO,2002-08-07,4,4,3,3,3,5,5
4641,CSCO,2002-08-08,4,4,3,3,3,5,5
4640,CSCO,2002-08-09,4,4,3,3,3,5,5
4639,CSCO,2002-08-12,4,4,3,3,3,5,5
4638,CSCO,2002-08-13,4,4,3,3,3,5,5
4637,CSCO,2002-08-14,4,4,3,3,3,5,5
4636,CSCO,2002-08-15,4,4,3,3,3,5,5
4635,CSCO,2002-08-16,4,4,3,3,3,5,5
4634,CSCO,2002-08-19,4,4,3,3,3,5,5
4633,CSCO,2002-08-20,4,4,3,3,3,5,5
4632,CSCO,2002-08-21,4,4,3,3,3,5,5
4631,CSCO,2002-08-22,4,4,3,3,3,5,5
4630,CSCO,2002-08-23,4,4,3,3,3,5,5
4629,CSCO,2002-08-26,4,4,3,3,3,5,5
4628,CSCO,2002-08-27,4,4,3,3,3,5,5
4627,CSCO,2002-08-28,4,4,3,3,3,5,5
4626,CSCO,2002-08-29,4,4,3,3,3,5,5
4625,CSCO,2002-08-30,4,4,3,3,3,5,5
4624,CSCO,2002-09-03,4,4,3,3,3,5,5
4623,CSCO,2002-09-04,4,4,3,3,3,5,5
4622,CSCO,2002-09-05,4,4,3,3,3,5,5
4621,CSCO,2002-09-06,4,4,3,3,3,5,5
4620,CSCO,2002-09-09,4,4,3,3,3,5,5
4619,CSCO,2002-09-10,4,4,3,3,3,5,5
4618,CSCO,2002-09-11,4,4,3,3,3,5,5
4617,CSCO,2002-09-12,4,4,3,3,3,5,5
4616,CSCO,2002-09-13,4,4,3,3,3,5,5
4615,CSCO,2002-09-16,4,4,3,3,3,5,5
4614,CSCO,2002-09-17,4,4,3,3,3,5,5
4613,CSCO,2002-09-18,4,4,3,3,3,5,5
4612,CSCO,2002-09-19,4,4,3,3,3,5,5
4611,CSCO,2002-09-20,4,4,3,3,3,5,5
4610,CSCO,2002-09-23,4,4,3,3,3,5,5
4609,CSCO,2002-09-24,4,4,3,3,3,5,5
4608,CSCO,2002-09-25,4,4,3,3,3,5,5
4607,CSCO,2002-09-26,4,4,3,3,3,5,5
4606,CSCO,2002-09-27,4,4,3,3,3,5,5
4605,CSCO,2002-09-30,4,4,3,3,3,5,5
4604,CSCO,2002-10-01,4,4,3,3,3,5,5
4603,CSCO,2002-10-02,4,4,3,3,3,5,5
4602,CSCO,2002-10-03,4,4,3,3,3,5,5
4601,CSCO,2002-10-04,4,4,3,3,3,5,5
4600,CSCO,2002-10-07,4,4,3,3,3,5,5
4599,CSCO,2002-10-08,4,4,3,3,3,5,5
4598,CSCO,2002-10-09,4,4,3,3,3,5,5
4597,CSCO,2002-10-10,4,4,3,3,3,5,5
4596,CSCO,2002-10-11,4,4,3,3,3,5,5
4595,CSCO,2002-10-14,4,4,3,3,3,5,5
4594,CSCO,2002-10-15,4,4,3,3,3,5,5
4593,CSCO,2002-10-16,4,4,3,3,3,5,5
4592,CSCO,2002-10-17,4,4,3,3,3,5,5
4591,CSCO,2002-10-18,4,4,3,3,3,5,5
4590,CSCO,2002-10-21,4,4,3,3,3,5,5
4589,CSCO,2002-10-22,4,4,3,3,3,5,5
4588,CSCO,2002-10-23,4,4,3,3,3,5,5
4587,CSCO,2002-10-24,4,4,3,3,3,5,5
4586,CSCO,2002-10-25,4,4,3,3,3,5,5
4585,CSCO,2002-10-28,4,4,3,3,3,5,5
4584,CSCO,2002-10-29,4,4,3,3,3,5,5
4583,CSCO,2002-10-30,4,4,3,3,3,5,5
4582,CSCO,2002-10-31,4,4,3,3,3,5,5
4581,CSCO,2002-11-01,4,4,3,3,3,5,5
4580,CSCO,2002-11-04,4,4,3,3,3,5,5
4579,CSCO,2002-11-05,4,4,3,3,3,5,5
4578,CSCO,2002-11-06,4,4,3,3,3,5,5
4577,CSCO,2002-11-07,4,4,3,3,3,5,5
4576,CSCO,2002-11-08,4,4,3,3,3,5,5
4575,CSCO,2002-11-11,4,4,3,3,3,5,5
