,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4707,CVX,2002-07-01,4,4,3,3,4,1,5
4706,CVX,2002-07-02,4,4,3,3,4,1,5
4705,CVX,2002-07-03,4,4,3,3,4,1,5
4704,CVX,2002-07-05,4,4,3,3,4,1,5
4703,CVX,2002-07-08,4,4,3,3,4,1,5
4702,CVX,2002-07-09,4,4,3,3,4,1,5
4701,CVX,2002-07-10,4,4,3,3,4,1,5
4700,CVX,2002-07-11,4,4,3,3,4,1,5
4699,CVX,2002-07-12,4,4,3,3,4,1,5
4698,CVX,2002-07-15,4,4,3,3,4,1,5
4697,CVX,2002-07-16,4,4,3,3,4,1,5
4696,CVX,2002-07-17,4,4,3,3,4,1,5
4695,CVX,2002-07-18,4,4,3,3,4,1,5
4694,CVX,2002-07-19,4,4,3,3,4,1,5
4693,CVX,2002-07-22,4,4,3,3,4,1,5
4692,CVX,2002-07-23,4,4,3,3,4,1,5
4691,CVX,2002-07-24,4,4,3,3,4,1,5
4690,CVX,2002-07-25,4,4,3,3,4,1,5
4689,CVX,2002-07-26,4,4,3,3,4,1,5
4688,CVX,2002-07-29,4,4,3,3,4,1,5
4687,CVX,2002-07-30,4,4,3,3,4,1,5
4686,CVX,2002-07-31,4,4,3,3,4,1,5
4685,CVX,2002-08-01,4,4,3,3,4,1,5
4684,CVX,2002-08-02,4,4,3,3,4,1,5
4683,CVX,2002-08-05,4,4,3,3,4,1,5
4682,CVX,2002-08-06,4,4,3,3,4,1,5
4681,CVX,2002-08-07,4,4,3,3,4,1,5
4680,CVX,2002-08-08,4,4,3,3,4,1,5
4679,CVX,2002-08-09,4,4,3,3,4,1,5
4678,CVX,2002-08-12,4,4,3,3,4,1,5
4677,CVX,2002-08-13,4,4,3,3,4,1,5
4676,CVX,2002-08-14,4,4,3,3,4,1,5
4675,CVX,2002-08-15,4,4,3,3,4,1,5
4674,CVX,2002-08-16,4,4,3,3,4,1,5
4673,CVX,2002-08-19,4,4,3,3,4,1,5
4672,CVX,2002-08-20,4,4,3,3,4,1,5
4671,CVX,2002-08-21,4,4,3,3,4,1,5
4670,CVX,2002-08-22,4,4,3,3,4,1,5
4669,CVX,2002-08-23,4,4,3,3,4,1,5
4668,CVX,2002-08-26,4,4,3,3,4,1,5
4667,CVX,2002-08-27,4,4,3,3,4,1,5
4666,CVX,2002-08-28,4,4,3,3,4,1,5
4665,CVX,2002-08-29,4,4,3,3,4,1,5
4664,CVX,2002-08-30,4,4,3,3,4,1,5
4663,CVX,2002-09-03,4,4,3,3,4,1,5
4662,CVX,2002-09-04,4,4,3,3,4,1,5
4661,CVX,2002-09-05,4,4,3,3,4,1,5
4660,CVX,2002-09-06,4,4,3,3,4,1,5
4659,CVX,2002-09-09,4,4,3,3,4,1,5
4658,CVX,2002-09-10,4,4,3,3,4,1,5
4657,CVX,2002-09-11,4,4,3,3,4,1,5
4656,CVX,2002-09-12,4,4,3,3,4,1,5
4655,CVX,2002-09-13,4,4,3,3,4,1,5
4654,CVX,2002-09-16,4,4,3,3,4,1,5
4653,CVX,2002-09-17,4,4,3,3,4,1,5
4652,CVX,2002-09-18,4,4,3,3,4,1,5
4651,CVX,2002-09-19,4,4,3,3,4,1,5
4650,CVX,2002-09-20,4,4,3,3,4,1,5
4649,CVX,2002-09-23,4,4,3,3,4,1,5
4648,CVX,2002-09-24,4,4,3,3,4,1,5
4647,CVX,2002-09-25,4,4,3,3,4,1,5
4646,CVX,2002-09-26,4,4,3,3,4,1,5
4645,CVX,2002-09-27,4,4,3,3,4,1,5
4644,CVX,2002-09-30,4,4,3,3,4,1,5
4643,CVX,2002-10-01,4,4,3,3,4,5,5
4642,CVX,2002-10-02,4,4,3,3,4,5,5
4641,CVX,2002-10-03,4,4,3,3,4,5,5
4640,CVX,2002-10-04,4,4,3,3,4,5,5
4639,CVX,2002-10-07,4,4,3,3,4,5,5
4638,CVX,2002-10-08,4,4,3,3,4,5,5
4637,CVX,2002-10-09,4,4,3,3,4,5,5
4636,CVX,2002-10-10,4,4,3,3,4,5,5
4635,CVX,2002-10-11,4,4,3,3,4,5,5
4634,CVX,2002-10-14,4,4,3,3,4,5,5
