,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4520,DHR,2003-03-28,4,5,3,3,4,5,4
4519,DHR,2003-03-31,4,5,3,3,4,5,4
4518,DHR,2003-04-01,4,5,3,3,4,5,4
4517,DHR,2003-04-02,4,5,3,3,4,5,4
4516,DHR,2003-04-03,4,5,3,3,4,5,4
4515,DHR,2003-04-04,4,5,3,3,4,5,4
4514,DHR,2003-04-07,4,5,3,3,4,5,4
4513,DHR,2003-04-08,4,5,3,3,4,5,4
4512,DHR,2003-04-09,4,5,3,3,4,5,4
4511,DHR,2003-04-10,4,5,3,3,4,5,4
4510,DHR,2003-04-11,4,5,3,3,4,5,4
4509,DHR,2003-04-14,4,5,3,3,4,5,4
4508,DHR,2003-04-15,4,5,3,3,4,5,4
4507,DHR,2003-04-16,4,5,3,3,4,5,4
4506,DHR,2003-04-17,4,4,3,3,4,5,4
4505,DHR,2003-04-21,4,5,3,3,4,5,4
4504,DHR,2003-04-22,4,4,3,3,4,5,4
4503,DHR,2003-04-23,4,4,3,3,4,5,4
4502,DHR,2003-04-24,4,5,3,3,4,5,4
4501,DHR,2003-04-25,4,5,3,3,4,5,4
4500,DHR,2003-04-28,4,5,3,3,4,5,4
4499,DHR,2003-04-29,4,5,3,3,4,5,4
4498,DHR,2003-04-30,4,5,3,3,4,5,4
4497,DHR,2003-05-01,4,5,3,3,4,5,4
4496,DHR,2003-05-02,4,4,3,3,4,5,4
4495,DHR,2003-05-05,4,4,3,3,4,5,4
4494,DHR,2003-05-06,4,4,3,3,4,5,4
4493,DHR,2003-05-07,4,4,3,3,4,5,4
4492,DHR,2003-05-08,4,5,3,3,4,5,4
4491,DHR,2003-05-09,4,4,3,3,4,5,4
4490,DHR,2003-05-12,4,4,3,3,4,5,4
4489,DHR,2003-05-13,4,4,3,3,4,5,4
4488,DHR,2003-05-14,4,4,3,3,4,5,4
4487,DHR,2003-05-15,4,4,3,3,4,5,4
4486,DHR,2003-05-16,4,4,3,3,4,5,4
4485,DHR,2003-05-19,4,5,3,3,4,5,4
4484,DHR,2003-05-20,4,5,3,3,4,5,4
4483,DHR,2003-05-21,4,5,3,3,4,5,4
4482,DHR,2003-05-22,4,5,3,3,4,5,4
4481,DHR,2003-05-23,4,5,3,3,4,5,4
4480,DHR,2003-05-27,4,5,3,3,4,5,4
4479,DHR,2003-05-28,4,5,3,3,4,5,4
4478,DHR,2003-05-29,4,5,3,3,4,5,4
4477,DHR,2003-05-30,4,5,3,3,4,5,4
4476,DHR,2003-06-02,4,5,3,3,4,5,4
4475,DHR,2003-06-03,4,5,3,3,4,5,4
4474,DHR,2003-06-04,4,4,3,3,4,5,4
4473,DHR,2003-06-05,4,4,3,3,4,5,4
4472,DHR,2003-06-06,4,5,3,3,4,5,4
4471,DHR,2003-06-09,4,4,3,3,4,5,4
4470,DHR,2003-06-10,4,5,3,3,4,5,4
4469,DHR,2003-06-11,4,4,3,3,4,5,4
4468,DHR,2003-06-12,4,5,3,3,4,5,4
