,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
491,DIS,2019-04-01,4,4,3,3,4,5,5
490,DIS,2019-04-02,4,4,3,3,4,5,5
489,DIS,2019-04-03,4,4,3,3,4,5,5
488,DIS,2019-04-04,4,4,3,3,4,5,5
487,DIS,2019-04-05,4,4,3,3,4,5,5
486,DIS,2019-04-08,4,4,3,3,4,5,5
485,DIS,2019-04-09,4,4,3,3,4,5,5
484,DIS,2019-04-10,4,4,3,3,4,5,5
483,DIS,2019-04-11,4,4,3,3,4,5,5
482,DIS,2019-04-12,4,4,3,3,4,5,5
481,DIS,2019-04-15,4,4,3,3,4,5,5
480,DIS,2019-04-16,4,4,3,3,4,5,5
479,DIS,2019-04-17,4,4,3,3,4,5,5
478,DIS,2019-04-18,4,4,3,3,4,5,5
477,DIS,2019-04-22,4,4,3,3,4,5,5
476,DIS,2019-04-23,4,3,3,3,4,5,5
475,DIS,2019-04-24,4,3,3,3,4,5,5
474,DIS,2019-04-25,4,3,3,3,4,5,5
473,DIS,2019-04-26,4,3,3,3,4,5,5
472,DIS,2019-04-29,4,3,3,3,4,5,5
471,DIS,2019-04-30,4,3,3,3,4,5,5
470,DIS,2019-05-01,4,3,3,3,4,5,5
469,DIS,2019-05-02,4,3,3,3,4,5,5
468,DIS,2019-05-03,4,3,3,3,4,5,5
467,DIS,2019-05-06,4,3,3,3,4,5,5
466,DIS,2019-05-07,4,3,3,3,4,5,5
465,DIS,2019-05-08,4,3,3,3,4,5,5
464,DIS,2019-05-09,4,3,3,3,4,5,5
463,DIS,2019-05-10,4,3,3,3,4,5,5
462,DIS,2019-05-13,4,4,3,3,4,5,5
461,DIS,2019-05-14,4,4,3,3,4,5,5
460,DIS,2019-05-15,4,3,3,3,4,5,5
459,DIS,2019-05-16,4,3,3,3,4,5,5
458,DIS,2019-05-17,4,3,3,3,4,5,5
457,DIS,2019-05-20,4,3,3,3,4,5,5
456,DIS,2019-05-21,4,3,3,3,4,5,5
455,DIS,2019-05-22,4,3,3,3,4,5,5
454,DIS,2019-05-23,4,4,3,3,4,5,5
453,DIS,2019-05-24,4,4,3,3,4,5,5
452,DIS,2019-05-28,4,4,3,3,4,5,5
451,DIS,2019-05-29,4,4,3,3,4,5,5
450,DIS,2019-05-30,4,4,3,3,4,5,5
449,DIS,2019-05-31,4,4,3,3,4,5,5
448,DIS,2019-06-03,4,4,3,3,4,5,5
447,DIS,2019-06-04,4,3,3,3,4,5,5
446,DIS,2019-06-05,4,3,3,3,4,5,5
445,DIS,2019-06-06,4,3,3,3,4,5,5
444,DIS,2019-06-07,4,3,3,3,4,5,5
443,DIS,2019-06-10,4,3,3,3,4,5,5
442,DIS,2019-06-11,4,3,3,3,4,5,5
441,DIS,2019-06-12,4,3,3,3,4,5,5
440,DIS,2019-06-13,4,3,3,3,4,5,5
439,DIS,2019-06-14,4,3,3,3,4,5,5
438,DIS,2019-06-17,4,3,3,3,4,5,5
437,DIS,2019-06-18,4,3,3,3,4,5,5
436,DIS,2019-06-19,4,3,3,3,4,5,5
435,DIS,2019-06-20,4,3,3,3,4,5,5
434,DIS,2019-06-21,4,3,3,3,4,5,5
433,DIS,2019-06-24,4,3,3,3,4,5,5
432,DIS,2019-06-25,4,3,3,3,4,5,5
431,DIS,2019-06-26,4,3,3,3,4,5,5
430,DIS,2019-06-27,4,3,3,3,4,5,5
429,DIS,2019-06-28,4,3,3,3,4,5,5
428,DIS,2019-07-01,4,3,3,3,4,5,5
427,DIS,2019-07-02,4,3,3,3,4,5,5
426,DIS,2019-07-03,4,3,3,3,4,5,5
425,DIS,2019-07-05,4,3,3,3,4,5,5
424,DIS,2019-07-08,4,3,3,3,4,5,5
423,DIS,2019-07-09,4,3,3,3,4,5,5
422,DIS,2019-07-10,4,3,3,3,4,5,5
421,DIS,2019-07-11,4,3,3,3,4,5,5
420,DIS,2019-07-12,4,3,3,3,4,5,5
419,DIS,2019-07-15,4,3,3,3,4,5,5
418,DIS,2019-07-16,4,3,3,3,4,5,5
417,DIS,2019-07-17,4,3,3,3,4,5,5
416,DIS,2019-07-18,4,3,3,3,4,5,5
415,DIS,2019-07-19,4,3,3,3,4,5,5
414,DIS,2019-07-22,4,3,3,3,4,5,5
413,DIS,2019-07-23,4,3,3,3,4,5,5
412,DIS,2019-07-24,4,3,3,3,4,5,5
411,DIS,2019-07-25,4,3,3,3,4,5,5
410,DIS,2019-07-26,4,3,3,3,4,5,5
409,DIS,2019-07-29,4,3,3,3,4,5,5
408,DIS,2019-07-30,4,3,3,3,4,5,5
407,DIS,2019-07-31,4,3,3,3,4,5,5
406,DIS,2019-08-01,4,3,3,3,4,5,5
405,DIS,2019-08-02,4,3,3,3,4,5,5
404,DIS,2019-08-05,4,3,3,3,4,5,5
403,DIS,2019-08-06,4,3,3,3,4,5,5
402,DIS,2019-08-07,4,3,3,3,4,5,5
401,DIS,2019-08-08,4,3,3,3,4,5,5
400,DIS,2019-08-09,4,3,3,3,4,5,5
399,DIS,2019-08-12,4,3,3,3,4,5,5
398,DIS,2019-08-13,4,3,3,3,4,5,5
397,DIS,2019-08-14,4,3,3,3,4,5,5
396,DIS,2019-08-15,4,3,3,3,4,5,5
395,DIS,2019-08-16,4,3,3,3,4,5,5
394,DIS,2019-08-19,4,3,3,3,4,5,5
393,DIS,2019-08-20,4,3,3,3,4,5,5
392,DIS,2019-08-21,4,3,3,3,4,5,5
391,DIS,2019-08-22,4,3,3,3,4,5,5
390,DIS,2019-08-23,4,3,3,3,4,5,5
389,DIS,2019-08-26,4,3,3,3,4,5,5
388,DIS,2019-08-27,4,3,3,3,4,5,5
387,DIS,2019-08-28,4,3,3,3,4,5,5
386,DIS,2019-08-29,4,3,3,3,4,5,5
385,DIS,2019-08-30,4,3,3,3,4,5,5
384,DIS,2019-09-03,4,3,3,3,4,5,5
383,DIS,2019-09-04,4,3,3,3,4,5,5
382,DIS,2019-09-05,4,3,3,3,4,5,5
381,DIS,2019-09-06,4,3,3,3,4,5,5
380,DIS,2019-09-09,4,3,3,3,4,5,5
379,DIS,2019-09-10,4,3,3,3,4,5,5
378,DIS,2019-09-11,4,3,3,3,4,5,5
377,DIS,2019-09-12,4,3,3,3,4,5,5
376,DIS,2019-09-13,4,3,3,3,4,5,5
375,DIS,2019-09-16,4,3,3,3,4,5,5
374,DIS,2019-09-17,4,3,3,3,4,5,5
373,DIS,2019-09-18,4,3,3,3,4,5,5
372,DIS,2019-09-19,4,3,3,3,4,5,5
371,DIS,2019-09-20,4,3,3,3,4,5,5
370,DIS,2019-09-23,4,3,3,3,4,5,5
369,DIS,2019-09-24,4,3,3,3,4,5,5
368,DIS,2019-09-25,4,3,3,3,4,5,5
367,DIS,2019-09-26,4,3,3,3,4,5,5
366,DIS,2019-09-27,4,3,3,3,4,5,5
365,DIS,2019-09-30,4,3,3,3,4,5,5
364,DIS,2019-10-01,4,3,3,3,4,5,5
363,DIS,2019-10-02,4,3,3,3,4,5,5
362,DIS,2019-10-03,4,3,3,3,4,5,5
361,DIS,2019-10-04,4,3,3,3,4,5,5
360,DIS,2019-10-07,4,3,3,3,4,5,5
359,DIS,2019-10-08,4,3,3,3,4,5,5
358,DIS,2019-10-09,4,3,3,3,4,5,5
357,DIS,2019-10-10,4,3,3,3,4,5,5
356,DIS,2019-10-11,4,3,3,3,4,5,5
355,DIS,2019-10-14,4,3,3,3,4,5,5
354,DIS,2019-10-15,4,3,3,3,4,5,5
353,DIS,2019-10-16,4,3,3,3,4,5,5
352,DIS,2019-10-17,4,3,3,3,4,5,5
351,DIS,2019-10-18,4,3,3,3,4,5,5
350,DIS,2019-10-21,4,3,3,3,4,5,5
349,DIS,2019-10-22,4,3,3,3,4,5,5
348,DIS,2019-10-23,4,3,3,3,4,5,5
347,DIS,2019-10-24,4,3,3,3,4,5,5
346,DIS,2019-10-25,4,3,3,3,4,5,5
345,DIS,2019-10-28,4,3,3,3,4,5,5
344,DIS,2019-10-29,4,3,3,3,4,5,5
343,DIS,2019-10-30,4,3,3,3,4,5,5
342,DIS,2019-10-31,4,3,3,3,4,5,5
341,DIS,2019-11-01,4,3,3,3,4,5,5
340,DIS,2019-11-04,4,3,3,3,4,5,5
339,DIS,2019-11-05,4,3,3,3,4,5,5
338,DIS,2019-11-06,4,3,3,3,4,5,5
337,DIS,2019-11-07,4,3,3,3,4,5,5
336,DIS,2019-11-08,4,3,3,3,4,5,5
335,DIS,2019-11-11,4,3,3,3,4,5,5
334,DIS,2019-11-12,4,3,3,3,4,5,5
