,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
2187,FB,2012-07-02,4,3,3,3,3,5,5
2186,FB,2012-07-03,4,3,3,3,3,5,5
2185,FB,2012-07-05,4,3,3,3,3,5,5
2184,FB,2012-07-06,4,3,3,3,3,5,5
2183,FB,2012-07-09,4,3,3,3,3,5,5
2182,FB,2012-07-10,4,3,3,3,3,5,5
2181,FB,2012-07-11,4,3,3,3,3,5,5
2180,FB,2012-07-12,4,3,3,3,3,5,5
2179,FB,2012-07-13,4,3,3,3,3,5,5
2178,FB,2012-07-16,4,3,3,3,3,5,5
2177,FB,2012-07-17,4,3,3,3,3,5,5
2176,FB,2012-07-18,4,3,3,3,3,5,5
2175,FB,2012-07-19,4,3,3,3,3,5,5
2174,FB,2012-07-20,4,3,3,3,3,5,5
2173,FB,2012-07-23,4,3,3,3,3,5,5
2172,FB,2012-07-24,4,3,3,3,3,5,5
2171,FB,2012-07-25,4,3,3,3,3,5,5
2170,FB,2012-07-26,4,3,3,3,3,5,5
2169,FB,2012-07-27,4,3,3,3,3,5,5
2168,FB,2012-07-30,4,4,3,3,3,5,5
2167,FB,2012-07-31,4,4,3,3,3,5,5
2166,FB,2012-08-01,4,4,3,3,3,5,5
2165,FB,2012-08-02,4,4,3,3,3,5,5
2164,FB,2012-08-03,4,4,3,3,3,5,5
2163,FB,2012-08-06,4,4,3,3,3,5,5
2162,FB,2012-08-07,4,4,3,3,3,5,5
2161,FB,2012-08-08,4,4,3,3,3,5,5
2160,FB,2012-08-09,4,4,3,3,3,5,5
2159,FB,2012-08-10,4,4,3,3,3,5,5
2158,FB,2012-08-13,4,4,3,3,3,5,5
2157,FB,2012-08-14,4,4,3,3,3,5,5
2156,FB,2012-08-15,4,4,3,3,3,5,5
2155,FB,2012-08-16,4,4,3,3,3,5,5
2154,FB,2012-08-17,4,4,3,3,3,5,5
2153,FB,2012-08-20,4,4,3,3,3,5,5
2152,FB,2012-08-21,4,4,3,3,3,5,5
2151,FB,2012-08-22,4,4,3,3,3,5,5
2150,FB,2012-08-23,4,4,3,3,3,5,5
2149,FB,2012-08-24,4,4,3,3,3,5,5
2148,FB,2012-08-27,4,4,3,3,3,5,5
2147,FB,2012-08-28,4,4,3,3,3,5,5
2146,FB,2012-08-29,4,4,3,3,3,5,5
2145,FB,2012-08-30,4,4,3,3,3,5,5
2144,FB,2012-08-31,4,4,3,3,3,5,5
2143,FB,2012-09-04,4,4,3,3,3,5,5
2142,FB,2012-09-05,4,4,3,3,3,5,5
2141,FB,2012-09-06,4,4,3,3,3,5,5
2140,FB,2012-09-07,4,4,3,3,3,5,5
2139,FB,2012-09-10,4,4,3,3,3,5,5
