,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
1371,GOOG,2015-09-30,4,4,3,3,3,5,5
1370,GOOG,2015-10-01,4,4,3,3,3,5,5
1369,GOOG,2015-10-02,4,4,3,3,3,5,5
1368,GOOG,2015-10-05,4,4,3,3,3,5,5
1367,GOOG,2015-10-06,4,4,3,3,3,5,5
1366,GOOG,2015-10-07,4,4,3,3,3,5,5
1365,GOOG,2015-10-08,4,4,3,3,3,5,5
1364,GOOG,2015-10-09,4,4,3,3,3,5,5
1363,GOOG,2015-10-12,4,4,3,3,3,5,5
1362,GOOG,2015-10-13,4,4,3,3,3,5,5
1361,GOOG,2015-10-14,4,4,3,3,3,5,5
1360,GOOG,2015-10-15,4,4,3,3,3,5,5
1359,GOOG,2015-10-16,4,4,3,3,3,5,5
1358,GOOG,2015-10-19,4,4,3,3,3,5,5
1357,GOOG,2015-10-20,4,4,3,3,3,5,5
1356,GOOG,2015-10-21,4,4,3,3,3,5,5
1355,GOOG,2015-10-22,4,4,3,3,3,5,5
1354,GOOG,2015-10-23,4,4,3,3,3,5,5
1353,GOOG,2015-10-26,4,4,3,3,3,5,5
1352,GOOG,2015-10-27,4,4,3,3,3,5,5
1351,GOOG,2015-10-28,4,4,3,3,3,5,5
1350,GOOG,2015-10-29,4,4,3,3,3,5,5
1349,GOOG,2015-10-30,4,4,3,3,3,5,5
1348,GOOG,2015-11-02,4,4,3,3,3,5,5
1347,GOOG,2015-11-03,4,4,3,3,3,5,5
1346,GOOG,2015-11-04,4,4,3,3,3,5,5
1345,GOOG,2015-11-05,4,4,3,3,3,5,5
1344,GOOG,2015-11-06,4,4,3,3,3,5,5
1343,GOOG,2015-11-09,4,4,3,3,3,5,5
1342,GOOG,2015-11-10,4,4,3,3,3,5,5
1341,GOOG,2015-11-11,4,4,3,3,3,5,5
1340,GOOG,2015-11-12,4,4,3,3,3,5,5
1339,GOOG,2015-11-13,4,4,3,3,3,5,5
1338,GOOG,2015-11-16,4,4,3,3,3,5,5
1337,GOOG,2015-11-17,4,4,3,3,3,5,5
1336,GOOG,2015-11-18,4,4,3,3,3,5,5
1335,GOOG,2015-11-19,4,4,3,3,3,5,5
1334,GOOG,2015-11-20,4,4,3,3,3,5,5
1333,GOOG,2015-11-23,4,4,3,3,3,5,5
1332,GOOG,2015-11-24,4,4,3,3,3,5,5
1331,GOOG,2015-11-25,4,4,3,3,3,5,5
1330,GOOG,2015-11-27,4,4,3,3,3,5,5
1329,GOOG,2015-11-30,4,4,3,3,3,5,5
1328,GOOG,2015-12-01,4,4,3,3,3,5,5
1327,GOOG,2015-12-02,4,4,3,3,3,5,5
1326,GOOG,2015-12-03,4,4,3,3,3,5,5
1325,GOOG,2015-12-04,4,4,3,3,3,5,5
1324,GOOG,2015-12-07,4,4,3,3,3,5,5
1323,GOOG,2015-12-08,4,4,3,3,3,5,5
1322,GOOG,2015-12-09,4,4,3,3,3,5,5
1321,GOOG,2015-12-10,4,4,3,3,3,5,5
1320,GOOG,2015-12-11,4,4,3,3,3,5,5
