,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
1367,GOOGL,2015-09-30,4,5,3,3,3,5,5
1366,GOOGL,2015-10-01,4,5,3,3,3,5,5
1365,GOOGL,2015-10-02,4,5,3,3,3,5,5
1364,GOOGL,2015-10-05,4,5,3,3,3,5,5
1363,GOOGL,2015-10-06,4,5,3,3,3,5,5
1362,GOOGL,2015-10-07,4,5,3,3,3,5,5
1361,GOOGL,2015-10-08,4,5,3,3,3,5,5
1360,GOOGL,2015-10-09,4,5,3,3,3,5,5
1359,GOOGL,2015-10-12,4,5,3,3,3,5,5
1358,GOOGL,2015-10-13,4,5,3,3,3,5,5
1357,GOOGL,2015-10-14,4,5,3,3,3,5,5
1356,GOOGL,2015-10-15,4,5,3,3,3,5,5
1355,GOOGL,2015-10-16,4,5,3,3,3,5,5
1354,GOOGL,2015-10-19,4,5,3,3,3,5,5
1353,GOOGL,2015-10-20,4,5,3,3,3,5,5
1352,GOOGL,2015-10-21,4,5,3,3,3,5,5
1351,GOOGL,2015-10-22,4,5,3,3,3,5,5
1350,GOOGL,2015-10-23,4,5,3,3,3,5,5
1349,GOOGL,2015-10-26,4,5,3,3,3,5,5
1348,GOOGL,2015-10-27,4,5,3,3,3,5,5
1347,GOOGL,2015-10-28,4,5,3,3,3,5,5
1346,GOOGL,2015-10-29,4,5,3,3,3,5,5
1345,GOOGL,2015-10-30,4,5,3,3,3,5,5
1344,GOOGL,2015-11-02,4,5,3,3,3,5,5
1343,GOOGL,2015-11-03,4,5,3,3,3,5,5
1342,GOOGL,2015-11-04,4,5,3,3,3,5,5
1341,GOOGL,2015-11-05,4,5,3,3,3,5,5
1340,GOOGL,2015-11-06,4,5,3,3,3,5,5
1339,GOOGL,2015-11-09,4,5,3,3,3,5,5
1338,GOOGL,2015-11-10,4,5,3,3,3,5,5
1337,GOOGL,2015-11-11,4,5,3,3,3,5,5
1336,GOOGL,2015-11-12,4,5,3,3,3,5,5
1335,GOOGL,2015-11-13,4,5,3,3,3,5,5
1334,GOOGL,2015-11-16,4,5,3,3,3,5,5
1333,GOOGL,2015-11-17,4,5,3,3,3,5,5
1332,GOOGL,2015-11-18,4,5,3,3,3,5,5
1331,GOOGL,2015-11-19,4,5,3,3,3,5,5
1330,GOOGL,2015-11-20,4,5,3,3,3,5,5
1329,GOOGL,2015-11-23,4,5,3,3,3,5,5
1328,GOOGL,2015-11-24,4,5,3,3,3,5,5
1327,GOOGL,2015-11-25,4,5,3,3,3,5,5
1326,GOOGL,2015-11-27,4,5,3,3,3,5,5
1325,GOOGL,2015-11-30,4,5,3,3,3,5,5
1324,GOOGL,2015-12-01,4,5,3,3,3,5,5
1323,GOOGL,2015-12-02,4,5,3,3,3,5,5
1322,GOOGL,2015-12-03,4,5,3,3,3,5,5
1321,GOOGL,2015-12-04,4,5,3,3,3,5,5
1320,GOOGL,2015-12-07,4,5,3,3,3,5,5
1319,GOOGL,2015-12-08,4,5,3,3,3,5,5
1318,GOOGL,2015-12-09,4,5,3,3,3,5,5
1317,GOOGL,2015-12-10,4,5,3,3,3,5,5
1316,GOOGL,2015-12-11,4,5,3,3,3,5,5
1315,GOOGL,2015-12-14,4,5,3,3,3,5,5
1314,GOOGL,2015-12-15,4,5,3,3,3,5,5
1313,GOOGL,2015-12-16,4,5,3,3,3,5,5
1312,GOOGL,2015-12-17,4,5,3,3,3,5,5
1311,GOOGL,2015-12-18,4,5,3,3,3,5,5
1310,GOOGL,2015-12-21,4,5,3,3,3,5,5
1309,GOOGL,2015-12-22,4,5,3,3,3,5,5
1308,GOOGL,2015-12-23,4,5,3,3,3,5,5
1307,GOOGL,2015-12-24,4,5,3,3,3,5,5
1306,GOOGL,2015-12-28,4,5,3,3,3,5,5
1305,GOOGL,2015-12-29,4,5,3,3,3,5,5
1304,GOOGL,2015-12-30,4,5,3,3,3,5,5
1303,GOOGL,2015-12-31,4,5,3,3,3,5,5
1302,GOOGL,2016-01-04,4,5,3,3,3,5,5
1301,GOOGL,2016-01-05,4,5,3,3,3,5,5
1300,GOOGL,2016-01-06,4,5,3,3,3,5,5
1299,GOOGL,2016-01-07,4,5,3,3,3,5,5
1298,GOOGL,2016-01-08,4,5,3,3,3,5,5
1297,GOOGL,2016-01-11,4,5,3,3,3,5,5
1296,GOOGL,2016-01-12,4,5,3,3,3,5,5
1295,GOOGL,2016-01-13,4,5,3,3,3,5,5
1294,GOOGL,2016-01-14,4,5,3,3,3,5,5
1293,GOOGL,2016-01-15,4,5,3,3,3,5,5
1292,GOOGL,2016-01-19,4,5,3,3,3,5,5
1291,GOOGL,2016-01-20,4,5,3,3,3,5,5
1290,GOOGL,2016-01-21,4,5,3,3,3,5,5
1289,GOOGL,2016-01-22,4,5,3,3,3,5,5
1288,GOOGL,2016-01-25,4,5,3,3,3,5,5
1287,GOOGL,2016-01-26,4,5,3,3,3,5,5
1286,GOOGL,2016-01-27,4,5,3,3,3,5,5
1285,GOOGL,2016-01-28,4,5,3,3,3,5,5
1284,GOOGL,2016-01-29,4,5,3,3,3,5,5
1283,GOOGL,2016-02-01,4,5,3,3,3,5,5
1282,GOOGL,2016-02-02,4,5,3,3,3,5,5
1281,GOOGL,2016-02-03,4,5,3,3,3,5,5
1280,GOOGL,2016-02-04,4,5,3,3,3,5,5
1279,GOOGL,2016-02-05,4,5,3,3,3,5,5
1278,GOOGL,2016-02-08,4,5,3,3,3,5,5
1277,GOOGL,2016-02-09,4,5,3,3,3,5,5
1276,GOOGL,2016-02-10,4,5,3,3,3,5,5
1275,GOOGL,2016-02-11,4,5,3,3,3,5,5
1274,GOOGL,2016-02-12,4,5,3,3,3,5,5
1273,GOOGL,2016-02-16,4,5,3,3,3,5,5
1272,GOOGL,2016-02-17,4,5,3,3,3,5,5
1271,GOOGL,2016-02-18,4,5,3,3,3,5,5
1270,GOOGL,2016-02-19,4,5,3,3,3,5,5
1269,GOOGL,2016-02-22,4,5,3,3,3,5,5
1268,GOOGL,2016-02-23,4,5,3,3,3,5,5
1267,GOOGL,2016-02-24,4,5,3,3,3,5,5
1266,GOOGL,2016-02-25,4,5,3,3,3,5,5
1265,GOOGL,2016-02-26,4,5,3,3,3,5,5
1264,GOOGL,2016-02-29,4,5,3,3,3,5,5
1263,GOOGL,2016-03-01,4,5,3,3,3,5,5
1262,GOOGL,2016-03-02,4,5,3,3,3,5,5
1261,GOOGL,2016-03-03,4,5,3,3,3,5,5
1260,GOOGL,2016-03-04,4,5,3,3,3,5,5
1259,GOOGL,2016-03-07,4,5,3,3,3,5,5
1258,GOOGL,2016-03-08,4,5,3,3,3,5,5
1257,GOOGL,2016-03-09,4,5,3,3,3,5,5
1256,GOOGL,2016-03-10,4,5,3,3,3,5,5
1255,GOOGL,2016-03-11,4,5,3,3,3,5,5
1254,GOOGL,2016-03-14,4,5,3,3,3,5,5
1253,GOOGL,2016-03-15,4,5,3,3,3,5,5
1252,GOOGL,2016-03-16,4,5,3,3,3,5,5
1251,GOOGL,2016-03-17,4,5,3,3,3,5,5
1250,GOOGL,2016-03-18,4,5,3,3,3,5,5
1249,GOOGL,2016-03-21,4,5,3,3,3,5,5
1248,GOOGL,2016-03-22,4,5,3,3,3,5,5
1247,GOOGL,2016-03-23,4,5,3,3,3,5,5
1246,GOOGL,2016-03-24,4,5,3,3,3,5,5
1245,GOOGL,2016-03-28,4,5,3,3,3,5,5
1244,GOOGL,2016-03-29,4,5,3,3,3,5,5
1243,GOOGL,2016-03-30,4,5,3,3,3,5,5
1242,GOOGL,2016-03-31,4,5,3,3,3,5,5
1241,GOOGL,2016-04-01,4,5,3,3,3,5,5
1240,GOOGL,2016-04-04,4,5,3,3,3,5,5
1239,GOOGL,2016-04-05,4,5,3,3,3,5,5
1238,GOOGL,2016-04-06,4,5,3,3,3,5,5
1237,GOOGL,2016-04-07,4,5,3,3,3,5,5
1236,GOOGL,2016-04-08,4,5,3,3,3,5,5
1235,GOOGL,2016-04-11,4,5,3,3,3,5,5
1234,GOOGL,2016-04-12,4,5,3,3,3,5,5
1233,GOOGL,2016-04-13,4,5,3,3,3,5,5
1232,GOOGL,2016-04-14,4,5,3,3,3,5,5
1231,GOOGL,2016-04-15,4,5,3,3,3,5,5
1230,GOOGL,2016-04-18,4,5,3,3,3,5,5
1229,GOOGL,2016-04-19,4,5,3,3,3,5,5
1228,GOOGL,2016-04-20,4,5,3,3,3,5,5
1227,GOOGL,2016-04-21,4,5,3,3,3,5,5
1226,GOOGL,2016-04-22,4,5,3,3,3,5,5
1225,GOOGL,2016-04-25,4,5,3,3,3,5,5
1224,GOOGL,2016-04-26,4,5,3,3,3,5,5
1223,GOOGL,2016-04-27,4,5,3,3,3,5,5
1222,GOOGL,2016-04-28,4,5,3,3,3,5,5
1221,GOOGL,2016-04-29,4,5,3,3,3,5,5
1220,GOOGL,2016-05-02,4,5,3,3,3,5,5
1219,GOOGL,2016-05-03,4,5,3,3,3,5,5
1218,GOOGL,2016-05-04,4,5,3,3,3,5,5
1217,GOOGL,2016-05-05,4,5,3,3,3,5,5
1216,GOOGL,2016-05-06,4,5,3,3,3,5,5
1215,GOOGL,2016-05-09,4,5,3,3,3,5,5
1214,GOOGL,2016-05-10,4,5,3,3,3,5,5
1213,GOOGL,2016-05-11,4,5,3,3,3,5,5
1212,GOOGL,2016-05-12,4,5,3,3,3,5,5
1211,GOOGL,2016-05-13,4,5,3,3,3,5,5
1210,GOOGL,2016-05-16,4,5,3,3,3,5,5
1209,GOOGL,2016-05-17,4,5,3,3,3,5,5
1208,GOOGL,2016-05-18,4,5,3,3,3,5,5
1207,GOOGL,2016-05-19,4,5,3,3,3,5,5
1206,GOOGL,2016-05-20,4,5,3,3,3,5,5
1205,GOOGL,2016-05-23,4,5,3,3,3,5,5
1204,GOOGL,2016-05-24,4,5,3,3,3,5,5
1203,GOOGL,2016-05-25,4,5,3,3,3,5,5
1202,GOOGL,2016-05-26,4,5,3,3,3,5,5
1201,GOOGL,2016-05-27,4,5,3,3,3,5,5
1200,GOOGL,2016-05-31,4,5,3,3,3,5,5
1199,GOOGL,2016-06-01,4,5,3,3,3,5,5
1198,GOOGL,2016-06-02,4,5,3,3,3,5,5
1197,GOOGL,2016-06-03,4,5,3,3,3,5,5
1196,GOOGL,2016-06-06,4,5,3,3,3,5,5
1195,GOOGL,2016-06-07,4,5,3,3,3,5,5
1194,GOOGL,2016-06-08,4,5,3,3,3,5,5
1193,GOOGL,2016-06-09,4,5,3,3,3,5,5
1192,GOOGL,2016-06-10,4,5,3,3,3,5,5
1191,GOOGL,2016-06-13,4,5,3,3,3,5,5
1190,GOOGL,2016-06-14,4,5,3,3,3,5,5
1189,GOOGL,2016-06-15,4,5,3,3,3,5,5
1188,GOOGL,2016-06-16,4,5,3,3,3,5,5
1187,GOOGL,2016-06-17,4,5,3,3,3,5,5
1186,GOOGL,2016-06-20,4,5,3,3,3,5,5
1185,GOOGL,2016-06-21,4,5,3,3,3,5,5
1184,GOOGL,2016-06-22,4,5,3,3,3,5,5
1183,GOOGL,2016-06-23,4,5,3,3,3,5,5
1182,GOOGL,2016-06-24,4,5,3,3,3,5,5
1181,GOOGL,2016-06-27,4,5,3,3,3,5,5
1180,GOOGL,2016-06-28,4,5,3,3,3,5,5
1179,GOOGL,2016-06-29,4,5,3,3,3,5,5
1178,GOOGL,2016-06-30,4,5,3,3,3,5,5
1177,GOOGL,2016-07-01,4,5,3,3,3,5,5
1176,GOOGL,2016-07-05,4,5,3,3,3,5,5
1175,GOOGL,2016-07-06,4,5,3,3,3,5,5
1174,GOOGL,2016-07-07,4,5,3,3,3,5,5
1173,GOOGL,2016-07-08,4,5,3,3,3,5,5
1172,GOOGL,2016-07-11,4,5,3,3,3,5,5
1171,GOOGL,2016-07-12,4,5,3,3,3,5,5
1170,GOOGL,2016-07-13,4,5,3,3,3,5,5
1169,GOOGL,2016-07-14,4,5,3,3,3,5,5
1168,GOOGL,2016-07-15,4,5,3,3,3,5,5
1167,GOOGL,2016-07-18,4,5,3,3,3,5,5
1166,GOOGL,2016-07-19,4,5,3,3,3,5,5
1165,GOOGL,2016-07-20,4,5,3,3,3,5,5
1164,GOOGL,2016-07-21,4,5,3,3,3,5,5
1163,GOOGL,2016-07-22,4,5,3,3,3,5,5
1162,GOOGL,2016-07-25,4,5,3,3,3,5,5
1161,GOOGL,2016-07-26,4,5,3,3,3,5,5
1160,GOOGL,2016-07-27,4,5,3,3,3,5,5
1159,GOOGL,2016-07-28,4,5,3,3,3,5,5
1158,GOOGL,2016-07-29,4,5,3,3,3,5,5
1157,GOOGL,2016-08-01,4,5,3,3,3,5,5
1156,GOOGL,2016-08-02,4,5,3,3,3,5,5
1155,GOOGL,2016-08-03,4,5,3,3,3,5,5
1154,GOOGL,2016-08-04,4,5,3,3,3,5,5
1153,GOOGL,2016-08-05,4,5,3,3,3,5,5
1152,GOOGL,2016-08-08,4,5,3,3,3,5,5
1151,GOOGL,2016-08-09,4,5,3,3,3,5,5
1150,GOOGL,2016-08-10,4,5,3,3,3,5,5
1149,GOOGL,2016-08-11,4,5,3,3,3,5,5
1148,GOOGL,2016-08-12,4,5,3,3,3,5,5
1147,GOOGL,2016-08-15,4,5,3,3,3,5,5
1146,GOOGL,2016-08-16,4,5,3,3,3,5,5
1145,GOOGL,2016-08-17,4,5,3,3,3,5,5
1144,GOOGL,2016-08-18,4,5,3,3,3,5,5
1143,GOOGL,2016-08-19,4,5,3,3,3,5,5
1142,GOOGL,2016-08-22,4,5,3,3,3,5,5
1141,GOOGL,2016-08-23,4,5,3,3,3,5,5
1140,GOOGL,2016-08-24,4,5,3,3,3,5,5
1139,GOOGL,2016-08-25,4,5,3,3,3,5,5
1138,GOOGL,2016-08-26,4,5,3,3,3,5,5
1137,GOOGL,2016-08-29,4,5,3,3,3,5,5
1136,GOOGL,2016-08-30,4,5,3,3,3,5,5
1135,GOOGL,2016-08-31,4,5,3,3,3,5,5
1134,GOOGL,2016-09-01,4,5,3,3,3,5,5
1133,GOOGL,2016-09-02,4,5,3,3,3,5,5
1132,GOOGL,2016-09-06,4,5,3,3,3,5,5
1131,GOOGL,2016-09-07,4,5,3,3,3,5,5
1130,GOOGL,2016-09-08,4,5,3,3,3,5,5
1129,GOOGL,2016-09-09,4,5,3,3,3,5,5
1128,GOOGL,2016-09-12,4,5,3,3,3,5,5
1127,GOOGL,2016-09-13,4,5,3,3,3,5,5
1126,GOOGL,2016-09-14,4,5,3,3,3,5,5
1125,GOOGL,2016-09-15,4,5,3,3,3,5,5
1124,GOOGL,2016-09-16,4,5,3,3,3,5,5
1123,GOOGL,2016-09-19,4,5,3,3,3,5,5
1122,GOOGL,2016-09-20,4,5,3,3,3,5,5
1121,GOOGL,2016-09-21,4,5,3,3,3,5,5
1120,GOOGL,2016-09-22,4,5,3,3,3,5,5
1119,GOOGL,2016-09-23,4,5,3,3,3,5,5
1118,GOOGL,2016-09-26,4,5,3,3,3,5,5
1117,GOOGL,2016-09-27,4,5,3,3,3,5,5
1116,GOOGL,2016-09-28,4,5,3,3,3,5,5
1115,GOOGL,2016-09-29,4,5,3,3,3,5,5
1114,GOOGL,2016-09-30,4,5,3,3,3,5,5
1113,GOOGL,2016-10-03,4,5,3,3,3,5,5
1112,GOOGL,2016-10-04,4,5,3,3,3,5,5
1111,GOOGL,2016-10-05,4,5,3,3,3,5,5
1110,GOOGL,2016-10-06,4,5,3,3,3,5,5
1109,GOOGL,2016-10-07,4,5,3,3,3,5,5
1108,GOOGL,2016-10-10,4,5,3,3,3,5,5
1107,GOOGL,2016-10-11,4,5,3,3,3,5,5
1106,GOOGL,2016-10-12,4,5,3,3,3,5,5
1105,GOOGL,2016-10-13,4,5,3,3,3,5,5
1104,GOOGL,2016-10-14,4,5,3,3,3,5,5
1103,GOOGL,2016-10-17,4,5,3,3,3,5,5
1102,GOOGL,2016-10-18,4,5,3,3,3,5,5
1101,GOOGL,2016-10-19,4,5,3,3,3,5,5
1100,GOOGL,2016-10-20,4,5,3,3,3,5,5
1099,GOOGL,2016-10-21,4,5,3,3,3,5,5
1098,GOOGL,2016-10-24,4,5,3,3,3,5,5
1097,GOOGL,2016-10-25,4,5,3,3,3,5,5
1096,GOOGL,2016-10-26,4,5,3,3,3,5,5
1095,GOOGL,2016-10-27,4,5,3,3,3,5,5
1094,GOOGL,2016-10-28,4,5,3,3,3,5,5
1093,GOOGL,2016-10-31,4,5,3,3,3,5,5
1092,GOOGL,2016-11-01,4,5,3,3,3,5,5
1091,GOOGL,2016-11-02,4,5,3,3,3,5,5
1090,GOOGL,2016-11-03,4,5,3,3,3,5,5
1089,GOOGL,2016-11-04,4,5,3,3,3,5,5
1088,GOOGL,2016-11-07,4,5,3,3,3,5,5
1087,GOOGL,2016-11-08,4,5,3,3,3,5,5
1086,GOOGL,2016-11-09,4,5,3,3,3,5,5
1085,GOOGL,2016-11-10,4,5,3,3,3,5,5
1084,GOOGL,2016-11-11,4,5,3,3,3,5,5
1083,GOOGL,2016-11-14,4,5,3,3,3,5,5
1082,GOOGL,2016-11-15,4,5,3,3,3,5,5
1081,GOOGL,2016-11-16,4,5,3,3,3,5,5
1080,GOOGL,2016-11-17,4,5,3,3,3,5,5
1079,GOOGL,2016-11-18,4,5,3,3,3,5,5
1078,GOOGL,2016-11-21,4,5,3,3,3,5,5
1077,GOOGL,2016-11-22,4,5,3,3,3,5,5
1076,GOOGL,2016-11-23,4,5,3,3,3,5,5
1075,GOOGL,2016-11-25,4,5,3,3,3,5,5
1074,GOOGL,2016-11-28,4,5,3,3,3,5,5
1073,GOOGL,2016-11-29,4,5,3,3,3,5,5
1072,GOOGL,2016-11-30,4,5,3,3,3,5,5
1071,GOOGL,2016-12-01,4,5,3,3,3,5,5
1070,GOOGL,2016-12-02,4,5,3,3,3,5,5
1069,GOOGL,2016-12-05,4,5,3,3,3,5,5
1068,GOOGL,2016-12-06,4,5,3,3,3,5,5
1067,GOOGL,2016-12-07,4,5,3,3,3,5,5
1066,GOOGL,2016-12-08,4,5,3,3,3,5,5
1065,GOOGL,2016-12-09,4,5,3,3,3,5,5
1064,GOOGL,2016-12-12,4,5,3,3,3,5,5
1063,GOOGL,2016-12-13,4,5,3,3,3,5,5
1062,GOOGL,2016-12-14,4,5,3,3,3,5,5
1061,GOOGL,2016-12-15,4,5,3,3,3,5,5
1060,GOOGL,2016-12-16,4,5,3,3,3,5,5
1059,GOOGL,2016-12-19,4,5,3,3,3,5,5
1058,GOOGL,2016-12-20,4,5,3,3,3,5,5
1057,GOOGL,2016-12-21,4,5,3,3,3,5,5
1056,GOOGL,2016-12-22,4,5,3,3,3,5,5
1055,GOOGL,2016-12-23,4,5,3,3,3,5,5
1054,GOOGL,2016-12-27,4,5,3,3,3,5,5
1053,GOOGL,2016-12-28,4,5,3,3,3,5,5
1052,GOOGL,2016-12-29,4,5,3,3,3,5,5
1051,GOOGL,2016-12-30,4,5,3,3,3,5,5
1050,GOOGL,2017-01-03,4,5,3,3,3,5,5
