,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4999,HD,2001-04-23,4,3,3,3,3,5,5
4998,HD,2001-04-24,4,3,3,3,3,5,5
4997,HD,2001-04-25,4,3,3,3,3,5,5
4996,HD,2001-04-26,4,3,3,3,3,5,5
4995,HD,2001-04-27,4,3,3,3,3,5,5
4994,HD,2001-04-30,4,3,3,3,3,5,5
4993,HD,2001-05-01,4,3,3,3,3,5,5
4992,HD,2001-05-02,4,3,3,3,3,5,5
4991,HD,2001-05-03,4,3,3,3,3,5,5
4990,HD,2001-05-04,4,3,3,3,3,5,5
4989,HD,2001-05-07,4,3,3,3,3,5,5
4988,HD,2001-05-08,4,3,3,3,3,5,5
4987,HD,2001-05-09,4,3,3,3,3,5,5
4986,HD,2001-05-10,4,3,3,3,3,5,5
4985,HD,2001-05-11,4,3,3,3,3,5,5
4984,HD,2001-05-14,4,3,3,3,3,5,5
4983,HD,2001-05-15,4,3,3,3,3,5,5
4982,HD,2001-05-16,4,3,3,3,3,5,5
4981,HD,2001-05-17,4,3,3,3,3,5,5
4980,HD,2001-05-18,4,3,3,3,3,5,5
4979,HD,2001-05-21,4,3,3,3,3,5,5
4978,HD,2001-05-22,4,3,3,3,3,5,5
4977,HD,2001-05-23,4,3,3,3,3,5,5
4976,HD,2001-05-24,4,3,3,3,3,5,5
4975,HD,2001-05-25,4,3,3,3,3,5,5
4974,HD,2001-05-29,4,3,3,3,3,5,5
4973,HD,2001-05-30,4,3,3,3,3,5,5
4972,HD,2001-05-31,4,3,3,3,3,5,5
4971,HD,2001-06-01,4,3,3,3,3,5,5
4970,HD,2001-06-04,4,3,3,3,3,5,5
4969,HD,2001-06-05,4,3,3,3,3,5,5
4968,HD,2001-06-06,4,3,3,3,3,5,5
4967,HD,2001-06-07,4,3,3,3,3,5,5
4966,HD,2001-06-08,4,3,3,3,3,5,5
4965,HD,2001-06-11,4,3,3,3,3,5,5
4964,HD,2001-06-12,4,3,3,3,3,5,5
4963,HD,2001-06-13,4,3,3,3,3,5,5
4962,HD,2001-06-14,4,3,3,3,3,5,5
4961,HD,2001-06-15,4,3,3,3,3,5,5
4960,HD,2001-06-18,4,3,3,3,3,5,5
4959,HD,2001-06-19,4,3,3,3,3,5,5
4958,HD,2001-06-20,4,3,3,3,3,5,5
4957,HD,2001-06-21,4,3,3,3,3,5,5
4956,HD,2001-06-22,4,3,3,3,3,5,5
4955,HD,2001-06-25,4,3,3,3,3,5,5
4954,HD,2001-06-26,4,3,3,3,3,5,5
4953,HD,2001-06-27,4,3,3,3,3,5,5
4952,HD,2001-06-28,4,3,3,3,3,5,5
4951,HD,2001-06-29,4,3,3,3,3,5,5
4950,HD,2001-07-02,4,3,3,3,3,5,5
4949,HD,2001-07-03,4,3,3,3,3,5,5
4948,HD,2001-07-05,4,3,3,3,3,5,5
4947,HD,2001-07-06,4,3,3,3,3,5,5
4946,HD,2001-07-09,4,3,3,3,3,5,5
4945,HD,2001-07-10,4,3,3,3,3,5,5
