,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4999,INTC,2001-04-27,3,3,3,3,4,1,5
4998,INTC,2001-04-30,3,3,3,3,4,1,5
4997,INTC,2001-05-01,3,3,3,3,4,1,5
4996,INTC,2001-05-02,3,3,3,3,4,1,5
4995,INTC,2001-05-03,3,3,3,3,4,1,5
4994,INTC,2001-05-04,3,3,3,3,4,1,5
4993,INTC,2001-05-07,3,3,3,3,4,1,5
4992,INTC,2001-05-08,3,3,3,3,4,1,5
4991,INTC,2001-05-09,3,3,3,3,4,1,5
4990,INTC,2001-05-10,3,3,3,3,4,1,5
4989,INTC,2001-05-11,3,3,3,3,4,1,5
4988,INTC,2001-05-14,3,3,3,3,4,1,5
4987,INTC,2001-05-15,3,3,3,3,4,1,5
4986,INTC,2001-05-16,3,3,3,3,4,1,5
4985,INTC,2001-05-17,3,3,3,3,4,1,5
4984,INTC,2001-05-18,3,3,3,3,4,1,5
4983,INTC,2001-05-21,3,3,3,3,4,1,5
4982,INTC,2001-05-22,3,3,3,3,4,1,5
4981,INTC,2001-05-23,3,3,3,3,4,1,5
4980,INTC,2001-05-24,3,3,3,3,4,1,5
4979,INTC,2001-05-25,3,3,3,3,4,1,5
4978,INTC,2001-05-29,3,3,3,3,4,1,5
4977,INTC,2001-05-30,3,3,3,3,4,1,5
4976,INTC,2001-05-31,3,3,3,3,4,1,5
4975,INTC,2001-06-01,3,3,3,3,4,1,5
4974,INTC,2001-06-04,3,3,3,3,4,1,5
4973,INTC,2001-06-05,3,3,3,3,4,1,5
4972,INTC,2001-06-06,3,3,3,3,4,1,5
4971,INTC,2001-06-07,3,3,3,3,4,1,5
4970,INTC,2001-06-08,3,3,3,3,4,1,5
4969,INTC,2001-06-11,3,3,3,3,4,1,5
4968,INTC,2001-06-12,3,3,3,3,4,1,5
4967,INTC,2001-06-13,3,3,3,3,4,1,5
4966,INTC,2001-06-14,3,3,3,3,4,1,5
4965,INTC,2001-06-15,3,3,3,3,4,1,5
4964,INTC,2001-06-18,3,3,3,3,4,1,5
4963,INTC,2001-06-19,3,3,3,3,4,1,5
4962,INTC,2001-06-20,3,3,3,3,4,1,5
4961,INTC,2001-06-21,3,3,3,3,4,1,5
4960,INTC,2001-06-22,3,3,3,3,4,1,5
4959,INTC,2001-06-25,3,3,3,3,4,1,5
4958,INTC,2001-06-26,3,3,3,3,4,1,5
4957,INTC,2001-06-27,3,3,3,3,4,1,5
4956,INTC,2001-06-28,3,3,3,3,4,1,5
4955,INTC,2001-06-29,3,3,3,3,4,1,5
4954,INTC,2001-07-02,4,3,3,3,4,5,5
4953,INTC,2001-07-03,4,3,3,3,4,5,5
4952,INTC,2001-07-05,4,3,3,3,4,5,5
4951,INTC,2001-07-06,4,3,3,3,4,5,5
4950,INTC,2001-07-09,4,3,3,3,4,5,5
4949,INTC,2001-07-10,4,3,3,3,4,5,5
4948,INTC,2001-07-11,4,3,3,3,4,5,5
4947,INTC,2001-07-12,4,3,3,3,4,5,5
4946,INTC,2001-07-13,4,3,3,3,4,5,5
4945,INTC,2001-07-16,4,3,3,3,4,5,5
4944,INTC,2001-07-17,4,3,3,3,4,5,5
4943,INTC,2001-07-18,4,3,3,3,4,5,5
4942,INTC,2001-07-19,4,3,3,3,4,5,5
4941,INTC,2001-07-20,4,3,3,3,4,5,5
4940,INTC,2001-07-23,4,3,3,3,4,5,5
4939,INTC,2001-07-24,4,3,3,3,4,5,5
4938,INTC,2001-07-25,4,3,3,3,4,5,5
4937,INTC,2001-07-26,4,3,3,3,4,5,5
4936,INTC,2001-07-27,4,3,3,3,4,5,5
4935,INTC,2001-07-30,4,3,3,3,4,5,5
4934,INTC,2001-07-31,4,3,3,3,4,5,5
4933,INTC,2001-08-01,4,3,3,3,4,5,5
4932,INTC,2001-08-02,4,3,3,3,4,5,5
4931,INTC,2001-08-03,4,3,3,3,4,5,5
4930,INTC,2001-08-06,4,3,3,3,4,5,5
4929,INTC,2001-08-07,4,3,3,3,4,5,5
4928,INTC,2001-08-08,4,3,3,3,4,5,5
4927,INTC,2001-08-09,4,3,3,3,4,5,5
4926,INTC,2001-08-10,4,3,3,3,4,5,5
4925,INTC,2001-08-13,4,3,3,3,4,5,5
4924,INTC,2001-08-14,4,3,3,3,4,5,5
4923,INTC,2001-08-15,4,3,3,3,4,5,5
4922,INTC,2001-08-16,4,3,3,3,4,5,5
4921,INTC,2001-08-17,4,3,3,3,4,5,5
4920,INTC,2001-08-20,4,3,3,3,4,5,5
4919,INTC,2001-08-21,4,3,3,3,4,5,5
4918,INTC,2001-08-22,4,3,3,3,4,5,5
4917,INTC,2001-08-23,4,3,3,3,4,5,5
4916,INTC,2001-08-24,4,3,3,3,4,5,5
4915,INTC,2001-08-27,4,3,3,3,4,5,5
4914,INTC,2001-08-28,4,3,3,3,4,5,5
4913,INTC,2001-08-29,4,3,3,3,4,5,5
4912,INTC,2001-08-30,4,3,3,3,4,5,5
4911,INTC,2001-08-31,4,3,3,3,4,5,5
4910,INTC,2001-09-04,4,3,3,3,4,5,5
4909,INTC,2001-09-05,4,3,3,3,4,5,5
4908,INTC,2001-09-06,4,3,3,3,4,5,5
4907,INTC,2001-09-07,4,3,3,3,4,5,5
4906,INTC,2001-09-10,4,3,3,3,4,5,5
4905,INTC,2001-09-17,4,3,3,3,4,5,5
4904,INTC,2001-09-18,4,3,3,3,4,5,5
4903,INTC,2001-09-19,4,3,3,3,4,5,5
4902,INTC,2001-09-20,4,3,3,3,4,5,5
4901,INTC,2001-09-21,4,3,3,3,4,5,5
4900,INTC,2001-09-24,4,3,3,3,4,5,5
4899,INTC,2001-09-25,4,3,3,3,4,5,5
4898,INTC,2001-09-26,4,3,3,3,4,5,5
4897,INTC,2001-09-27,4,3,3,3,4,5,5
4896,INTC,2001-09-28,4,3,3,3,4,5,5
4895,INTC,2001-10-01,4,3,3,3,4,5,5
4894,INTC,2001-10-02,4,3,3,3,4,5,5
