,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
3322,JNJ,2007-12-31,4,3,3,3,4,5,5
3321,JNJ,2008-01-02,4,3,3,3,4,5,5
3320,JNJ,2008-01-03,4,3,3,3,4,5,5
3319,JNJ,2008-01-04,4,3,3,3,4,5,5
3318,JNJ,2008-01-07,4,3,3,3,4,5,5
3317,JNJ,2008-01-08,4,3,3,3,4,5,5
3316,JNJ,2008-01-09,4,3,3,3,4,5,5
3315,JNJ,2008-01-10,4,3,3,3,4,5,5
3314,JNJ,2008-01-11,4,3,3,3,4,5,5
3313,JNJ,2008-01-14,4,3,3,3,4,5,5
3312,JNJ,2008-01-15,4,3,3,3,4,5,5
3311,JNJ,2008-01-16,4,3,3,3,4,5,5
3310,JNJ,2008-01-17,4,3,3,3,4,5,5
3309,JNJ,2008-01-18,4,3,3,3,4,5,5
3308,JNJ,2008-01-22,4,3,3,3,4,5,5
3307,JNJ,2008-01-23,4,3,3,3,4,5,5
3306,JNJ,2008-01-24,4,3,3,3,4,5,5
3305,JNJ,2008-01-25,4,3,3,3,4,5,5
3304,JNJ,2008-01-28,4,3,3,3,4,5,5
3303,JNJ,2008-01-29,4,3,3,3,4,5,5
3302,JNJ,2008-01-30,4,3,3,3,4,5,5
3301,JNJ,2008-01-31,4,3,3,3,4,5,5
3300,JNJ,2008-02-01,4,3,3,3,4,5,5
3299,JNJ,2008-02-04,4,3,3,3,4,5,5
3298,JNJ,2008-02-05,4,3,3,3,4,5,5
3297,JNJ,2008-02-06,4,3,3,3,4,5,5
3296,JNJ,2008-02-07,4,3,3,3,4,5,5
3295,JNJ,2008-02-08,4,3,3,3,4,5,5
3294,JNJ,2008-02-11,4,3,3,3,4,5,5
3293,JNJ,2008-02-12,4,3,3,3,4,5,5
3292,JNJ,2008-02-13,4,3,3,3,4,5,5
3291,JNJ,2008-02-14,4,3,3,3,4,5,5
3290,JNJ,2008-02-15,4,3,3,3,4,5,5
3289,JNJ,2008-02-19,4,3,3,3,4,5,5
3288,JNJ,2008-02-20,4,3,3,3,4,5,5
3287,JNJ,2008-02-21,4,3,3,3,4,5,5
3286,JNJ,2008-02-22,4,3,3,3,4,5,5
3285,JNJ,2008-02-25,4,3,3,3,4,5,5
3284,JNJ,2008-02-26,4,3,3,3,4,5,5
3283,JNJ,2008-02-27,4,3,3,3,4,5,5
3282,JNJ,2008-02-28,4,3,3,3,4,5,5
3281,JNJ,2008-02-29,4,3,3,3,4,5,5
3280,JNJ,2008-03-03,4,3,3,3,4,5,5
3279,JNJ,2008-03-04,4,3,3,3,4,5,5
3278,JNJ,2008-03-05,4,3,3,3,4,5,5
3277,JNJ,2008-03-06,4,3,3,3,4,5,5
3276,JNJ,2008-03-07,4,3,3,3,4,5,5
3275,JNJ,2008-03-10,4,3,3,3,4,5,5
3274,JNJ,2008-03-11,4,3,3,3,4,5,5
3273,JNJ,2008-03-12,4,3,3,3,4,5,5
3272,JNJ,2008-03-13,4,3,3,3,4,5,5
3271,JNJ,2008-03-14,4,3,3,3,4,5,5
3270,JNJ,2008-03-17,4,3,3,3,4,5,5
3269,JNJ,2008-03-18,4,3,3,3,4,5,5
3268,JNJ,2008-03-19,4,3,3,3,4,5,5
3267,JNJ,2008-03-20,4,3,3,3,4,5,5
3266,JNJ,2008-03-24,4,3,3,3,4,5,5
3265,JNJ,2008-03-25,4,3,3,3,4,5,5
3264,JNJ,2008-03-26,4,3,3,3,4,5,5
3263,JNJ,2008-03-27,4,3,3,3,4,5,5
3262,JNJ,2008-03-28,4,3,3,3,4,5,5
3261,JNJ,2008-03-31,4,4,3,3,4,5,5
3260,JNJ,2008-04-01,4,4,3,3,4,5,5
3259,JNJ,2008-04-02,4,4,3,3,4,5,5
3258,JNJ,2008-04-03,4,4,3,3,4,5,5
3257,JNJ,2008-04-04,4,4,3,3,4,5,5
3256,JNJ,2008-04-07,4,4,3,3,4,5,5
3255,JNJ,2008-04-08,4,4,3,3,4,5,5
3254,JNJ,2008-04-09,4,4,3,3,4,5,5
3253,JNJ,2008-04-10,4,4,3,3,4,5,5
3252,JNJ,2008-04-11,4,4,3,3,4,5,5
3251,JNJ,2008-04-14,4,4,3,3,4,5,5
3250,JNJ,2008-04-15,4,4,3,3,4,5,5
3249,JNJ,2008-04-16,4,4,3,3,4,5,5
3248,JNJ,2008-04-17,4,4,3,3,4,5,5
3247,JNJ,2008-04-18,4,4,3,3,4,5,5
3246,JNJ,2008-04-21,4,4,3,3,4,5,5
3245,JNJ,2008-04-22,4,4,3,3,4,5,5
3244,JNJ,2008-04-23,4,4,3,3,4,5,5
3243,JNJ,2008-04-24,4,4,3,3,4,5,5
3242,JNJ,2008-04-25,4,4,3,3,4,5,5
3241,JNJ,2008-04-28,4,4,3,3,4,5,5
3240,JNJ,2008-04-29,4,4,3,3,4,5,5
3239,JNJ,2008-04-30,4,4,3,3,4,5,5
3238,JNJ,2008-05-01,4,4,3,3,4,5,5
3237,JNJ,2008-05-02,4,4,3,3,4,5,5
3236,JNJ,2008-05-05,4,4,3,3,4,5,5
3235,JNJ,2008-05-06,4,4,3,3,4,5,5
3234,JNJ,2008-05-07,4,4,3,3,4,5,5
3233,JNJ,2008-05-08,4,4,3,3,4,5,5
3232,JNJ,2008-05-09,4,4,3,3,4,5,5
3231,JNJ,2008-05-12,4,4,3,3,4,5,5
3230,JNJ,2008-05-13,4,4,3,3,4,5,5
3229,JNJ,2008-05-14,4,4,3,3,4,5,5
3228,JNJ,2008-05-15,4,4,3,3,4,5,5
3227,JNJ,2008-05-16,4,4,3,3,4,5,5
3226,JNJ,2008-05-19,4,4,3,3,4,5,5
3225,JNJ,2008-05-20,4,4,3,3,4,5,5
3224,JNJ,2008-05-21,4,4,3,3,4,5,5
3223,JNJ,2008-05-22,4,4,3,3,4,5,5
3222,JNJ,2008-05-23,4,4,3,3,4,5,5
3221,JNJ,2008-05-27,4,4,3,3,4,5,5
3220,JNJ,2008-05-28,4,4,3,3,4,5,5
3219,JNJ,2008-05-29,4,4,3,3,4,5,5
3218,JNJ,2008-05-30,4,4,3,3,4,5,5
3217,JNJ,2008-06-02,4,4,3,3,4,5,5
3216,JNJ,2008-06-03,4,4,3,3,4,5,5
3215,JNJ,2008-06-04,4,4,3,3,4,5,5
3214,JNJ,2008-06-05,4,4,3,3,4,5,5
3213,JNJ,2008-06-06,4,4,3,3,4,5,5
3212,JNJ,2008-06-09,4,4,3,3,4,5,5
3211,JNJ,2008-06-10,4,4,3,3,4,5,5
3210,JNJ,2008-06-11,4,4,3,3,4,5,5
3209,JNJ,2008-06-12,4,4,3,3,4,5,5
3208,JNJ,2008-06-13,4,4,3,3,4,5,5
3207,JNJ,2008-06-16,4,4,3,3,4,5,5
3206,JNJ,2008-06-17,4,4,3,3,4,5,5
3205,JNJ,2008-06-18,4,4,3,3,4,5,5
3204,JNJ,2008-06-19,4,4,3,3,4,5,5
3203,JNJ,2008-06-20,4,4,3,3,4,5,5
3202,JNJ,2008-06-23,4,4,3,3,4,5,5
3201,JNJ,2008-06-24,4,4,3,3,4,5,5
3200,JNJ,2008-06-25,4,4,3,3,4,5,5
3199,JNJ,2008-06-26,4,4,3,3,4,5,5
3198,JNJ,2008-06-27,4,4,3,3,4,5,5
3197,JNJ,2008-06-30,4,4,3,3,4,5,5
3196,JNJ,2008-07-01,4,4,3,3,4,5,5
3195,JNJ,2008-07-02,4,4,3,3,4,5,5
3194,JNJ,2008-07-03,4,4,3,3,4,5,5
3193,JNJ,2008-07-07,4,4,3,3,4,5,5
3192,JNJ,2008-07-08,4,4,3,3,4,5,5
3191,JNJ,2008-07-09,4,4,3,3,4,5,5
3190,JNJ,2008-07-10,4,4,3,3,4,5,5
3189,JNJ,2008-07-11,4,4,3,3,4,5,5
3188,JNJ,2008-07-14,4,4,3,3,4,5,5
3187,JNJ,2008-07-15,4,4,3,3,4,5,5
3186,JNJ,2008-07-16,4,4,3,3,4,5,5
3185,JNJ,2008-07-17,4,4,3,3,4,5,5
3184,JNJ,2008-07-18,4,4,3,3,4,5,5
3183,JNJ,2008-07-21,4,4,3,3,4,5,5
3182,JNJ,2008-07-22,4,4,3,3,4,5,5
3181,JNJ,2008-07-23,4,4,3,3,4,5,5
3180,JNJ,2008-07-24,4,4,3,3,4,5,5
3179,JNJ,2008-07-25,4,4,3,3,4,5,5
3178,JNJ,2008-07-28,4,4,3,3,4,5,5
3177,JNJ,2008-07-29,4,4,3,3,4,5,5
3176,JNJ,2008-07-30,4,4,3,3,4,5,5
3175,JNJ,2008-07-31,4,4,3,3,4,5,5
3174,JNJ,2008-08-01,4,4,3,3,4,5,5
3173,JNJ,2008-08-04,4,4,3,3,4,5,5
3172,JNJ,2008-08-05,4,4,3,3,4,5,5
3171,JNJ,2008-08-06,4,4,3,3,4,5,5
3170,JNJ,2008-08-07,4,4,3,3,4,5,5
3169,JNJ,2008-08-08,4,4,3,3,4,5,5
3168,JNJ,2008-08-11,4,4,3,3,4,5,5
3167,JNJ,2008-08-12,4,4,3,3,4,5,5
3166,JNJ,2008-08-13,4,4,3,3,4,5,5
3165,JNJ,2008-08-14,4,4,3,3,4,5,5
3164,JNJ,2008-08-15,4,4,3,3,4,5,5
3163,JNJ,2008-08-18,4,4,3,3,4,5,5
3162,JNJ,2008-08-19,4,4,3,3,4,5,5
3161,JNJ,2008-08-20,4,4,3,3,4,5,5
3160,JNJ,2008-08-21,4,4,3,3,4,5,5
3159,JNJ,2008-08-22,4,4,3,3,4,5,5
3158,JNJ,2008-08-25,4,4,3,3,4,5,5
3157,JNJ,2008-08-26,4,4,3,3,4,5,5
3156,JNJ,2008-08-27,4,4,3,3,4,5,5
3155,JNJ,2008-08-28,4,4,3,3,4,5,5
3154,JNJ,2008-08-29,4,4,3,3,4,5,5
3153,JNJ,2008-09-02,4,4,3,3,4,5,5
3152,JNJ,2008-09-03,4,4,3,3,4,5,5
3151,JNJ,2008-09-04,4,4,3,3,4,5,5
3150,JNJ,2008-09-05,4,4,3,3,4,5,5
3149,JNJ,2008-09-08,4,4,3,3,4,5,5
3148,JNJ,2008-09-09,4,4,3,3,4,5,5
3147,JNJ,2008-09-10,4,4,3,3,4,5,5
3146,JNJ,2008-09-11,4,4,3,3,4,5,5
3145,JNJ,2008-09-12,4,4,3,3,4,5,5
3144,JNJ,2008-09-15,4,4,3,3,4,5,5
3143,JNJ,2008-09-16,4,4,3,3,4,5,5
3142,JNJ,2008-09-17,4,4,3,3,4,5,5
3141,JNJ,2008-09-18,4,4,3,3,4,5,5
