,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4566,JPM,2002-12-31,5,5,3,3,5,5,5
4565,JPM,2003-01-02,5,5,3,3,5,5,5
4564,JPM,2003-01-03,5,5,3,3,5,5,5
4563,JPM,2003-01-06,5,5,3,3,5,5,5
4562,JPM,2003-01-07,5,5,3,3,5,5,5
4561,JPM,2003-01-08,5,5,3,3,5,5,5
4560,JPM,2003-01-09,5,5,3,3,5,5,5
4559,JPM,2003-01-10,5,5,3,3,5,5,5
4558,JPM,2003-01-13,5,5,3,3,5,5,5
4557,JPM,2003-01-14,5,5,3,3,5,5,5
4556,JPM,2003-01-15,5,5,3,3,5,5,5
4555,JPM,2003-01-16,5,5,3,3,5,5,5
4554,JPM,2003-01-17,5,5,3,3,5,5,5
4553,JPM,2003-01-21,5,5,3,3,5,5,5
4552,JPM,2003-01-22,5,5,3,3,5,5,5
4551,JPM,2003-01-23,5,5,3,3,5,5,5
4550,JPM,2003-01-24,5,5,3,3,5,5,5
4549,JPM,2003-01-27,5,5,3,3,5,5,5
4548,JPM,2003-01-28,5,5,3,3,5,5,5
4547,JPM,2003-01-29,5,5,3,3,5,5,5
4546,JPM,2003-01-30,5,5,3,3,5,5,5
4545,JPM,2003-01-31,5,5,3,3,5,5,5
4544,JPM,2003-02-03,5,5,3,3,5,5,5
4543,JPM,2003-02-04,5,5,3,3,5,5,5
4542,JPM,2003-02-05,5,5,3,3,5,5,5
4541,JPM,2003-02-06,5,5,3,3,5,5,5
4540,JPM,2003-02-07,5,5,3,3,5,5,5
4539,JPM,2003-02-10,5,5,3,3,5,5,5
4538,JPM,2003-02-11,5,5,3,3,5,5,5
4537,JPM,2003-02-12,5,5,3,3,5,5,5
4536,JPM,2003-02-13,5,5,3,3,5,5,5
4535,JPM,2003-02-14,5,5,3,3,5,5,5
4534,JPM,2003-02-18,5,5,3,3,5,5,5
4533,JPM,2003-02-19,5,5,3,3,5,5,5
4532,JPM,2003-02-20,5,5,3,3,5,5,5
4531,JPM,2003-02-21,5,5,3,3,5,5,5
4530,JPM,2003-02-24,5,5,3,3,5,5,5
4529,JPM,2003-02-25,5,5,3,3,5,5,5
4528,JPM,2003-02-26,5,5,3,3,5,5,5
4527,JPM,2003-02-27,5,5,3,3,5,5,5
4526,JPM,2003-02-28,5,5,3,3,5,5,5
4525,JPM,2003-03-03,5,5,3,3,5,5,5
4524,JPM,2003-03-04,5,5,3,3,5,5,5
4523,JPM,2003-03-05,5,5,3,3,5,5,5
4522,JPM,2003-03-06,5,5,3,3,5,5,5
4521,JPM,2003-03-07,5,5,3,3,5,5,5
4520,JPM,2003-03-10,5,5,3,3,5,5,5
4519,JPM,2003-03-11,5,5,3,3,5,5,5
4518,JPM,2003-03-12,5,5,3,3,5,5,5
4517,JPM,2003-03-13,5,5,3,3,5,5,5
4516,JPM,2003-03-14,5,5,3,3,5,5,5
4515,JPM,2003-03-17,5,5,3,3,5,5,5
4514,JPM,2003-03-18,5,5,3,3,5,5,5
4513,JPM,2003-03-19,5,5,3,3,5,5,5
4512,JPM,2003-03-20,5,5,3,3,5,5,5
4511,JPM,2003-03-21,5,5,3,3,5,5,5
4510,JPM,2003-03-24,5,5,3,3,5,5,5
4509,JPM,2003-03-25,5,5,3,3,5,5,5
4508,JPM,2003-03-26,5,5,3,3,5,5,5
4507,JPM,2003-03-27,5,5,3,3,5,5,5
4506,JPM,2003-03-28,5,5,3,3,5,5,5
4505,JPM,2003-03-31,5,5,3,3,5,5,5
4504,JPM,2003-04-01,5,5,3,3,5,5,5
4503,JPM,2003-04-02,5,5,3,3,5,5,5
4502,JPM,2003-04-03,5,5,3,3,5,5,5
4501,JPM,2003-04-04,5,5,3,3,5,5,5
4500,JPM,2003-04-07,5,5,3,3,5,5,5
4499,JPM,2003-04-08,5,5,3,3,5,5,5
4498,JPM,2003-04-09,5,5,3,3,5,5,5
4497,JPM,2003-04-10,5,5,3,3,5,5,5
4496,JPM,2003-04-11,5,5,3,3,5,5,5
4495,JPM,2003-04-14,5,5,3,3,5,5,5
4494,JPM,2003-04-15,5,5,3,3,5,5,5
4493,JPM,2003-04-16,5,5,3,3,5,5,5
4492,JPM,2003-04-17,5,5,3,3,5,5,5
4491,JPM,2003-04-21,5,5,3,3,5,5,5
4490,JPM,2003-04-22,5,5,3,3,5,5,5
4489,JPM,2003-04-23,5,5,3,3,5,5,5
4488,JPM,2003-04-24,5,5,3,3,5,5,5
4487,JPM,2003-04-25,5,5,3,3,5,5,5
4486,JPM,2003-04-28,5,5,3,3,5,5,5
4485,JPM,2003-04-29,5,5,3,3,5,5,5
4484,JPM,2003-04-30,5,5,3,3,5,5,5
4483,JPM,2003-05-01,5,5,3,3,5,5,5
4482,JPM,2003-05-02,5,5,3,3,5,5,5
4481,JPM,2003-05-05,5,5,3,3,5,5,5
4480,JPM,2003-05-06,5,5,3,3,5,5,5
4479,JPM,2003-05-07,5,5,3,3,5,5,5
4478,JPM,2003-05-08,5,5,3,3,5,5,5
4477,JPM,2003-05-09,5,5,3,3,5,5,5
4476,JPM,2003-05-12,5,5,3,3,5,5,5
4475,JPM,2003-05-13,5,5,3,3,5,5,5
4474,JPM,2003-05-14,5,5,3,3,5,5,5
4473,JPM,2003-05-15,5,5,3,3,5,5,5
4472,JPM,2003-05-16,5,5,3,3,5,5,5
4471,JPM,2003-05-19,5,5,3,3,5,5,5
4470,JPM,2003-05-20,5,5,3,3,5,5,5
4469,JPM,2003-05-21,5,5,3,3,5,5,5
4468,JPM,2003-05-22,5,5,3,3,5,5,5
4467,JPM,2003-05-23,5,5,3,3,5,5,5
4466,JPM,2003-05-27,5,5,3,3,5,5,5
4465,JPM,2003-05-28,5,5,3,3,5,5,5
4464,JPM,2003-05-29,5,5,3,3,5,5,5
4463,JPM,2003-05-30,5,5,3,3,5,5,5
4462,JPM,2003-06-02,5,5,3,3,5,5,5
4461,JPM,2003-06-03,5,5,3,3,5,5,5
4460,JPM,2003-06-04,5,5,3,3,5,5,5
4459,JPM,2003-06-05,5,5,3,3,5,5,5
4458,JPM,2003-06-06,5,5,3,3,5,5,5
4457,JPM,2003-06-09,5,5,3,3,5,5,5
4456,JPM,2003-06-10,5,5,3,3,5,5,5
4455,JPM,2003-06-11,5,5,3,3,5,5,5
4454,JPM,2003-06-12,5,5,3,3,5,5,5
4453,JPM,2003-06-13,5,5,3,3,5,5,5
4452,JPM,2003-06-16,5,5,3,3,5,5,5
4451,JPM,2003-06-17,5,5,3,3,5,5,5
4450,JPM,2003-06-18,5,5,3,3,5,5,5
4449,JPM,2003-06-19,5,5,3,3,5,5,5
4448,JPM,2003-06-20,5,5,3,3,5,5,5
4447,JPM,2003-06-23,5,5,3,3,5,5,5
4446,JPM,2003-06-24,5,5,3,3,5,5,5
4445,JPM,2003-06-25,5,5,3,3,5,5,5
4444,JPM,2003-06-26,5,5,3,3,5,5,5
4443,JPM,2003-06-27,5,5,3,3,5,5,5
4442,JPM,2003-06-30,5,5,3,3,5,5,5
4441,JPM,2003-07-01,5,5,3,3,5,5,5
4440,JPM,2003-07-02,5,5,3,3,5,5,5
4439,JPM,2003-07-03,5,5,3,3,5,5,5
4438,JPM,2003-07-07,5,5,3,3,5,5,5
4437,JPM,2003-07-08,5,5,3,3,5,5,5
4436,JPM,2003-07-09,5,5,3,3,5,5,5
4435,JPM,2003-07-10,5,5,3,3,5,5,5
4434,JPM,2003-07-11,5,5,3,3,5,5,5
4433,JPM,2003-07-14,5,5,3,3,5,5,5
4432,JPM,2003-07-15,5,5,3,3,5,5,5
4431,JPM,2003-07-16,5,5,3,3,5,5,5
4430,JPM,2003-07-17,5,5,3,3,5,5,5
4429,JPM,2003-07-18,5,5,3,3,5,5,5
4428,JPM,2003-07-21,5,5,3,3,5,5,5
4427,JPM,2003-07-22,5,5,3,3,5,5,5
4426,JPM,2003-07-23,5,5,3,3,5,5,5
4425,JPM,2003-07-24,5,5,3,3,5,5,5
4424,JPM,2003-07-25,5,5,3,3,5,5,5
4423,JPM,2003-07-28,5,5,3,3,5,5,5
4422,JPM,2003-07-29,5,5,3,3,5,5,5
4421,JPM,2003-07-30,5,5,3,3,5,5,5
4420,JPM,2003-07-31,5,5,3,3,5,5,5
4419,JPM,2003-08-01,5,5,3,3,5,5,5
4418,JPM,2003-08-04,5,5,3,3,5,5,5
4417,JPM,2003-08-05,5,5,3,3,5,5,5
4416,JPM,2003-08-06,5,5,3,3,5,5,5
4415,JPM,2003-08-07,5,5,3,3,5,5,5
4414,JPM,2003-08-08,5,5,3,3,5,5,5
4413,JPM,2003-08-11,5,5,3,3,5,5,5
4412,JPM,2003-08-12,5,5,3,3,5,5,5
4411,JPM,2003-08-13,5,5,3,3,5,5,5
4410,JPM,2003-08-14,5,5,3,3,5,5,5
4409,JPM,2003-08-15,5,5,3,3,5,5,5
4408,JPM,2003-08-18,5,5,3,3,5,5,5
4407,JPM,2003-08-19,5,5,3,3,5,5,5
4406,JPM,2003-08-20,5,5,3,3,5,5,5
4405,JPM,2003-08-21,5,5,3,3,5,5,5
4404,JPM,2003-08-22,5,5,3,3,5,5,5
4403,JPM,2003-08-25,5,5,3,3,5,5,5
4402,JPM,2003-08-26,5,5,3,3,5,5,5
4401,JPM,2003-08-27,5,5,3,3,5,5,5
4400,JPM,2003-08-28,5,5,3,3,5,5,5
4399,JPM,2003-08-29,5,5,3,3,5,5,5
4398,JPM,2003-09-02,5,5,3,3,5,5,5
4397,JPM,2003-09-03,5,5,3,3,5,5,5
4396,JPM,2003-09-04,5,5,3,3,5,5,5
4395,JPM,2003-09-05,5,5,3,3,5,5,5
4394,JPM,2003-09-08,5,5,3,3,5,5,5
4393,JPM,2003-09-09,5,5,3,3,5,5,5
4392,JPM,2003-09-10,5,5,3,3,5,5,5
4391,JPM,2003-09-11,5,5,3,3,5,5,5
4390,JPM,2003-09-12,5,5,3,3,5,5,5
4389,JPM,2003-09-15,5,5,3,3,5,5,5
4388,JPM,2003-09-16,5,5,3,3,5,5,5
4387,JPM,2003-09-17,5,5,3,3,5,5,5
4386,JPM,2003-09-18,5,5,3,3,5,5,5
4385,JPM,2003-09-19,5,5,3,3,5,5,5
4384,JPM,2003-09-22,5,5,3,3,5,5,5
4383,JPM,2003-09-23,5,5,3,3,5,5,5
4382,JPM,2003-09-24,5,5,3,3,5,5,5
4381,JPM,2003-09-25,5,5,3,3,5,5,5
4380,JPM,2003-09-26,5,5,3,3,5,5,5
4379,JPM,2003-09-29,5,5,3,3,5,5,5
4378,JPM,2003-09-30,5,5,3,3,5,5,5
4377,JPM,2003-10-01,5,4,3,3,5,5,5
4376,JPM,2003-10-02,5,4,3,3,5,5,5
4375,JPM,2003-10-03,5,4,3,3,5,5,5
4374,JPM,2003-10-06,5,4,3,3,5,5,5
4373,JPM,2003-10-07,5,4,3,3,5,5,5
4372,JPM,2003-10-08,5,4,3,3,5,5,5
4371,JPM,2003-10-09,5,4,3,3,5,5,5
4370,JPM,2003-10-10,5,4,3,3,5,5,5
4369,JPM,2003-10-13,5,4,3,3,5,5,5
4368,JPM,2003-10-14,5,4,3,3,5,5,5
4367,JPM,2003-10-15,5,4,3,3,5,5,5
4366,JPM,2003-10-16,5,4,3,3,5,5,5
4365,JPM,2003-10-17,5,4,3,3,5,5,5
4364,JPM,2003-10-20,5,4,3,3,5,5,5
4363,JPM,2003-10-21,5,4,3,3,5,5,5
4362,JPM,2003-10-22,5,4,3,3,5,5,5
4361,JPM,2003-10-23,5,4,3,3,5,5,5
4360,JPM,2003-10-24,5,4,3,3,5,5,5
4359,JPM,2003-10-27,5,4,3,3,5,5,5
4358,JPM,2003-10-28,5,4,3,3,5,5,5
4357,JPM,2003-10-29,5,4,3,3,5,5,5
4356,JPM,2003-10-30,5,4,3,3,5,5,5
4355,JPM,2003-10-31,5,4,3,3,5,5,5
4354,JPM,2003-11-03,5,4,3,3,5,5,5
4353,JPM,2003-11-04,5,4,3,3,5,5,5
4352,JPM,2003-11-05,5,4,3,3,5,5,5
4351,JPM,2003-11-06,5,4,3,3,5,5,5
4350,JPM,2003-11-07,5,4,3,3,5,5,5
4349,JPM,2003-11-10,5,4,3,3,5,5,5
4348,JPM,2003-11-11,5,4,3,3,5,5,5
4347,JPM,2003-11-12,5,4,3,3,5,5,5
4346,JPM,2003-11-13,5,4,3,3,5,5,5
4345,JPM,2003-11-14,5,4,3,3,5,5,5
4344,JPM,2003-11-17,5,4,3,3,5,5,5
4343,JPM,2003-11-18,5,4,3,3,5,5,5
4342,JPM,2003-11-19,5,4,3,3,5,5,5
4341,JPM,2003-11-20,5,4,3,3,5,5,5
4340,JPM,2003-11-21,5,4,3,3,5,5,5
4339,JPM,2003-11-24,5,4,3,3,5,5,5
4338,JPM,2003-11-25,5,4,3,3,5,5,5
4337,JPM,2003-11-26,5,4,3,3,5,5,5
