,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4260,KO,2004-03-31,3,4,1,3,1,5,1
4259,KO,2004-04-01,3,4,1,3,1,5,1
4258,KO,2004-04-02,3,4,1,3,1,5,1
4257,KO,2004-04-05,3,4,1,3,1,5,1
4256,KO,2004-04-06,3,4,1,3,1,5,1
4255,KO,2004-04-07,3,4,1,3,1,5,1
4254,KO,2004-04-08,3,4,1,3,1,5,1
4253,KO,2004-04-12,3,4,1,3,1,5,1
4252,KO,2004-04-13,3,4,1,3,1,5,1
4251,KO,2004-04-14,3,4,1,3,1,5,1
4250,KO,2004-04-15,3,4,1,3,1,5,1
4249,KO,2004-04-16,3,4,1,3,1,5,1
4248,KO,2004-04-19,3,4,1,3,1,5,1
4247,KO,2004-04-20,3,4,1,3,1,5,1
4246,KO,2004-04-21,3,4,1,3,1,5,1
4245,KO,2004-04-22,3,4,1,3,1,5,1
4244,KO,2004-04-23,3,4,1,3,1,5,1
4243,KO,2004-04-26,3,4,1,3,1,5,1
4242,KO,2004-04-27,3,4,1,3,1,5,1
4241,KO,2004-04-28,3,4,1,3,1,5,1
4240,KO,2004-04-29,3,4,1,3,1,5,1
4239,KO,2004-04-30,3,4,1,3,1,5,1
4238,KO,2004-05-03,3,4,1,3,1,5,1
4237,KO,2004-05-04,3,4,1,3,1,5,1
4236,KO,2004-05-05,3,4,1,3,1,5,1
4235,KO,2004-05-06,3,4,1,3,1,5,1
4234,KO,2004-05-07,3,4,1,3,1,5,1
4233,KO,2004-05-10,3,4,1,3,1,5,1
4232,KO,2004-05-11,3,4,1,3,1,5,1
4231,KO,2004-05-12,3,4,1,3,1,5,1
4230,KO,2004-05-13,3,4,1,3,1,5,1
4229,KO,2004-05-14,3,4,1,3,1,5,1
4228,KO,2004-05-17,3,4,1,3,1,5,1
4227,KO,2004-05-18,3,4,1,3,1,5,1
4226,KO,2004-05-19,3,4,1,3,1,5,1
4225,KO,2004-05-20,3,4,1,3,1,5,1
4224,KO,2004-05-21,3,4,1,3,1,5,1
4223,KO,2004-05-24,3,4,1,3,1,5,1
4222,KO,2004-05-25,3,4,1,3,1,5,1
4221,KO,2004-05-26,3,4,1,3,1,5,1
4220,KO,2004-05-27,3,4,1,3,1,5,1
4219,KO,2004-05-28,3,4,1,3,1,5,1
4218,KO,2004-06-01,3,4,1,3,1,5,1
4217,KO,2004-06-02,3,4,1,3,1,5,1
4216,KO,2004-06-03,3,4,1,3,1,5,1
4215,KO,2004-06-04,3,4,1,3,1,5,1
4214,KO,2004-06-07,3,4,1,3,1,5,1
4213,KO,2004-06-08,3,4,1,3,1,5,1
4212,KO,2004-06-09,3,4,1,3,1,5,1
4211,KO,2004-06-10,3,4,1,3,1,5,1
4210,KO,2004-06-14,3,4,1,3,1,5,1
4209,KO,2004-06-15,3,4,1,3,1,5,1
4208,KO,2004-06-16,3,4,1,3,1,5,1
4207,KO,2004-06-17,3,4,1,3,1,5,1
4206,KO,2004-06-18,3,4,1,3,1,5,1
4205,KO,2004-06-21,3,4,1,3,1,5,1
4204,KO,2004-06-22,3,4,1,3,1,5,1
4203,KO,2004-06-23,3,4,1,3,1,5,1
4202,KO,2004-06-24,3,4,1,3,1,5,1
4201,KO,2004-06-25,3,4,1,3,1,5,1
