,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
870,LIN,2017-10-02,4,3,3,3,5,5,5
869,LIN,2017-10-03,4,3,3,3,5,5,5
868,LIN,2017-10-04,4,3,3,3,5,5,5
867,LIN,2017-10-05,4,3,3,3,5,5,5
866,LIN,2017-10-06,4,3,3,3,5,5,5
865,LIN,2017-10-09,4,3,3,3,5,5,5
864,LIN,2017-10-10,4,3,3,3,5,5,5
863,LIN,2017-10-11,4,3,3,3,5,5,5
862,LIN,2017-10-12,4,3,3,3,5,5,5
861,LIN,2017-10-13,4,3,3,3,5,5,5
860,LIN,2017-10-16,4,3,3,3,5,5,5
859,LIN,2017-10-17,4,3,3,3,5,5,5
858,LIN,2017-10-18,4,3,3,3,5,5,5
857,LIN,2017-10-19,4,3,3,3,5,5,5
856,LIN,2017-10-20,4,3,3,3,5,5,5
855,LIN,2017-10-23,4,3,3,3,5,5,5
854,LIN,2017-10-24,4,3,3,3,5,5,5
853,LIN,2017-10-25,4,3,3,3,5,5,5
852,LIN,2017-10-26,4,3,3,3,5,5,5
851,LIN,2017-10-27,4,3,3,3,5,5,5
850,LIN,2017-10-30,4,3,3,3,5,5,5
849,LIN,2017-10-31,4,3,3,3,5,5,5
848,LIN,2017-11-01,4,3,3,3,5,5,5
847,LIN,2017-11-02,4,3,3,3,5,5,5
846,LIN,2017-11-03,4,3,3,3,5,5,5
845,LIN,2017-11-06,4,3,3,3,5,5,5
844,LIN,2017-11-07,4,3,3,3,5,5,5
843,LIN,2017-11-08,4,3,3,3,5,5,5
842,LIN,2017-11-09,4,3,3,3,5,5,5
841,LIN,2017-11-10,4,3,3,3,5,5,5
840,LIN,2017-11-13,4,3,3,3,5,5,5
839,LIN,2017-11-14,4,3,3,3,5,5,5
838,LIN,2017-11-15,4,3,3,3,5,5,5
837,LIN,2017-11-16,4,3,3,3,5,5,5
836,LIN,2017-11-17,4,3,3,3,5,5,5
835,LIN,2017-11-20,4,3,3,3,5,5,5
834,LIN,2017-11-21,4,3,3,3,5,5,5
833,LIN,2017-11-22,4,3,3,3,5,5,5
832,LIN,2017-11-24,4,3,3,3,5,5,5
831,LIN,2017-11-27,4,3,3,3,5,5,5
830,LIN,2017-11-28,4,3,3,3,5,5,5
829,LIN,2017-11-29,4,3,3,3,5,5,5
828,LIN,2017-11-30,4,3,3,3,5,5,5
827,LIN,2017-12-01,4,3,3,3,5,5,5
826,LIN,2017-12-04,4,3,3,3,5,5,5
825,LIN,2017-12-05,4,3,3,3,5,5,5
824,LIN,2017-12-06,4,3,3,3,5,5,5
823,LIN,2017-12-07,4,3,3,3,5,5,5
822,LIN,2017-12-08,4,3,3,3,5,5,5
821,LIN,2017-12-11,4,3,3,3,5,5,5
820,LIN,2017-12-12,4,3,3,3,5,5,5
819,LIN,2017-12-13,4,3,3,3,5,5,5
818,LIN,2017-12-14,4,3,3,3,5,5,5
817,LIN,2017-12-15,4,3,3,3,5,5,5
816,LIN,2017-12-18,4,3,3,3,5,5,5
815,LIN,2017-12-19,4,3,3,3,5,5,5
814,LIN,2017-12-20,4,3,3,3,5,5,5
813,LIN,2017-12-21,4,3,3,3,5,5,5
812,LIN,2017-12-22,4,3,3,3,5,5,5
811,LIN,2017-12-26,4,3,3,3,5,5,5
810,LIN,2017-12-27,4,3,3,3,5,5,5
809,LIN,2017-12-28,4,3,3,3,5,5,5
808,LIN,2017-12-29,4,3,3,3,5,5,5
807,LIN,2018-01-02,2,3,5,1,2,1,1
806,LIN,2018-01-03,2,3,5,1,2,1,1
805,LIN,2018-01-04,2,3,5,1,2,1,1
804,LIN,2018-01-05,2,3,5,1,2,1,1
803,LIN,2018-01-08,2,3,5,1,2,1,1
802,LIN,2018-01-09,2,3,5,1,2,1,1
801,LIN,2018-01-10,2,3,5,1,2,1,1
800,LIN,2018-01-11,2,3,5,1,2,1,1
799,LIN,2018-01-12,2,3,5,1,2,1,1
798,LIN,2018-01-16,2,3,5,1,2,1,1
