,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4895,LLY,2001-10-01,3,3,1,4,1,5,1
4894,LLY,2001-10-02,3,3,1,4,1,5,1
4893,LLY,2001-10-03,3,3,1,4,1,5,1
4892,LLY,2001-10-04,3,3,1,4,1,5,1
4891,LLY,2001-10-05,3,3,1,4,1,5,1
4890,LLY,2001-10-08,3,3,1,4,1,5,1
4889,LLY,2001-10-09,3,3,1,4,1,5,1
4888,LLY,2001-10-10,3,3,1,4,1,5,1
4887,LLY,2001-10-11,3,3,1,4,1,5,1
4886,LLY,2001-10-12,3,3,1,4,1,5,1
4885,LLY,2001-10-15,3,3,1,4,1,5,1
4884,LLY,2001-10-16,3,3,1,4,1,5,1
4883,LLY,2001-10-17,3,3,1,4,1,5,1
4882,LLY,2001-10-18,3,3,1,4,1,5,1
4881,LLY,2001-10-19,3,3,1,4,1,5,1
4880,LLY,2001-10-22,3,3,1,4,1,5,1
4879,LLY,2001-10-23,3,3,1,4,1,5,1
4878,LLY,2001-10-24,3,3,1,4,1,5,1
4877,LLY,2001-10-25,3,3,1,4,1,5,1
4876,LLY,2001-10-26,3,3,1,4,1,5,1
4875,LLY,2001-10-29,3,3,1,4,1,5,1
4874,LLY,2001-10-30,3,3,1,4,1,5,1
4873,LLY,2001-10-31,3,3,1,4,1,5,1
4872,LLY,2001-11-01,3,3,1,4,1,5,1
4871,LLY,2001-11-02,3,3,1,4,1,5,1
4870,LLY,2001-11-05,3,3,1,4,1,5,1
4869,LLY,2001-11-06,3,3,1,4,1,5,1
4868,LLY,2001-11-07,3,3,1,4,1,5,1
4867,LLY,2001-11-08,3,3,1,4,1,5,1
4866,LLY,2001-11-09,3,3,1,4,1,5,1
4865,LLY,2001-11-12,3,3,1,4,1,5,1
4864,LLY,2001-11-13,3,3,1,4,1,5,1
4863,LLY,2001-11-14,3,3,1,4,1,5,1
4862,LLY,2001-11-15,3,3,1,4,1,5,1
4861,LLY,2001-11-16,3,3,1,4,1,5,1
4860,LLY,2001-11-19,3,3,1,4,1,5,1
4859,LLY,2001-11-20,3,3,1,4,1,5,1
4858,LLY,2001-11-21,3,3,1,4,1,5,1
4857,LLY,2001-11-23,3,3,1,4,1,5,1
4856,LLY,2001-11-26,3,3,1,4,1,5,1
