,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
3718,MA,2006-05-25,3,5,2,3,4,2,3
3717,MA,2006-05-26,3,5,2,3,4,2,3
3716,MA,2006-05-30,3,5,2,3,4,2,3
3715,MA,2006-05-31,3,5,2,3,4,2,3
3714,MA,2006-06-01,3,5,2,3,4,2,3
3713,MA,2006-06-02,3,5,2,3,4,2,3
3712,MA,2006-06-05,3,5,2,3,4,2,3
3711,MA,2006-06-06,3,5,2,3,4,2,3
3710,MA,2006-06-07,3,5,2,3,4,2,3
3709,MA,2006-06-08,3,5,2,3,4,2,3
3708,MA,2006-06-09,3,5,2,3,4,2,3
3707,MA,2006-06-12,3,5,2,3,4,2,3
3706,MA,2006-06-13,3,5,2,3,4,2,3
3705,MA,2006-06-14,3,5,2,3,4,2,3
3704,MA,2006-06-15,3,5,2,3,4,2,3
3703,MA,2006-06-16,3,5,2,3,4,2,3
3702,MA,2006-06-19,3,5,2,3,4,2,3
3701,MA,2006-06-20,3,5,2,3,4,2,3
3700,MA,2006-06-21,3,5,2,3,4,2,3
3699,MA,2006-06-22,3,5,2,3,4,2,3
3698,MA,2006-06-23,3,5,2,3,4,2,3
3697,MA,2006-06-26,3,5,2,3,4,2,3
3696,MA,2006-06-27,3,5,2,3,4,2,3
3695,MA,2006-06-28,3,5,2,3,4,2,3
3694,MA,2006-06-29,3,5,2,3,4,2,3
3693,MA,2006-06-30,3,5,2,3,4,2,3
3692,MA,2006-07-03,4,5,3,3,4,4,3
3691,MA,2006-07-05,4,5,3,3,4,4,3
3690,MA,2006-07-06,4,5,3,3,4,4,3
3689,MA,2006-07-07,4,5,3,3,4,4,3
3688,MA,2006-07-10,4,5,3,3,4,4,3
3687,MA,2006-07-11,4,5,3,3,4,4,3
3686,MA,2006-07-12,4,5,3,3,4,4,3
3685,MA,2006-07-13,4,5,3,3,4,4,3
3684,MA,2006-07-14,4,5,3,3,4,4,3
3683,MA,2006-07-17,4,5,3,3,4,4,3
3682,MA,2006-07-18,4,5,3,3,4,4,3
3681,MA,2006-07-19,4,5,3,3,4,4,3
3680,MA,2006-07-20,4,5,3,3,4,4,3
3679,MA,2006-07-21,4,5,3,3,4,4,3
3678,MA,2006-07-24,4,5,3,3,4,4,3
3677,MA,2006-07-25,4,5,3,3,4,4,3
3676,MA,2006-07-26,4,5,3,3,4,4,3
3675,MA,2006-07-27,4,5,3,3,4,4,3
3674,MA,2006-07-28,4,5,3,3,4,4,3
3673,MA,2006-07-31,4,5,3,3,4,4,3
3672,MA,2006-08-01,4,5,3,3,4,4,3
3671,MA,2006-08-02,4,5,3,3,4,4,3
3670,MA,2006-08-03,4,5,3,3,4,4,3
3669,MA,2006-08-04,4,5,3,3,4,4,3
3668,MA,2006-08-07,4,5,3,3,4,4,3
3667,MA,2006-08-08,4,5,3,3,4,4,3
3666,MA,2006-08-09,4,5,3,3,4,4,3
3665,MA,2006-08-10,4,5,3,3,4,4,3
3664,MA,2006-08-11,4,5,3,3,4,4,3
3663,MA,2006-08-14,4,5,3,3,4,4,3
3662,MA,2006-08-15,4,5,3,3,4,4,3
3661,MA,2006-08-16,4,5,3,3,4,4,3
3660,MA,2006-08-17,4,5,3,3,4,4,3
3659,MA,2006-08-18,4,5,3,3,4,4,3
3658,MA,2006-08-21,4,5,3,3,4,4,3
3657,MA,2006-08-22,4,5,3,3,4,4,3
3656,MA,2006-08-23,4,5,3,3,4,4,3
3655,MA,2006-08-24,4,5,3,3,4,4,3
3654,MA,2006-08-25,4,5,3,3,4,4,3
3653,MA,2006-08-28,4,5,3,3,4,4,3
