,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4580,MCD,2002-12-31,4,3,3,3,5,5,5
4579,MCD,2003-01-02,4,3,3,3,5,5,5
4578,MCD,2003-01-03,4,3,3,3,5,5,5
4577,MCD,2003-01-06,4,3,3,3,5,5,5
4576,MCD,2003-01-07,4,3,3,3,5,5,5
4575,MCD,2003-01-08,4,3,3,3,5,5,5
4574,MCD,2003-01-09,4,3,3,3,5,5,5
4573,MCD,2003-01-10,4,3,3,3,5,5,5
4572,MCD,2003-01-13,4,3,3,3,5,5,5
4571,MCD,2003-01-14,4,3,3,3,5,5,5
4570,MCD,2003-01-15,4,3,3,3,5,5,5
4569,MCD,2003-01-16,4,3,3,3,5,5,5
4568,MCD,2003-01-17,4,3,3,3,5,5,5
4567,MCD,2003-01-21,4,3,3,3,5,5,5
4566,MCD,2003-01-22,4,3,3,3,5,5,5
4565,MCD,2003-01-23,4,3,3,3,5,5,5
4564,MCD,2003-01-24,4,3,3,3,5,5,5
4563,MCD,2003-01-27,4,3,3,3,5,5,5
4562,MCD,2003-01-28,4,3,3,3,5,5,5
4561,MCD,2003-01-29,4,3,3,3,5,5,5
4560,MCD,2003-01-30,4,3,3,3,5,5,5
4559,MCD,2003-01-31,4,3,3,3,5,5,5
4558,MCD,2003-02-03,4,3,3,3,5,5,5
4557,MCD,2003-02-04,4,3,3,3,5,5,5
4556,MCD,2003-02-05,4,3,3,3,5,5,5
4555,MCD,2003-02-06,4,3,3,3,5,5,5
4554,MCD,2003-02-07,4,3,3,3,5,5,5
4553,MCD,2003-02-10,4,3,3,3,5,5,5
4552,MCD,2003-02-11,4,3,3,3,5,5,5
4551,MCD,2003-02-12,4,3,3,3,5,5,5
4550,MCD,2003-02-13,4,3,3,3,5,5,5
4549,MCD,2003-02-14,4,3,3,3,5,5,5
4548,MCD,2003-02-18,4,3,3,3,5,5,5
4547,MCD,2003-02-19,4,3,3,3,5,5,5
4546,MCD,2003-02-20,4,3,3,3,5,5,5
4545,MCD,2003-02-21,4,3,3,3,5,5,5
4544,MCD,2003-02-24,4,3,3,3,5,5,5
4543,MCD,2003-02-25,4,3,3,3,5,5,5
4542,MCD,2003-02-26,4,3,3,3,5,5,5
4541,MCD,2003-02-27,4,3,3,3,5,5,5
4540,MCD,2003-02-28,4,3,3,3,5,5,5
4539,MCD,2003-03-03,4,3,3,3,5,5,5
4538,MCD,2003-03-04,4,3,3,3,5,5,5
4537,MCD,2003-03-05,4,3,3,3,5,5,5
4536,MCD,2003-03-06,4,3,3,3,5,5,5
4535,MCD,2003-03-07,4,3,3,3,5,5,5
4534,MCD,2003-03-10,4,3,3,3,5,5,5
4533,MCD,2003-03-11,4,3,3,3,5,5,5
4532,MCD,2003-03-12,4,3,3,3,5,5,5
4531,MCD,2003-03-13,4,3,3,3,5,5,5
4530,MCD,2003-03-14,4,3,3,3,5,5,5
4529,MCD,2003-03-17,4,3,3,3,5,5,5
4528,MCD,2003-03-18,4,3,3,3,5,5,5
4527,MCD,2003-03-19,4,3,3,3,5,5,5
4526,MCD,2003-03-20,4,3,3,3,5,5,5
4525,MCD,2003-03-21,4,3,3,3,5,5,5
4524,MCD,2003-03-24,4,3,3,3,5,5,5
4523,MCD,2003-03-25,4,3,3,3,5,5,5
4522,MCD,2003-03-26,4,3,3,3,5,5,5
4521,MCD,2003-03-27,4,3,3,3,5,5,5
4520,MCD,2003-03-28,4,3,3,3,5,5,5
4519,MCD,2003-03-31,4,3,3,3,5,5,5
4518,MCD,2003-04-01,4,3,3,3,5,5,5
4517,MCD,2003-04-02,4,3,3,3,5,5,5
4516,MCD,2003-04-03,4,3,3,3,5,5,5
4515,MCD,2003-04-04,4,3,3,3,5,5,5
4514,MCD,2003-04-07,4,3,3,3,5,5,5
4513,MCD,2003-04-08,4,3,3,3,5,5,5
4512,MCD,2003-04-09,4,3,3,3,5,5,5
4511,MCD,2003-04-10,4,3,3,3,5,5,5
4510,MCD,2003-04-11,4,3,3,3,5,5,5
4509,MCD,2003-04-14,4,3,3,3,5,5,5
4508,MCD,2003-04-15,4,3,3,3,5,5,5
4507,MCD,2003-04-16,4,3,3,3,5,5,5
4506,MCD,2003-04-17,4,3,3,3,5,5,5
4505,MCD,2003-04-21,4,3,3,3,5,5,5
4504,MCD,2003-04-22,4,3,3,3,5,5,5
4503,MCD,2003-04-23,4,3,3,3,5,5,5
4502,MCD,2003-04-24,4,3,3,3,5,5,5
4501,MCD,2003-04-25,4,3,3,3,5,5,5
4500,MCD,2003-04-28,4,3,3,3,5,5,5
4499,MCD,2003-04-29,4,3,3,3,5,5,5
4498,MCD,2003-04-30,4,3,3,3,5,5,5
4497,MCD,2003-05-01,4,3,3,3,5,5,5
4496,MCD,2003-05-02,4,3,3,3,5,5,5
