,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
1487,MDT,2015-01-23,4,3,3,3,4,5,5
1486,MDT,2015-01-26,4,3,3,3,4,5,5
1485,MDT,2015-01-27,4,3,3,3,4,5,5
1484,MDT,2015-01-28,4,3,3,3,4,5,5
1483,MDT,2015-01-29,4,3,3,3,4,5,5
1482,MDT,2015-01-30,4,3,3,3,4,5,5
1481,MDT,2015-02-02,4,3,3,3,4,5,5
1480,MDT,2015-02-03,4,3,3,3,4,5,5
1479,MDT,2015-02-04,4,3,3,3,4,5,5
1478,MDT,2015-02-05,4,3,3,3,4,5,5
1477,MDT,2015-02-06,4,3,3,3,4,5,5
1476,MDT,2015-02-09,4,3,3,3,4,5,5
1475,MDT,2015-02-10,4,3,3,3,4,5,5
1474,MDT,2015-02-11,4,3,3,3,4,5,5
1473,MDT,2015-02-12,4,3,3,3,4,5,5
1472,MDT,2015-02-13,4,3,3,3,4,5,5
1471,MDT,2015-02-17,4,3,3,3,4,5,5
1470,MDT,2015-02-18,4,3,3,3,4,5,5
1469,MDT,2015-02-19,4,3,3,3,4,5,5
1468,MDT,2015-02-20,4,3,3,3,4,5,5
1467,MDT,2015-02-23,4,3,3,3,4,5,5
1466,MDT,2015-02-24,4,3,3,3,4,5,5
1465,MDT,2015-02-25,4,3,3,3,4,5,5
1464,MDT,2015-02-26,4,3,3,3,4,5,5
1463,MDT,2015-02-27,4,3,3,3,4,5,5
1462,MDT,2015-03-02,4,3,3,3,4,5,5
1461,MDT,2015-03-03,4,3,3,3,4,5,5
1460,MDT,2015-03-04,4,3,3,3,4,5,5
1459,MDT,2015-03-05,4,3,3,3,4,5,5
1458,MDT,2015-03-06,4,3,3,3,4,5,5
1457,MDT,2015-03-09,4,3,3,3,4,5,5
1456,MDT,2015-03-10,4,3,3,3,4,5,5
1455,MDT,2015-03-11,4,3,3,3,4,5,5
1454,MDT,2015-03-12,4,3,3,3,4,5,5
1453,MDT,2015-03-13,4,3,3,3,4,5,5
1452,MDT,2015-03-16,4,3,3,3,4,5,5
1451,MDT,2015-03-17,4,3,3,3,4,5,5
1450,MDT,2015-03-18,4,3,3,3,4,5,5
1449,MDT,2015-03-19,4,3,3,3,4,5,5
1448,MDT,2015-03-20,4,3,3,3,4,5,5
1447,MDT,2015-03-23,4,3,3,3,4,5,5
1446,MDT,2015-03-24,4,3,3,3,4,5,5
1445,MDT,2015-03-25,4,3,3,3,4,5,5
1444,MDT,2015-03-26,4,3,3,3,4,5,5
1443,MDT,2015-03-27,4,3,3,3,4,5,5
1442,MDT,2015-03-30,4,3,3,3,4,5,5
1441,MDT,2015-03-31,4,3,3,3,4,5,5
1440,MDT,2015-04-01,4,3,3,3,4,5,5
1439,MDT,2015-04-02,4,3,3,3,4,5,5
1438,MDT,2015-04-06,4,3,3,3,4,5,5
1437,MDT,2015-04-07,4,3,3,3,4,5,5
1436,MDT,2015-04-08,4,3,3,3,4,5,5
1435,MDT,2015-04-09,4,3,3,3,4,5,5
1434,MDT,2015-04-10,4,3,3,3,4,5,5
1433,MDT,2015-04-13,4,3,3,3,4,5,5
1432,MDT,2015-04-14,4,3,3,3,4,5,5
1431,MDT,2015-04-15,4,3,3,3,4,5,5
1430,MDT,2015-04-16,4,3,3,3,4,5,5
1429,MDT,2015-04-17,4,3,3,3,4,5,5
1428,MDT,2015-04-20,4,3,3,3,4,5,5
1427,MDT,2015-04-21,4,3,3,3,4,5,5
1426,MDT,2015-04-22,4,3,3,3,4,5,5
1425,MDT,2015-04-23,4,3,3,3,4,5,5
1424,MDT,2015-04-24,4,3,3,3,4,5,5
1423,MDT,2015-04-27,4,4,3,3,4,5,5
1422,MDT,2015-04-28,4,4,3,3,4,5,5
1421,MDT,2015-04-29,4,4,3,3,4,5,5
1420,MDT,2015-04-30,4,4,3,3,4,5,5
1419,MDT,2015-05-01,4,4,3,3,4,5,5
1418,MDT,2015-05-04,4,4,3,3,4,5,5
1417,MDT,2015-05-05,4,4,3,3,4,5,5
1416,MDT,2015-05-06,4,4,3,3,4,5,5
1415,MDT,2015-05-07,4,4,3,3,4,5,5
1414,MDT,2015-05-08,4,4,3,3,4,5,5
1413,MDT,2015-05-11,4,4,3,3,4,5,5
1412,MDT,2015-05-12,4,4,3,3,4,5,5
1411,MDT,2015-05-13,4,4,3,3,4,5,5
1410,MDT,2015-05-14,4,4,3,3,4,5,5
1409,MDT,2015-05-15,4,4,3,3,4,5,5
1408,MDT,2015-05-18,4,4,3,3,4,5,5
1407,MDT,2015-05-19,4,4,3,3,4,5,5
1406,MDT,2015-05-20,4,4,3,3,4,5,5
1405,MDT,2015-05-21,4,4,3,3,4,5,5
1404,MDT,2015-05-22,4,4,3,3,4,5,5
1403,MDT,2015-05-26,4,4,3,3,4,5,5
1402,MDT,2015-05-27,4,4,3,3,4,5,5
1401,MDT,2015-05-28,4,4,3,3,4,5,5
1400,MDT,2015-05-29,4,4,3,3,4,5,5
1399,MDT,2015-06-01,4,4,3,3,4,5,5
1398,MDT,2015-06-02,4,4,3,3,4,5,5
1397,MDT,2015-06-03,4,4,3,3,4,5,5
