,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4999,MRK,2001-04-11,4,3,3,3,3,5,5
4998,MRK,2001-04-12,4,3,3,3,3,5,5
4997,MRK,2001-04-16,4,3,3,3,3,5,5
4996,MRK,2001-04-17,4,3,3,3,3,5,5
4995,MRK,2001-04-18,4,3,3,3,3,5,5
4994,MRK,2001-04-19,4,3,3,3,3,5,5
4993,MRK,2001-04-20,4,3,3,3,3,5,5
4992,MRK,2001-04-23,4,3,3,3,3,5,5
4991,MRK,2001-04-24,4,3,3,3,3,5,5
4990,MRK,2001-04-25,4,3,3,3,3,5,5
4989,MRK,2001-04-26,4,3,3,3,3,5,5
4988,MRK,2001-04-27,4,3,3,3,3,5,5
4987,MRK,2001-04-30,4,3,3,3,3,5,5
4986,MRK,2001-05-01,4,3,3,3,3,5,5
4985,MRK,2001-05-02,4,3,3,3,3,5,5
4984,MRK,2001-05-03,4,3,3,3,3,5,5
4983,MRK,2001-05-04,4,3,3,3,3,5,5
4982,MRK,2001-05-07,4,3,3,3,3,5,5
4981,MRK,2001-05-08,4,3,3,3,3,5,5
4980,MRK,2001-05-09,4,3,3,3,3,5,5
4979,MRK,2001-05-10,4,3,3,3,3,5,5
4978,MRK,2001-05-11,4,3,3,3,3,5,5
4977,MRK,2001-05-14,4,3,3,3,3,5,5
4976,MRK,2001-05-15,4,3,3,3,3,5,5
4975,MRK,2001-05-16,4,3,3,3,3,5,5
4974,MRK,2001-05-17,4,3,3,3,3,5,5
4973,MRK,2001-05-18,4,3,3,3,3,5,5
4972,MRK,2001-05-21,4,3,3,3,3,5,5
4971,MRK,2001-05-22,4,3,3,3,3,5,5
4970,MRK,2001-05-23,4,3,3,3,3,5,5
4969,MRK,2001-05-24,4,3,3,3,3,5,5
4968,MRK,2001-05-25,4,3,3,3,3,5,5
4967,MRK,2001-05-29,4,3,3,3,3,5,5
4966,MRK,2001-05-30,4,3,3,3,3,5,5
4965,MRK,2001-05-31,4,3,3,3,3,5,5
4964,MRK,2001-06-01,4,3,3,3,3,5,5
4963,MRK,2001-06-04,4,3,3,3,3,5,5
4962,MRK,2001-06-05,4,3,3,3,3,5,5
4961,MRK,2001-06-06,4,3,3,3,3,5,5
4960,MRK,2001-06-07,4,3,3,3,3,5,5
4959,MRK,2001-06-08,4,3,3,3,3,5,5
4958,MRK,2001-06-11,4,3,3,3,3,5,5
4957,MRK,2001-06-12,4,3,3,3,3,5,5
4956,MRK,2001-06-13,4,3,3,3,3,5,5
4955,MRK,2001-06-14,4,3,3,3,3,5,5
4954,MRK,2001-06-15,4,3,3,3,3,5,5
4953,MRK,2001-06-18,4,3,3,3,3,5,5
4952,MRK,2001-06-19,4,3,3,3,3,5,5
4951,MRK,2001-06-20,4,3,3,3,3,5,5
4950,MRK,2001-06-21,4,3,3,3,3,5,5
4949,MRK,2001-06-22,4,3,3,3,3,5,5
4948,MRK,2001-06-25,4,3,3,3,3,5,5
4947,MRK,2001-06-26,4,3,3,3,3,5,5
4946,MRK,2001-06-27,4,3,3,3,3,5,5
4945,MRK,2001-06-28,4,3,3,3,3,5,5
4944,MRK,2001-06-29,4,3,3,3,3,5,5
4943,MRK,2001-07-02,4,3,3,3,3,5,5
4942,MRK,2001-07-03,4,3,3,3,3,5,5
4941,MRK,2001-07-05,4,3,3,3,3,5,5
4940,MRK,2001-07-06,4,3,3,3,3,5,5
4939,MRK,2001-07-09,4,3,3,3,3,5,5
4938,MRK,2001-07-10,4,3,3,3,3,5,5
4937,MRK,2001-07-11,4,3,3,3,3,5,5
4936,MRK,2001-07-12,4,3,3,3,3,5,5
4935,MRK,2001-07-13,4,3,3,3,3,5,5
4934,MRK,2001-07-16,4,3,3,3,3,5,5
4933,MRK,2001-07-17,4,3,3,3,3,5,5
4932,MRK,2001-07-18,4,3,3,3,3,5,5
4931,MRK,2001-07-19,4,3,3,3,3,5,5
4930,MRK,2001-07-20,4,3,3,3,3,5,5
4929,MRK,2001-07-23,4,3,3,3,3,5,5
4928,MRK,2001-07-24,4,3,3,3,3,5,5
4927,MRK,2001-07-25,4,3,3,3,3,5,5
4926,MRK,2001-07-26,4,3,3,3,3,5,5
4925,MRK,2001-07-27,4,3,3,3,3,5,5
4924,MRK,2001-07-30,4,3,3,3,3,5,5
4923,MRK,2001-07-31,4,3,3,3,3,5,5
