,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4707,MSFT,2002-07-01,4,3,3,3,4,5,5
4706,MSFT,2002-07-02,4,3,3,3,4,5,5
4705,MSFT,2002-07-03,4,3,3,3,4,5,5
4704,MSFT,2002-07-05,4,3,3,3,4,5,5
4703,MSFT,2002-07-08,4,3,3,3,4,5,5
4702,MSFT,2002-07-09,4,3,3,3,4,5,5
4701,MSFT,2002-07-10,4,3,3,3,4,5,5
4700,MSFT,2002-07-11,4,3,3,3,4,5,5
4699,MSFT,2002-07-12,4,3,3,3,4,5,5
4698,MSFT,2002-07-15,4,3,3,3,4,5,5
4697,MSFT,2002-07-16,4,3,3,3,4,5,5
4696,MSFT,2002-07-17,4,3,3,3,4,5,5
4695,MSFT,2002-07-18,4,3,3,3,4,5,5
4694,MSFT,2002-07-19,4,3,3,3,4,5,5
4693,MSFT,2002-07-22,4,3,3,3,4,5,5
4692,MSFT,2002-07-23,4,3,3,3,4,5,5
4691,MSFT,2002-07-24,4,3,3,3,4,5,5
4690,MSFT,2002-07-25,4,3,3,3,4,5,5
4689,MSFT,2002-07-26,4,3,3,3,4,5,5
4688,MSFT,2002-07-29,4,3,3,3,4,5,5
4687,MSFT,2002-07-30,4,3,3,3,4,5,5
4686,MSFT,2002-07-31,4,3,3,3,4,5,5
4685,MSFT,2002-08-01,4,3,3,3,4,5,5
4684,MSFT,2002-08-02,4,3,3,3,4,5,5
4683,MSFT,2002-08-05,4,3,3,3,4,5,5
4682,MSFT,2002-08-06,4,3,3,3,4,5,5
4681,MSFT,2002-08-07,4,3,3,3,4,5,5
4680,MSFT,2002-08-08,4,3,3,3,4,5,5
4679,MSFT,2002-08-09,4,3,3,3,4,5,5
4678,MSFT,2002-08-12,4,3,3,3,4,5,5
4677,MSFT,2002-08-13,4,3,3,3,4,5,5
4676,MSFT,2002-08-14,4,3,3,3,4,5,5
4675,MSFT,2002-08-15,4,3,3,3,4,5,5
4674,MSFT,2002-08-16,4,3,3,3,4,5,5
4673,MSFT,2002-08-19,4,3,3,3,4,5,5
4672,MSFT,2002-08-20,4,3,3,3,4,5,5
4671,MSFT,2002-08-21,4,3,3,3,4,5,5
4670,MSFT,2002-08-22,4,3,3,3,4,5,5
4669,MSFT,2002-08-23,4,3,3,3,4,5,5
4668,MSFT,2002-08-26,4,3,3,3,4,5,5
4667,MSFT,2002-08-27,4,3,3,3,4,5,5
4666,MSFT,2002-08-28,4,3,3,3,4,5,5
4665,MSFT,2002-08-29,4,3,3,3,4,5,5
4664,MSFT,2002-08-30,4,3,3,3,4,5,5
4663,MSFT,2002-09-03,4,3,3,3,4,5,5
4662,MSFT,2002-09-04,4,3,3,3,4,5,5
4661,MSFT,2002-09-05,4,3,3,3,4,5,5
4660,MSFT,2002-09-06,4,3,3,3,4,5,5
4659,MSFT,2002-09-09,4,3,3,3,4,5,5
4658,MSFT,2002-09-10,4,3,3,3,4,5,5
4657,MSFT,2002-09-11,4,3,3,3,4,5,5
4656,MSFT,2002-09-12,4,3,3,3,4,5,5
4655,MSFT,2002-09-13,4,3,3,3,4,5,5
4654,MSFT,2002-09-16,4,3,3,3,4,5,5
4653,MSFT,2002-09-17,4,3,3,3,4,5,5
4652,MSFT,2002-09-18,4,3,3,3,4,5,5
4651,MSFT,2002-09-19,4,3,3,3,4,5,5
4650,MSFT,2002-09-20,4,3,3,3,4,5,5
4649,MSFT,2002-09-23,4,3,3,3,4,5,5
4648,MSFT,2002-09-24,4,3,3,3,4,5,5
4647,MSFT,2002-09-25,4,3,3,3,4,5,5
4646,MSFT,2002-09-26,4,3,3,3,4,5,5
4645,MSFT,2002-09-27,4,3,3,3,4,5,5
4644,MSFT,2002-09-30,4,3,3,3,4,5,5
4643,MSFT,2002-10-01,4,3,3,3,4,5,5
4642,MSFT,2002-10-02,4,3,3,3,4,5,5
4641,MSFT,2002-10-03,4,3,3,3,4,5,5
4640,MSFT,2002-10-04,4,3,3,3,4,5,5
4639,MSFT,2002-10-07,4,3,3,3,4,5,5
4638,MSFT,2002-10-08,4,3,3,3,4,5,5
4637,MSFT,2002-10-09,4,3,3,3,4,5,5
4636,MSFT,2002-10-10,4,3,3,3,4,5,5
4635,MSFT,2002-10-11,4,3,3,3,4,5,5
4634,MSFT,2002-10-14,4,3,3,3,4,5,5
4633,MSFT,2002-10-15,4,3,3,3,4,5,5
4632,MSFT,2002-10-16,4,3,3,3,4,5,5
4631,MSFT,2002-10-17,4,3,3,3,4,5,5
4630,MSFT,2002-10-18,4,3,3,3,4,5,5
4629,MSFT,2002-10-21,4,3,3,3,4,5,5
4628,MSFT,2002-10-22,4,3,3,3,4,5,5
4627,MSFT,2002-10-23,4,3,3,3,4,5,5
4626,MSFT,2002-10-24,4,3,3,3,4,5,5
4625,MSFT,2002-10-25,4,3,3,3,4,5,5
4624,MSFT,2002-10-28,4,3,3,3,4,5,5
4623,MSFT,2002-10-29,4,3,3,3,4,5,5
4622,MSFT,2002-10-30,4,3,3,3,4,5,5
4621,MSFT,2002-10-31,4,3,3,3,4,5,5
4620,MSFT,2002-11-01,4,3,3,3,4,5,5
4619,MSFT,2002-11-04,4,3,3,3,4,5,5
4618,MSFT,2002-11-05,4,3,3,3,4,5,5
4617,MSFT,2002-11-06,4,3,3,3,4,5,5
4616,MSFT,2002-11-07,4,3,3,3,4,5,5
4615,MSFT,2002-11-08,4,3,3,3,4,5,5
4614,MSFT,2002-11-11,4,3,3,3,4,5,5
4613,MSFT,2002-11-12,4,3,3,3,4,5,5
4612,MSFT,2002-11-13,4,3,3,3,4,5,5
4611,MSFT,2002-11-14,4,3,3,3,4,5,5
4610,MSFT,2002-11-15,4,3,3,3,4,5,5
4609,MSFT,2002-11-18,4,3,3,3,4,5,5
4608,MSFT,2002-11-19,4,3,3,3,4,5,5
4607,MSFT,2002-11-20,4,3,3,3,4,5,5
4606,MSFT,2002-11-21,4,3,3,3,4,5,5
4605,MSFT,2002-11-22,4,3,3,3,4,5,5
4604,MSFT,2002-11-25,4,3,3,3,4,5,5
4603,MSFT,2002-11-26,4,3,3,3,4,5,5
4602,MSFT,2002-11-27,4,3,3,3,4,5,5
