,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4794,NEE,2001-12-31,3,3,3,3,5,1,4
4793,NEE,2002-01-02,3,3,3,3,5,1,4
4792,NEE,2002-01-03,3,3,3,3,5,1,4
4791,NEE,2002-01-04,3,3,3,3,5,1,4
4790,NEE,2002-01-07,3,3,3,3,5,1,4
4789,NEE,2002-01-08,3,3,3,3,5,1,4
4788,NEE,2002-01-09,3,3,3,3,5,1,4
4787,NEE,2002-01-10,3,3,3,3,5,1,4
4786,NEE,2002-01-11,3,3,3,3,5,1,4
4785,NEE,2002-01-14,3,3,3,3,5,1,4
4784,NEE,2002-01-15,3,3,3,3,5,1,4
4783,NEE,2002-01-16,3,3,3,3,5,1,4
4782,NEE,2002-01-17,3,3,3,3,5,1,4
4781,NEE,2002-01-18,3,3,3,3,5,1,4
4780,NEE,2002-01-22,3,3,3,3,5,1,4
4779,NEE,2002-01-23,3,3,3,3,5,1,4
4778,NEE,2002-01-24,3,3,3,3,5,1,4
4777,NEE,2002-01-25,3,3,3,3,5,1,4
4776,NEE,2002-01-28,3,3,3,3,5,1,4
4775,NEE,2002-01-29,3,3,3,3,5,1,4
4774,NEE,2002-01-30,3,3,3,3,5,1,4
4773,NEE,2002-01-31,3,3,3,3,5,1,4
4772,NEE,2002-02-01,3,3,3,3,5,1,4
4771,NEE,2002-02-04,3,3,3,3,5,1,4
4770,NEE,2002-02-05,3,3,3,3,5,1,4
4769,NEE,2002-02-06,3,3,3,3,5,1,4
4768,NEE,2002-02-07,3,3,3,3,5,1,4
4767,NEE,2002-02-08,3,3,3,3,5,1,4
4766,NEE,2002-02-11,3,3,3,3,5,1,4
4765,NEE,2002-02-12,3,3,3,3,5,1,4
4764,NEE,2002-02-13,3,3,3,3,5,1,4
4763,NEE,2002-02-14,3,3,3,3,5,1,4
4762,NEE,2002-02-15,3,3,3,3,5,1,4
4761,NEE,2002-02-19,3,3,3,3,5,1,4
4760,NEE,2002-02-20,3,3,3,3,5,1,4
4759,NEE,2002-02-21,3,3,3,3,5,1,4
4758,NEE,2002-02-22,3,3,3,3,5,1,4
4757,NEE,2002-02-25,3,3,3,3,5,1,4
4756,NEE,2002-02-26,3,3,3,3,5,1,4
4755,NEE,2002-02-27,3,3,3,3,5,1,4
4754,NEE,2002-02-28,3,3,3,3,5,1,4
4753,NEE,2002-03-01,3,3,3,3,5,1,4
4752,NEE,2002-03-04,3,3,3,3,5,1,4
4751,NEE,2002-03-05,3,3,3,3,5,1,4
4750,NEE,2002-03-06,3,3,3,3,5,1,4
4749,NEE,2002-03-07,3,3,3,3,5,1,4
4748,NEE,2002-03-08,3,3,3,3,5,1,4
4747,NEE,2002-03-11,3,3,3,3,5,1,4
4746,NEE,2002-03-12,3,3,3,3,5,1,4
4745,NEE,2002-03-13,3,3,3,3,5,1,4
4744,NEE,2002-03-14,3,3,3,3,5,1,4
4743,NEE,2002-03-15,3,3,3,3,5,1,4
4742,NEE,2002-03-18,3,3,3,3,5,1,4
4741,NEE,2002-03-19,3,3,3,3,5,1,4
4740,NEE,2002-03-20,3,3,3,3,5,1,4
4739,NEE,2002-03-21,3,3,3,3,5,1,4
4738,NEE,2002-03-22,3,3,3,3,5,1,4
4737,NEE,2002-03-25,3,3,3,3,5,1,4
4736,NEE,2002-03-26,3,3,3,3,5,1,4
4735,NEE,2002-03-27,3,3,3,3,5,1,4
4734,NEE,2002-03-28,3,3,3,3,5,1,4
4733,NEE,2002-04-01,4,3,3,3,5,5,4
4732,NEE,2002-04-02,4,3,3,3,5,5,4
4731,NEE,2002-04-03,4,3,3,3,5,5,4
4730,NEE,2002-04-04,4,3,3,3,5,5,4
4729,NEE,2002-04-05,4,3,3,3,5,5,4
4728,NEE,2002-04-08,4,3,3,3,5,5,4
4727,NEE,2002-04-09,4,3,3,3,5,5,4
4726,NEE,2002-04-10,4,3,3,3,5,5,4
4725,NEE,2002-04-11,4,3,3,3,5,5,4
4724,NEE,2002-04-12,4,3,3,3,5,5,4
4723,NEE,2002-04-15,4,3,3,3,5,5,4
4722,NEE,2002-04-16,4,3,3,3,5,5,4
4721,NEE,2002-04-17,4,3,3,3,5,5,4
4720,NEE,2002-04-18,4,3,3,3,5,5,4
