,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4639,NFLX,2002-09-30,3,5,3,3,3,1,3
4638,NFLX,2002-10-01,3,5,3,3,3,1,3
4637,NFLX,2002-10-02,3,5,3,3,3,1,3
4636,NFLX,2002-10-03,3,5,3,3,3,1,3
4635,NFLX,2002-10-04,3,5,3,3,3,1,3
4634,NFLX,2002-10-07,3,5,3,3,3,1,3
4633,NFLX,2002-10-08,3,5,3,3,3,1,3
4632,NFLX,2002-10-09,3,5,3,3,3,1,3
4631,NFLX,2002-10-10,3,5,3,3,3,1,3
4630,NFLX,2002-10-11,3,5,3,3,3,1,3
4629,NFLX,2002-10-14,3,5,3,3,3,1,3
4628,NFLX,2002-10-15,3,5,3,3,3,1,3
4627,NFLX,2002-10-16,3,5,3,3,3,1,3
4626,NFLX,2002-10-17,3,5,3,3,3,1,3
4625,NFLX,2002-10-18,3,5,3,3,3,1,3
4624,NFLX,2002-10-21,3,5,3,3,3,1,3
4623,NFLX,2002-10-22,3,5,3,3,3,1,3
4622,NFLX,2002-10-23,3,5,3,3,3,1,3
4621,NFLX,2002-10-24,3,5,3,3,3,1,3
4620,NFLX,2002-10-25,3,5,3,3,3,1,3
4619,NFLX,2002-10-28,3,5,3,3,3,1,3
4618,NFLX,2002-10-29,3,5,3,3,3,1,3
4617,NFLX,2002-10-30,3,5,3,3,3,1,3
4616,NFLX,2002-10-31,3,5,3,3,3,1,3
4615,NFLX,2002-11-01,3,5,3,3,3,1,3
4614,NFLX,2002-11-04,3,5,3,3,3,1,3
4613,NFLX,2002-11-05,3,5,3,3,3,1,3
4612,NFLX,2002-11-06,3,5,3,3,3,1,3
4611,NFLX,2002-11-07,3,5,3,3,3,1,3
4610,NFLX,2002-11-08,3,5,3,3,3,1,3
4609,NFLX,2002-11-11,3,5,3,3,3,1,3
4608,NFLX,2002-11-12,3,5,3,3,3,1,3
4607,NFLX,2002-11-13,3,5,3,3,3,1,3
4606,NFLX,2002-11-14,3,5,3,3,3,1,3
4605,NFLX,2002-11-15,3,5,3,3,3,1,3
4604,NFLX,2002-11-18,3,5,3,3,3,1,3
4603,NFLX,2002-11-19,3,5,3,3,3,1,3
4602,NFLX,2002-11-20,3,5,3,3,3,1,3
4601,NFLX,2002-11-21,3,5,3,3,3,1,3
4600,NFLX,2002-11-22,3,5,3,3,3,1,3
4599,NFLX,2002-11-25,3,5,3,3,3,1,3
4598,NFLX,2002-11-26,3,5,3,3,3,1,3
4597,NFLX,2002-11-27,3,5,3,3,3,1,3
