,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4476,NKE,2003-06-02,4,5,3,3,4,4,4
4475,NKE,2003-06-03,4,5,3,3,4,4,4
4474,NKE,2003-06-04,4,5,3,3,4,4,4
4473,NKE,2003-06-05,4,5,3,3,4,4,4
4472,NKE,2003-06-06,4,5,3,3,4,4,4
4471,NKE,2003-06-09,4,5,3,3,4,4,4
4470,NKE,2003-06-10,4,5,3,3,4,4,4
4469,NKE,2003-06-11,4,5,3,3,4,4,4
4468,NKE,2003-06-12,4,5,3,3,4,4,4
4467,NKE,2003-06-13,4,5,3,3,4,4,4
4466,NKE,2003-06-16,4,5,3,3,4,4,4
4465,NKE,2003-06-17,4,5,3,3,4,4,4
4464,NKE,2003-06-18,4,5,3,3,4,4,4
4463,NKE,2003-06-19,4,5,3,3,4,4,4
4462,NKE,2003-06-20,4,5,3,3,4,4,4
4461,NKE,2003-06-23,4,5,3,3,4,4,4
4460,NKE,2003-06-24,4,5,3,3,4,4,4
4459,NKE,2003-06-25,4,5,3,3,4,4,4
4458,NKE,2003-06-26,4,5,3,3,4,4,4
4457,NKE,2003-06-27,4,5,3,3,4,4,4
4456,NKE,2003-06-30,4,5,3,3,4,4,4
4455,NKE,2003-07-01,4,5,3,3,4,4,4
4454,NKE,2003-07-02,4,5,3,3,4,4,4
4453,NKE,2003-07-03,4,5,3,3,4,4,4
4452,NKE,2003-07-07,4,5,3,3,4,4,4
4451,NKE,2003-07-08,4,5,3,3,4,4,4
4450,NKE,2003-07-09,4,5,3,3,4,4,4
4449,NKE,2003-07-10,4,5,3,3,4,4,4
4448,NKE,2003-07-11,4,5,3,3,4,4,4
4447,NKE,2003-07-14,4,5,3,3,4,4,4
4446,NKE,2003-07-15,4,5,3,3,4,4,4
4445,NKE,2003-07-16,4,5,3,3,4,4,4
4444,NKE,2003-07-17,4,5,3,3,4,4,4
4443,NKE,2003-07-18,4,5,3,3,4,4,4
4442,NKE,2003-07-21,4,5,3,3,4,4,4
4441,NKE,2003-07-22,4,5,3,3,4,4,4
4440,NKE,2003-07-23,4,5,3,3,4,4,4
4439,NKE,2003-07-24,4,5,3,3,4,4,4
4438,NKE,2003-07-25,4,5,3,3,4,4,4
4437,NKE,2003-07-28,4,5,3,3,4,4,4
4436,NKE,2003-07-29,4,5,3,3,4,4,4
4435,NKE,2003-07-30,4,5,3,3,4,4,4
4434,NKE,2003-07-31,4,5,3,3,4,4,4
4433,NKE,2003-08-01,4,5,3,3,4,4,4
4432,NKE,2003-08-04,4,5,3,3,4,4,4
4431,NKE,2003-08-05,4,5,3,3,4,4,4
4430,NKE,2003-08-06,4,5,3,3,4,4,4
4429,NKE,2003-08-07,4,5,3,3,4,4,4
4428,NKE,2003-08-08,4,5,3,3,4,4,4
4427,NKE,2003-08-11,4,5,3,3,4,4,4
4426,NKE,2003-08-12,4,5,3,3,4,4,4
4425,NKE,2003-08-13,4,5,3,3,4,4,4
4424,NKE,2003-08-14,4,5,3,3,4,4,4
4423,NKE,2003-08-15,4,5,3,3,4,4,4
4422,NKE,2003-08-18,4,5,3,3,4,4,4
4421,NKE,2003-08-19,4,5,3,3,4,4,4
4420,NKE,2003-08-20,4,5,3,3,4,4,4
4419,NKE,2003-08-21,4,5,3,3,4,4,4
4418,NKE,2003-08-22,4,5,3,3,4,4,4
4417,NKE,2003-08-25,4,5,3,3,4,4,4
4416,NKE,2003-08-26,4,5,3,3,4,4,4
4415,NKE,2003-08-27,4,5,3,3,4,4,4
4414,NKE,2003-08-28,4,5,3,3,4,4,4
4413,NKE,2003-08-29,4,5,3,3,4,4,4
4412,NKE,2003-09-02,4,5,3,3,4,4,4
4411,NKE,2003-09-03,4,5,3,3,4,4,4
4410,NKE,2003-09-04,4,5,3,3,4,4,4
4409,NKE,2003-09-05,4,5,3,3,4,4,4
4408,NKE,2003-09-08,4,5,3,3,4,4,4
4407,NKE,2003-09-09,4,5,3,3,4,4,4
4406,NKE,2003-09-10,4,5,3,3,4,4,4
4405,NKE,2003-09-11,4,5,3,3,4,4,4
4404,NKE,2003-09-12,4,5,3,3,4,4,4
4403,NKE,2003-09-15,4,5,3,3,4,4,4
4402,NKE,2003-09-16,4,5,3,3,4,4,4
4401,NKE,2003-09-17,4,5,3,3,4,4,4
4400,NKE,2003-09-18,4,5,3,3,4,4,4
4399,NKE,2003-09-19,4,5,3,3,4,4,4
4398,NKE,2003-09-22,4,5,3,3,4,4,4
4397,NKE,2003-09-23,4,5,3,3,4,4,4
4396,NKE,2003-09-24,4,5,3,3,4,4,4
4395,NKE,2003-09-25,4,5,3,3,4,4,4
4394,NKE,2003-09-26,4,5,3,3,4,4,4
4393,NKE,2003-09-29,4,5,3,3,4,4,4
4392,NKE,2003-09-30,4,5,3,3,4,4,4
4391,NKE,2003-10-01,4,5,3,3,4,4,4
4390,NKE,2003-10-02,4,5,3,3,4,4,4
4389,NKE,2003-10-03,4,5,3,3,4,4,4
4388,NKE,2003-10-06,4,5,3,3,4,4,4
4387,NKE,2003-10-07,4,5,3,3,4,4,4
4386,NKE,2003-10-08,4,5,3,3,4,4,4
4385,NKE,2003-10-09,4,5,3,3,4,4,4
4384,NKE,2003-10-10,4,5,3,3,4,4,4
4383,NKE,2003-10-13,4,5,3,3,4,4,4
4382,NKE,2003-10-14,4,5,3,3,4,4,4
4381,NKE,2003-10-15,4,5,3,3,4,4,4
4380,NKE,2003-10-16,4,5,3,3,4,4,4
4379,NKE,2003-10-17,4,5,3,3,4,4,4
4378,NKE,2003-10-20,4,5,3,3,4,4,4
4377,NKE,2003-10-21,4,5,3,3,4,4,4
4376,NKE,2003-10-22,4,5,3,3,4,4,4
4375,NKE,2003-10-23,4,5,3,3,4,4,4
4374,NKE,2003-10-24,4,5,3,3,4,4,4
4373,NKE,2003-10-27,4,5,3,3,4,4,4
4372,NKE,2003-10-28,4,5,3,3,4,4,4
4371,NKE,2003-10-29,4,5,3,3,4,4,4
4370,NKE,2003-10-30,4,5,3,3,4,4,4
4369,NKE,2003-10-31,4,5,3,3,4,4,4
4368,NKE,2003-11-03,4,5,3,3,4,4,4
4367,NKE,2003-11-04,4,5,3,3,4,4,4
4366,NKE,2003-11-05,4,5,3,3,4,4,4
4365,NKE,2003-11-06,4,5,3,3,4,4,4
4364,NKE,2003-11-07,4,5,3,3,4,4,4
4363,NKE,2003-11-10,4,5,3,3,4,4,4
4362,NKE,2003-11-11,4,5,3,3,4,4,4
4361,NKE,2003-11-12,4,5,3,3,4,4,4
4360,NKE,2003-11-13,4,5,3,3,4,4,4
4359,NKE,2003-11-14,4,5,3,3,4,4,4
4358,NKE,2003-11-17,4,5,3,3,4,4,4
4357,NKE,2003-11-18,4,5,3,3,4,4,4
4356,NKE,2003-11-19,4,5,3,3,4,4,4
4355,NKE,2003-11-20,4,5,3,3,4,4,4
4354,NKE,2003-11-21,4,5,3,3,4,4,4
4353,NKE,2003-11-24,4,5,3,3,4,4,4
4352,NKE,2003-11-25,4,5,3,3,4,4,4
4351,NKE,2003-11-26,4,5,3,3,4,4,4
4350,NKE,2003-11-28,4,5,3,3,4,4,4
4349,NKE,2003-12-01,4,5,3,3,4,4,4
4348,NKE,2003-12-02,4,5,3,3,4,4,4
4347,NKE,2003-12-03,4,5,3,3,4,4,4
4346,NKE,2003-12-04,4,5,3,3,4,4,4
4345,NKE,2003-12-05,4,5,3,3,4,4,4
4344,NKE,2003-12-08,4,5,3,3,4,4,4
4343,NKE,2003-12-09,4,5,3,3,4,4,4
4342,NKE,2003-12-10,4,5,3,3,4,4,4
4341,NKE,2003-12-11,4,5,3,3,4,4,4
4340,NKE,2003-12-12,4,5,3,3,4,4,4
