,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4751,NVDA,2002-04-29,3,4,3,3,3,3,3
4750,NVDA,2002-04-30,3,4,3,3,3,3,3
4749,NVDA,2002-05-01,3,4,3,3,3,3,3
4748,NVDA,2002-05-02,3,4,3,3,3,3,3
4747,NVDA,2002-05-03,3,4,3,3,3,3,3
4746,NVDA,2002-05-06,3,4,3,3,3,3,3
4745,NVDA,2002-05-07,3,4,3,3,3,3,3
4744,NVDA,2002-05-08,3,4,3,3,3,3,3
4743,NVDA,2002-05-09,3,4,3,3,3,3,3
4742,NVDA,2002-05-10,3,4,3,3,3,3,3
4741,NVDA,2002-05-13,3,4,3,3,3,3,3
4740,NVDA,2002-05-14,3,4,3,3,3,3,3
4739,NVDA,2002-05-15,3,4,3,3,3,3,3
4738,NVDA,2002-05-16,3,4,3,3,3,3,3
4737,NVDA,2002-05-17,3,4,3,3,3,3,3
4736,NVDA,2002-05-20,3,4,3,3,3,3,3
4735,NVDA,2002-05-21,3,4,3,3,3,3,3
4734,NVDA,2002-05-22,3,4,3,3,3,3,3
4733,NVDA,2002-05-23,3,4,3,3,3,3,3
4732,NVDA,2002-05-24,3,4,3,3,3,3,3
4731,NVDA,2002-05-28,3,4,3,3,3,3,3
4730,NVDA,2002-05-29,3,4,3,3,3,3,3
4729,NVDA,2002-05-30,3,4,3,3,3,3,3
4728,NVDA,2002-05-31,3,4,3,3,3,3,3
4727,NVDA,2002-06-03,3,4,3,3,3,3,3
4726,NVDA,2002-06-04,3,4,3,3,3,3,3
4725,NVDA,2002-06-05,3,4,3,3,3,3,3
4724,NVDA,2002-06-06,3,4,3,3,3,3,3
4723,NVDA,2002-06-07,3,4,3,3,3,3,3
4722,NVDA,2002-06-10,3,4,3,3,3,3,3
4721,NVDA,2002-06-11,3,4,3,3,3,3,3
4720,NVDA,2002-06-12,3,4,3,3,3,3,3
4719,NVDA,2002-06-13,3,4,3,3,3,3,3
4718,NVDA,2002-06-14,3,4,3,3,3,3,3
4717,NVDA,2002-06-17,3,4,3,3,3,3,3
4716,NVDA,2002-06-18,3,4,3,3,3,3,3
4715,NVDA,2002-06-19,3,4,3,3,3,3,3
4714,NVDA,2002-06-20,3,4,3,3,3,3,3
4713,NVDA,2002-06-21,3,4,3,3,3,3,3
4712,NVDA,2002-06-24,3,4,3,3,3,3,3
4711,NVDA,2002-06-25,3,4,3,3,3,3,3
4710,NVDA,2002-06-26,4,5,3,3,3,3,3
4709,NVDA,2002-06-27,4,5,3,3,3,3,3
4708,NVDA,2002-06-28,4,5,3,3,3,3,3
4707,NVDA,2002-07-01,4,5,3,3,3,3,3
4706,NVDA,2002-07-02,4,5,3,3,3,3,3
4705,NVDA,2002-07-03,4,5,3,3,3,3,3
4704,NVDA,2002-07-05,4,5,3,3,3,3,3
4703,NVDA,2002-07-08,4,5,3,3,3,3,3
4702,NVDA,2002-07-09,4,5,3,3,3,3,3
4701,NVDA,2002-07-10,4,5,3,3,3,3,3
4700,NVDA,2002-07-11,4,5,3,3,3,3,3
4699,NVDA,2002-07-12,4,5,3,3,3,3,3
4698,NVDA,2002-07-15,3,4,3,3,3,3,3
4697,NVDA,2002-07-16,3,4,3,3,3,3,3
