,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4524,PEP,2003-03-24,4,3,3,3,5,5,5
4523,PEP,2003-03-25,4,3,3,3,5,5,5
4522,PEP,2003-03-26,4,3,3,3,5,5,5
4521,PEP,2003-03-27,4,3,3,3,5,5,5
4520,PEP,2003-03-28,4,3,3,3,5,5,5
4519,PEP,2003-03-31,4,3,3,3,5,5,5
4518,PEP,2003-04-01,4,3,3,3,5,5,5
4517,PEP,2003-04-02,4,3,3,3,5,5,5
4516,PEP,2003-04-03,4,3,3,3,5,5,5
4515,PEP,2003-04-04,4,3,3,3,5,5,5
4514,PEP,2003-04-07,4,3,3,3,5,5,5
4513,PEP,2003-04-08,4,3,3,3,5,5,5
4512,PEP,2003-04-09,4,3,3,3,5,5,5
4511,PEP,2003-04-10,4,3,3,3,5,5,5
4510,PEP,2003-04-11,4,3,3,3,5,5,5
4509,PEP,2003-04-14,4,3,3,3,5,5,5
4508,PEP,2003-04-15,4,3,3,3,5,5,5
4507,PEP,2003-04-16,4,3,3,3,5,5,5
4506,PEP,2003-04-17,4,3,3,3,5,5,5
4505,PEP,2003-04-21,4,3,3,3,5,5,5
4504,PEP,2003-04-22,4,3,3,3,5,5,5
4503,PEP,2003-04-23,4,3,3,3,5,5,5
4502,PEP,2003-04-24,4,3,3,3,5,5,5
4501,PEP,2003-04-25,4,3,3,3,5,5,5
4500,PEP,2003-04-28,4,3,3,3,5,5,5
4499,PEP,2003-04-29,4,3,3,3,5,5,5
4498,PEP,2003-04-30,4,3,3,3,5,5,5
4497,PEP,2003-05-01,4,3,3,3,5,5,5
4496,PEP,2003-05-02,4,3,3,3,5,5,5
4495,PEP,2003-05-05,4,3,3,3,5,5,5
4494,PEP,2003-05-06,4,3,3,3,5,5,5
4493,PEP,2003-05-07,4,3,3,3,5,5,5
4492,PEP,2003-05-08,4,3,3,3,5,5,5
4491,PEP,2003-05-09,4,3,3,3,5,5,5
4490,PEP,2003-05-12,4,3,3,3,5,5,5
4489,PEP,2003-05-13,4,3,3,3,5,5,5
4488,PEP,2003-05-14,4,3,3,3,5,5,5
4487,PEP,2003-05-15,4,3,3,3,5,5,5
4486,PEP,2003-05-16,4,3,3,3,5,5,5
4485,PEP,2003-05-19,4,3,3,3,5,5,5
4484,PEP,2003-05-20,4,3,3,3,5,5,5
4483,PEP,2003-05-21,4,3,3,3,5,5,5
4482,PEP,2003-05-22,4,3,3,3,5,5,5
4481,PEP,2003-05-23,4,3,3,3,5,5,5
4480,PEP,2003-05-27,4,3,3,3,5,5,5
4479,PEP,2003-05-28,4,3,3,3,5,5,5
4478,PEP,2003-05-29,4,3,3,3,5,5,5
