,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4948,PFE,2001-07-02,3,5,4,3,4,1,1
4947,PFE,2001-07-03,3,5,4,3,4,1,1
4946,PFE,2001-07-05,3,5,4,3,4,1,1
4945,PFE,2001-07-06,3,5,4,3,4,1,1
4944,PFE,2001-07-09,3,5,4,3,4,1,1
4943,PFE,2001-07-10,3,5,4,3,4,1,1
4942,PFE,2001-07-11,3,5,4,3,4,1,1
4941,PFE,2001-07-12,3,5,4,3,4,1,1
4940,PFE,2001-07-13,3,5,4,3,4,1,1
4939,PFE,2001-07-16,3,5,4,3,4,1,1
4938,PFE,2001-07-17,3,5,4,3,4,1,1
4937,PFE,2001-07-18,3,5,4,3,4,1,1
4936,PFE,2001-07-19,3,5,4,3,4,1,1
4935,PFE,2001-07-20,3,5,4,3,4,1,1
4934,PFE,2001-07-23,3,5,4,3,4,1,1
4933,PFE,2001-07-24,3,5,4,3,4,1,1
4932,PFE,2001-07-25,3,5,4,3,4,1,1
4931,PFE,2001-07-26,3,5,4,3,4,1,1
4930,PFE,2001-07-27,3,5,4,3,4,1,1
4929,PFE,2001-07-30,3,5,4,3,4,1,1
4928,PFE,2001-07-31,3,5,4,3,4,1,1
4927,PFE,2001-08-01,3,5,4,3,4,1,1
4926,PFE,2001-08-02,3,5,4,3,4,1,1
4925,PFE,2001-08-03,3,5,4,3,4,1,1
4924,PFE,2001-08-06,3,5,4,3,4,1,1
4923,PFE,2001-08-07,3,5,4,3,4,1,1
4922,PFE,2001-08-08,3,5,4,3,4,1,1
4921,PFE,2001-08-09,3,5,4,3,4,1,1
4920,PFE,2001-08-10,3,5,4,3,4,1,1
4919,PFE,2001-08-13,3,5,4,3,4,1,1
4918,PFE,2001-08-14,3,5,4,3,4,1,1
4917,PFE,2001-08-15,3,5,4,3,4,1,1
4916,PFE,2001-08-16,3,5,4,3,4,1,1
4915,PFE,2001-08-17,3,5,4,3,4,1,1
4914,PFE,2001-08-20,3,5,4,3,4,1,1
4913,PFE,2001-08-21,3,5,4,3,4,1,1
4912,PFE,2001-08-22,3,5,4,3,4,1,1
4911,PFE,2001-08-23,3,5,4,3,4,1,1
4910,PFE,2001-08-24,3,5,4,3,4,1,1
4909,PFE,2001-08-27,3,5,4,3,4,1,1
4908,PFE,2001-08-28,3,5,4,3,4,1,1
4907,PFE,2001-08-29,3,5,4,3,4,1,1
4906,PFE,2001-08-30,3,5,4,3,4,1,1
4905,PFE,2001-08-31,3,5,4,3,4,1,1
4904,PFE,2001-09-04,3,5,4,3,4,1,1
4903,PFE,2001-09-05,3,5,4,3,4,1,1
4902,PFE,2001-09-06,3,5,4,3,4,1,1
4901,PFE,2001-09-07,3,5,4,3,4,1,1
4900,PFE,2001-09-10,3,5,4,3,4,1,1
4899,PFE,2001-09-17,3,5,4,3,4,1,1
4898,PFE,2001-09-18,3,5,4,3,4,1,1
4897,PFE,2001-09-19,3,5,4,3,4,1,1
4896,PFE,2001-09-20,3,5,4,3,4,1,1
4895,PFE,2001-09-21,3,5,4,3,4,1,1
4894,PFE,2001-09-24,3,5,4,3,4,1,1
4893,PFE,2001-09-25,3,5,4,3,4,1,1
4892,PFE,2001-09-26,3,5,4,3,4,1,1
4891,PFE,2001-09-27,3,5,4,3,4,1,1
4890,PFE,2001-09-28,3,5,4,3,4,1,1
4889,PFE,2001-10-01,2,5,1,1,1,1,1
4888,PFE,2001-10-02,2,5,1,1,1,1,1
4887,PFE,2001-10-03,2,5,1,1,1,1,1
4886,PFE,2001-10-04,2,5,1,1,1,1,1
4885,PFE,2001-10-05,2,5,1,1,1,1,1
4884,PFE,2001-10-08,2,5,1,1,1,1,1
4883,PFE,2001-10-09,2,5,1,1,1,1,1
4882,PFE,2001-10-10,2,5,1,1,1,1,1
4881,PFE,2001-10-11,2,5,1,1,1,1,1
4880,PFE,2001-10-12,2,5,1,1,1,1,1
4879,PFE,2001-10-15,2,5,1,1,1,1,1
4878,PFE,2001-10-16,2,5,1,1,1,1,1
4877,PFE,2001-10-17,2,5,1,1,1,1,1
4876,PFE,2001-10-18,2,5,1,1,1,1,1
4875,PFE,2001-10-19,2,5,1,1,1,1,1
4874,PFE,2001-10-22,2,5,1,1,1,1,1
4873,PFE,2001-10-23,2,5,1,1,1,1,1
4872,PFE,2001-10-24,2,5,1,1,1,1,1
4871,PFE,2001-10-25,2,5,1,1,1,1,1
4870,PFE,2001-10-26,2,5,1,1,1,1,1
4869,PFE,2001-10-29,2,5,1,1,1,1,1
4868,PFE,2001-10-30,2,5,1,1,1,1,1
4867,PFE,2001-10-31,2,5,1,1,1,1,1
4866,PFE,2001-11-01,2,5,1,1,1,1,1
4865,PFE,2001-11-02,2,5,1,1,1,1,1
4864,PFE,2001-11-05,2,5,1,1,1,1,1
4863,PFE,2001-11-06,2,5,1,1,1,1,1
4862,PFE,2001-11-07,2,5,1,1,1,1,1
4861,PFE,2001-11-08,2,5,1,1,1,1,1
4860,PFE,2001-11-09,2,5,1,1,1,1,1
4859,PFE,2001-11-12,2,5,1,1,1,1,1
4858,PFE,2001-11-13,2,5,1,1,1,1,1
4857,PFE,2001-11-14,2,5,1,1,1,1,1
4856,PFE,2001-11-15,2,5,1,1,1,1,1
4855,PFE,2001-11-16,2,5,1,1,1,1,1
4854,PFE,2001-11-19,2,5,1,1,1,1,1
4853,PFE,2001-11-20,2,5,1,1,1,1,1
4852,PFE,2001-11-21,2,5,1,1,1,1,1
4851,PFE,2001-11-23,2,5,1,1,1,1,1
4850,PFE,2001-11-26,2,5,1,1,1,1,1
4849,PFE,2001-11-27,2,5,1,1,1,1,1
4848,PFE,2001-11-28,2,5,1,1,1,1,1
4847,PFE,2001-11-29,2,5,1,1,1,1,1
4846,PFE,2001-11-30,2,5,1,1,1,1,1
4845,PFE,2001-12-03,2,5,1,1,1,1,1
4844,PFE,2001-12-04,2,5,1,1,1,1,1
4843,PFE,2001-12-05,2,5,1,1,1,1,1
4842,PFE,2001-12-06,2,5,1,1,1,1,1
4841,PFE,2001-12-07,2,5,1,1,1,1,1
4840,PFE,2001-12-10,2,5,1,1,1,1,1
4839,PFE,2001-12-11,2,5,1,1,1,1,1
4838,PFE,2001-12-12,2,5,1,1,1,1,1
4837,PFE,2001-12-13,2,5,1,1,1,1,1
4836,PFE,2001-12-14,2,5,1,1,1,1,1
4835,PFE,2001-12-17,2,5,1,1,1,1,1
4834,PFE,2001-12-18,2,5,1,1,1,1,1
4833,PFE,2001-12-19,2,5,1,1,1,1,1
4832,PFE,2001-12-20,2,5,1,1,1,1,1
4831,PFE,2001-12-21,2,5,1,1,1,1,1
4830,PFE,2001-12-24,2,5,1,1,1,1,1
4829,PFE,2001-12-26,2,5,1,1,1,1,1
4828,PFE,2001-12-27,2,5,1,1,1,1,1
4827,PFE,2001-12-28,2,5,1,1,1,1,1
4826,PFE,2001-12-31,2,5,1,1,1,1,1
4825,PFE,2002-01-02,2,1,4,3,4,1,1
4824,PFE,2002-01-03,2,1,4,3,4,1,1
4823,PFE,2002-01-04,2,1,4,3,4,1,1
4822,PFE,2002-01-07,2,1,4,3,4,1,1
4821,PFE,2002-01-08,2,1,4,3,4,1,1
4820,PFE,2002-01-09,2,1,4,3,4,1,1
4819,PFE,2002-01-10,2,1,4,3,4,1,1
4818,PFE,2002-01-11,2,1,4,3,4,1,1
4817,PFE,2002-01-14,2,1,4,3,4,1,1
4816,PFE,2002-01-15,2,1,4,3,4,1,1
4815,PFE,2002-01-16,2,1,4,3,4,1,1
4814,PFE,2002-01-17,2,1,4,3,4,1,1
4813,PFE,2002-01-18,2,1,4,3,4,1,1
4812,PFE,2002-01-22,2,1,4,3,4,1,1
4811,PFE,2002-01-23,2,1,4,3,4,1,1
4810,PFE,2002-01-24,2,1,4,3,4,1,1
4809,PFE,2002-01-25,2,1,4,3,4,1,1
4808,PFE,2002-01-28,2,1,4,3,4,1,1
