,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
3629,PG,2006-10-02,4,3,3,3,4,5,5
3628,PG,2006-10-03,4,3,3,3,4,5,5
3627,PG,2006-10-04,4,3,3,3,4,5,5
3626,PG,2006-10-05,4,3,3,3,4,5,5
3625,PG,2006-10-06,4,3,3,3,4,5,5
3624,PG,2006-10-09,4,3,3,3,4,5,5
3623,PG,2006-10-10,4,3,3,3,4,5,5
3622,PG,2006-10-11,4,3,3,3,4,5,5
3621,PG,2006-10-12,4,3,3,3,4,5,5
3620,PG,2006-10-13,4,3,3,3,4,5,5
3619,PG,2006-10-16,4,3,3,3,4,5,5
3618,PG,2006-10-17,4,3,3,3,4,5,5
3617,PG,2006-10-18,4,3,3,3,4,5,5
3616,PG,2006-10-19,4,3,3,3,4,5,5
3615,PG,2006-10-20,4,3,3,3,4,5,5
3614,PG,2006-10-23,4,3,3,3,4,5,5
3613,PG,2006-10-24,4,3,3,3,4,5,5
3612,PG,2006-10-25,4,3,3,3,4,5,5
3611,PG,2006-10-26,4,3,3,3,4,5,5
3610,PG,2006-10-27,4,3,3,3,4,5,5
3609,PG,2006-10-30,4,3,3,3,4,5,5
3608,PG,2006-10-31,4,3,3,3,4,5,5
3607,PG,2006-11-01,4,3,3,3,4,5,5
3606,PG,2006-11-02,4,3,3,3,4,5,5
3605,PG,2006-11-03,4,3,3,3,4,5,5
3604,PG,2006-11-06,4,3,3,3,4,5,5
3603,PG,2006-11-07,4,3,3,3,4,5,5
3602,PG,2006-11-08,4,3,3,3,4,5,5
3601,PG,2006-11-09,4,3,3,3,4,5,5
3600,PG,2006-11-10,4,3,3,3,4,5,5
3599,PG,2006-11-13,4,3,3,3,4,5,5
3598,PG,2006-11-14,4,3,3,3,4,5,5
3597,PG,2006-11-15,4,3,3,3,4,5,5
3596,PG,2006-11-16,4,3,3,3,4,5,5
3595,PG,2006-11-17,4,3,3,3,4,5,5
3594,PG,2006-11-20,4,3,3,3,4,5,5
3593,PG,2006-11-21,4,3,3,3,4,5,5
3592,PG,2006-11-22,4,3,3,3,4,5,5
3591,PG,2006-11-24,4,3,3,3,4,5,5
3590,PG,2006-11-27,4,3,3,3,4,5,5
3589,PG,2006-11-28,4,3,3,3,4,5,5
3588,PG,2006-11-29,4,3,3,3,4,5,5
3587,PG,2006-11-30,4,3,3,3,4,5,5
