,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
3196,PM,2008-06-30,5,3,4,3,5,5,5
3195,PM,2008-07-01,5,3,4,3,5,5,5
3194,PM,2008-07-02,5,3,4,3,5,5,5
3193,PM,2008-07-03,5,3,4,3,5,5,5
3192,PM,2008-07-07,5,3,4,3,5,5,5
3191,PM,2008-07-08,5,3,4,3,5,5,5
3190,PM,2008-07-09,5,3,4,3,5,5,5
3189,PM,2008-07-10,5,3,4,3,5,5,5
3188,PM,2008-07-11,5,3,4,3,5,5,5
3187,PM,2008-07-14,5,3,4,3,5,5,5
3186,PM,2008-07-15,5,3,4,3,5,5,5
3185,PM,2008-07-16,5,3,4,3,5,5,5
3184,PM,2008-07-17,5,3,4,3,5,5,5
3183,PM,2008-07-18,5,3,4,3,5,5,5
3182,PM,2008-07-21,5,3,4,3,5,5,5
3181,PM,2008-07-22,5,3,4,3,5,5,5
3180,PM,2008-07-23,5,3,4,3,5,5,5
3179,PM,2008-07-24,5,3,4,3,5,5,5
3178,PM,2008-07-25,5,3,4,3,5,5,5
3177,PM,2008-07-28,5,3,4,3,5,5,5
3176,PM,2008-07-29,5,3,4,3,5,5,5
3175,PM,2008-07-30,5,3,4,3,5,5,5
3174,PM,2008-07-31,5,3,4,3,5,5,5
3173,PM,2008-08-01,5,3,4,3,5,5,5
3172,PM,2008-08-04,5,3,4,3,5,5,5
3171,PM,2008-08-05,5,3,4,3,5,5,5
3170,PM,2008-08-06,5,3,4,3,5,5,5
3169,PM,2008-08-07,5,3,4,3,5,5,5
3168,PM,2008-08-08,5,3,4,3,5,5,5
3167,PM,2008-08-11,5,3,4,3,5,5,5
3166,PM,2008-08-12,5,3,4,3,5,5,5
3165,PM,2008-08-13,5,3,4,3,5,5,5
3164,PM,2008-08-14,5,3,4,3,5,5,5
3163,PM,2008-08-15,5,3,4,3,5,5,5
3162,PM,2008-08-18,5,3,4,3,5,5,5
3161,PM,2008-08-19,5,3,4,3,5,5,5
3160,PM,2008-08-20,5,3,4,3,5,5,5
3159,PM,2008-08-21,5,3,4,3,5,5,5
3158,PM,2008-08-22,5,3,4,3,5,5,5
3157,PM,2008-08-25,5,3,4,3,5,5,5
3156,PM,2008-08-26,5,3,4,3,5,5,5
3155,PM,2008-08-27,5,3,4,3,5,5,5
3154,PM,2008-08-28,5,3,4,3,5,5,5
3153,PM,2008-08-29,5,3,4,3,5,5,5
3152,PM,2008-09-02,5,3,4,3,5,5,5
3151,PM,2008-09-03,5,3,4,3,5,5,5
3150,PM,2008-09-04,5,3,4,3,5,5,5
3149,PM,2008-09-05,5,3,4,3,5,5,5
3148,PM,2008-09-08,5,3,4,3,5,5,5
3147,PM,2008-09-09,5,3,4,3,5,5,5
3146,PM,2008-09-10,5,3,4,3,5,5,5
3145,PM,2008-09-11,5,3,4,3,5,5,5
3144,PM,2008-09-12,5,3,4,3,5,5,5
3143,PM,2008-09-15,5,3,4,3,5,5,5
3142,PM,2008-09-16,5,3,4,3,5,5,5
