,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
1432,PYPL,2015-07-06,4,4,3,3,4,5,5
1431,PYPL,2015-07-07,4,4,3,3,4,5,5
1430,PYPL,2015-07-08,4,4,3,3,4,5,5
1429,PYPL,2015-07-09,4,4,3,3,4,5,5
1428,PYPL,2015-07-10,4,4,3,3,4,5,5
1427,PYPL,2015-07-13,4,4,3,3,4,5,5
1426,PYPL,2015-07-14,4,4,3,3,4,5,5
1425,PYPL,2015-07-15,4,4,3,3,4,5,5
1424,PYPL,2015-07-16,4,4,3,3,4,5,5
1423,PYPL,2015-07-17,4,4,3,3,4,5,5
1422,PYPL,2015-07-20,4,4,3,3,4,5,5
1421,PYPL,2015-07-21,4,4,3,3,4,5,5
1420,PYPL,2015-07-22,4,4,3,3,4,5,5
1419,PYPL,2015-07-23,4,4,3,3,4,5,5
1418,PYPL,2015-07-24,4,4,3,3,4,5,5
1417,PYPL,2015-07-27,4,4,3,3,4,5,5
1416,PYPL,2015-07-28,4,4,3,3,4,5,5
1415,PYPL,2015-07-29,4,4,3,3,4,5,5
1414,PYPL,2015-07-30,4,4,3,3,4,5,5
1413,PYPL,2015-07-31,4,4,3,3,4,5,5
1412,PYPL,2015-08-03,4,4,3,3,4,5,5
1411,PYPL,2015-08-04,4,4,3,3,4,5,5
1410,PYPL,2015-08-05,4,4,3,3,4,5,5
1409,PYPL,2015-08-06,4,4,3,3,4,5,5
1408,PYPL,2015-08-07,4,4,3,3,4,5,5
1407,PYPL,2015-08-10,4,4,3,3,4,5,5
1406,PYPL,2015-08-11,4,4,3,3,4,5,5
1405,PYPL,2015-08-12,4,4,3,3,4,5,5
1404,PYPL,2015-08-13,4,4,3,3,4,5,5
1403,PYPL,2015-08-14,4,4,3,3,4,5,5
1402,PYPL,2015-08-17,4,4,3,3,4,5,5
1401,PYPL,2015-08-18,4,4,3,3,4,5,5
1400,PYPL,2015-08-19,4,4,3,3,4,5,5
1399,PYPL,2015-08-20,4,4,3,3,4,5,5
1398,PYPL,2015-08-21,4,4,3,3,4,5,5
1397,PYPL,2015-08-24,4,4,3,3,4,5,5
1396,PYPL,2015-08-25,4,4,3,3,4,5,5
1395,PYPL,2015-08-26,4,4,3,3,4,5,5
1394,PYPL,2015-08-27,4,4,3,3,4,5,5
1393,PYPL,2015-08-28,4,4,3,3,4,5,5
1392,PYPL,2015-08-31,4,4,3,3,4,5,5
1391,PYPL,2015-09-01,4,4,3,3,4,5,5
1390,PYPL,2015-09-02,4,4,3,3,4,5,5
1389,PYPL,2015-09-03,4,4,3,3,4,5,5
1388,PYPL,2015-09-04,4,4,3,3,4,5,5
1387,PYPL,2015-09-08,4,4,3,3,4,5,5
1386,PYPL,2015-09-09,4,4,3,3,4,5,5
1385,PYPL,2015-09-10,4,4,3,3,4,5,5
1384,PYPL,2015-09-11,4,4,3,3,4,5,5
1383,PYPL,2015-09-14,4,4,3,3,4,5,5
1382,PYPL,2015-09-15,4,4,3,3,4,5,5
1381,PYPL,2015-09-16,4,4,3,3,4,5,5
1380,PYPL,2015-09-17,4,4,3,3,4,5,5
1379,PYPL,2015-09-18,4,4,3,3,4,5,5
1378,PYPL,2015-09-21,4,4,3,3,4,5,5
1377,PYPL,2015-09-22,4,4,3,3,4,5,5
1376,PYPL,2015-09-23,4,4,3,3,4,5,5
1375,PYPL,2015-09-24,4,4,3,3,4,5,5
1374,PYPL,2015-09-25,4,4,3,3,4,5,5
1373,PYPL,2015-09-28,4,4,3,3,4,5,5
1372,PYPL,2015-09-29,4,4,3,3,4,5,5
1371,PYPL,2015-09-30,4,4,3,3,4,5,5
1370,PYPL,2015-10-01,4,3,3,3,4,5,5
1369,PYPL,2015-10-02,4,3,3,3,4,5,5
1368,PYPL,2015-10-05,4,3,3,3,4,5,5
1367,PYPL,2015-10-06,4,3,3,3,4,5,5
1366,PYPL,2015-10-07,4,3,3,3,4,5,5
1365,PYPL,2015-10-08,4,3,3,3,4,5,5
1364,PYPL,2015-10-09,4,3,3,3,4,5,5
1363,PYPL,2015-10-12,4,3,3,3,4,5,5
1362,PYPL,2015-10-13,4,3,3,3,4,5,5
1361,PYPL,2015-10-14,4,3,3,3,4,5,5
1360,PYPL,2015-10-15,4,3,3,3,4,5,5
1359,PYPL,2015-10-16,4,3,3,3,4,5,5
1358,PYPL,2015-10-19,4,3,3,3,4,5,5
1357,PYPL,2015-10-20,4,3,3,3,4,5,5
1356,PYPL,2015-10-21,4,3,3,3,4,5,5
1355,PYPL,2015-10-22,4,3,3,3,4,5,5
1354,PYPL,2015-10-23,4,3,3,3,4,5,5
1353,PYPL,2015-10-26,4,3,3,3,4,5,5
1352,PYPL,2015-10-27,4,3,3,3,4,5,5
1351,PYPL,2015-10-28,4,3,3,3,4,5,5
1350,PYPL,2015-10-29,4,3,3,3,4,5,5
1349,PYPL,2015-10-30,4,3,3,3,4,5,5
1348,PYPL,2015-11-02,4,3,3,3,4,5,5
1347,PYPL,2015-11-03,4,3,3,3,4,5,5
1346,PYPL,2015-11-04,4,3,3,3,4,5,5
1345,PYPL,2015-11-05,4,3,3,3,4,5,5
1344,PYPL,2015-11-06,4,3,3,3,4,5,5
1343,PYPL,2015-11-09,4,3,3,3,4,5,5
1342,PYPL,2015-11-10,4,3,3,3,4,5,5
1341,PYPL,2015-11-11,4,3,3,3,4,5,5
1340,PYPL,2015-11-12,4,3,3,3,4,5,5
1339,PYPL,2015-11-13,4,3,3,3,4,5,5
1338,PYPL,2015-11-16,4,3,3,3,4,5,5
1337,PYPL,2015-11-17,4,3,3,3,4,5,5
1336,PYPL,2015-11-18,4,3,3,3,4,5,5
1335,PYPL,2015-11-19,4,3,3,3,4,5,5
1334,PYPL,2015-11-20,4,3,3,3,4,5,5
1333,PYPL,2015-11-23,4,3,3,3,4,5,5
1332,PYPL,2015-11-24,4,3,3,3,4,5,5
1331,PYPL,2015-11-25,4,3,3,3,4,5,5
1330,PYPL,2015-11-27,4,3,3,3,4,5,5
1329,PYPL,2015-11-30,4,3,3,3,4,5,5
1328,PYPL,2015-12-01,4,3,3,3,4,5,5
1327,PYPL,2015-12-02,4,3,3,3,4,5,5
1326,PYPL,2015-12-03,4,3,3,3,4,5,5
1325,PYPL,2015-12-04,4,3,3,3,4,5,5
1324,PYPL,2015-12-07,4,3,3,3,4,5,5
1323,PYPL,2015-12-08,4,3,3,3,4,5,5
1322,PYPL,2015-12-09,4,3,3,3,4,5,5
1321,PYPL,2015-12-10,4,3,3,3,4,5,5
