,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4771,T,2002-04-01,2,5,1,2,1,1,1
4770,T,2002-04-02,2,5,1,2,1,1,1
4769,T,2002-04-03,2,5,1,2,1,1,1
4768,T,2002-04-04,2,5,1,2,1,1,1
4767,T,2002-04-05,2,5,1,2,1,1,1
4766,T,2002-04-08,2,5,1,2,1,1,1
4765,T,2002-04-09,2,5,1,2,1,1,1
4764,T,2002-04-10,2,5,1,2,1,1,1
4763,T,2002-04-11,2,5,1,2,1,1,1
4762,T,2002-04-12,2,5,1,2,1,1,1
4761,T,2002-04-15,2,5,1,2,1,1,1
4760,T,2002-04-16,2,5,1,2,1,1,1
4759,T,2002-04-17,2,5,1,2,1,1,1
4758,T,2002-04-18,2,5,1,2,1,1,1
4757,T,2002-04-19,2,5,1,2,1,1,1
4756,T,2002-04-22,2,5,1,2,1,1,1
4755,T,2002-04-23,2,5,1,2,1,1,1
4754,T,2002-04-24,2,5,1,2,1,1,1
4753,T,2002-04-25,2,5,1,2,1,1,1
4752,T,2002-04-26,2,5,1,2,1,1,1
4751,T,2002-04-29,2,5,1,2,1,1,1
4750,T,2002-04-30,2,5,1,2,1,1,1
4749,T,2002-05-01,2,5,1,2,1,1,1
4748,T,2002-05-02,2,5,1,2,1,1,1
4747,T,2002-05-03,2,5,1,2,1,1,1
4746,T,2002-05-06,2,5,1,2,1,1,1
4745,T,2002-05-07,2,5,1,2,1,1,1
4744,T,2002-05-08,2,5,1,2,1,1,1
4743,T,2002-05-09,2,5,1,2,1,1,1
4742,T,2002-05-10,2,5,1,2,1,1,1
4741,T,2002-05-13,2,5,1,2,1,1,1
4740,T,2002-05-14,2,5,1,2,1,1,1
4739,T,2002-05-15,2,5,1,2,1,1,1
4738,T,2002-05-16,2,5,1,2,1,1,1
4737,T,2002-05-17,2,5,1,2,1,1,1
4736,T,2002-05-20,2,5,1,2,1,1,1
4735,T,2002-05-21,2,5,1,2,1,1,1
4734,T,2002-05-22,2,5,1,2,1,1,1
4733,T,2002-05-23,2,5,1,2,1,1,1
4732,T,2002-05-24,2,5,1,2,1,1,1
4731,T,2002-05-28,2,5,1,2,1,1,1
4730,T,2002-05-29,2,5,1,2,1,1,1
4729,T,2002-05-30,2,5,1,2,1,1,1
4728,T,2002-05-31,2,5,1,2,1,1,1
4727,T,2002-06-03,2,5,1,2,1,1,1
4726,T,2002-06-04,2,5,1,2,1,1,1
4725,T,2002-06-05,2,5,1,2,1,1,1
4724,T,2002-06-06,2,5,1,2,1,1,1
4723,T,2002-06-07,2,5,1,2,1,1,1
4722,T,2002-06-10,2,5,1,2,1,1,1
4721,T,2002-06-11,2,5,1,2,1,1,1
4720,T,2002-06-12,2,5,1,2,1,1,1
