,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
3765,TMO,2006-04-03,2,3,1,3,1,5,1
3764,TMO,2006-04-04,2,3,1,3,1,5,1
3763,TMO,2006-04-05,2,3,1,3,1,5,1
3762,TMO,2006-04-06,2,3,1,3,1,5,1
3761,TMO,2006-04-07,2,3,1,3,1,5,1
3760,TMO,2006-04-10,2,3,1,3,1,5,1
3759,TMO,2006-04-11,2,3,1,3,1,5,1
3758,TMO,2006-04-12,2,3,1,3,1,5,1
3757,TMO,2006-04-13,2,3,1,3,1,5,1
3756,TMO,2006-04-17,2,3,1,3,1,5,1
3755,TMO,2006-04-18,2,3,1,3,1,5,1
3754,TMO,2006-04-19,2,3,1,3,1,5,1
3753,TMO,2006-04-20,2,3,1,3,1,5,1
3752,TMO,2006-04-21,2,3,1,3,1,5,1
3751,TMO,2006-04-24,2,3,1,3,1,5,1
3750,TMO,2006-04-25,2,3,1,3,1,5,1
3749,TMO,2006-04-26,2,3,1,3,1,5,1
3748,TMO,2006-04-27,2,3,1,3,1,5,1
3747,TMO,2006-04-28,2,3,1,3,1,5,1
3746,TMO,2006-05-01,2,3,1,3,1,5,1
3745,TMO,2006-05-02,2,3,1,3,1,5,1
3744,TMO,2006-05-03,2,3,1,3,1,5,1
3743,TMO,2006-05-04,2,3,1,3,1,5,1
3742,TMO,2006-05-05,2,3,1,3,1,5,1
3741,TMO,2006-05-08,2,3,1,3,1,5,1
3740,TMO,2006-05-09,2,3,1,3,1,5,1
3739,TMO,2006-05-10,2,3,1,3,1,5,1
3738,TMO,2006-05-11,2,3,1,3,1,5,1
3737,TMO,2006-05-12,2,3,1,3,1,5,1
3736,TMO,2006-05-15,2,3,1,3,1,5,1
3735,TMO,2006-05-16,2,3,1,3,1,5,1
3734,TMO,2006-05-17,2,3,1,3,1,5,1
3733,TMO,2006-05-18,2,3,1,3,1,5,1
3732,TMO,2006-05-19,2,3,1,3,1,5,1
3731,TMO,2006-05-22,2,3,1,3,1,5,1
3730,TMO,2006-05-23,2,3,1,3,1,5,1
3729,TMO,2006-05-24,2,3,1,3,1,5,1
3728,TMO,2006-05-25,2,3,1,3,1,5,1
3727,TMO,2006-05-26,2,3,1,3,1,5,1
3726,TMO,2006-05-30,2,3,1,3,1,5,1
3725,TMO,2006-05-31,2,3,1,3,1,5,1
3724,TMO,2006-06-01,2,3,1,3,1,5,1
3723,TMO,2006-06-02,2,3,1,3,1,5,1
3722,TMO,2006-06-05,2,3,1,3,1,5,1
3721,TMO,2006-06-06,2,3,1,3,1,5,1
3720,TMO,2006-06-07,2,3,1,3,1,5,1
3719,TMO,2006-06-08,2,3,1,3,1,5,1
3718,TMO,2006-06-09,2,3,1,3,1,5,1
3717,TMO,2006-06-12,2,3,1,3,1,5,1
3716,TMO,2006-06-13,2,3,1,3,1,5,1
3715,TMO,2006-06-14,2,3,1,3,1,5,1
3714,TMO,2006-06-15,2,3,1,3,1,5,1
3713,TMO,2006-06-16,2,3,1,3,1,5,1
3712,TMO,2006-06-19,2,3,1,3,1,5,1
3711,TMO,2006-06-20,2,3,1,3,1,5,1
3710,TMO,2006-06-21,2,3,1,3,1,5,1
3709,TMO,2006-06-22,2,3,1,3,1,5,1
3708,TMO,2006-06-23,2,3,1,3,1,5,1
3707,TMO,2006-06-26,2,3,1,3,1,5,1
3706,TMO,2006-06-27,2,3,1,3,1,5,1
3705,TMO,2006-06-28,2,3,1,3,1,5,1
3704,TMO,2006-06-29,2,3,1,3,1,5,1
3703,TMO,2006-06-30,2,3,1,3,1,5,1
3702,TMO,2006-07-03,2,3,1,3,1,5,1
3701,TMO,2006-07-05,2,3,1,3,1,5,1
3700,TMO,2006-07-06,2,3,1,3,1,5,1
3699,TMO,2006-07-07,2,3,1,3,1,5,1
3698,TMO,2006-07-10,2,3,1,3,1,5,1
3697,TMO,2006-07-11,2,3,1,3,1,5,1
3696,TMO,2006-07-12,2,3,1,3,1,5,1
3695,TMO,2006-07-13,2,3,1,3,1,5,1
3694,TMO,2006-07-14,2,3,1,3,1,5,1
3693,TMO,2006-07-17,2,3,1,3,1,5,1
3692,TMO,2006-07-18,2,3,1,3,1,5,1
3691,TMO,2006-07-19,2,3,1,3,1,5,1
3690,TMO,2006-07-20,2,3,1,3,1,5,1
3689,TMO,2006-07-21,2,3,1,3,1,5,1
3688,TMO,2006-07-24,2,3,1,3,1,5,1
3687,TMO,2006-07-25,2,3,1,3,1,5,1
3686,TMO,2006-07-26,2,3,1,3,1,5,1
3685,TMO,2006-07-27,2,3,1,3,1,5,1
3684,TMO,2006-07-28,2,3,1,3,1,5,1
3683,TMO,2006-07-31,2,3,1,3,1,5,1
3682,TMO,2006-08-01,2,3,1,3,1,5,1
3681,TMO,2006-08-02,2,3,1,3,1,5,1
3680,TMO,2006-08-03,2,3,1,3,1,5,1
3679,TMO,2006-08-04,2,3,1,3,1,5,1
3678,TMO,2006-08-07,2,3,1,3,1,5,1
3677,TMO,2006-08-08,2,3,1,3,1,5,1
3676,TMO,2006-08-09,2,3,1,3,1,5,1
3675,TMO,2006-08-10,2,3,1,3,1,5,1
3674,TMO,2006-08-11,2,3,1,3,1,5,1
3673,TMO,2006-08-14,2,3,1,3,1,5,1
3672,TMO,2006-08-15,2,3,1,3,1,5,1
3671,TMO,2006-08-16,2,3,1,3,1,5,1
3670,TMO,2006-08-17,2,3,1,3,1,5,1
3669,TMO,2006-08-18,2,3,1,3,1,5,1
3668,TMO,2006-08-21,2,3,1,3,1,5,1
3667,TMO,2006-08-22,2,3,1,3,1,5,1
3666,TMO,2006-08-23,2,3,1,3,1,5,1
3665,TMO,2006-08-24,2,3,1,3,1,5,1
3664,TMO,2006-08-25,2,3,1,3,1,5,1
3663,TMO,2006-08-28,2,3,1,3,1,5,1
3662,TMO,2006-08-29,2,3,1,3,1,5,1
3661,TMO,2006-08-30,2,3,1,3,1,5,1
3660,TMO,2006-08-31,2,3,1,3,1,5,1
3659,TMO,2006-09-01,2,3,1,3,1,5,1
3658,TMO,2006-09-05,2,3,1,3,1,5,1
3657,TMO,2006-09-06,2,3,1,3,1,5,1
3656,TMO,2006-09-07,2,3,1,3,1,5,1
3655,TMO,2006-09-08,2,3,1,3,1,5,1
3654,TMO,2006-09-11,2,3,1,3,1,5,1
3653,TMO,2006-09-12,2,3,1,3,1,5,1
3652,TMO,2006-09-13,2,3,1,3,1,5,1
3651,TMO,2006-09-14,2,3,1,3,1,5,1
3650,TMO,2006-09-15,2,3,1,3,1,5,1
3649,TMO,2006-09-18,2,3,1,3,1,5,1
3648,TMO,2006-09-19,2,3,1,3,1,5,1
3647,TMO,2006-09-20,2,3,1,3,1,5,1
3646,TMO,2006-09-21,2,3,1,3,1,5,1
3645,TMO,2006-09-22,2,3,1,3,1,5,1
3644,TMO,2006-09-25,2,3,1,3,1,5,1
3643,TMO,2006-09-26,2,3,1,3,1,5,1
3642,TMO,2006-09-27,2,3,1,3,1,5,1
3641,TMO,2006-09-28,2,3,1,3,1,5,1
3640,TMO,2006-09-29,2,3,1,3,1,5,1
3639,TMO,2006-10-02,2,3,1,3,1,5,1
3638,TMO,2006-10-03,2,3,1,3,1,5,1
3637,TMO,2006-10-04,2,3,1,3,1,5,1
3636,TMO,2006-10-05,2,3,1,3,1,5,1
3635,TMO,2006-10-06,2,3,1,3,1,5,1
3634,TMO,2006-10-09,2,3,1,3,1,5,1
3633,TMO,2006-10-10,2,3,1,3,1,5,1
3632,TMO,2006-10-11,2,3,1,3,1,5,1
3631,TMO,2006-10-12,2,3,1,3,1,5,1
3630,TMO,2006-10-13,2,3,1,3,1,5,1
3629,TMO,2006-10-16,2,3,1,3,1,5,1
3628,TMO,2006-10-17,2,3,1,3,1,5,1
3627,TMO,2006-10-18,2,3,1,3,1,5,1
3626,TMO,2006-10-19,2,3,1,3,1,5,1
3625,TMO,2006-10-20,2,3,1,3,1,5,1
3624,TMO,2006-10-23,2,3,1,3,1,5,1
3623,TMO,2006-10-24,2,3,1,3,1,5,1
3622,TMO,2006-10-25,2,3,1,3,1,5,1
3621,TMO,2006-10-26,2,3,1,3,1,5,1
3620,TMO,2006-10-27,2,3,1,3,1,5,1
3619,TMO,2006-10-30,2,3,1,3,1,5,1
3618,TMO,2006-10-31,2,3,1,3,1,5,1
3617,TMO,2006-11-01,2,3,1,3,1,5,1
3616,TMO,2006-11-02,2,3,1,3,1,5,1
3615,TMO,2006-11-03,2,3,1,3,1,5,1
3614,TMO,2006-11-06,2,3,1,3,1,5,1
3613,TMO,2006-11-07,2,3,1,3,1,5,1
3612,TMO,2006-11-08,2,3,1,3,1,5,1
3611,TMO,2006-11-09,2,3,1,3,1,5,1
3610,TMO,2006-11-10,2,3,1,3,1,5,1
3609,TMO,2006-11-13,2,3,1,3,1,5,1
3608,TMO,2006-11-14,2,3,1,3,1,5,1
3607,TMO,2006-11-15,2,3,1,3,1,5,1
3606,TMO,2006-11-16,2,3,1,3,1,5,1
3605,TMO,2006-11-17,2,3,1,3,1,5,1
3604,TMO,2006-11-20,2,3,1,3,1,5,1
3603,TMO,2006-11-21,2,3,1,3,1,5,1
3602,TMO,2006-11-22,2,3,1,3,1,5,1
3601,TMO,2006-11-24,2,3,1,3,1,5,1
3600,TMO,2006-11-27,2,3,1,3,1,5,1
3599,TMO,2006-11-28,2,3,1,3,1,5,1
3598,TMO,2006-11-29,2,3,1,3,1,5,1
3597,TMO,2006-11-30,2,3,1,3,1,5,1
3596,TMO,2006-12-01,2,3,1,3,1,5,1
3595,TMO,2006-12-04,2,3,1,3,1,5,1
3594,TMO,2006-12-05,2,3,1,3,1,5,1
3593,TMO,2006-12-06,2,3,1,3,1,5,1
3592,TMO,2006-12-07,2,3,1,3,1,5,1
3591,TMO,2006-12-08,2,3,1,3,1,5,1
3590,TMO,2006-12-11,2,3,1,3,1,5,1
3589,TMO,2006-12-12,2,3,1,3,1,5,1
3588,TMO,2006-12-13,2,3,1,3,1,5,1
3587,TMO,2006-12-14,2,3,1,3,1,5,1
3586,TMO,2006-12-15,2,3,1,3,1,5,1
3585,TMO,2006-12-18,2,3,1,3,1,5,1
3584,TMO,2006-12-19,2,3,1,3,1,5,1
3583,TMO,2006-12-20,2,3,1,3,1,5,1
3582,TMO,2006-12-21,2,3,1,3,1,5,1
3581,TMO,2006-12-22,2,3,1,3,1,5,1
3580,TMO,2006-12-26,2,3,1,3,1,5,1
3579,TMO,2006-12-27,2,3,1,3,1,5,1
3578,TMO,2006-12-28,2,3,1,3,1,5,1
3577,TMO,2006-12-29,2,3,1,3,1,5,1
3576,TMO,2007-01-03,3,4,1,3,1,5,1
3575,TMO,2007-01-04,3,4,1,3,1,5,1
3574,TMO,2007-01-05,3,4,1,3,1,5,1
3573,TMO,2007-01-08,3,4,1,3,1,5,1
3572,TMO,2007-01-09,3,4,1,3,1,5,1
3571,TMO,2007-01-10,3,4,1,3,1,5,1
3570,TMO,2007-01-11,3,4,1,3,1,5,1
3569,TMO,2007-01-12,3,4,1,3,1,5,1
3568,TMO,2007-01-16,3,4,1,3,1,5,1
3567,TMO,2007-01-17,3,4,1,3,1,5,1
3566,TMO,2007-01-18,3,4,1,3,1,5,1
3565,TMO,2007-01-19,3,4,1,3,1,5,1
3564,TMO,2007-01-22,3,4,1,3,1,5,1
3563,TMO,2007-01-23,3,4,1,3,1,5,1
3562,TMO,2007-01-24,3,4,1,3,1,5,1
3561,TMO,2007-01-25,3,4,1,3,1,5,1
3560,TMO,2007-01-26,3,4,1,3,1,5,1
3559,TMO,2007-01-29,3,4,1,3,1,5,1
3558,TMO,2007-01-30,3,4,1,3,1,5,1
3557,TMO,2007-01-31,3,4,1,3,1,5,1
3556,TMO,2007-02-01,3,4,1,3,1,5,1
3555,TMO,2007-02-02,3,4,1,3,1,5,1
3554,TMO,2007-02-05,3,4,1,3,1,5,1
3553,TMO,2007-02-06,3,4,1,3,1,5,1
3552,TMO,2007-02-07,3,4,1,3,1,5,1
3551,TMO,2007-02-08,3,4,1,3,1,5,1
3550,TMO,2007-02-09,3,4,1,3,1,5,1
3549,TMO,2007-02-12,3,4,1,3,1,5,1
3548,TMO,2007-02-13,3,4,1,3,1,5,1
3547,TMO,2007-02-14,3,4,1,3,1,5,1
3546,TMO,2007-02-15,3,4,1,3,1,5,1
3545,TMO,2007-02-16,3,4,1,3,1,5,1
3544,TMO,2007-02-20,3,4,1,3,1,5,1
3543,TMO,2007-02-21,3,4,1,3,1,5,1
3542,TMO,2007-02-22,3,4,1,3,1,5,1
3541,TMO,2007-02-23,3,4,1,3,1,5,1
3540,TMO,2007-02-26,3,4,1,3,1,5,1
3539,TMO,2007-02-27,3,4,1,3,1,5,1
3538,TMO,2007-02-28,3,4,1,3,1,5,1
3537,TMO,2007-03-01,3,4,1,3,1,5,1
3536,TMO,2007-03-02,3,4,1,3,1,5,1
3535,TMO,2007-03-05,3,4,1,3,1,5,1
3534,TMO,2007-03-06,3,4,1,3,1,5,1
3533,TMO,2007-03-07,3,4,1,3,1,5,1
3532,TMO,2007-03-08,3,4,1,3,1,5,1
3531,TMO,2007-03-09,3,4,1,3,1,5,1
3530,TMO,2007-03-12,3,4,1,3,1,5,1
3529,TMO,2007-03-13,3,4,1,3,1,5,1
3528,TMO,2007-03-14,3,4,1,3,1,5,1
3527,TMO,2007-03-15,3,4,1,3,1,5,1
3526,TMO,2007-03-16,3,4,1,3,1,5,1
3525,TMO,2007-03-19,3,4,1,3,1,5,1
3524,TMO,2007-03-20,3,4,1,3,1,5,1
3523,TMO,2007-03-21,3,4,1,3,1,5,1
3522,TMO,2007-03-22,3,4,1,3,1,5,1
3521,TMO,2007-03-23,3,4,1,3,1,5,1
3520,TMO,2007-03-26,3,4,1,3,1,5,1
3519,TMO,2007-03-27,3,4,1,3,1,5,1
3518,TMO,2007-03-28,3,4,1,3,1,5,1
3517,TMO,2007-03-29,3,4,1,3,1,5,1
3516,TMO,2007-03-30,3,4,1,3,1,5,1
3515,TMO,2007-04-02,2,3,1,3,1,5,1
3514,TMO,2007-04-03,2,3,1,3,1,5,1
3513,TMO,2007-04-04,2,3,1,3,1,5,1
3512,TMO,2007-04-05,2,3,1,3,1,5,1
3511,TMO,2007-04-09,2,3,1,3,1,5,1
3510,TMO,2007-04-10,2,3,1,3,1,5,1
3509,TMO,2007-04-11,2,3,1,3,1,5,1
3508,TMO,2007-04-12,2,3,1,3,1,5,1
3507,TMO,2007-04-13,2,3,1,3,1,5,1
3506,TMO,2007-04-16,2,3,1,3,1,5,1
3505,TMO,2007-04-17,2,3,1,3,1,5,1
3504,TMO,2007-04-18,2,3,1,3,1,5,1
3503,TMO,2007-04-19,2,3,1,3,1,5,1
3502,TMO,2007-04-20,2,3,1,3,1,5,1
3501,TMO,2007-04-23,2,3,1,3,1,5,1
3500,TMO,2007-04-24,2,3,1,3,1,5,1
3499,TMO,2007-04-25,2,3,1,3,1,5,1
3498,TMO,2007-04-26,2,3,1,3,1,5,1
3497,TMO,2007-04-27,2,3,1,3,1,5,1
3496,TMO,2007-04-30,2,3,1,3,1,5,1
3495,TMO,2007-05-01,2,3,1,3,1,5,1
3494,TMO,2007-05-02,2,3,1,3,1,5,1
3493,TMO,2007-05-03,2,3,1,3,1,5,1
3492,TMO,2007-05-04,2,3,1,3,1,5,1
3491,TMO,2007-05-07,2,3,1,3,1,5,1
3490,TMO,2007-05-08,2,3,1,3,1,5,1
3489,TMO,2007-05-09,2,3,1,3,1,5,1
3488,TMO,2007-05-10,2,3,1,3,1,5,1
3487,TMO,2007-05-11,2,3,1,3,1,5,1
3486,TMO,2007-05-14,2,3,1,3,1,5,1
3485,TMO,2007-05-15,2,3,1,3,1,5,1
3484,TMO,2007-05-16,2,3,1,3,1,5,1
3483,TMO,2007-05-17,2,3,1,3,1,5,1
3482,TMO,2007-05-18,2,3,1,3,1,5,1
3481,TMO,2007-05-21,2,3,1,3,1,5,1
3480,TMO,2007-05-22,2,3,1,3,1,5,1
3479,TMO,2007-05-23,2,3,1,3,1,5,1
3478,TMO,2007-05-24,2,3,1,3,1,5,1
3477,TMO,2007-05-25,2,3,1,3,1,5,1
3476,TMO,2007-05-29,2,3,1,3,1,5,1
3475,TMO,2007-05-30,2,3,1,3,1,5,1
3474,TMO,2007-05-31,2,3,1,3,1,5,1
