,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
2629,TSLA,2010-09-30,3,4,2,2,4,1,5
2628,TSLA,2010-10-01,3,4,2,2,4,1,5
2627,TSLA,2010-10-04,3,4,2,2,4,1,5
2626,TSLA,2010-10-05,3,4,2,2,4,1,5
2625,TSLA,2010-10-06,3,4,2,2,4,1,5
2624,TSLA,2010-10-07,3,4,2,2,4,1,5
2623,TSLA,2010-10-08,3,4,2,2,4,1,5
2622,TSLA,2010-10-11,3,4,2,2,4,1,5
2621,TSLA,2010-10-12,3,4,2,2,4,1,5
2620,TSLA,2010-10-13,3,4,2,2,4,1,5
2619,TSLA,2010-10-14,3,4,2,2,4,1,5
2618,TSLA,2010-10-15,3,4,2,2,4,1,5
2617,TSLA,2010-10-18,3,4,2,2,4,1,5
2616,TSLA,2010-10-19,3,4,2,2,4,1,5
2615,TSLA,2010-10-20,3,4,2,2,4,1,5
2614,TSLA,2010-10-21,3,4,2,2,4,1,5
2613,TSLA,2010-10-22,3,4,2,2,4,1,5
2612,TSLA,2010-10-25,3,4,2,2,4,1,5
2611,TSLA,2010-10-26,3,4,2,2,4,1,5
2610,TSLA,2010-10-27,3,4,2,2,4,1,5
2609,TSLA,2010-10-28,3,4,2,2,4,1,5
2608,TSLA,2010-10-29,3,4,2,2,4,1,5
2607,TSLA,2010-11-01,3,4,2,2,4,1,5
2606,TSLA,2010-11-02,3,4,2,2,4,1,5
2605,TSLA,2010-11-03,3,4,2,2,4,1,5
2604,TSLA,2010-11-04,3,4,2,2,4,1,5
2603,TSLA,2010-11-05,3,4,2,2,4,1,5
2602,TSLA,2010-11-08,3,4,2,2,4,1,5
2601,TSLA,2010-11-09,3,4,2,2,4,1,5
2600,TSLA,2010-11-10,3,4,2,2,4,1,5
2599,TSLA,2010-11-11,3,4,2,2,4,1,5
2598,TSLA,2010-11-12,3,4,2,2,4,1,5
2597,TSLA,2010-11-15,3,4,2,2,4,1,5
2596,TSLA,2010-11-16,3,4,2,2,4,1,5
2595,TSLA,2010-11-17,3,4,2,2,4,1,5
2594,TSLA,2010-11-18,3,4,2,2,4,1,5
2593,TSLA,2010-11-19,3,4,2,2,4,1,5
2592,TSLA,2010-11-22,3,4,2,2,4,1,5
2591,TSLA,2010-11-23,3,4,2,2,4,1,5
2590,TSLA,2010-11-24,3,4,2,2,4,1,5
2589,TSLA,2010-11-26,3,4,2,2,4,1,5
2588,TSLA,2010-11-29,3,4,2,2,4,1,5
2587,TSLA,2010-11-30,3,4,2,2,4,1,5
2586,TSLA,2010-12-01,3,4,2,2,4,1,5
2585,TSLA,2010-12-02,3,4,2,2,4,1,5
2584,TSLA,2010-12-03,3,4,2,2,4,1,5
2583,TSLA,2010-12-06,3,4,2,2,4,1,5
2582,TSLA,2010-12-07,3,4,2,2,4,1,5
2581,TSLA,2010-12-08,3,4,2,2,4,1,5
2580,TSLA,2010-12-09,3,4,2,2,4,1,5
2579,TSLA,2010-12-10,3,4,2,2,4,1,5
2578,TSLA,2010-12-13,3,4,2,2,4,1,5
2577,TSLA,2010-12-14,3,4,2,2,4,1,5
2576,TSLA,2010-12-15,3,4,2,2,4,1,5
2575,TSLA,2010-12-16,3,4,2,2,4,1,5
2574,TSLA,2010-12-17,3,4,2,2,4,1,5
2573,TSLA,2010-12-20,3,4,2,2,4,1,5
2572,TSLA,2010-12-21,3,4,2,2,4,1,5
2571,TSLA,2010-12-22,3,4,2,2,4,1,5
2570,TSLA,2010-12-23,3,4,2,2,4,1,5
2569,TSLA,2010-12-27,3,4,2,2,4,1,5
2568,TSLA,2010-12-28,3,4,2,2,4,1,5
2567,TSLA,2010-12-29,3,4,2,2,4,1,5
2566,TSLA,2010-12-30,3,4,2,2,4,1,5
2565,TSLA,2010-12-31,3,4,2,2,4,1,5
2564,TSLA,2011-01-03,3,4,2,2,4,1,5
2563,TSLA,2011-01-04,3,4,2,2,4,1,5
2562,TSLA,2011-01-05,3,4,2,2,4,1,5
2561,TSLA,2011-01-06,3,4,2,2,4,1,5
2560,TSLA,2011-01-07,3,4,2,2,4,1,5
2559,TSLA,2011-01-10,3,4,2,2,4,1,5
2558,TSLA,2011-01-11,3,4,2,2,4,1,5
2557,TSLA,2011-01-12,3,4,2,2,4,1,5
2556,TSLA,2011-01-13,3,4,2,2,4,1,5
2555,TSLA,2011-01-14,3,4,2,2,4,1,5
2554,TSLA,2011-01-18,3,4,2,2,4,1,5
2553,TSLA,2011-01-19,3,4,2,2,4,1,5
2552,TSLA,2011-01-20,3,4,2,2,4,1,5
2551,TSLA,2011-01-21,3,4,2,2,4,1,5
2550,TSLA,2011-01-24,3,4,2,2,4,1,5
2549,TSLA,2011-01-25,3,4,2,2,4,1,5
2548,TSLA,2011-01-26,3,4,2,2,4,1,5
2547,TSLA,2011-01-27,3,4,2,2,4,1,5
2546,TSLA,2011-01-28,3,4,2,2,4,1,5
2545,TSLA,2011-01-31,3,4,2,2,4,1,5
2544,TSLA,2011-02-01,3,4,2,2,4,1,5
2543,TSLA,2011-02-02,3,4,2,2,4,1,5
2542,TSLA,2011-02-03,3,4,2,2,4,1,5
2541,TSLA,2011-02-04,3,4,2,2,4,1,5
2540,TSLA,2011-02-07,3,4,2,2,4,1,5
2539,TSLA,2011-02-08,3,4,2,2,4,1,5
2538,TSLA,2011-02-09,3,4,2,2,4,1,5
2537,TSLA,2011-02-10,3,4,2,2,4,1,5
2536,TSLA,2011-02-11,3,4,2,2,4,1,5
2535,TSLA,2011-02-14,3,4,2,2,4,1,5
2534,TSLA,2011-02-15,3,4,2,2,4,1,5
2533,TSLA,2011-02-16,3,4,2,2,4,1,5
2532,TSLA,2011-02-17,3,4,2,2,4,1,5
2531,TSLA,2011-02-18,3,4,2,2,4,1,5
