,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4580,TXN,2002-12-31,4,3,3,3,4,5,5
4579,TXN,2003-01-02,4,3,3,3,4,5,5
4578,TXN,2003-01-03,4,3,3,3,4,5,5
4577,TXN,2003-01-06,4,3,3,3,4,5,5
4576,TXN,2003-01-07,4,3,3,3,4,5,5
4575,TXN,2003-01-08,4,3,3,3,4,5,5
4574,TXN,2003-01-09,4,3,3,3,4,5,5
4573,TXN,2003-01-10,4,3,3,3,4,5,5
4572,TXN,2003-01-13,4,3,3,3,4,5,5
4571,TXN,2003-01-14,4,3,3,3,4,5,5
4570,TXN,2003-01-15,4,3,3,3,4,5,5
4569,TXN,2003-01-16,4,3,3,3,4,5,5
4568,TXN,2003-01-17,4,3,3,3,4,5,5
4567,TXN,2003-01-21,4,3,3,3,4,5,5
4566,TXN,2003-01-22,4,3,3,3,4,5,5
4565,TXN,2003-01-23,4,3,3,3,4,5,5
4564,TXN,2003-01-24,4,3,3,3,4,5,5
4563,TXN,2003-01-27,4,3,3,3,4,5,5
4562,TXN,2003-01-28,4,3,3,3,4,5,5
4561,TXN,2003-01-29,4,3,3,3,4,5,5
4560,TXN,2003-01-30,4,3,3,3,4,5,5
4559,TXN,2003-01-31,4,3,3,3,4,5,5
4558,TXN,2003-02-03,4,3,3,3,4,5,5
4557,TXN,2003-02-04,4,3,3,3,4,5,5
4556,TXN,2003-02-05,4,3,3,3,4,5,5
4555,TXN,2003-02-06,4,3,3,3,4,5,5
4554,TXN,2003-02-07,4,3,3,3,4,5,5
4553,TXN,2003-02-10,4,3,3,3,4,5,5
4552,TXN,2003-02-11,4,3,3,3,4,5,5
4551,TXN,2003-02-12,4,3,3,3,4,5,5
4550,TXN,2003-02-13,4,3,3,3,4,5,5
4549,TXN,2003-02-14,4,3,3,3,4,5,5
4548,TXN,2003-02-18,4,3,3,3,4,5,5
4547,TXN,2003-02-19,4,3,3,3,4,5,5
4546,TXN,2003-02-20,4,3,3,3,4,5,5
4545,TXN,2003-02-21,4,3,3,3,4,5,5
4544,TXN,2003-02-24,4,3,3,3,4,5,5
4543,TXN,2003-02-25,4,3,3,3,4,5,5
4542,TXN,2003-02-26,4,3,3,3,4,5,5
4541,TXN,2003-02-27,4,3,3,3,4,5,5
4540,TXN,2003-02-28,4,3,3,3,4,5,5
4539,TXN,2003-03-03,4,3,3,3,4,5,5
4538,TXN,2003-03-04,4,3,3,3,4,5,5
4537,TXN,2003-03-05,4,3,3,3,4,5,5
4536,TXN,2003-03-06,4,3,3,3,4,5,5
4535,TXN,2003-03-07,4,3,3,3,4,5,5
4534,TXN,2003-03-10,4,3,3,3,4,5,5
4533,TXN,2003-03-11,4,3,3,3,4,5,5
4532,TXN,2003-03-12,4,3,3,3,4,5,5
4531,TXN,2003-03-13,4,3,3,3,4,5,5
4530,TXN,2003-03-14,4,3,3,3,4,5,5
4529,TXN,2003-03-17,4,3,3,3,4,5,5
4528,TXN,2003-03-18,4,3,3,3,4,5,5
4527,TXN,2003-03-19,4,3,3,3,4,5,5
4526,TXN,2003-03-20,4,3,3,3,4,5,5
4525,TXN,2003-03-21,4,3,3,3,4,5,5
4524,TXN,2003-03-24,4,3,3,3,4,5,5
4523,TXN,2003-03-25,4,3,3,3,4,5,5
4522,TXN,2003-03-26,4,3,3,3,4,5,5
