,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4999,UNH,2001-03-23,5,5,4,3,5,5,5
4998,UNH,2001-03-26,5,5,4,3,5,5,5
4997,UNH,2001-03-27,5,5,4,3,5,5,5
4996,UNH,2001-03-28,5,5,4,3,5,5,5
4995,UNH,2001-03-29,5,5,4,3,5,5,5
4994,UNH,2001-03-30,5,5,4,3,5,5,5
4993,UNH,2001-04-02,5,4,3,3,5,5,5
4992,UNH,2001-04-03,5,4,3,3,5,5,5
4991,UNH,2001-04-04,5,4,3,3,5,5,5
4990,UNH,2001-04-05,5,4,3,3,5,5,5
4989,UNH,2001-04-06,5,4,3,3,5,5,5
4988,UNH,2001-04-09,5,4,3,3,5,5,5
4987,UNH,2001-04-10,5,4,3,3,5,5,5
4986,UNH,2001-04-11,5,4,3,3,5,5,5
4985,UNH,2001-04-12,5,4,3,3,5,5,5
4984,UNH,2001-04-16,5,4,3,3,5,5,5
4983,UNH,2001-04-17,5,4,3,3,5,5,5
4982,UNH,2001-04-18,5,4,3,3,5,5,5
4981,UNH,2001-04-19,5,4,3,3,5,5,5
4980,UNH,2001-04-20,5,4,3,3,5,5,5
4979,UNH,2001-04-23,5,4,3,3,5,5,5
4978,UNH,2001-04-24,5,4,3,3,5,5,5
4977,UNH,2001-04-25,5,4,3,3,5,5,5
4976,UNH,2001-04-26,5,4,3,3,5,5,5
4975,UNH,2001-04-27,5,4,3,3,5,5,5
4974,UNH,2001-04-30,5,4,3,3,5,5,5
4973,UNH,2001-05-01,5,4,3,3,5,5,5
4972,UNH,2001-05-02,5,4,3,3,5,5,5
4971,UNH,2001-05-03,5,4,3,3,5,5,5
4970,UNH,2001-05-04,5,4,3,3,5,5,5
4969,UNH,2001-05-07,5,4,3,3,5,5,5
4968,UNH,2001-05-08,5,4,3,3,5,5,5
4967,UNH,2001-05-09,5,4,3,3,5,5,5
4966,UNH,2001-05-10,5,4,3,3,5,5,5
4965,UNH,2001-05-11,5,4,3,3,5,5,5
4964,UNH,2001-05-14,5,4,3,3,5,5,5
4963,UNH,2001-05-15,5,4,3,3,5,5,5
4962,UNH,2001-05-16,5,4,3,3,5,5,5
4961,UNH,2001-05-17,5,4,3,3,5,5,5
4960,UNH,2001-05-18,5,4,3,3,5,5,5
4959,UNH,2001-05-21,5,4,3,3,5,5,5
4958,UNH,2001-05-22,5,5,3,3,5,5,5
4957,UNH,2001-05-23,5,5,3,3,5,5,5
4956,UNH,2001-05-24,5,5,3,3,5,5,5
4955,UNH,2001-05-25,5,5,3,3,5,5,5
4954,UNH,2001-05-29,5,5,3,3,5,5,5
4953,UNH,2001-05-30,5,5,3,3,5,5,5
4952,UNH,2001-05-31,5,4,3,3,5,5,5
4951,UNH,2001-06-01,5,4,3,3,5,5,5
4950,UNH,2001-06-04,5,4,3,3,5,5,5
4949,UNH,2001-06-05,5,4,3,3,5,5,5
4948,UNH,2001-06-06,5,4,3,3,5,5,5
4947,UNH,2001-06-07,5,4,3,3,5,5,5
4946,UNH,2001-06-08,5,4,3,3,5,5,5
4945,UNH,2001-06-11,5,4,3,3,5,5,5
4944,UNH,2001-06-12,5,4,3,3,5,5,5
4943,UNH,2001-06-13,5,4,3,3,5,5,5
4942,UNH,2001-06-14,5,4,3,3,5,5,5
4941,UNH,2001-06-15,5,4,3,3,5,5,5
4940,UNH,2001-06-18,5,4,3,3,5,5,5
4939,UNH,2001-06-19,5,4,3,3,5,5,5
4938,UNH,2001-06-20,5,4,3,3,5,5,5
4937,UNH,2001-06-21,5,4,3,3,5,5,5
4936,UNH,2001-06-22,5,4,3,3,5,5,5
4935,UNH,2001-06-25,5,4,3,3,5,5,5
4934,UNH,2001-06-26,5,4,3,3,5,5,5
4933,UNH,2001-06-27,5,4,3,3,5,5,5
4932,UNH,2001-06-28,5,4,3,3,5,5,5
4931,UNH,2001-06-29,5,4,3,3,5,5,5
4930,UNH,2001-07-02,5,4,3,3,5,5,5
4929,UNH,2001-07-03,5,4,3,3,5,5,5
4928,UNH,2001-07-05,5,4,3,3,5,5,5
4927,UNH,2001-07-06,5,4,3,3,5,5,5
4926,UNH,2001-07-09,5,4,3,3,5,5,5
4925,UNH,2001-07-10,5,4,3,3,5,5,5
4924,UNH,2001-07-11,5,4,3,3,5,5,5
4923,UNH,2001-07-12,5,4,3,3,5,5,5
4922,UNH,2001-07-13,5,4,3,3,5,5,5
4921,UNH,2001-07-16,5,4,3,3,5,5,5
4920,UNH,2001-07-17,5,4,3,3,5,5,5
4919,UNH,2001-07-18,5,4,3,3,5,5,5
4918,UNH,2001-07-19,5,4,3,3,5,5,5
4917,UNH,2001-07-20,5,4,3,3,5,5,5
4916,UNH,2001-07-23,5,4,3,3,5,5,5
4915,UNH,2001-07-24,5,4,3,3,5,5,5
4914,UNH,2001-07-25,5,4,3,3,5,5,5
4913,UNH,2001-07-26,5,4,3,3,5,5,5
4912,UNH,2001-07-27,5,4,3,3,5,5,5
4911,UNH,2001-07-30,5,4,3,3,5,5,5
4910,UNH,2001-07-31,5,4,3,3,5,5,5
4909,UNH,2001-08-01,5,4,3,3,5,5,5
4908,UNH,2001-08-02,5,4,3,3,5,5,5
4907,UNH,2001-08-03,5,4,3,3,5,5,5
4906,UNH,2001-08-06,5,4,3,3,5,5,5
4905,UNH,2001-08-07,5,4,3,3,5,5,5
4904,UNH,2001-08-08,5,4,3,3,5,5,5
4903,UNH,2001-08-09,5,4,3,3,5,5,5
4902,UNH,2001-08-10,5,4,3,3,5,5,5
4901,UNH,2001-08-13,5,4,3,3,5,5,5
4900,UNH,2001-08-14,5,4,3,3,5,5,5
4899,UNH,2001-08-15,5,4,3,3,5,5,5
4898,UNH,2001-08-16,5,4,3,3,5,5,5
4897,UNH,2001-08-17,5,4,3,3,5,5,5
4896,UNH,2001-08-20,5,4,3,3,5,5,5
4895,UNH,2001-08-21,5,4,3,3,5,5,5
4894,UNH,2001-08-22,5,4,3,3,5,5,5
4893,UNH,2001-08-23,5,4,3,3,5,5,5
4892,UNH,2001-08-24,5,4,3,3,5,5,5
4891,UNH,2001-08-27,5,4,3,3,5,5,5
4890,UNH,2001-08-28,5,4,3,3,5,5,5
4889,UNH,2001-08-29,5,4,3,3,5,5,5
4888,UNH,2001-08-30,5,4,3,3,5,5,5
4887,UNH,2001-08-31,5,4,3,3,5,5,5
4886,UNH,2001-09-04,5,4,3,3,5,5,5
4885,UNH,2001-09-05,5,4,3,3,5,5,5
4884,UNH,2001-09-06,5,4,3,3,5,5,5
4883,UNH,2001-09-07,5,4,3,3,5,5,5
4882,UNH,2001-09-10,5,4,3,3,5,5,5
4881,UNH,2001-09-17,5,4,3,3,5,5,5
4880,UNH,2001-09-18,5,4,3,3,5,5,5
4879,UNH,2001-09-19,5,4,3,3,5,5,5
4878,UNH,2001-09-20,5,4,3,3,5,5,5
4877,UNH,2001-09-21,5,4,3,3,5,5,5
4876,UNH,2001-09-24,5,4,3,3,5,5,5
4875,UNH,2001-09-25,5,4,3,3,5,5,5
4874,UNH,2001-09-26,5,4,3,3,5,5,5
4873,UNH,2001-09-27,5,4,3,3,5,5,5
4872,UNH,2001-09-28,5,4,3,3,5,5,5
4871,UNH,2001-10-01,5,4,4,3,5,5,5
4870,UNH,2001-10-02,5,4,4,3,5,5,5
4869,UNH,2001-10-03,5,4,4,3,5,5,5
4868,UNH,2001-10-04,5,4,4,3,5,5,5
