,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
3207,V,2008-03-19,3,4,1,3,1,5,1
3206,V,2008-03-20,3,4,1,3,1,5,1
3205,V,2008-03-24,3,4,1,3,1,5,1
3204,V,2008-03-25,3,4,1,3,1,5,1
3203,V,2008-03-26,3,4,1,3,1,5,1
3202,V,2008-03-27,3,4,1,3,1,5,1
3201,V,2008-03-28,3,4,1,3,1,5,1
3200,V,2008-03-31,3,4,1,3,1,5,1
3199,V,2008-04-01,3,5,1,3,1,5,1
3198,V,2008-04-02,3,5,1,3,1,5,1
3197,V,2008-04-03,3,5,1,3,1,5,1
3196,V,2008-04-04,3,5,1,3,1,5,1
3195,V,2008-04-07,3,5,1,3,1,5,1
3194,V,2008-04-08,3,5,1,3,1,5,1
3193,V,2008-04-09,3,5,1,3,1,5,1
3192,V,2008-04-10,3,5,1,3,1,5,1
3191,V,2008-04-11,3,5,1,3,1,5,1
3190,V,2008-04-14,3,5,1,3,1,5,1
3189,V,2008-04-15,3,5,1,3,1,5,1
3188,V,2008-04-16,3,5,1,3,1,5,1
3187,V,2008-04-17,3,5,1,3,1,5,1
3186,V,2008-04-18,3,5,1,3,1,5,1
3185,V,2008-04-21,3,5,1,3,1,5,1
3184,V,2008-04-22,3,5,1,3,1,5,1
3183,V,2008-04-23,3,5,1,3,1,5,1
3182,V,2008-04-24,3,5,1,3,1,5,1
3181,V,2008-04-25,3,5,1,3,1,5,1
3180,V,2008-04-28,3,5,1,3,1,5,1
3179,V,2008-04-29,3,5,1,3,1,5,1
3178,V,2008-04-30,3,5,1,3,1,5,1
3177,V,2008-05-01,3,4,1,3,1,5,1
3176,V,2008-05-02,3,5,1,3,1,5,1
3175,V,2008-05-05,3,4,1,3,1,5,1
3174,V,2008-05-06,3,4,1,3,1,5,1
3173,V,2008-05-07,3,4,1,3,1,5,1
3172,V,2008-05-08,3,4,1,3,1,5,1
3171,V,2008-05-09,3,5,1,3,1,5,1
3170,V,2008-05-12,3,5,1,3,1,5,1
3169,V,2008-05-13,3,5,1,3,1,5,1
3168,V,2008-05-14,3,5,1,3,1,5,1
3167,V,2008-05-15,3,5,1,3,1,5,1
3166,V,2008-05-16,3,5,1,3,1,5,1
3165,V,2008-05-19,3,5,1,3,1,5,1
3164,V,2008-05-20,3,5,1,3,1,5,1
3163,V,2008-05-21,3,5,1,3,1,5,1
3162,V,2008-05-22,3,5,1,3,1,5,1
3161,V,2008-05-23,3,5,1,3,1,5,1
3160,V,2008-05-27,3,5,1,3,1,5,1
3159,V,2008-05-28,3,5,1,3,1,5,1
3158,V,2008-05-29,3,4,1,3,1,5,1
3157,V,2008-05-30,3,4,1,3,1,5,1
3156,V,2008-06-02,3,4,1,3,1,5,1
3155,V,2008-06-03,3,4,1,3,1,5,1
3154,V,2008-06-04,3,4,1,3,1,5,1
3153,V,2008-06-05,3,4,1,3,1,5,1
3152,V,2008-06-06,3,5,1,3,1,5,1
3151,V,2008-06-09,3,5,1,3,1,5,1
3150,V,2008-06-10,3,5,1,3,1,5,1
3149,V,2008-06-11,3,5,1,3,1,5,1
3148,V,2008-06-12,3,5,1,3,1,5,1
3147,V,2008-06-13,3,5,1,3,1,5,1
3146,V,2008-06-16,3,5,1,3,1,5,1
3145,V,2008-06-17,3,5,1,3,1,5,1
3144,V,2008-06-18,3,5,1,3,1,5,1
3143,V,2008-06-19,3,5,1,3,1,5,1
3142,V,2008-06-20,3,5,1,3,1,5,1
3141,V,2008-06-23,3,5,1,3,1,5,1
3140,V,2008-06-24,3,5,1,3,1,5,1
3139,V,2008-06-25,3,5,1,3,1,5,1
3138,V,2008-06-26,3,5,1,3,1,5,1
3137,V,2008-06-27,3,5,1,3,1,5,1
3136,V,2008-06-30,3,5,1,3,1,5,1
3135,V,2008-07-01,2,5,1,3,1,1,1
3134,V,2008-07-02,2,5,1,3,1,1,1
3133,V,2008-07-03,2,5,1,3,1,1,1
3132,V,2008-07-07,2,5,1,3,1,1,1
3131,V,2008-07-08,2,5,1,3,1,1,1
3130,V,2008-07-09,2,5,1,3,1,1,1
3129,V,2008-07-10,2,5,1,3,1,1,1
3128,V,2008-07-11,2,5,1,3,1,1,1
3127,V,2008-07-14,2,5,1,3,1,1,1
3126,V,2008-07-15,2,5,1,3,1,1,1
3125,V,2008-07-16,2,5,1,3,1,1,1
3124,V,2008-07-17,2,5,1,3,1,1,1
3123,V,2008-07-18,2,5,1,3,1,1,1
3122,V,2008-07-21,2,5,1,3,1,1,1
3121,V,2008-07-22,2,5,1,3,1,1,1
3120,V,2008-07-23,2,5,1,3,1,1,1
3119,V,2008-07-24,2,5,1,3,1,1,1
3118,V,2008-07-25,2,5,1,3,1,1,1
3117,V,2008-07-28,2,5,1,3,1,1,1
3116,V,2008-07-29,2,5,1,3,1,1,1
3115,V,2008-07-30,2,5,1,3,1,1,1
3114,V,2008-07-31,2,5,1,3,1,1,1
3113,V,2008-08-01,2,5,1,3,1,1,1
3112,V,2008-08-04,2,5,1,3,1,1,1
3111,V,2008-08-05,2,5,1,3,1,1,1
3110,V,2008-08-06,2,5,1,3,1,1,1
3109,V,2008-08-07,2,5,1,3,1,1,1
3108,V,2008-08-08,2,5,1,3,1,1,1
3107,V,2008-08-11,2,5,1,3,1,1,1
3106,V,2008-08-12,2,5,1,3,1,1,1
3105,V,2008-08-13,2,5,1,3,1,1,1
3104,V,2008-08-14,2,5,1,3,1,1,1
3103,V,2008-08-15,2,5,1,3,1,1,1
3102,V,2008-08-18,2,5,1,3,1,1,1
3101,V,2008-08-19,2,5,1,3,1,1,1
3100,V,2008-08-20,2,5,1,3,1,1,1
3099,V,2008-08-21,2,5,1,3,1,1,1
3098,V,2008-08-22,2,5,1,3,1,1,1
3097,V,2008-08-25,2,5,1,3,1,1,1
3096,V,2008-08-26,2,5,1,3,1,1,1
3095,V,2008-08-27,2,5,1,3,1,1,1
3094,V,2008-08-28,2,5,1,3,1,1,1
3093,V,2008-08-29,2,5,1,3,1,1,1
3092,V,2008-09-02,2,5,1,3,1,1,1
3091,V,2008-09-03,2,5,1,3,1,1,1
3090,V,2008-09-04,2,5,1,3,1,1,1
3089,V,2008-09-05,2,5,1,3,1,1,1
3088,V,2008-09-08,2,5,1,3,1,1,1
3087,V,2008-09-09,2,5,1,3,1,1,1
