,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
2668,WMT,2010-02-01,4,4,3,3,4,5,5
2667,WMT,2010-02-02,4,4,3,3,4,5,5
2666,WMT,2010-02-03,4,4,3,3,4,5,5
2665,WMT,2010-02-04,4,4,3,3,4,5,5
2664,WMT,2010-02-05,4,4,3,3,4,5,5
2663,WMT,2010-02-08,4,4,3,3,4,5,5
2662,WMT,2010-02-09,4,4,3,3,4,5,5
2661,WMT,2010-02-10,4,4,3,3,4,5,5
2660,WMT,2010-02-11,4,4,3,3,4,5,5
2659,WMT,2010-02-12,4,4,3,3,4,5,5
2658,WMT,2010-02-16,4,4,3,3,4,5,5
2657,WMT,2010-02-17,4,4,3,3,4,5,5
2656,WMT,2010-02-18,4,4,3,3,4,5,5
2655,WMT,2010-02-19,4,4,3,3,4,5,5
2654,WMT,2010-02-22,4,4,3,3,4,5,5
2653,WMT,2010-02-23,4,4,3,3,4,5,5
2652,WMT,2010-02-24,4,4,3,3,4,5,5
2651,WMT,2010-02-25,4,4,3,3,4,5,5
2650,WMT,2010-02-26,4,4,3,3,4,5,5
2649,WMT,2010-03-01,4,4,3,3,4,5,5
2648,WMT,2010-03-02,4,4,3,3,4,5,5
2647,WMT,2010-03-03,4,4,3,3,4,5,5
2646,WMT,2010-03-04,4,4,3,3,4,5,5
2645,WMT,2010-03-05,4,4,3,3,4,5,5
2644,WMT,2010-03-08,4,4,3,3,4,5,5
2643,WMT,2010-03-09,4,4,3,3,4,5,5
2642,WMT,2010-03-10,4,4,3,3,4,5,5
2641,WMT,2010-03-11,4,4,3,3,4,5,5
2640,WMT,2010-03-12,4,4,3,3,4,5,5
2639,WMT,2010-03-15,4,4,3,3,4,5,5
2638,WMT,2010-03-16,4,4,3,3,4,5,5
2637,WMT,2010-03-17,4,4,3,3,4,5,5
2636,WMT,2010-03-18,4,4,3,3,4,5,5
2635,WMT,2010-03-19,4,4,3,3,4,5,5
2634,WMT,2010-03-22,4,4,3,3,4,5,5
2633,WMT,2010-03-23,4,4,3,3,4,5,5
2632,WMT,2010-03-24,4,4,3,3,4,5,5
2631,WMT,2010-03-25,4,4,3,3,4,5,5
2630,WMT,2010-03-26,4,4,3,3,4,5,5
2629,WMT,2010-03-29,4,4,3,3,4,5,5
2628,WMT,2010-03-30,4,4,3,3,4,5,5
2627,WMT,2010-03-31,4,4,3,3,4,5,5
2626,WMT,2010-04-01,4,4,3,3,4,5,5
2625,WMT,2010-04-05,4,4,3,3,4,5,5
2624,WMT,2010-04-06,4,4,3,3,4,5,5
2623,WMT,2010-04-07,4,4,3,3,4,5,5
2622,WMT,2010-04-08,4,4,3,3,4,5,5
2621,WMT,2010-04-09,4,4,3,3,4,5,5
2620,WMT,2010-04-12,4,4,3,3,4,5,5
2619,WMT,2010-04-13,4,4,3,3,4,5,5
2618,WMT,2010-04-14,4,4,3,3,4,5,5
2617,WMT,2010-04-15,4,4,3,3,4,5,5
2616,WMT,2010-04-16,4,4,3,3,4,5,5
2615,WMT,2010-04-19,4,4,3,3,4,5,5
2614,WMT,2010-04-20,4,4,3,3,4,5,5
2613,WMT,2010-04-21,4,4,3,3,4,5,5
2612,WMT,2010-04-22,4,4,3,3,4,5,5
2611,WMT,2010-04-23,4,4,3,3,4,5,5
2610,WMT,2010-04-26,4,4,3,3,4,5,5
2609,WMT,2010-04-27,4,4,3,3,4,5,5
2608,WMT,2010-04-28,4,4,3,3,4,5,5
2607,WMT,2010-04-29,4,4,3,3,4,5,5
2606,WMT,2010-04-30,4,4,3,3,4,5,5
2605,WMT,2010-05-03,4,4,3,3,4,5,5
2604,WMT,2010-05-04,4,4,3,3,4,5,5
2603,WMT,2010-05-05,4,4,3,3,4,5,5
2602,WMT,2010-05-06,4,4,3,3,4,5,5
2601,WMT,2010-05-07,4,4,3,3,4,5,5
2600,WMT,2010-05-10,4,4,3,3,4,5,5
2599,WMT,2010-05-11,4,4,3,3,4,5,5
2598,WMT,2010-05-12,4,4,3,3,4,5,5
2597,WMT,2010-05-13,4,4,3,3,4,5,5
2596,WMT,2010-05-14,4,4,3,3,4,5,5
2595,WMT,2010-05-17,4,4,3,3,4,5,5
2594,WMT,2010-05-18,4,4,3,3,4,5,5
2593,WMT,2010-05-19,4,4,3,3,4,5,5
2592,WMT,2010-05-20,4,4,3,3,4,5,5
2591,WMT,2010-05-21,4,4,3,3,4,5,5
2590,WMT,2010-05-24,4,4,3,3,4,5,5
2589,WMT,2010-05-25,4,4,3,3,4,5,5
2588,WMT,2010-05-26,4,4,3,3,4,5,5
2587,WMT,2010-05-27,4,4,3,3,4,5,5
2586,WMT,2010-05-28,4,4,3,3,4,5,5
2585,WMT,2010-06-01,4,4,3,3,4,5,5
2584,WMT,2010-06-02,4,4,3,3,4,5,5
2583,WMT,2010-06-03,4,4,3,3,4,5,5
2582,WMT,2010-06-04,4,4,3,3,4,5,5
2581,WMT,2010-06-07,4,4,3,3,4,5,5
2580,WMT,2010-06-08,4,4,3,3,4,5,5
2579,WMT,2010-06-09,4,4,3,3,4,5,5
2578,WMT,2010-06-10,4,4,3,3,4,5,5
2577,WMT,2010-06-11,4,4,3,3,4,5,5
2576,WMT,2010-06-14,4,4,3,3,4,5,5
2575,WMT,2010-06-15,4,4,3,3,4,5,5
2574,WMT,2010-06-16,4,4,3,3,4,5,5
2573,WMT,2010-06-17,4,4,3,3,4,5,5
2572,WMT,2010-06-18,4,4,3,3,4,5,5
2571,WMT,2010-06-21,4,4,3,3,4,5,5
