,symbol,date,rating_Score,dcf,roe,roa,de,pe,pb
4377,XOM,2003-09-30,4,3,3,3,4,5,5
4376,XOM,2003-10-01,4,3,3,3,4,5,5
4375,XOM,2003-10-02,4,3,3,3,4,5,5
4374,XOM,2003-10-03,4,3,3,3,4,5,5
4373,XOM,2003-10-06,4,3,3,3,4,5,5
4372,XOM,2003-10-07,4,3,3,3,4,5,5
4371,XOM,2003-10-08,4,3,3,3,4,5,5
4370,XOM,2003-10-09,4,3,3,3,4,5,5
4369,XOM,2003-10-10,4,3,3,3,4,5,5
4368,XOM,2003-10-13,4,3,3,3,4,5,5
4367,XOM,2003-10-14,4,3,3,3,4,5,5
4366,XOM,2003-10-15,4,3,3,3,4,5,5
4365,XOM,2003-10-16,4,3,3,3,4,5,5
4364,XOM,2003-10-17,4,3,3,3,4,5,5
4363,XOM,2003-10-20,4,3,3,3,4,5,5
4362,XOM,2003-10-21,4,3,3,3,4,5,5
4361,XOM,2003-10-22,4,3,3,3,4,5,5
4360,XOM,2003-10-23,4,3,3,3,4,5,5
4359,XOM,2003-10-24,4,3,3,3,4,5,5
4358,XOM,2003-10-27,4,3,3,3,4,5,5
4357,XOM,2003-10-28,4,3,3,3,4,5,5
4356,XOM,2003-10-29,4,3,3,3,4,5,5
4355,XOM,2003-10-30,4,3,3,3,4,5,5
4354,XOM,2003-10-31,4,3,3,3,4,5,5
4353,XOM,2003-11-03,4,3,3,3,4,5,5
4352,XOM,2003-11-04,4,3,3,3,4,5,5
4351,XOM,2003-11-05,4,3,3,3,4,5,5
4350,XOM,2003-11-06,4,3,3,3,4,5,5
4349,XOM,2003-11-07,4,3,3,3,4,5,5
4348,XOM,2003-11-10,4,3,3,3,4,5,5
4347,XOM,2003-11-11,4,3,3,3,4,5,5
4346,XOM,2003-11-12,4,3,3,3,4,5,5
4345,XOM,2003-11-13,4,3,3,3,4,5,5
4344,XOM,2003-11-14,4,3,3,3,4,5,5
