,logit,prediction,sentiment_score,Date
0,[0.06183872 0.04128831 0.89687294],neutral,0.020550407,2021-03-29 11:28:54
1,[0.9073266  0.00835589 0.08431755],positive,0.89897066,2021-03-29 09:50:17
2,[0.1358782  0.01901962 0.84510213],neutral,0.11685858,2021-03-29 05:51:00
3,[0.11821645 0.01242073 0.86936283],neutral,0.105795726,2021-03-29 04:28:54
4,[0.14218044 0.01169637 0.8461232 ],neutral,0.13048407,2021-03-29 04:23:00
5,[0.2680012  0.01005013 0.72194874],neutral,0.25795108,2021-03-28 06:45:00
6,[0.28126767 0.00998873 0.7087436 ],neutral,0.27127895,2021-03-27 12:02:00
7,[0.9112006  0.03310787 0.05569154],positive,0.8780927,2021-03-27 11:49:01
8,[0.17075782 0.01194379 0.81729835],neutral,0.15881403,2021-03-27 10:35:00
9,[0.9464497  0.01329001 0.04026018],positive,0.9331597,2021-03-27 07:30:00
10,[0.71390927 0.00984455 0.27624613],positive,0.7040647,2021-03-27 06:06:00
11,[0.6965759  0.01876009 0.28466398],positive,0.6778158,2021-03-26 17:27:15
12,[0.16536061 0.01176182 0.8228775 ],neutral,0.1535988,2021-03-26 16:14:11
13,[0.17326507 0.02326292 0.80347204],neutral,0.15000215,2021-03-26 14:46:16
14,[0.21831997 0.01098971 0.7706903 ],neutral,0.20733026,2021-03-26 14:30:51
15,[0.04920954 0.02502847 0.925762  ],neutral,0.024181068,2021-03-26 11:19:54
16,[0.6118217  0.07718386 0.31099442],positive,0.53463787,2021-03-26 05:01:09
17,[0.83447015 0.1329345  0.03259534],positive,0.70153564,2021-03-25 18:56:15
18,[0.8761324  0.00835993 0.1155076 ],positive,0.8677725,2021-03-25 18:17:51
19,[0.05834601 0.0176303  0.9240236 ],neutral,0.04071571,2021-03-25 17:25:10
20,[0.9057156  0.01738263 0.07690191],positive,0.88833296,2021-03-25 14:19:57
21,[0.18067484 0.02720425 0.79212093],neutral,0.15347059,2021-03-25 13:21:12
22,[0.8024789  0.01385674 0.18366429],positive,0.78862214,2021-03-25 12:21:17
23,[0.05414942 0.46828318 0.4775674 ],neutral,-0.41413376,2021-03-25 10:54:36
24,[0.7671932  0.00654674 0.22626005],positive,0.76064646,2021-03-25 09:06:14
25,[0.879516   0.0966792  0.02380485],positive,0.7828368,2021-03-25 01:31:17
26,[0.00914809 0.9476287  0.04322321],negative,-0.9384806,2021-03-24 17:05:27
27,[0.00875225 0.9731522  0.01809547],negative,-0.9644,2021-03-24 14:20:14
