,logit,prediction,sentiment_score,Date
0,[0.5610453  0.37908554 0.0598692 ],positive,0.18195975,2021-03-29 18:55:22
1,[0.19256489 0.01267849 0.79475665],neutral,0.1798864,2021-03-29 07:12:00
2,[0.07857867 0.02145479 0.89996654],neutral,0.057123885,2021-03-27 17:02:10
3,[0.62444544 0.00970367 0.36585084],positive,0.61474174,2021-03-26 14:49:00
4,[0.29412058 0.00921857 0.6966609 ],neutral,0.284902,2021-03-26 12:53:17
5,[0.87218034 0.02531192 0.10250773],positive,0.8468684,2021-03-26 10:15:00
6,[0.12198103 0.27779207 0.6002269 ],neutral,-0.15581104,2021-03-26 07:46:42
7,[0.6118217  0.07718385 0.3109944 ],positive,0.53463787,2021-03-26 05:01:09
8,[0.9010467  0.06677826 0.03217509],positive,0.83426845,2021-03-23 18:56:18
9,[0.07596313 0.0186941  0.90534276],neutral,0.05726903,2021-03-23 18:12:31
10,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-03-22 14:33:48
11,[0.01889499 0.16400884 0.8170961 ],neutral,-0.14511386,2021-03-21 23:34:00
12,[0.02510359 0.9170492  0.05784721],negative,-0.89194566,2021-03-21 13:08:49
13,[0.11198948 0.01173567 0.8762748 ],neutral,0.100253806,2021-03-19 16:42:44
14,[0.02731879 0.07253218 0.90014905],neutral,-0.045213386,2021-03-18 19:26:00
15,[0.24111938 0.04019903 0.7186816 ],neutral,0.20092034,2021-03-18 10:13:27
16,[0.04045786 0.03402543 0.9255167 ],neutral,0.0064324215,2021-03-17 17:32:52
17,[0.07564953 0.877801   0.04654953],negative,-0.80215144,2021-03-17 15:40:10
18,[0.00978018 0.9712313  0.01898863],negative,-0.9614511,2021-03-17 15:36:23
19,[0.01639452 0.9606017  0.0230038 ],negative,-0.9442072,2021-03-17 12:04:48
20,[0.0149627  0.9507277  0.03430964],negative,-0.935765,2021-03-17 11:39:57
21,[0.6361315 0.0626655 0.301203 ],positive,0.573466,2021-03-17 08:45:00
22,[0.17271757 0.07141738 0.7558651 ],neutral,0.101300195,2021-03-17 07:32:24
23,[0.01555186 0.9553521  0.02909609],negative,-0.93980026,2021-03-17 06:04:00
24,[0.09990557 0.0103389  0.88975555],neutral,0.08956667,2021-03-16 15:43:53
25,[0.9073309  0.02341739 0.06925171],positive,0.88391346,2021-03-16 10:19:22
26,[0.1610884  0.01180727 0.82710433],neutral,0.14928113,2021-03-16 06:01:00
27,[0.7645205  0.0104197  0.22505973],positive,0.7541008,2021-03-16 05:01:29
28,[0.8528432  0.11617022 0.03098652],positive,0.736673,2021-03-15 18:31:35
29,[0.40571734 0.01190012 0.58238256],neutral,0.39381722,2021-03-15 16:50:00
30,[0.9404824  0.02954145 0.02997621],positive,0.91094095,2021-03-15 09:58:39
31,[0.8300958  0.00916772 0.1607365 ],positive,0.8209281,2021-03-15 07:07:00
32,[0.8355594  0.00913375 0.15530688],positive,0.8264257,2021-03-14 06:01:00
33,[0.8887775  0.01724328 0.09397932],positive,0.8715342,2021-03-13 08:32:00
