,logit,prediction,sentiment_score,Date
0,[0.6048396  0.3567143  0.03844608],positive,0.24812531,2021-03-29 12:06:03
1,[0.03217248 0.02541208 0.9424155 ],neutral,0.0067604,2021-03-29 10:30:00
2,[0.941365   0.01162875 0.04700628],positive,0.92973626,2021-03-28 07:31:30
3,[0.4830017  0.01318283 0.5038155 ],neutral,0.4698189,2021-03-28 06:15:00
4,[0.14655173 0.01520118 0.8382471 ],neutral,0.13135055,2021-03-28 06:08:00
5,[0.7989812  0.01046375 0.19055513],positive,0.7885174,2021-03-25 09:51:23
6,[0.9389574  0.01283155 0.04821094],positive,0.9261258,2021-03-25 08:20:18
7,[0.8908734  0.00772839 0.1013982 ],positive,0.883145,2021-03-24 10:42:28
8,[0.88822967 0.08323691 0.02853343],positive,0.80499274,2021-03-23 18:56:05
9,[0.9365883  0.01253674 0.05087505],positive,0.9240515,2021-03-21 07:52:28
10,[0.332735   0.01101859 0.6562464 ],neutral,0.3217164,2021-03-19 09:39:18
11,[0.89765537 0.02232192 0.08002269],positive,0.8753334,2021-03-19 07:19:00
12,[0.11216183 0.01448168 0.87335646],neutral,0.097680144,2021-03-19 06:00:00
13,[0.8874443  0.08162432 0.03093136],positive,0.80582,2021-03-17 18:56:08
14,[0.6048396  0.3567143  0.03844608],positive,0.24812531,2021-03-12 12:32:01
15,[0.8148773  0.00762739 0.17749536],positive,0.8072499,2021-03-12 11:01:09
16,[0.52026826 0.4272642  0.05246749],positive,0.09300405,2021-03-11 18:56:20
17,[0.2654363  0.01089026 0.72367346],neutral,0.25454605,2021-03-11 09:00:00
18,[0.29536092 0.0103559  0.6942831 ],neutral,0.28500503,2021-03-08 09:51:14
19,[0.8749733  0.09656239 0.02846434],positive,0.7784109,2021-03-05 18:59:07
20,[0.44395384 0.00922361 0.54682255],neutral,0.43473023,2021-03-05 11:09:47
21,[0.9441022  0.01206472 0.04383309],positive,0.93203753,2021-03-05 09:54:26
22,[0.3428189  0.00753531 0.6496458 ],neutral,0.33528358,2021-03-04 09:53:24
23,[0.0698941  0.02722181 0.9028841 ],neutral,0.04267229,2021-03-04 08:01:04
24,[0.6789793  0.01091773 0.31010297],positive,0.66806155,2021-03-02 16:35:46
25,[0.09751855 0.0780692  0.8244122 ],neutral,0.019449346,2021-03-02 08:11:10
26,[0.9458698  0.01145985 0.04267028],positive,0.93441,2021-03-01 13:39:05
27,[0.9424314  0.029238   0.02833067],positive,0.9131934,2021-03-01 11:23:09
28,[0.9247314  0.05191784 0.02335083],positive,0.8728135,2021-03-01 08:21:03
29,[0.13031642 0.43096685 0.43871674],neutral,-0.30065042,2021-03-01 07:36:04
30,[0.9200545  0.0190304  0.06091505],positive,0.9010241,2021-02-28 06:22:00
31,[0.8281085  0.10470407 0.06718743],positive,0.7234044,2021-02-27 18:30:35
32,[0.06632568 0.02405315 0.9096211 ],neutral,0.042272523,2021-02-26 12:08:04
33,[0.54513896 0.41339618 0.04146486],positive,0.13174278,2021-02-25 18:58:15
34,[0.6048396  0.3567143  0.03844608],positive,0.24812531,2021-02-24 12:09:00
35,[0.8374085  0.01290658 0.14968494],positive,0.82450193,2021-02-22 11:49:29
36,[0.67901427 0.00810234 0.31288344],positive,0.6709119,2021-02-22 09:07:31
37,[0.92281955 0.0254073  0.05177316],positive,0.89741224,2021-02-20 11:05:00
38,[0.88854176 0.08119117 0.03026715],positive,0.8073506,2021-02-19 18:54:25
39,[0.0526599  0.07678074 0.87055933],neutral,-0.024120841,2021-02-19 13:26:00
40,[0.21876243 0.00961565 0.7716219 ],neutral,0.20914678,2021-02-19 09:50:35
41,[0.94682753 0.01889151 0.03428096],positive,0.927936,2021-02-16 16:09:39
42,[0.8764003  0.00871436 0.11488534],positive,0.8676859,2021-02-16 09:13:10
43,[0.05210853 0.02881032 0.91908115],neutral,0.023298211,2021-02-12 18:01:27
44,[0.7333421  0.01211268 0.25454527],positive,0.72122943,2021-02-12 06:40:00
45,[0.2426033  0.00946614 0.7479305 ],neutral,0.23313716,2021-02-10 13:14:37
46,[0.88848245 0.00875392 0.10276368],positive,0.87972856,2021-02-09 06:50:00
47,[0.0385983  0.02108864 0.94031304],neutral,0.017509663,2021-02-09 06:11:00
48,[0.55212295 0.01455551 0.43332154],positive,0.53756744,2021-02-07 05:58:00
49,[0.42886257 0.01873536 0.552402  ],neutral,0.41012722,2021-02-06 10:59:00
50,[0.29101983 0.15660164 0.55237854],neutral,0.13441819,2021-02-05 06:01:00
51,[0.6048396  0.35671428 0.03844608],positive,0.24812534,2021-02-04 12:06:08
52,[0.94828695 0.01150897 0.04020413],positive,0.93677795,2021-02-02 11:22:08
53,[0.9533819  0.01848484 0.02813326],positive,0.93489707,2021-02-01 12:53:13
54,[0.865219   0.01879774 0.11598321],positive,0.84642124,2021-02-01 06:15:00
55,[0.3514374 0.009868  0.6386946],neutral,0.3415694,2021-01-31 06:25:00
56,[0.93600625 0.01311639 0.05087728],positive,0.9228898,2021-01-29 08:30:00
57,[0.6695386  0.01254435 0.31791702],positive,0.6569943,2021-01-28 12:17:09
58,[0.10554007 0.04696514 0.84749484],neutral,0.058574934,2021-01-28 06:20:00
59,[0.04656576 0.02270632 0.9307279 ],neutral,0.023859438,2021-01-27 15:00:00
60,[0.03723855 0.05488748 0.9078739 ],neutral,-0.017648928,2021-01-27 12:57:03
61,[0.05866168 0.92646664 0.01487169],negative,-0.86780494,2021-01-27 12:02:22
62,[0.15317732 0.8188889  0.02793374],negative,-0.6657116,2021-01-27 11:17:06
63,[0.95686066 0.01300938 0.03012987],positive,0.9438513,2021-01-27 11:17:04
64,[0.7437345  0.05457124 0.20169428],positive,0.68916327,2021-01-27 09:47:16
65,[0.12560856 0.03398541 0.84040606],neutral,0.09162315,2021-01-27 09:19:11
66,[0.06873281 0.01442788 0.91683924],neutral,0.054304924,2021-01-27 08:21:28
67,[0.01138373 0.9714177  0.01719855],negative,-0.960034,2021-01-27 08:15:35
68,[0.01464994 0.96973723 0.01561282],negative,-0.9550873,2021-01-27 08:10:14
69,[0.3287273  0.08838265 0.5828901 ],neutral,0.24034466,2021-01-26 15:03:03
70,[0.01682012 0.9672878  0.0158921 ],negative,-0.95046765,2021-01-26 12:00:00
71,[0.44337997 0.00793404 0.548686  ],neutral,0.43544593,2021-01-26 07:45:00
72,[0.61486006 0.01533181 0.36980814],positive,0.59952825,2021-01-26 07:16:00
73,[0.29954895 0.01701776 0.68343323],neutral,0.2825312,2021-01-26 07:07:00
