,logit,prediction,sentiment_score,Date
0,[0.78437865 0.00810964 0.2075117 ],positive,0.776269,2021-03-29 11:21:15
1,[0.9439432  0.01109633 0.04496044],positive,0.9328469,2021-03-29 08:15:32
2,[0.71828043 0.00891413 0.27280545],positive,0.7093663,2021-03-29 05:29:00
3,[0.8149325  0.01105787 0.1740096 ],positive,0.8038747,2021-03-27 11:31:08
4,[0.09923245 0.01411204 0.8866555 ],neutral,0.08512041,2021-03-25 12:53:20
5,[0.78617764 0.00658677 0.20723562],positive,0.77959085,2021-03-25 09:00:00
6,[0.6563329  0.00804008 0.33562705],positive,0.64829284,2021-03-24 22:29:00
7,[0.84713954 0.01057058 0.14228982],positive,0.83656895,2021-03-24 06:31:53
8,[0.9278666  0.00992552 0.06220792],positive,0.91794103,2021-03-23 09:05:09
9,[0.54976624 0.0104975  0.4397363 ],positive,0.53926873,2021-03-23 04:59:00
10,[0.49584088 0.00931933 0.4948398 ],positive,0.48652154,2021-03-22 03:59:00
11,[0.1274109  0.1275281  0.74506104],neutral,-0.00011719763,2021-03-18 15:20:28
12,[0.40448788 0.5561565  0.03935561],negative,-0.15166864,2021-03-18 14:00:17
13,[0.03847861 0.05956809 0.90195334],neutral,-0.02108948,2021-03-18 13:32:08
14,[0.1826026  0.78338146 0.03401591],negative,-0.6007789,2021-03-18 11:59:52
15,[0.9592532  0.01831443 0.0224323 ],positive,0.9409388,2021-03-18 09:05:19
16,[0.63330877 0.33307844 0.03361275],positive,0.30023032,2021-03-18 08:46:18
17,[0.69714755 0.06818336 0.23466901],positive,0.6289642,2021-03-18 08:43:05
18,[0.9498314  0.02030118 0.02986733],positive,0.92953026,2021-03-18 07:12:24
19,[0.0169133  0.97363824 0.00944846],negative,-0.95672494,2021-03-18 07:04:43
20,[0.94946706 0.01797815 0.03255482],positive,0.93148893,2021-03-18 06:49:00
21,[0.93468434 0.01497592 0.05033972],positive,0.91970843,2021-03-18 06:44:00
22,[0.02659673 0.03153937 0.9418639 ],neutral,-0.0049426425,2021-03-17 10:45:13
23,[0.00770517 0.9696637  0.02263114],negative,-0.9619585,2021-03-16 09:51:24
24,[0.0418297  0.05157765 0.9065926 ],neutral,-0.009747945,2021-03-15 10:01:20
25,[0.3014923  0.02234573 0.67616194],neutral,0.27914658,2021-03-15 07:48:50
26,[0.79071885 0.00947859 0.19980256],positive,0.7812403,2021-03-15 05:29:00
27,[0.6029848  0.00856436 0.38845083],positive,0.59442043,2021-03-15 02:59:00
28,[0.0587186 0.0190381 0.9222433],neutral,0.0396805,2021-03-12 17:04:03
29,[0.01114078 0.93768555 0.0511737 ],negative,-0.9265448,2021-03-12 00:05:00
30,[0.2647776  0.02035399 0.71486837],neutral,0.24442361,2021-03-11 13:40:15
31,[0.55789757 0.01070598 0.4313965 ],positive,0.5471916,2021-03-10 10:14:00
32,[0.21474585 0.00938069 0.7758735 ],neutral,0.20536515,2021-03-10 04:09:00
33,[0.37467876 0.00931495 0.61600626],neutral,0.3653638,2021-03-09 15:51:28
34,[0.78061485 0.00741333 0.21197183],positive,0.7732015,2021-03-03 12:37:25
35,[0.08783788 0.01175287 0.9004093 ],neutral,0.07608501,2021-03-03 10:09:00
36,[0.90324473 0.00776296 0.08899231],positive,0.89548177,2021-03-02 12:07:08
37,[0.9172886  0.00849076 0.07422069],positive,0.90879786,2021-03-02 08:01:46
38,[0.24192658 0.0092376  0.74883574],neutral,0.23268898,2021-03-01 17:19:00
39,[0.8769039  0.00728082 0.11581529],positive,0.86962306,2021-03-01 10:30:24
40,[0.4759071  0.01110718 0.51298577],neutral,0.4647999,2021-03-01 08:14:00
41,[0.65096146 0.00816495 0.34087363],positive,0.6427965,2021-03-01 06:41:13
42,[0.22788613 0.00883578 0.7632781 ],neutral,0.21905035,2021-03-01 03:19:00
43,[0.8261122  0.0087118  0.16517603],positive,0.8174004,2021-02-24 02:59:00
44,[0.12823656 0.01190274 0.85986066],neutral,0.11633383,2021-02-16 09:37:46
45,[0.0609773  0.01650832 0.9225144 ],neutral,0.04446897,2021-02-16 06:30:00
46,[0.09315459 0.01215709 0.89468837],neutral,0.0809975,2021-02-16 05:14:00
47,[0.8079332  0.00726273 0.18480414],positive,0.8006705,2021-02-10 11:25:12
48,[0.8645434  0.00713003 0.12832662],positive,0.85741335,2021-02-05 12:52:35
49,[0.08389456 0.881297   0.03480842],negative,-0.79740244,2021-02-03 16:23:05
50,[0.16194034 0.0082322  0.8298275 ],neutral,0.15370815,2021-02-02 15:40:25
51,[0.92325133 0.00952061 0.06722804],positive,0.91373074,2021-01-26 11:49:08
52,[0.85722363 0.00792132 0.1348551 ],positive,0.8493023,2021-01-26 06:45:00
53,[0.59558624 0.00869848 0.39571524],positive,0.5868878,2021-01-26 05:59:00
54,[0.8995283  0.00989501 0.09057665],positive,0.8896333,2021-01-25 03:59:00
55,[0.6482617  0.01296214 0.33877617],positive,0.63529956,2021-01-24 15:33:03
56,[0.92372847 0.00825223 0.06801923],positive,0.91547626,2021-01-18 09:47:12
57,[0.07119506 0.02208669 0.90671825],neutral,0.04910837,2021-01-16 12:02:38
58,[0.9508513  0.02129538 0.02785333],positive,0.92955595,2021-01-14 12:47:21
59,[0.16316032 0.01147659 0.82536304],neutral,0.15168373,2021-01-12 20:53:07
60,[0.8620852  0.00939473 0.12852015],positive,0.8526905,2021-01-12 15:15:25
61,[0.9326258  0.0085981  0.05877612],positive,0.9240277,2021-01-12 09:47:03
62,[0.10940025 0.01264601 0.8779538 ],neutral,0.096754245,2021-01-07 12:47:33
63,[0.16566646 0.00864606 0.82568747],neutral,0.1570204,2021-01-06 16:46:19
64,[0.9155802  0.01508635 0.06933353],positive,0.90049386,2021-01-06 08:53:00
65,[0.9278666  0.00992552 0.06220792],positive,0.91794103,2020-12-31 09:02:03
66,[0.94213057 0.02204683 0.03582261],positive,0.92008376,2020-12-28 09:47:20
67,[0.10940025 0.01264601 0.8779538 ],neutral,0.096754245,2020-12-21 12:48:20
68,[0.7308746  0.01378509 0.25534034],positive,0.71708953,2020-12-20 07:17:40
69,[0.24443224 0.12918775 0.62637997],neutral,0.11524449,2020-12-19 07:38:00
70,[0.31570935 0.04792367 0.636367  ],neutral,0.26778567,2020-12-17 19:17:48
71,[0.13938995 0.09590388 0.7647062 ],neutral,0.043486066,2020-12-17 19:13:18
72,[0.47468984 0.04574114 0.47956902],neutral,0.4289487,2020-12-17 18:53:52
73,[0.07342738 0.02317024 0.9034024 ],neutral,0.050257143,2020-12-17 17:25:04
74,[0.02041377 0.06728052 0.9123057 ],neutral,-0.046866756,2020-12-17 15:53:30
75,[0.5585582  0.40909982 0.03234198],positive,0.14945841,2020-12-17 15:23:11
76,[0.9546469  0.01647487 0.02887823],positive,0.938172,2020-12-17 13:08:46
77,[0.04016493 0.05441086 0.90542424],neutral,-0.014245935,2020-12-17 11:55:07
78,[0.86764926 0.10988823 0.02246254],positive,0.757761,2020-12-17 11:17:04
79,[0.7364044  0.04886505 0.21473052],positive,0.6875394,2020-12-17 09:02:17
80,[0.95451456 0.02173408 0.02375128],positive,0.9327805,2020-12-17 07:06:20
81,[0.95199513 0.0253072  0.02269766],positive,0.92668796,2020-12-17 07:00:39
82,[0.94884586 0.02324511 0.02790892],positive,0.92560077,2020-12-17 06:44:00
83,[0.9534867  0.02040424 0.02610912],positive,0.93308246,2020-12-15 09:47:19
