,logit,prediction,sentiment_score,Date
0,[0.9446653  0.01099106 0.04434365],positive,0.9336743,2021-03-29 13:37:05
1,[0.68134296 0.03818097 0.28047612],positive,0.643162,2021-03-29 12:12:49
2,[0.6965758  0.01876008 0.28466403],positive,0.67781574,2021-03-26 17:27:15
3,[0.95373577 0.01878879 0.02747546],positive,0.93494695,2021-03-26 12:53:10
4,[0.9499416  0.01398481 0.0360737 ],positive,0.9359568,2021-03-25 15:33:41
5,[0.90399355 0.0103277  0.08567881],positive,0.89366585,2021-03-25 09:15:00
6,[0.06072814 0.08198578 0.8572861 ],neutral,-0.021257643,2021-03-24 17:53:14
7,[0.93395853 0.01992169 0.04611985],positive,0.9140368,2021-03-24 16:08:57
8,[0.9437     0.02149025 0.03480969],positive,0.92220974,2021-03-24 15:58:59
9,[0.9535904  0.01333369 0.03307584],positive,0.9402567,2021-03-24 13:44:08
10,[0.954955   0.02130011 0.02374498],positive,0.93365484,2021-03-24 10:53:03
11,[0.00922843 0.97310424 0.01766735],negative,-0.96387583,2021-03-24 10:51:12
12,[0.85671353 0.01212619 0.13116029],positive,0.8445873,2021-03-24 04:10:57
13,[0.04501481 0.04307406 0.9119112 ],neutral,0.0019407459,2021-03-24 00:20:35
14,[0.83701044 0.11520471 0.04778488],positive,0.72180575,2021-03-23 18:15:41
15,[0.63937414 0.14827639 0.21234946],positive,0.49109775,2021-03-23 18:10:06
16,[0.02768888 0.0429746  0.92933655],neutral,-0.015285725,2021-03-23 17:08:00
17,[0.919015   0.04022083 0.04076418],positive,0.87879413,2021-03-23 16:53:48
18,[0.956894   0.01996194 0.02314415],positive,0.936932,2021-03-23 16:25:38
19,[0.04604443 0.06986492 0.8840907 ],neutral,-0.02382049,2021-03-23 16:22:00
20,[0.6234423  0.01117631 0.3653814 ],positive,0.612266,2021-03-23 16:06:00
21,[0.05319082 0.06940197 0.87740725],neutral,-0.016211148,2021-03-23 12:10:09
22,[0.8902385  0.00999195 0.09976953],positive,0.8802466,2021-03-23 09:50:19
23,[0.07399119 0.01807488 0.90793395],neutral,0.055916313,2021-03-22 18:09:16
24,[0.02778825 0.0354913  0.93672043],neutral,-0.007703053,2021-03-22 13:35:05
25,[0.03601843 0.02957813 0.9344035 ],neutral,0.006440308,2021-03-22 10:05:16
26,[0.02566436 0.32682532 0.64751023],neutral,-0.30116096,2021-03-22 06:26:10
27,[0.27851543 0.57854295 0.1429417 ],negative,-0.30002752,2021-03-21 16:18:06
28,[0.07257944 0.04871565 0.8787049 ],neutral,0.023863785,2021-03-21 15:00:00
29,[0.6320952  0.28982618 0.07807869],positive,0.34226903,2021-03-20 10:15:00
30,[0.03595161 0.02907961 0.93496877],neutral,0.006872,2021-03-19 15:42:04
31,[0.07077231 0.02607839 0.9031493 ],neutral,0.044693917,2021-03-19 14:50:32
32,[0.93682677 0.01124278 0.05193048],positive,0.92558396,2021-03-19 09:39:22
33,[0.34785464 0.00986713 0.64227825],neutral,0.3379875,2021-03-18 09:15:00
34,[0.08579156 0.020341   0.89386743],neutral,0.065450564,2021-03-17 17:35:54
35,[0.87677604 0.09382968 0.02939428],positive,0.78294635,2021-03-16 18:56:23
36,[0.08144131 0.02044377 0.8981149 ],neutral,0.06099754,2021-03-16 15:54:17
37,[0.57988447 0.02134514 0.3987704 ],positive,0.55853933,2021-03-16 13:38:15
38,[0.02840429 0.02500738 0.94658834],neutral,0.0033969115,2021-03-16 13:00:00
39,[0.1203732  0.02459017 0.8550366 ],neutral,0.09578304,2021-03-15 22:04:41
40,[0.03190675 0.29140437 0.6766889 ],neutral,-0.2594976,2021-03-15 09:00:00
41,[0.11903839 0.01798116 0.8629804 ],neutral,0.10105723,2021-03-15 07:34:10
42,[0.10375553 0.0172601  0.87898433],neutral,0.08649542,2021-03-12 11:46:04
43,[0.8376222  0.03149389 0.13088383],positive,0.8061283,2021-03-11 19:41:15
44,[0.2573981  0.04080404 0.70179784],neutral,0.21659407,2021-03-11 09:00:00
45,[0.38616663 0.44799626 0.16583717],negative,-0.061829627,2021-03-08 07:24:40
46,[0.45735985 0.46570715 0.07693294],negative,-0.008347303,2021-03-05 13:18:55
47,[0.2891266  0.09603661 0.61483675],neutral,0.19308999,2021-03-04 15:11:03
48,[0.8591718  0.11154475 0.02928351],positive,0.7476271,2021-03-02 18:55:14
49,[0.13015841 0.01226011 0.85758144],neutral,0.1178983,2021-03-02 08:48:00
50,[0.24868602 0.00923169 0.7420823 ],neutral,0.23945433,2021-03-01 13:03:17
51,[0.09420824 0.3660269  0.5397649 ],neutral,-0.27181867,2021-03-01 13:01:04
52,[0.07121729 0.01606277 0.9127199 ],neutral,0.055154525,2021-02-25 05:45:00
53,[0.88272554 0.08402857 0.03324588],positive,0.798697,2021-02-24 18:57:34
54,[0.12252069 0.01781441 0.85966486],neutral,0.10470627,2021-02-23 18:47:17
55,[0.17352068 0.01543509 0.8110443 ],neutral,0.1580856,2021-02-19 17:55:55
56,[0.7546161  0.01148712 0.23389684],positive,0.74312896,2021-02-19 10:16:37
57,[0.87055737 0.09941004 0.03003255],positive,0.7711473,2021-02-18 18:57:01
58,[0.32419878 0.00912449 0.66667676],neutral,0.3150743,2021-02-18 10:00:00
59,[0.86858535 0.01148212 0.11993253],positive,0.8571032,2021-02-17 19:53:11
60,[0.20970449 0.0264453  0.7638503 ],neutral,0.18325919,2021-02-17 15:11:43
61,[0.9354272  0.01057167 0.05400113],positive,0.92485553,2021-02-15 03:50:18
62,[0.59628993 0.00855079 0.39515924],positive,0.58773917,2021-02-12 10:02:00
63,[0.39051697 0.575217   0.03426602],negative,-0.18470004,2021-02-09 18:57:00
64,[0.16106728 0.05378841 0.78514427],neutral,0.10727887,2021-02-09 17:24:19
65,[0.01159932 0.96498615 0.0234145 ],negative,-0.95338684,2021-02-09 11:08:45
66,[0.46069068 0.02103533 0.51827395],neutral,0.43965533,2021-02-09 09:15:00
67,[0.6392767  0.01127598 0.3494473 ],positive,0.6280007,2021-02-07 07:30:00
68,[0.54330283 0.07089194 0.38580525],positive,0.4724109,2021-02-07 06:01:52
69,[0.9518051  0.02314491 0.02504987],positive,0.9286602,2021-02-05 06:00:00
70,[0.8867607  0.08579084 0.02744847],positive,0.8009699,2021-02-03 18:56:48
71,[0.05596303 0.90167886 0.04235815],negative,-0.8457158,2021-02-02 08:56:04
72,[0.61972106 0.00845909 0.37181985],positive,0.61126196,2021-01-27 07:00:00
73,[0.6223714  0.01250435 0.3651243 ],positive,0.60986704,2021-01-26 08:35:12
74,[0.93274474 0.03206816 0.03518705],positive,0.9006766,2021-01-25 05:31:21
75,[0.86598814 0.10512819 0.02888365],positive,0.76085997,2021-01-22 21:48:04
76,[0.93711996 0.01976319 0.04311679],positive,0.9173568,2021-01-20 13:29:16
77,[0.8905189  0.08078568 0.02869541],positive,0.8097332,2021-01-15 18:48:09
78,[0.877652   0.04019398 0.08215403],positive,0.837458,2021-01-15 06:05:00
79,[0.28462204 0.02605257 0.68932545],neutral,0.25856948,2021-01-14 13:36:00
80,[0.56033885 0.02604355 0.41361752],positive,0.5342953,2021-01-12 13:45:13
81,[0.94960785 0.02040746 0.02998466],positive,0.9292004,2021-01-12 10:59:00
82,[0.7255168  0.00722217 0.267261  ],positive,0.7182946,2021-01-10 18:55:23
83,[0.06341188 0.02334653 0.91324157],neutral,0.04006534,2021-01-09 12:02:12
84,[0.0856055  0.06030982 0.8540847 ],neutral,0.025295679,2021-01-08 18:48:20
85,[0.51131475 0.01752412 0.47116116],positive,0.49379063,2021-01-05 12:02:21
86,[0.47109678 0.02012354 0.5087797 ],neutral,0.45097324,2021-01-04 15:12:16
87,[0.7108953  0.01106049 0.27804425],positive,0.6998348,2021-01-01 09:14:00
88,[0.01483667 0.7443013  0.24086197],negative,-0.72946465,2021-01-01 03:38:00
89,[0.01296452 0.738931   0.24810447],negative,-0.72596645,2020-12-31 20:02:28
90,[0.25060338 0.02598216 0.7234144 ],neutral,0.22462122,2020-12-30 17:22:51
91,[0.17179774 0.01440151 0.81380075],neutral,0.15739623,2020-12-29 13:45:25
92,[0.18542258 0.34930995 0.46526748],neutral,-0.16388737,2020-12-26 09:13:29
93,[0.94096386 0.01487903 0.04415715],positive,0.9260848,2020-12-18 11:21:09
94,[0.9196222  0.01231016 0.06806757],positive,0.90731204,2020-12-17 11:25:23
95,[0.03703279 0.02392471 0.93904257],neutral,0.013108082,2020-12-17 01:31:03
96,[0.03703279 0.02392471 0.93904257],neutral,0.013108082,2020-12-17 01:31:02
97,[0.7242342  0.01088531 0.26488045],positive,0.7133489,2020-12-14 09:28:19
98,[0.27014682 0.0099698  0.7198834 ],neutral,0.26017702,2020-12-11 12:36:46
99,[0.8799292  0.09821336 0.02185741],positive,0.7817158,2020-12-11 10:45:24
100,[0.9310756  0.01823326 0.05069117],positive,0.91284233,2020-12-10 15:17:43
101,[0.03854473 0.01983296 0.9416223 ],neutral,0.018711764,2020-12-10 15:15:57
102,[0.02958066 0.9511077  0.01931174],negative,-0.921527,2020-12-10 15:00:32
103,[0.372288   0.1715511  0.45616084],neutral,0.2007369,2020-12-10 14:43:56
104,[0.94863904 0.02249148 0.02886954],positive,0.9261476,2020-12-10 08:58:00
105,[0.60231036 0.37740934 0.02028032],positive,0.22490102,2020-12-10 08:05:21
106,[0.11443744 0.0091263  0.87643623],neutral,0.10531114,2020-12-10 08:00:00
107,[0.10886487 0.04033942 0.8507957 ],neutral,0.068525456,2020-12-09 17:01:09
108,[0.07279584 0.03393208 0.89327204],neutral,0.038863756,2020-12-09 08:04:09
109,[0.03125224 0.02669872 0.9420491 ],neutral,0.004553525,2020-12-08 10:08:25
110,[0.83998346 0.12833269 0.03168385],positive,0.7116508,2020-12-07 16:16:23
