,logit,prediction,sentiment_score,Date
0,[0.9405043  0.02186318 0.03763255],positive,0.91864115,2021-03-29 12:10:03
1,[0.14734808 0.35250756 0.50014436],neutral,-0.20515949,2021-03-29 08:35:50
2,[0.9276272  0.01019124 0.06218157],positive,0.91743594,2021-03-28 07:00:00
3,[0.62444544 0.00970367 0.36585084],positive,0.61474174,2021-03-26 14:49:00
4,[0.63940233 0.01937077 0.3412269 ],positive,0.62003154,2021-03-24 14:39:13
5,[0.9114958  0.01342855 0.07507557],positive,0.89806724,2021-03-22 04:13:41
6,[0.10642361 0.01706321 0.8765132 ],neutral,0.08936039,2021-03-19 14:29:29
7,[0.91795963 0.0081684  0.07387197],positive,0.90979123,2021-03-18 07:25:06
8,[0.03433458 0.026132   0.9395334 ],neutral,0.008202586,2021-03-16 20:33:07
9,[0.8887775  0.01724328 0.09397932],positive,0.8715342,2021-03-13 08:32:00
10,[0.044265   0.01717992 0.93855506],neutral,0.02708508,2021-03-11 16:00:00
11,[0.7220489  0.03139161 0.2465595 ],positive,0.69065726,2021-03-11 15:00:00
12,[0.9096074  0.0715516  0.01884101],positive,0.8380558,2021-03-05 16:12:13
13,[0.9264508  0.00955673 0.06399254],positive,0.9168941,2021-03-05 12:11:58
14,[0.50619   0.0104905 0.4833195],positive,0.4956995,2021-03-05 10:40:07
15,[0.03851185 0.02408588 0.9374023 ],neutral,0.014425963,2021-03-04 23:27:16
16,[0.8455491  0.01814671 0.13630411],positive,0.8274024,2021-03-04 19:07:43
17,[0.09922747 0.0915944  0.8091781 ],neutral,0.007633075,2021-03-04 16:12:01
18,[0.84509444 0.00724943 0.14765604],positive,0.837845,2021-03-04 13:00:00
19,[0.05344164 0.02499844 0.92155993],neutral,0.028443208,2021-03-04 12:09:26
20,[0.493217   0.01034165 0.49644136],neutral,0.48287535,2021-03-04 11:45:00
21,[0.9391422  0.02030197 0.04055589],positive,0.9188402,2021-03-04 11:44:28
22,[0.5242454  0.02249501 0.45325965],positive,0.50175035,2021-03-04 11:35:40
23,[0.0276936  0.4121649  0.56014144],neutral,-0.3844713,2021-03-04 08:43:56
24,[0.03200604 0.02494682 0.94304717],neutral,0.007059222,2021-03-03 16:00:00
25,[0.9093589  0.01258757 0.07805353],positive,0.8967714,2021-02-26 12:35:47
26,[0.09830791 0.01173703 0.8899551 ],neutral,0.08657088,2021-02-25 16:53:43
27,[0.04139414 0.02436385 0.93424207],neutral,0.017030286,2021-02-25 07:00:00
28,[0.9229496  0.01337534 0.06367504],positive,0.9095743,2021-02-23 10:59:15
29,[0.85797906 0.02817324 0.11384767],positive,0.8298058,2021-02-14 07:26:21
30,[0.16106728 0.05378841 0.78514427],neutral,0.10727887,2021-02-09 17:24:19
31,[0.8879839  0.09017977 0.02183634],positive,0.7978041,2021-02-08 17:00:31
32,[0.8397536  0.02915224 0.13109416],positive,0.81060135,2021-02-06 13:03:19
33,[0.25936157 0.40098655 0.33965188],negative,-0.14162499,2021-02-05 15:54:03
34,[0.36767754 0.01450405 0.6178184 ],neutral,0.3531735,2021-02-05 13:03:53
35,[0.03355993 0.9556145  0.0108255 ],negative,-0.9220546,2021-02-03 09:51:22
36,[0.92555946 0.04093224 0.03350824],positive,0.8846272,2021-02-03 09:39:00
37,[0.48053995 0.12972671 0.38973337],positive,0.35081324,2021-02-03 06:04:00
38,[0.03161851 0.05632411 0.9120574 ],neutral,-0.024705604,2021-02-02 21:26:03
39,[0.712586   0.06639159 0.22102237],positive,0.6461944,2021-02-02 18:56:14
40,[0.13496713 0.39970952 0.46532333],neutral,-0.26474237,2021-02-02 18:00:00
41,[0.01188896 0.9730374  0.01507374],negative,-0.96114844,2021-02-02 16:42:00
42,[0.01227729 0.97228664 0.01543605],negative,-0.96000934,2021-02-02 16:27:21
43,[0.7999299  0.17874923 0.02132083],positive,0.62118065,2021-02-02 16:21:00
44,[0.6925059  0.01152138 0.29597276],positive,0.6809845,2021-02-02 13:53:38
45,[0.02075082 0.03639683 0.9428523 ],neutral,-0.015646012,2021-02-02 09:00:00
46,[0.02944404 0.03800846 0.9325475 ],neutral,-0.00856442,2021-02-01 10:03:37
47,[0.93603617 0.031807   0.03215687],positive,0.90422916,2021-02-01 04:16:53
48,[0.18128675 0.0865513  0.73216194],neutral,0.09473545,2021-01-28 11:17:30
49,[0.9438791  0.02953355 0.02658731],positive,0.91434556,2021-01-24 05:04:50
50,[0.10794681 0.01465264 0.8774005 ],neutral,0.09329417,2021-01-22 17:56:35
51,[0.175289   0.01134277 0.8133682 ],neutral,0.16394623,2021-01-19 15:28:59
52,[0.11177491 0.0093341  0.87889105],neutral,0.102440804,2021-01-19 09:05:12
53,[0.77363235 0.19388683 0.03248079],positive,0.57974553,2021-01-19 03:54:59
54,[0.3384238  0.01935238 0.64222383],neutral,0.3190714,2021-01-18 16:05:33
55,[0.30741194 0.643913   0.04867507],negative,-0.33650103,2021-01-18 13:52:03
56,[0.83440775 0.02468121 0.14091107],positive,0.80972654,2021-01-17 05:43:41
57,[0.11659129 0.03214325 0.85126543],neutral,0.08444804,2021-01-16 05:51:00
58,[0.06675027 0.01293522 0.92031455],neutral,0.053815056,2021-01-13 08:09:00
59,[0.93013114 0.02403482 0.04583401],positive,0.90609634,2021-01-11 23:39:07
60,[0.03599725 0.02497099 0.9390317 ],neutral,0.011026258,2021-01-11 21:30:35
61,[0.6671237  0.00993653 0.32293975],positive,0.65718716,2021-01-11 16:45:00
62,[0.08846771 0.04095073 0.87058157],neutral,0.04751698,2021-01-10 09:37:00
63,[0.8645596  0.02435937 0.11108106],positive,0.84020025,2021-01-10 04:45:13
64,[0.11011945 0.01231237 0.87756824],neutral,0.09780708,2021-01-07 15:23:27
65,[0.00834886 0.93889606 0.05275518],negative,-0.9305472,2021-01-07 11:05:15
66,[0.26620275 0.01687154 0.7169257 ],neutral,0.2493312,2021-01-07 10:32:19
67,[0.5313089  0.02428203 0.4444091 ],positive,0.50702685,2021-01-06 15:05:00
68,[0.02655229 0.02945333 0.9439944 ],neutral,-0.0029010437,2021-01-05 12:32:52
69,[0.14047311 0.01027722 0.84924966],neutral,0.13019589,2021-01-05 07:07:00
70,[0.04292586 0.1308835  0.82619065],neutral,-0.08795764,2021-01-04 14:55:54
71,[0.09241051 0.11525148 0.792338  ],neutral,-0.02284097,2021-01-01 08:30:00
72,[0.03804272 0.31442907 0.6475282 ],neutral,-0.27638635,2021-01-01 07:12:02
73,[0.87913567 0.00744699 0.11341739],positive,0.87168866,2020-12-30 09:47:23
74,[0.8248749  0.00857978 0.16654526],positive,0.8162951,2020-12-30 06:12:43
75,[0.03205902 0.03939252 0.92854846],neutral,-0.007333506,2020-12-28 09:16:00
76,[0.9286636  0.00897836 0.06235808],positive,0.91968524,2020-12-27 04:30:00
77,[0.94007796 0.01062223 0.04929982],positive,0.92945576,2020-12-24 06:54:55
78,[0.04362055 0.02281907 0.93356043],neutral,0.020801483,2020-12-24 06:00:00
79,[0.25082245 0.01539191 0.7337856 ],neutral,0.23543054,2020-12-23 11:18:10
80,[0.21893936 0.01400927 0.76705134],neutral,0.2049301,2020-12-23 10:32:13
81,[0.15444048 0.09946169 0.74609786],neutral,0.054978788,2020-12-22 08:32:45
82,[0.03083731 0.9318042  0.03735856],negative,-0.9009669,2020-12-22 02:00:00
83,[0.04537106 0.03121539 0.9234135 ],neutral,0.014155673,2020-12-21 15:26:42
84,[0.9251366  0.01149731 0.0633661 ],positive,0.9136393,2020-12-19 07:30:00
85,[0.07821495 0.87565196 0.04613312],negative,-0.797437,2020-12-19 07:00:00
86,[0.93761176 0.01649364 0.0458946 ],positive,0.92111814,2020-12-18 14:14:10
87,[0.84161294 0.0088419  0.14954512],positive,0.83277106,2020-12-17 16:00:00
88,[0.18409409 0.01381132 0.8020946 ],neutral,0.17028277,2020-12-17 10:32:23
89,[0.94628453 0.0275063  0.02620922],positive,0.91877824,2020-12-17 06:17:00
90,[0.12646613 0.19566303 0.6778708 ],neutral,-0.06919691,2020-12-16 17:41:14
91,[0.04509469 0.01253968 0.94236565],neutral,0.032555014,2020-12-16 17:00:00
92,[0.7191363  0.01044123 0.27042246],positive,0.70869505,2020-12-16 16:00:00
93,[0.04823284 0.02067415 0.93109304],neutral,0.027558696,2020-12-15 15:56:35
94,[0.5844708  0.0779946  0.33753464],positive,0.5064762,2020-12-15 00:17:00
95,[0.10494038 0.07696567 0.81809396],neutral,0.027974702,2020-12-14 05:31:06
96,[0.845775   0.1260766  0.02814844],positive,0.7196984,2020-12-11 17:50:11
97,[0.1189602  0.13410532 0.7469345 ],neutral,-0.015145123,2020-12-10 10:10:07
98,[0.08200249 0.01786163 0.90013593],neutral,0.064140856,2020-12-10 06:11:25
99,[0.03003869 0.03192926 0.9380321 ],neutral,-0.0018905643,2020-12-08 22:03:07
100,[0.0529456  0.93157816 0.01547624],negative,-0.87863255,2020-12-07 09:00:00
101,[0.17582208 0.00911059 0.81506735],neutral,0.1667115,2020-12-05 15:00:00
102,[0.93393874 0.02789705 0.03816427],positive,0.9060417,2020-12-04 07:48:00
103,[0.82981145 0.00732094 0.16286755],positive,0.8224905,2020-12-04 07:15:00
104,[0.08834979 0.27999863 0.6316516 ],neutral,-0.19164884,2020-12-03 11:13:37
105,[0.06839684 0.01470236 0.9169008 ],neutral,0.053694487,2020-12-01 18:06:03
106,[0.16928677 0.00955395 0.8211593 ],neutral,0.15973282,2020-11-30 16:45:00
107,[0.05344164 0.02499844 0.92155993],neutral,0.028443208,2020-11-27 11:31:32
108,[0.12301194 0.00825504 0.86873305],neutral,0.1147569,2020-11-26 09:10:40
109,[0.05551906 0.01200837 0.9324726 ],neutral,0.043510694,2020-11-25 16:00:00
110,[0.09921547 0.12609163 0.7746929 ],neutral,-0.026876159,2020-11-25 10:03:19
111,[0.05701052 0.3286134  0.614376  ],neutral,-0.27160287,2020-11-23 07:30:00
112,[0.03934218 0.02291443 0.9377434 ],neutral,0.01642775,2020-11-18 18:22:04
113,[0.00861773 0.9736439  0.01773835],negative,-0.9650262,2020-11-18 11:36:02
114,[0.05145926 0.01227127 0.9362694 ],neutral,0.03918799,2020-11-13 16:00:00
115,[0.12578039 0.01291921 0.8613004 ],neutral,0.11286118,2020-11-10 22:13:17
116,[0.11148433 0.38278767 0.505728  ],neutral,-0.27130336,2020-11-10 12:35:45
117,[0.6264202  0.03106935 0.34251046],positive,0.59535086,2020-11-10 09:38:37
118,[0.94669443 0.02066866 0.03263688],positive,0.92602575,2020-11-10 02:00:00
119,[0.04659908 0.01945668 0.9339443 ],neutral,0.0271424,2020-11-09 20:14:05
120,[0.87472576 0.01646984 0.1088043 ],positive,0.8582559,2020-11-05 23:09:58
121,[0.21209246 0.08184766 0.7060599 ],neutral,0.13024479,2020-11-05 07:27:00
122,[0.0521235  0.01535405 0.9325224 ],neutral,0.03676945,2020-11-04 17:00:00
123,[0.9360083  0.02722206 0.03676965],positive,0.90878624,2020-11-04 11:23:37
124,[0.95307004 0.02598492 0.02094501],positive,0.9270851,2020-11-03 16:14:10
125,[0.95307004 0.02598492 0.02094501],positive,0.9270851,2020-11-03 08:41:10
126,[0.10295468 0.01200417 0.8850412 ],neutral,0.090950504,2020-10-30 15:34:08
127,[0.00918619 0.9731733  0.01764047],negative,-0.9639871,2020-10-29 10:35:58
128,[0.67309105 0.06532251 0.26158646],positive,0.60776854,2020-10-29 06:05:00
129,[0.03292567 0.05803551 0.9090388 ],neutral,-0.025109839,2020-10-28 23:30:54
130,[0.8223442  0.10047402 0.07718181],positive,0.7218702,2020-10-28 16:39:13
131,[0.899567   0.07010714 0.03032589],positive,0.82945985,2020-10-28 16:30:35
132,[0.03812377 0.03825189 0.9236244 ],neutral,-0.00012812391,2020-10-28 16:30:28
133,[0.03629773 0.01943859 0.94426364],neutral,0.01685915,2020-10-28 16:25:20
134,[0.9338271  0.03862825 0.02754468],positive,0.8951989,2020-10-28 16:07:00
135,[0.14617944 0.01255137 0.8412692 ],neutral,0.13362807,2020-10-28 08:59:39
136,[0.02614722 0.02231609 0.9515367 ],neutral,0.0038311277,2020-10-27 18:57:00
137,[0.5154777  0.01249856 0.47202376],positive,0.50297916,2020-10-27 16:00:00
138,[0.8512477  0.00705486 0.14169744],positive,0.84419286,2020-10-27 10:08:00
139,[0.0260749  0.04160045 0.93232465],neutral,-0.015525548,2020-10-27 10:05:07
140,[0.10040168 0.12871926 0.77087903],neutral,-0.02831757,2020-10-27 09:55:02
141,[0.6893543  0.01134841 0.29929733],positive,0.6780059,2020-10-27 07:53:00
142,[0.91385555 0.01791116 0.06823326],positive,0.8959444,2020-10-26 11:16:46
143,[0.24709879 0.067556   0.68534523],neutral,0.17954278,2020-10-26 00:05:23
144,[0.17666498 0.011113   0.812222  ],neutral,0.16555198,2020-10-23 03:05:07
145,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-10-21 13:01:35
146,[0.2708463  0.01121045 0.7179433 ],neutral,0.25963587,2020-10-20 13:00:48
147,[0.85028815 0.00755456 0.1421573 ],positive,0.8427336,2020-10-20 00:00:00
148,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2020-10-19 17:16:03
149,[0.21908705 0.76163983 0.01927317],negative,-0.54255277,2020-10-19 15:37:13
150,[0.00941268 0.9746007  0.01598666],negative,-0.96518797,2020-10-19 14:48:00
151,[0.11623546 0.01136701 0.8723975 ],neutral,0.10486846,2020-10-19 06:52:47
152,[0.84797305 0.0073079  0.144719  ],positive,0.84066516,2020-10-19 00:00:00
153,[0.27715063 0.02098634 0.70186305],neutral,0.25616428,2020-10-18 13:30:00
154,[0.93729925 0.02229516 0.04040565],positive,0.9150041,2020-10-16 14:46:00
155,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-10-16 14:31:34
156,[0.83772904 0.00964326 0.1526277 ],positive,0.8280858,2020-10-16 00:00:00
157,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-10-15 06:33:01
158,[0.01284689 0.9392218  0.04793134],negative,-0.9263749,2020-10-15 06:28:00
159,[0.83648366 0.00760361 0.15591277],positive,0.8288801,2020-10-15 00:00:00
160,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-10-14 16:33:14
161,[0.6868669  0.00895642 0.30417672],positive,0.67791045,2020-10-14 12:35:00
162,[0.6056691  0.01666637 0.3776645 ],positive,0.5890027,2020-10-14 10:45:00
163,[0.8581477  0.02432508 0.11752719],positive,0.8338226,2020-10-14 04:30:41
164,[0.6403405 0.0091926 0.3504669],positive,0.6311479,2020-10-13 14:19:50
165,[0.10079768 0.749866   0.1493363 ],negative,-0.64906836,2020-10-13 12:37:46
166,[0.12944283 0.0229476  0.8476096 ],neutral,0.10649523,2020-10-13 00:00:00
167,[0.01313045 0.97280526 0.01406425],negative,-0.95967484,2020-10-09 14:36:55
168,[0.8617767  0.01359224 0.12463104],positive,0.84818447,2020-10-09 14:27:19
169,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-10-09 13:30:10
170,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-10-09 13:16:30
171,[0.32306647 0.00953616 0.6673973 ],neutral,0.3135303,2020-10-09 09:41:15
172,[0.0740867  0.01222421 0.9136891 ],neutral,0.06186249,2020-10-09 09:41:14
173,[0.92095226 0.0122713  0.06677634],positive,0.908681,2020-10-09 08:34:45
174,[0.14776608 0.01672732 0.83550656],neutral,0.13103877,2020-10-09 07:40:53
175,[0.0558465  0.01778684 0.9263667 ],neutral,0.038059663,2020-10-09 06:26:11
176,[0.8793803  0.00745925 0.11316057],positive,0.87192106,2020-10-09 00:00:00
177,[0.6304471  0.01135303 0.35819986],positive,0.6190941,2020-10-08 18:20:00
178,[0.7744083  0.00723946 0.21835223],positive,0.7671688,2020-10-08 17:14:51
179,[0.77440834 0.00723946 0.21835218],positive,0.7671689,2020-10-08 17:14:19
180,[0.84068364 0.01116361 0.14815278],positive,0.82952005,2020-10-08 14:55:58
181,[0.7402725  0.01059276 0.24913473],positive,0.72967976,2020-10-08 14:51:58
182,[0.7719118  0.00776548 0.22032265],positive,0.7641463,2020-10-08 13:01:18
183,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2020-10-08 12:32:16
184,[0.04652835 0.01545251 0.93801916],neutral,0.031075845,2020-10-08 12:30:18
185,[0.7107258  0.00880164 0.2804726 ],positive,0.70192415,2020-10-08 12:30:15
186,[0.7107258  0.00880164 0.28047258],positive,0.70192415,2020-10-08 12:30:11
187,[0.03261494 0.02081664 0.9465684 ],neutral,0.011798296,2020-10-08 10:28:25
188,[0.04944481 0.01987925 0.930676  ],neutral,0.029565562,2020-10-08 09:19:13
189,[0.02204023 0.03529427 0.9426655 ],neutral,-0.013254046,2020-10-08 09:14:46
190,[0.10812975 0.01031449 0.8815558 ],neutral,0.09781526,2020-10-08 08:56:06
191,[0.5883606  0.00978806 0.40185133],positive,0.5785726,2020-10-08 08:50:41
192,[0.05887156 0.0157517  0.9253768 ],neutral,0.04311986,2020-10-08 08:34:00
193,[0.03306565 0.037676   0.9292583 ],neutral,-0.004610345,2020-10-08 07:27:02
194,[0.08798436 0.01282975 0.8991859 ],neutral,0.07515461,2020-10-08 06:35:40
195,[0.09438521 0.01422804 0.89138675],neutral,0.080157176,2020-10-08 01:53:31
196,[0.372803   0.01810677 0.6090902 ],neutral,0.35469624,2020-10-07 14:49:39
197,[0.06690331 0.01360834 0.9194884 ],neutral,0.053294964,2020-10-07 14:25:03
198,[0.7538056  0.00898429 0.23721015],positive,0.7448213,2020-10-07 11:39:04
199,[0.07730224 0.01156914 0.9111286 ],neutral,0.065733105,2020-10-07 11:26:46
200,[0.07730224 0.01156914 0.9111286 ],neutral,0.065733105,2020-10-07 11:07:47
201,[0.18862736 0.00902768 0.802345  ],neutral,0.17959967,2020-10-07 09:25:06
202,[0.05219261 0.01592435 0.93188304],neutral,0.036268264,2020-10-07 06:29:12
203,[0.03337542 0.02221059 0.94441396],neutral,0.011164833,2020-10-07 06:23:15
204,[0.9486784  0.01994353 0.03137805],positive,0.92873484,2020-10-07 03:23:03
205,[0.12944283 0.0229476  0.8476096 ],neutral,0.10649523,2020-10-07 00:00:00
206,[0.91979575 0.0268471  0.05335708],positive,0.8929486,2020-10-06 16:38:00
207,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-10-06 13:48:26
