,logit,prediction,sentiment_score,Date
0,[0.8822413  0.09112703 0.02663171],positive,0.7911143,2021-03-29 18:55:26
1,[0.917795   0.04615042 0.03605457],positive,0.87164456,2021-03-29 17:30:37
2,[0.3705496  0.02115339 0.608297  ],neutral,0.3493962,2021-03-29 17:24:02
3,[0.01666069 0.9378302  0.04550911],negative,-0.9211695,2021-03-29 16:06:30
4,[0.06199123 0.02852672 0.90948206],neutral,0.033464514,2021-03-29 15:26:24
5,[0.06869359 0.43198845 0.49931797],neutral,-0.36329484,2021-03-29 13:37:22
6,[0.8627118  0.03821286 0.09907538],positive,0.82449895,2021-03-29 12:40:28
7,[0.31382334 0.6119225  0.07425422],negative,-0.29809916,2021-03-29 11:31:02
8,[0.02813969 0.71143055 0.26042977],negative,-0.68329084,2021-03-29 10:02:33
9,[0.0283194  0.94759935 0.02408121],negative,-0.91927993,2021-03-29 07:05:00
10,[0.12962082 0.03260668 0.83777255],neutral,0.097014144,2021-03-29 07:04:47
11,[0.0111111  0.95703346 0.03185545],negative,-0.9459224,2021-03-29 06:28:20
12,[0.1797902 0.651051  0.1691588],negative,-0.4712608,2021-03-29 01:52:55
13,[0.8442649  0.00837448 0.1473606 ],positive,0.8358905,2021-03-28 14:42:02
14,[0.00898094 0.9387921  0.0522269 ],negative,-0.9298112,2021-03-28 14:02:17
15,[0.01552274 0.9313763  0.05310104],negative,-0.91585356,2021-03-28 12:00:00
16,[0.02579424 0.8653866  0.10881913],negative,-0.83959234,2021-03-28 07:30:00
17,[0.64574486 0.01201264 0.34224254],positive,0.6337322,2021-03-28 06:21:00
18,[0.00636205 0.9727131  0.02092481],negative,-0.96635103,2021-03-28 03:05:44
19,[0.06857526 0.01492831 0.9164964 ],neutral,0.05364696,2021-03-27 18:01:00
20,[0.8392964  0.01293977 0.14776383],positive,0.82635665,2021-03-27 11:16:00
21,[0.17075782 0.01194379 0.81729835],neutral,0.15881403,2021-03-27 10:35:00
22,[0.9379954  0.01030988 0.05169464],positive,0.9276855,2021-03-27 10:25:23
23,[0.77872646 0.00924005 0.21203348],positive,0.7694864,2021-03-27 09:00:01
24,[0.90906084 0.01443171 0.0765074 ],positive,0.8946291,2021-03-27 08:45:00
25,[0.05708178 0.01413617 0.92878205],neutral,0.04294561,2021-03-26 21:18:54
26,[0.11237584 0.22762881 0.6599953 ],neutral,-0.11525297,2021-03-26 18:07:00
27,[0.02642318 0.9283587  0.04521815],negative,-0.9019355,2021-03-26 08:45:07
28,[0.72357446 0.00974431 0.2666812 ],positive,0.7138302,2021-03-26 07:45:00
29,[0.06644134 0.02694928 0.90660936],neutral,0.03949206,2021-03-26 07:00:43
30,[0.07564778 0.27199548 0.6523567 ],neutral,-0.19634771,2021-03-26 00:59:35
31,[0.05834602 0.0176303  0.92402375],neutral,0.040715724,2021-03-25 17:25:10
32,[0.02214108 0.8459599  0.13189901],negative,-0.8238188,2021-03-25 16:54:00
33,[0.9075642  0.0083973  0.08403853],positive,0.89916694,2021-03-25 16:47:05
34,[0.16571578 0.0103704  0.8239139 ],neutral,0.15534538,2021-03-25 15:32:00
35,[0.05718337 0.04440666 0.89841   ],neutral,0.01277671,2021-03-25 15:25:30
36,[0.23044164 0.04172954 0.72782886],neutral,0.1887121,2021-03-25 15:00:02
37,[0.02643267 0.9232883  0.05027897],negative,-0.8968556,2021-03-25 13:24:38
38,[0.01276044 0.9527517  0.03448782],negative,-0.93999124,2021-03-25 12:35:00
39,[0.63305765 0.00906577 0.3578766 ],positive,0.6239919,2021-03-25 12:30:00
40,[0.06857596 0.09174578 0.8396783 ],neutral,-0.023169823,2021-03-25 12:09:27
41,[0.0185092  0.8999431  0.08154772],negative,-0.8814339,2021-03-25 11:54:51
42,[0.15341064 0.00962466 0.83696467],neutral,0.14378598,2021-03-25 11:45:58
43,[0.37598288 0.09741123 0.5266059 ],neutral,0.27857167,2021-03-25 11:15:12
44,[0.72774035 0.00987585 0.26238382],positive,0.7178645,2021-03-25 09:41:00
45,[0.03650345 0.04353321 0.9199634 ],neutral,-0.0070297606,2021-03-25 08:17:00
46,[0.07564778 0.27199548 0.6523567 ],neutral,-0.19634771,2021-03-24 23:50:50
47,[0.11199323 0.0091648  0.87884194],neutral,0.102828436,2021-03-24 17:15:00
48,[0.00914809 0.9476287  0.04322321],negative,-0.9384806,2021-03-24 17:05:27
49,[0.9567288  0.01718983 0.02608123],positive,0.939539,2021-03-24 14:29:16
50,[0.03442515 0.02432152 0.94125336],neutral,0.010103634,2021-03-24 13:00:00
51,[0.23181233 0.017545   0.7506427 ],neutral,0.21426733,2021-03-24 11:41:23
52,[0.3785235  0.01241947 0.609057  ],neutral,0.36610404,2021-03-24 09:12:12
53,[0.92989653 0.03771218 0.03239124],positive,0.8921844,2021-03-24 07:28:33
54,[0.08183197 0.20206028 0.7161078 ],neutral,-0.12022831,2021-03-24 06:07:00
55,[0.10095485 0.01202952 0.88701564],neutral,0.08892533,2021-03-24 05:48:48
56,[0.85671353 0.01212619 0.13116024],positive,0.8445873,2021-03-24 04:10:57
57,[0.08500286 0.01616042 0.89883673],neutral,0.06884244,2021-03-23 19:43:36
58,[0.08737932 0.11366738 0.7989533 ],neutral,-0.026288055,2021-03-23 19:41:02
59,[0.6588156  0.03318781 0.3079965 ],positive,0.6256278,2021-03-23 19:24:50
60,[0.06313547 0.0303062  0.90655833],neutral,0.03282927,2021-03-23 19:13:16
61,[0.8646664  0.10554381 0.02978975],positive,0.7591226,2021-03-23 18:56:10
62,[0.587944   0.0089481  0.40310788],positive,0.5789959,2021-03-23 17:29:29
63,[0.03225908 0.05353904 0.9142019 ],neutral,-0.02127996,2021-03-23 17:26:29
64,[0.05095294 0.01331248 0.93573457],neutral,0.037640452,2021-03-23 17:07:59
65,[0.10199977 0.01354946 0.8844508 ],neutral,0.08845031,2021-03-23 16:30:00
66,[0.04482579 0.02510629 0.9300679 ],neutral,0.019719495,2021-03-23 16:29:14
