,logit,prediction,sentiment_score,Date
0,[0.03064357 0.01669762 0.95265883],neutral,0.013945954,2021-03-29 20:00:00
1,[0.1374962  0.2529642  0.60953957],neutral,-0.115467995,2021-03-29 12:51:26
2,[0.02161146 0.03958504 0.9388035 ],neutral,-0.017973574,2021-03-29 08:30:00
3,[0.9499416  0.01398481 0.0360737 ],positive,0.9359568,2021-03-25 15:33:41
4,[0.17558573 0.01015573 0.8142586 ],neutral,0.16543,2021-03-25 15:22:17
5,[0.86502093 0.01152172 0.12345737],positive,0.85349923,2021-03-24 21:05:00
6,[0.11421908 0.01624215 0.8695387 ],neutral,0.09797693,2021-03-22 12:55:26
7,[0.02510359 0.9170492  0.05784721],negative,-0.89194566,2021-03-21 13:08:49
8,[0.46280468 0.09722964 0.43996567],positive,0.36557505,2021-03-17 06:36:00
9,[0.03305429 0.01592447 0.9510212 ],neutral,0.017129814,2021-03-15 21:30:00
10,[0.14096881 0.00961052 0.8494206 ],neutral,0.1313583,2021-03-15 16:15:00
11,[0.39793503 0.00982922 0.59223574],neutral,0.3881058,2021-03-14 07:30:00
12,[0.8202344  0.01513094 0.16463463],positive,0.8051035,2021-03-13 11:45:50
13,[0.71362054 0.01064849 0.27573097],positive,0.70297205,2021-03-13 07:00:00
14,[0.7998414  0.00941229 0.19074629],positive,0.7904291,2021-03-12 14:29:41
15,[0.18557541 0.7961624  0.01826213],negative,-0.610587,2021-03-10 07:42:08
16,[0.86488557 0.0333441  0.10177031],positive,0.8315415,2021-03-10 07:30:00
17,[0.80083567 0.00816556 0.19099872],positive,0.79267013,2021-03-09 15:08:53
18,[0.03917801 0.02393391 0.93688804],neutral,0.015244093,2021-03-08 12:41:02
19,[0.82693064 0.01174547 0.16132383],positive,0.8151852,2021-03-05 12:16:49
20,[0.00894529 0.9734099  0.01764483],negative,-0.9644646,2021-03-05 11:25:01
21,[0.2521734 0.7243755 0.0234511],negative,-0.4722021,2021-03-05 10:58:38
22,[0.94775426 0.01408192 0.0381638 ],positive,0.93367237,2021-03-05 10:40:33
23,[0.0436158  0.05498853 0.9013957 ],neutral,-0.011372734,2021-03-04 22:49:10
24,[0.95531833 0.01508619 0.02959554],positive,0.94023216,2021-03-04 19:20:00
25,[0.7023995  0.08797003 0.20963043],positive,0.6144295,2021-03-04 18:58:11
26,[0.02433314 0.9487544  0.02691243],negative,-0.92442125,2021-03-04 18:10:00
27,[0.04974518 0.09478325 0.85547155],neutral,-0.045038078,2021-03-04 17:27:03
28,[0.10429914 0.17532268 0.72037816],neutral,-0.07102354,2021-03-04 17:25:18
29,[0.01080665 0.9737222  0.01547112],negative,-0.96291554,2021-03-04 16:42:12
30,[0.00825641 0.97378594 0.01795767],negative,-0.9655295,2021-03-04 16:28:00
31,[0.95255804 0.02339973 0.02404232],positive,0.92915833,2021-03-04 16:27:00
32,[0.04487989 0.8575952  0.09752486],negative,-0.8127153,2021-03-03 13:39:31
33,[0.02145323 0.94817096 0.0303758 ],negative,-0.92671776,2021-03-03 08:44:51
34,[0.14856479 0.03699677 0.8144384 ],neutral,0.11156802,2021-03-02 18:10:15
35,[0.04104862 0.02547392 0.9334775 ],neutral,0.015574696,2021-03-02 02:17:48
36,[0.94863987 0.01552476 0.03583531],positive,0.9331151,2021-03-01 21:13:14
37,[0.02483425 0.47572798 0.49943784],neutral,-0.45089373,2021-03-01 17:07:00
38,[0.9515863  0.01700084 0.03141289],positive,0.93458545,2021-03-01 10:38:02
39,[0.02580331 0.06747629 0.9067204 ],neutral,-0.04167299,2021-02-26 08:42:11
40,[0.09457174 0.01388708 0.8915412 ],neutral,0.08068466,2021-02-24 21:58:15
41,[0.83577543 0.12873094 0.03549359],positive,0.7070445,2021-02-23 18:56:10
42,[0.83517295 0.12702447 0.03780261],positive,0.7081485,2021-02-17 18:58:27
43,[0.5668889  0.19613111 0.23697995],positive,0.37075782,2021-02-16 10:41:35
44,[0.04366987 0.04942663 0.9069035 ],neutral,-0.0057567656,2021-02-12 19:51:42
45,[0.047814   0.01996572 0.9322202 ],neutral,0.027848274,2021-02-12 15:44:16
46,[0.840186   0.12810405 0.03170989],positive,0.71208197,2021-02-10 18:31:10
47,[0.8490835  0.00819341 0.14272302],positive,0.84089005,2021-02-09 16:41:30
48,[0.8651481  0.10233827 0.03251364],positive,0.7628099,2021-02-04 18:54:36
49,[0.8578977  0.01235906 0.1297432 ],positive,0.8455386,2021-02-02 10:09:53
50,[0.10557247 0.01306567 0.88136184],neutral,0.0925068,2021-02-02 07:21:00
51,[0.09015578 0.01207164 0.89777255],neutral,0.07808414,2021-02-01 11:32:47
52,[0.28059468 0.01203743 0.7073679 ],neutral,0.26855725,2021-01-30 07:15:00
53,[0.8460513  0.12073222 0.03321649],positive,0.725319,2021-01-28 18:48:36
54,[0.7487751  0.00779052 0.24343437],positive,0.7409846,2021-01-27 09:47:22
55,[0.8198469  0.0071908  0.17296225],positive,0.8126561,2021-01-26 17:18:03
56,[0.72653294 0.01237673 0.2610903 ],positive,0.7141562,2021-01-26 09:47:10
57,[0.3123287  0.01053656 0.67713475],neutral,0.30179214,2021-01-25 11:37:11
58,[0.24693449 0.6455022  0.10756326],negative,-0.39856774,2021-01-15 18:48:11
59,[0.90123755 0.01410037 0.08466209],positive,0.8871372,2021-01-15 08:08:00
60,[0.4561156  0.01745425 0.5264302 ],neutral,0.43866137,2021-01-15 05:51:00
61,[0.70980245 0.01047164 0.2797259 ],positive,0.6993308,2021-01-14 12:00:00
62,[0.88278335 0.01182904 0.10538763],positive,0.87095433,2021-01-14 11:36:11
63,[0.0643279  0.91501474 0.02065733],negative,-0.85068685,2021-01-14 08:34:42
64,[0.04386698 0.01763346 0.9384996 ],neutral,0.026233524,2021-01-13 04:59:05
65,[0.25093573 0.02024451 0.7288198 ],neutral,0.23069122,2021-01-12 08:17:06
66,[0.9536207  0.01660965 0.0297697 ],positive,0.937011,2021-01-11 15:02:07
67,[0.716332   0.00970105 0.27396697],positive,0.70663095,2021-01-11 12:20:41
68,[0.824227   0.00786166 0.16791143],positive,0.8163653,2021-01-11 09:02:15
69,[0.06815342 0.01696474 0.9148818 ],neutral,0.051188685,2021-01-11 05:21:49
70,[0.8578436  0.01233375 0.12982267],positive,0.8455098,2021-01-10 09:26:29
71,[0.04797467 0.02985508 0.9221702 ],neutral,0.018119594,2021-01-09 12:02:12
72,[0.2872258  0.00999523 0.702779  ],neutral,0.2772306,2021-01-08 12:47:18
73,[0.9500771  0.01509457 0.03482829],positive,0.93498254,2021-01-07 14:44:00
74,[0.09267825 0.04460392 0.86271787],neutral,0.048074327,2021-01-06 08:00:00
75,[0.7702839  0.01071102 0.2190051 ],positive,0.75957286,2021-01-05 14:42:00
76,[0.0968364  0.86014456 0.04301911],negative,-0.76330817,2021-01-05 13:55:45
77,[0.18649125 0.78086597 0.03264279],negative,-0.5943747,2021-01-05 12:02:10
78,[0.9042355  0.00938943 0.08637504],positive,0.8948461,2021-01-05 11:17:08
