,logit,prediction,sentiment_score,Date
0,[0.01394964 0.96167475 0.02437558],negative,-0.9477251,2021-03-29 11:48:26
1,[0.9499664  0.01854764 0.03148589],positive,0.9314187,2021-03-29 11:00:00
2,[0.00974982 0.97252965 0.01772051],negative,-0.9627798,2021-03-29 09:51:45
3,[0.02043293 0.47503823 0.5045288 ],neutral,-0.45460528,2021-03-29 09:50:14
4,[0.7554151  0.01636432 0.22822058],positive,0.73905075,2021-03-28 08:00:00
5,[0.21831997 0.01098971 0.7706903 ],neutral,0.20733026,2021-03-26 14:30:51
6,[0.05227948 0.09363158 0.85408896],neutral,-0.041352097,2021-03-26 10:49:20
7,[0.0277589  0.11400368 0.8582374 ],neutral,-0.08624478,2021-03-25 19:43:35
8,[0.9450986  0.01764374 0.03725768],positive,0.9274548,2021-03-25 18:14:00
9,[0.0522279  0.0827058  0.86506623],neutral,-0.0304779,2021-03-25 17:54:00
10,[0.0585768  0.55382997 0.38759318],negative,-0.49525318,2021-03-25 17:03:00
11,[0.04344151 0.02969108 0.9268674 ],neutral,0.013750428,2021-03-25 10:58:06
12,[0.21791735 0.0093581  0.77272457],neutral,0.20855926,2021-03-25 09:37:42
13,[0.03695236 0.02985752 0.9331901 ],neutral,0.007094845,2021-03-25 09:06:17
14,[0.86502093 0.01152172 0.12345737],positive,0.85349923,2021-03-24 21:05:00
15,[0.07886946 0.17765507 0.74347544],neutral,-0.09878561,2021-03-24 18:17:06
16,[0.04251044 0.01462787 0.9428616 ],neutral,0.02788257,2021-03-24 16:15:00
17,[0.9184364  0.0475715  0.03399205],positive,0.8708649,2021-03-24 13:52:05
18,[0.29116336 0.0096407  0.699196  ],neutral,0.28152266,2021-03-24 07:54:06
19,[0.29116336 0.0096407  0.699196  ],neutral,0.28152266,2021-03-24 07:36:13
20,[0.847561   0.01841157 0.13402736],positive,0.8291494,2021-03-23 14:39:28
21,[0.95325327 0.01839886 0.02834776],positive,0.9348544,2021-03-23 13:17:00
22,[0.02759889 0.9447549  0.02764627],negative,-0.917156,2021-03-22 16:42:17
23,[0.01248419 0.97216326 0.0153525 ],negative,-0.95967907,2021-03-22 15:09:11
24,[0.06185026 0.01683539 0.92131436],neutral,0.045014873,2021-03-22 10:40:46
25,[0.6922005  0.02316623 0.2846333 ],positive,0.66903424,2021-03-22 07:00:00
26,[0.06244772 0.88210446 0.05544785],negative,-0.8196567,2021-03-22 04:26:46
27,[0.03186454 0.09331532 0.8748201 ],neutral,-0.06145078,2021-03-21 12:35:02
28,[0.8290212  0.14260489 0.02837392],positive,0.6864163,2021-03-20 08:01:00
29,[0.07322714 0.90444773 0.02232513],negative,-0.8312206,2021-03-19 16:13:00
30,[0.0248574  0.9342641  0.04087849],negative,-0.9094067,2021-03-19 16:05:00
31,[0.02917286 0.9518712  0.01895592],negative,-0.9226984,2021-03-19 16:03:00
32,[0.47420594 0.34135404 0.18444008],positive,0.1328519,2021-03-19 13:53:00
33,[0.18335068 0.53142655 0.28522277],negative,-0.34807587,2021-03-19 13:19:08
34,[0.54395026 0.19743417 0.25861552],positive,0.34651607,2021-03-19 12:19:00
35,[0.01048183 0.9627159  0.02680221],negative,-0.9522341,2021-03-19 12:04:55
36,[0.07177553 0.69872946 0.22949499],negative,-0.62695396,2021-03-19 11:34:26
37,[0.0551281  0.02546189 0.91941005],neutral,0.02966621,2021-03-19 10:45:09
38,[0.7028576  0.11765597 0.17948644],positive,0.5852016,2021-03-19 10:34:39
39,[0.07203846 0.06344657 0.86451495],neutral,0.00859189,2021-03-19 09:57:48
40,[0.14751484 0.02242679 0.83005834],neutral,0.12508805,2021-03-19 04:59:42
41,[0.95083797 0.02613222 0.02302983],positive,0.92470574,2021-03-18 12:38:05
42,[0.8428427  0.12701064 0.03014663],positive,0.71583205,2021-03-17 18:56:15
